comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2
379948,%,Activity,,BAO_0001103,Activity,2059676,Binding affinity to recombinant human N-terminal His6-tagged RORgammat ligand binding domain (265 to 518 residues) expressed in Escherichia coli BL21 (DE3) incubated for overnight by Q-TOF-MS analysis relative to control,B,,CHEMBL4714677,10.1021/acsmedchemlett.1c00029,33854703,CHEMBL4706717,Covalent Occlusion of the RORγt Ligand Binding Pocket Allows Unambiguous Targeting of an Allosteric Site.,PUBLICATION,"The nuclear receptor RORγt is a key positive regulator in the differentiation and proliferation of T helper 17 (Th17) cells and the production of proinflammatory cytokines like IL-17a. Dysregulation of this pathway can result in the development of various autoimmune diseases, and inhibition of RORγt with small molecules thus holds great potential as a therapeutic strategy. RORγt has a unique allosteric ligand binding site in the ligand binding domain, which is distinct from the canonical, orthosteric binding site. Allosteric modulation of RORγt shows high potential, but the targeted discovery of novel allosteric ligands is highly challenging via currently available methods. Here, we introduce covalent, orthosteric chemical probes for RORγt that occlude the binding of canonical, orthosteric ligands but still allow allosteric ligand binding. Ultimately, these probes could be used to underpin screening approaches for the unambiguous and rapid identification of novel allosteric RORγt ligands.",,O=C(Nc1ccccc1)c1cc([N+](=O)[O-])ccc1Cl,C13H9ClN2O3,CHEMBL375270,100.0,,
379964,%,Activity,,BAO_0001103,Activity,2059676,Binding affinity to recombinant human N-terminal His6-tagged RORgammat ligand binding domain (265 to 518 residues) expressed in Escherichia coli BL21 (DE3) incubated for overnight by Q-TOF-MS analysis relative to control,B,,CHEMBL4714677,10.1021/acsmedchemlett.1c00029,33854703,CHEMBL4706717,Covalent Occlusion of the RORγt Ligand Binding Pocket Allows Unambiguous Targeting of an Allosteric Site.,PUBLICATION,"The nuclear receptor RORγt is a key positive regulator in the differentiation and proliferation of T helper 17 (Th17) cells and the production of proinflammatory cytokines like IL-17a. Dysregulation of this pathway can result in the development of various autoimmune diseases, and inhibition of RORγt with small molecules thus holds great potential as a therapeutic strategy. RORγt has a unique allosteric ligand binding site in the ligand binding domain, which is distinct from the canonical, orthosteric binding site. Allosteric modulation of RORγt shows high potential, but the targeted discovery of novel allosteric ligands is highly challenging via currently available methods. Here, we introduce covalent, orthosteric chemical probes for RORγt that occlude the binding of canonical, orthosteric ligands but still allow allosteric ligand binding. Ultimately, these probes could be used to underpin screening approaches for the unambiguous and rapid identification of novel allosteric RORγt ligands.",,O=C(Nc1ccccc1O)c1cc([N+](=O)[O-])ccc1Cl,C13H9ClN2O4,CHEMBL229948,100.0,,
590474,%,Activity,,BAO_0001103,Activity,2059676,Binding affinity to recombinant human N-terminal His6-tagged RORgammat ligand binding domain (265 to 518 residues) expressed in Escherichia coli BL21 (DE3) incubated for overnight by Q-TOF-MS analysis relative to control,B,,CHEMBL4714677,10.1021/acsmedchemlett.1c00029,33854703,CHEMBL4706717,Covalent Occlusion of the RORγt Ligand Binding Pocket Allows Unambiguous Targeting of an Allosteric Site.,PUBLICATION,"The nuclear receptor RORγt is a key positive regulator in the differentiation and proliferation of T helper 17 (Th17) cells and the production of proinflammatory cytokines like IL-17a. Dysregulation of this pathway can result in the development of various autoimmune diseases, and inhibition of RORγt with small molecules thus holds great potential as a therapeutic strategy. RORγt has a unique allosteric ligand binding site in the ligand binding domain, which is distinct from the canonical, orthosteric binding site. Allosteric modulation of RORγt shows high potential, but the targeted discovery of novel allosteric ligands is highly challenging via currently available methods. Here, we introduce covalent, orthosteric chemical probes for RORγt that occlude the binding of canonical, orthosteric ligands but still allow allosteric ligand binding. Ultimately, these probes could be used to underpin screening approaches for the unambiguous and rapid identification of novel allosteric RORγt ligands.",,Cc1ccc(NC(=O)c2cc([N+](=O)[O-])ccc2Cl)cc1,C14H11ClN2O3,CHEMBL602996,25.0,,
590475,%,Activity,,BAO_0001103,Activity,2059676,Binding affinity to recombinant human N-terminal His6-tagged RORgammat ligand binding domain (265 to 518 residues) expressed in Escherichia coli BL21 (DE3) incubated for overnight by Q-TOF-MS analysis relative to control,B,,CHEMBL4714677,10.1021/acsmedchemlett.1c00029,33854703,CHEMBL4706717,Covalent Occlusion of the RORγt Ligand Binding Pocket Allows Unambiguous Targeting of an Allosteric Site.,PUBLICATION,"The nuclear receptor RORγt is a key positive regulator in the differentiation and proliferation of T helper 17 (Th17) cells and the production of proinflammatory cytokines like IL-17a. Dysregulation of this pathway can result in the development of various autoimmune diseases, and inhibition of RORγt with small molecules thus holds great potential as a therapeutic strategy. RORγt has a unique allosteric ligand binding site in the ligand binding domain, which is distinct from the canonical, orthosteric binding site. Allosteric modulation of RORγt shows high potential, but the targeted discovery of novel allosteric ligands is highly challenging via currently available methods. Here, we introduce covalent, orthosteric chemical probes for RORγt that occlude the binding of canonical, orthosteric ligands but still allow allosteric ligand binding. Ultimately, these probes could be used to underpin screening approaches for the unambiguous and rapid identification of novel allosteric RORγt ligands.",,COc1ccc(NC(=O)c2cc([N+](=O)[O-])ccc2Cl)cc1,C14H11ClN2O4,CHEMBL591551,0.0,,
590477,%,Activity,,BAO_0001103,Activity,2059676,Binding affinity to recombinant human N-terminal His6-tagged RORgammat ligand binding domain (265 to 518 residues) expressed in Escherichia coli BL21 (DE3) incubated for overnight by Q-TOF-MS analysis relative to control,B,,CHEMBL4714677,10.1021/acsmedchemlett.1c00029,33854703,CHEMBL4706717,Covalent Occlusion of the RORγt Ligand Binding Pocket Allows Unambiguous Targeting of an Allosteric Site.,PUBLICATION,"The nuclear receptor RORγt is a key positive regulator in the differentiation and proliferation of T helper 17 (Th17) cells and the production of proinflammatory cytokines like IL-17a. Dysregulation of this pathway can result in the development of various autoimmune diseases, and inhibition of RORγt with small molecules thus holds great potential as a therapeutic strategy. RORγt has a unique allosteric ligand binding site in the ligand binding domain, which is distinct from the canonical, orthosteric binding site. Allosteric modulation of RORγt shows high potential, but the targeted discovery of novel allosteric ligands is highly challenging via currently available methods. Here, we introduce covalent, orthosteric chemical probes for RORγt that occlude the binding of canonical, orthosteric ligands but still allow allosteric ligand binding. Ultimately, these probes could be used to underpin screening approaches for the unambiguous and rapid identification of novel allosteric RORγt ligands.",,O=C(NCc1ccccc1)c1cc([N+](=O)[O-])ccc1Cl,C14H11ClN2O3,CHEMBL601093,0.0,,
1518462,%,Activity,,BAO_0001103,Activity,2059676,Binding affinity to recombinant human N-terminal His6-tagged RORgammat ligand binding domain (265 to 518 residues) expressed in Escherichia coli BL21 (DE3) incubated for overnight by Q-TOF-MS analysis relative to control,B,,CHEMBL4714677,10.1021/acsmedchemlett.1c00029,33854703,CHEMBL4706717,Covalent Occlusion of the RORγt Ligand Binding Pocket Allows Unambiguous Targeting of an Allosteric Site.,PUBLICATION,"The nuclear receptor RORγt is a key positive regulator in the differentiation and proliferation of T helper 17 (Th17) cells and the production of proinflammatory cytokines like IL-17a. Dysregulation of this pathway can result in the development of various autoimmune diseases, and inhibition of RORγt with small molecules thus holds great potential as a therapeutic strategy. RORγt has a unique allosteric ligand binding site in the ligand binding domain, which is distinct from the canonical, orthosteric binding site. Allosteric modulation of RORγt shows high potential, but the targeted discovery of novel allosteric ligands is highly challenging via currently available methods. Here, we introduce covalent, orthosteric chemical probes for RORγt that occlude the binding of canonical, orthosteric ligands but still allow allosteric ligand binding. Ultimately, these probes could be used to underpin screening approaches for the unambiguous and rapid identification of novel allosteric RORγt ligands.",,O=C(Nc1ccc([N+](=O)[O-])cc1)c1cc([N+](=O)[O-])ccc1Cl,C13H8ClN3O5,CHEMBL2324295,50.0,,
1608771,%,Activity,,BAO_0001103,Activity,1778225,Agonist activity at human RORgamma1 expressed in HEK293 cells at 30 uM after 24 hrs by luciferase reporter gene assay relative to control,B,,CHEMBL4235217,10.1016/j.bmc.2018.07.038,30077610,CHEMBL4229499,Development of novel silanol-based human pregnane X receptor (PXR) agonists with improved receptor selectivity.,PUBLICATION,"Pregnane X receptor (PXR) is a ligand-dependent transcription factor that is considered to be a potential therapeutic target for multiple diseases. Herein, we report the development and structure-activity relationship studies of a new series of hPXR agonists. Focusing on our recently developed silanol-sulfonamide scaffold, we developed the potent hPXR agonist 28, which shows good selectivity over hLXRα and β, hFXR, and hRORα and γ. Examination of the structure-activity relationship suggested a possible strategy to manipulate the selectivity. Docking simulation indicated the presence of an additional binding cavity and polar contacts in the ligand-binding pocket of hPXR. This information should be helpful for the future development of more potent and selective hPXR ligands.",,O=C(O)c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1,C15H12F3NO4S,CHEMBL3094381,11.0,,
1725303,%,Activity,,BAO_0001103,Activity,1457045,Agonist activity at human RoRc-LBD expressed in Jurkat cells assessed as production of IL-17 at 3 uM by luciferase assay in absence of anti-CD3 relative to basal activity,B,,CHEMBL3368930,10.1021/jm401901d,24502334,CHEMBL3351629,Modulators of the nuclear receptor retinoic acid receptor-related orphan receptor-γ (RORγ or RORc).,PUBLICATION,"As the biology surrounding the nuclear receptor retinoic acid receptor-related orphan receptor-gamma (RORγ or RORc) continues to evolve, significant effort has been invested in discovering modulators of this potentially important target for the treatment of metabolic and immunological diseases. Several major pharmaceutical and biotechnology companies have disclosed RORc inhibitors or partnered with other players in the field. In this perspective, we discuss both the biology and the underlying structural biology of RORc, and summarize the RORc modulators disclosed in the scientific and patent literature.",,Cc1cccc(C(=O)Nc2cc(-c3ccccc3)no2)c1,C17H14N2O2,CHEMBL3218918,220.0,,
1725304,%,Activity,,"Entry 0: BAO_0001103, Entry 1: BAO_0001103, Entry 2: BAO_0001103, ",Activity,"Entry 0: 1331811, Entry 1: 1457045, Entry 2: 1721973, ","Entry 0: Agonist activity at ROR gamma in human CD4+ T cells assessed as IL-17 production at 3 uM by ELISA, Entry 1: Agonist activity at human RoRc-LBD expressed in Jurkat cells assessed as production of IL-17 at 3 uM by luciferase assay in absence of anti-CD3 relative to basal activity, Entry 2: Agonist activity at RORgammat in human TH17 cells assessed as increase in IL17A production at 3 uM after 3 days by ELISA relative to control, ","Entry 0: B, Entry 1: B, Entry 2: B, ",,"Entry 0: CHEMBL3227567, Entry 1: CHEMBL3368930, Entry 2: CHEMBL4136973, ","Entry 0: 10.1039/C3MD00005B, Entry 1: 10.1021/jm401901d, Entry 2: 10.1021/acs.jmedchem.7b01314, ","Entry 0: 24502334, Entry 1: 29412659, ","Entry 0: CHEMBL3217638, Entry 1: CHEMBL3351629, Entry 2: CHEMBL4130622, ","Entry 0: Synthetic modulators of the retinoic acid receptor-related orphan receptors, Entry 1: Modulators of the nuclear receptor retinoic acid receptor-related orphan receptor-γ (RORγ or RORc)., Entry 2: Retinoic Acid Receptor-Related Orphan Receptor γt (RORγt) Agonists as Potential Small Molecule Therapeutics for Cancer Immunotherapy., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, Entry 2: PUBLICATION, ","Entry 0: As the biology surrounding the nuclear receptor retinoic acid receptor-related orphan receptor-gamma (RORγ or RORc) continues to evolve, significant effort has been invested in discovering modulators of this potentially important target for the treatment of metabolic and immunological diseases. Several major pharmaceutical and biotechnology companies have disclosed RORc inhibitors or partnered with other players in the field. In this perspective, we discuss both the biology and the underlying structural biology of RORc, and summarize the RORc modulators disclosed in the scientific and patent literature., Entry 1: The recent success of PD-1/PD-L1 antibodies for advanced cancer treatment has led to the conclusion that activating the immune system can be employed to fight cancer. These results also encourage the development of small molecule immunomodulators for cancer immunotherapy. RORγt is a key transcription factor mediating Th17 cell differentiation and IL-17 production, which is able to activate CD8+ T cells and elicit antitumor efficacy. Since RORγt agonists have been shown to increase basal activity of RORγt and promote Th17 cell differentiation, development of RORγt agonists could provide a unique approach to cancer immunotherapy. In this review, we summarize RORγt sterol and synthetic agonists, analyze the common ground of their mode of actions, and discuss the potential role of RORγt agonists as small molecule therapeutics for cancer immunotherapy., ",,Cc1cc(C)c2nc(NC(=O)c3sccc3C)sc2c1,C15H14N2OS2,CHEMBL3218919,220.0,220.0,220.0
1725305,%,Activity,,BAO_0001103,Activity,1457045,Agonist activity at human RoRc-LBD expressed in Jurkat cells assessed as production of IL-17 at 3 uM by luciferase assay in absence of anti-CD3 relative to basal activity,B,,CHEMBL3368930,10.1021/jm401901d,24502334,CHEMBL3351629,Modulators of the nuclear receptor retinoic acid receptor-related orphan receptor-γ (RORγ or RORc).,PUBLICATION,"As the biology surrounding the nuclear receptor retinoic acid receptor-related orphan receptor-gamma (RORγ or RORc) continues to evolve, significant effort has been invested in discovering modulators of this potentially important target for the treatment of metabolic and immunological diseases. Several major pharmaceutical and biotechnology companies have disclosed RORc inhibitors or partnered with other players in the field. In this perspective, we discuss both the biology and the underlying structural biology of RORc, and summarize the RORc modulators disclosed in the scientific and patent literature.",,CCC(=O)Nc1ccc2nn(-c3ccc(CC)cc3)nc2c1,C17H18N4O,CHEMBL3218920,220.0,,
2076386,%,Activity,,BAO_0001103,Activity,1778225,Agonist activity at human RORgamma1 expressed in HEK293 cells at 30 uM after 24 hrs by luciferase reporter gene assay relative to control,B,,CHEMBL4235217,10.1016/j.bmc.2018.07.038,30077610,CHEMBL4229499,Development of novel silanol-based human pregnane X receptor (PXR) agonists with improved receptor selectivity.,PUBLICATION,"Pregnane X receptor (PXR) is a ligand-dependent transcription factor that is considered to be a potential therapeutic target for multiple diseases. Herein, we report the development and structure-activity relationship studies of a new series of hPXR agonists. Focusing on our recently developed silanol-sulfonamide scaffold, we developed the potent hPXR agonist 28, which shows good selectivity over hLXRα and β, hFXR, and hRORα and γ. Examination of the structure-activity relationship suggested a possible strategy to manipulate the selectivity. Docking simulation indicated the presence of an additional binding cavity and polar contacts in the ligand-binding pocket of hPXR. This information should be helpful for the future development of more potent and selective hPXR ligands.",,CC(C)(O)c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1,C17H18F3NO3S,CHEMBL3781118,11.0,,
2218947,%,Activity,,"Entry 0: BAO_0001103, Entry 1: BAO_0001103, ",Activity,"Entry 0: 1665137, Entry 1: 1665138, ","Entry 0: Transactivation of GAL4 DBD-fused human RORgammat expressed in HEK293T cells assessed as stimulation of transcriptional activity at 6 uM after 24 hrs by Dual-glo luciferase reporter gene assay relative to control, Entry 1: Transactivation of RORgammat in human Th17 cells assessed as increase in IL17A production at 1.2 uM relative to control, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL4014933, Entry 1: CHEMBL4014934, ","Entry 0: 10.1016/j.bmcl.2017.02.044, Entry 1: 10.1016/j.bmcl.2017.02.044, ","Entry 0: 28318945, Entry 1: 28318945, ","Entry 0: CHEMBL4014290, Entry 1: CHEMBL4014290, ","Entry 0: Identification and structure activity relationships of quinoline tertiary alcohol modulators of RORγt., Entry 1: Identification and structure activity relationships of quinoline tertiary alcohol modulators of RORγt., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A high-throughput screen of the ligand binding domain of the nuclear receptor retinoic acid-related orphan receptor gamma t (RORγt) employing a thermal shift assay yielded a quinoline tertiary alcohol hit. Optimization of the 2-, 3- and 4-positions of the quinoline core using structure-activity relationships and structure-based drug design methods led to the discovery of a series of modulators with improved RORγt inhibitory potency and inverse agonism properties., Entry 1: A high-throughput screen of the ligand binding domain of the nuclear receptor retinoic acid-related orphan receptor gamma t (RORγt) employing a thermal shift assay yielded a quinoline tertiary alcohol hit. Optimization of the 2-, 3- and 4-positions of the quinoline core using structure-activity relationships and structure-based drug design methods led to the discovery of a series of modulators with improved RORγt inhibitory potency and inverse agonism properties., ",,COc1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1-c1ccc(S(C)(=O)=O)cc1,C28H22ClF3N4O4S,CHEMBL4079036,78.0,85.0,
