comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2,act_3,act_4,act_5,act_6
2208,nM,EC50,,BAO_0000188,EC50,1457058,Inverse agonist activity at human RoRc-LBD fusion protein with GST expressed in BL-21 (BL3) cells assessed as SRC1 coactivator peptide recruitment,B,,CHEMBL3369179,10.1021/jm401901d,24502334,CHEMBL3351629,Modulators of the nuclear receptor retinoic acid receptor-related orphan receptor-γ (RORγ or RORc).,PUBLICATION,"As the biology surrounding the nuclear receptor retinoic acid receptor-related orphan receptor-gamma (RORγ or RORc) continues to evolve, significant effort has been invested in discovering modulators of this potentially important target for the treatment of metabolic and immunological diseases. Several major pharmaceutical and biotechnology companies have disclosed RORc inhibitors or partnered with other players in the field. In this perspective, we discuss both the biology and the underlying structural biology of RORc, and summarize the RORc modulators disclosed in the scientific and patent literature.",,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,C20H28O2,CHEMBL38,18000.0,,,,,,
11254,nM,EC50,,BAO_0000188,EC50,1457058,Inverse agonist activity at human RoRc-LBD fusion protein with GST expressed in BL-21 (BL3) cells assessed as SRC1 coactivator peptide recruitment,B,,CHEMBL3369179,10.1021/jm401901d,24502334,CHEMBL3351629,Modulators of the nuclear receptor retinoic acid receptor-related orphan receptor-γ (RORγ or RORc).,PUBLICATION,"As the biology surrounding the nuclear receptor retinoic acid receptor-related orphan receptor-gamma (RORγ or RORc) continues to evolve, significant effort has been invested in discovering modulators of this potentially important target for the treatment of metabolic and immunological diseases. Several major pharmaceutical and biotechnology companies have disclosed RORc inhibitors or partnered with other players in the field. In this perspective, we discuss both the biology and the underlying structural biology of RORc, and summarize the RORc modulators disclosed in the scientific and patent literature.",,C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,C24H28O2,CHEMBL275311,9000.0,,,,,,
33216,nM,EC50,,BAO_0000188,EC50,1457058,Inverse agonist activity at human RoRc-LBD fusion protein with GST expressed in BL-21 (BL3) cells assessed as SRC1 coactivator peptide recruitment,B,,CHEMBL3369179,10.1021/jm401901d,24502334,CHEMBL3351629,Modulators of the nuclear receptor retinoic acid receptor-related orphan receptor-γ (RORγ or RORc).,PUBLICATION,"As the biology surrounding the nuclear receptor retinoic acid receptor-related orphan receptor-gamma (RORγ or RORc) continues to evolve, significant effort has been invested in discovering modulators of this potentially important target for the treatment of metabolic and immunological diseases. Several major pharmaceutical and biotechnology companies have disclosed RORc inhibitors or partnered with other players in the field. In this perspective, we discuss both the biology and the underlying structural biology of RORc, and summarize the RORc modulators disclosed in the scientific and patent literature.",,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,C20H28O2,CHEMBL705,14000.0,,,,,,
72436,nM,EC50,,BAO_0000188,EC50,1457058,Inverse agonist activity at human RoRc-LBD fusion protein with GST expressed in BL-21 (BL3) cells assessed as SRC1 coactivator peptide recruitment,B,,CHEMBL3369179,10.1021/jm401901d,24502334,CHEMBL3351629,Modulators of the nuclear receptor retinoic acid receptor-related orphan receptor-γ (RORγ or RORc).,PUBLICATION,"As the biology surrounding the nuclear receptor retinoic acid receptor-related orphan receptor-gamma (RORγ or RORc) continues to evolve, significant effort has been invested in discovering modulators of this potentially important target for the treatment of metabolic and immunological diseases. Several major pharmaceutical and biotechnology companies have disclosed RORc inhibitors or partnered with other players in the field. In this perspective, we discuss both the biology and the underlying structural biology of RORc, and summarize the RORc modulators disclosed in the scientific and patent literature.",,CN1c2cc3c(cc2N=C(c2ccc(C(=O)O)cc2)c2ccc4ccccc4c21)C(C)(C)CCC3(C)C,C33H32N2O2,CHEMBL298373,4000.0,,,,,,
92776,nM,EC50,,"Entry 0: BAO_0000188, Entry 1: BAO_0000188, Entry 2: BAO_0000188, Entry 3: BAO_0000188, Entry 4: BAO_0000188, ",EC50,"Entry 0: 1279574, Entry 1: 1279576, Entry 2: 1457058, Entry 3: 1457937, Entry 4: 1748343, ","Entry 0: Inverse agonist activity at GAL4-fused human RORc expressed in HEK293T cells assessed as suppression of basal transcriptional activity after 20 hrs by dual-glo luciferase reporter gene assay, Entry 1: Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis, Entry 2: Inverse agonist activity at human RoRc-LBD fusion protein with GST expressed in BL-21 (BL3) cells assessed as SRC1 coactivator peptide recruitment, Entry 3: Agonist activity at RoRc (unknown origin) expressed in HEK293 cells assessed as transcriptional activity by GAL4 NR reporter cell-based assay, Entry 4: Inverse agonist activity at Gal4-tagged human RORgammat ligand binding domain expressed in human Jurkat cells by native IL17 promoter driven luciferase reporter gene assay, ","Entry 0: B, Entry 1: B, Entry 2: B, Entry 3: B, Entry 4: B, ",,"Entry 0: CHEMBL3097487, Entry 1: CHEMBL3097489, Entry 2: CHEMBL3369179, Entry 3: CHEMBL3370844, Entry 4: CHEMBL4182853, ","Entry 0: 10.1016/j.bmcl.2013.10.054, Entry 1: 10.1016/j.bmcl.2013.10.054, Entry 2: 10.1021/jm401901d, Entry 3: 10.1021/jm401901d, Entry 4: 10.1016/j.bmcl.2017.12.006, ","Entry 0: 24239186, Entry 1: 24239186, Entry 2: 24502334, Entry 3: 24502334, Entry 4: 29233651, ","Entry 0: CHEMBL3091433, Entry 1: CHEMBL3091433, Entry 2: CHEMBL3351629, Entry 3: CHEMBL3351629, Entry 4: CHEMBL4177737, ","Entry 0: Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc., Entry 1: Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc., Entry 2: Modulators of the nuclear receptor retinoic acid receptor-related orphan receptor-γ (RORγ or RORc)., Entry 3: Modulators of the nuclear receptor retinoic acid receptor-related orphan receptor-γ (RORγ or RORc)., Entry 4: Identification of bicyclic hexafluoroisopropyl alcohol sulfonamides as retinoic acid receptor-related orphan receptor gamma (RORγ/RORc) inverse agonists. Employing structure-based drug design to improve pregnane X receptor (PXR) selectivity., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, Entry 2: PUBLICATION, Entry 3: PUBLICATION, Entry 4: PUBLICATION, ","Entry 0: The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors., Entry 1: The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors., Entry 2: As the biology surrounding the nuclear receptor retinoic acid receptor-related orphan receptor-gamma (RORγ or RORc) continues to evolve, significant effort has been invested in discovering modulators of this potentially important target for the treatment of metabolic and immunological diseases. Several major pharmaceutical and biotechnology companies have disclosed RORc inhibitors or partnered with other players in the field. In this perspective, we discuss both the biology and the underlying structural biology of RORc, and summarize the RORc modulators disclosed in the scientific and patent literature., Entry 3: As the biology surrounding the nuclear receptor retinoic acid receptor-related orphan receptor-gamma (RORγ or RORc) continues to evolve, significant effort has been invested in discovering modulators of this potentially important target for the treatment of metabolic and immunological diseases. Several major pharmaceutical and biotechnology companies have disclosed RORc inhibitors or partnered with other players in the field. In this perspective, we discuss both the biology and the underlying structural biology of RORc, and summarize the RORc modulators disclosed in the scientific and patent literature., Entry 4: We disclose the optimization of a high throughput screening hit to yield benzothiazine and tetrahydroquinoline sulfonamides as potent RORγt inverse agonists. However, a majority of these compounds showed potent activity against pregnane X receptor (PXR) and modest activity against liver X receptor α (LXRα). Structure-based drug design (SBDD) led to the identification of benzothiazine and tetrahydroquinoline sulfonamide analogs which completely dialed out LXRα activity and were less potent at PXR. Pharmacodynamic (PD) data for compound 35 in an IL-23 induced IL-17 mouse model is discussed along with the implications of a high Ymax in the PXR assay for long term preclinical pharmacokinetic (PK) studies., ",,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,C17H12F9NO3S,CHEMBL62136,54.0,54.0,333.0,460.0,463.0,,
182921,nM,EC50,,"Entry 0: BAO_0000188, Entry 1: BAO_0000188, ",EC50,"Entry 0: 1721966, Entry 1: 2059672, ","Entry 0: Agonist activity at 6xHis tagged human RORgammat LBD (262 to 507 residues) expressed in Escherichia coli BL21 (DE3) assessed as biotinylated SRC1-2 peptide coactivator recruitment by AlphaScreen assay, Entry 1: Orthosteric agonist activity at recombinant human N-terminal His6-tagged RORgammat ligand binding domain (265 to 518 residues) expressed in Escherichia coli BL21 (DE3) assessed as increase in coactivator, N-terminal biotinylated SRC-1 box2 peptide recruitment incubated for 60 mins by TR-FRET assay, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL4136966, Entry 1: CHEMBL4714673, ","Entry 0: 10.1021/acs.jmedchem.7b01314, Entry 1: 10.1021/acsmedchemlett.1c00029, ","Entry 0: 29412659, Entry 1: 33854703, ","Entry 0: CHEMBL4130622, Entry 1: CHEMBL4706717, ","Entry 0: Retinoic Acid Receptor-Related Orphan Receptor γt (RORγt) Agonists as Potential Small Molecule Therapeutics for Cancer Immunotherapy., Entry 1: Covalent Occlusion of the RORγt Ligand Binding Pocket Allows Unambiguous Targeting of an Allosteric Site., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: The recent success of PD-1/PD-L1 antibodies for advanced cancer treatment has led to the conclusion that activating the immune system can be employed to fight cancer. These results also encourage the development of small molecule immunomodulators for cancer immunotherapy. RORγt is a key transcription factor mediating Th17 cell differentiation and IL-17 production, which is able to activate CD8+ T cells and elicit antitumor efficacy. Since RORγt agonists have been shown to increase basal activity of RORγt and promote Th17 cell differentiation, development of RORγt agonists could provide a unique approach to cancer immunotherapy. In this review, we summarize RORγt sterol and synthetic agonists, analyze the common ground of their mode of actions, and discuss the potential role of RORγt agonists as small molecule therapeutics for cancer immunotherapy., Entry 1: The nuclear receptor RORγt is a key positive regulator in the differentiation and proliferation of T helper 17 (Th17) cells and the production of proinflammatory cytokines like IL-17a. Dysregulation of this pathway can result in the development of various autoimmune diseases, and inhibition of RORγt with small molecules thus holds great potential as a therapeutic strategy. RORγt has a unique allosteric ligand binding site in the ligand binding domain, which is distinct from the canonical, orthosteric binding site. Allosteric modulation of RORγt shows high potential, but the targeted discovery of novel allosteric ligands is highly challenging via currently available methods. Here, we introduce covalent, orthosteric chemical probes for RORγt that occlude the binding of canonical, orthosteric ligands but still allow allosteric ligand binding. Ultimately, these probes could be used to underpin screening approaches for the unambiguous and rapid identification of novel allosteric RORγt ligands., ",,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,C27H46O,CHEMBL112570,20.0,418.0,,,,,
285115,nM,EC50,,"Entry 0: BAO_0000188, Entry 1: BAO_0000188, Entry 2: BAO_0000188, ",EC50,"Entry 0: 1331800, Entry 1: 1442780, Entry 2: 1721966, ","Entry 0: Agonist activity at human His6-tagged ROR gamma ligand binding domain (residues 262 to 507) expressed in Escherichia coli BL21 (DE3) cells assessed as increase in recruitment of coactivator peptide by AlphaScreen biochemical assay, Entry 1: Displacement of [3H]25-hydroxycholesterol from human RORc-LBD expressed in bacterial expression system after 3 hrs by scintillation counting analysis, Entry 2: Agonist activity at 6xHis tagged human RORgammat LBD (262 to 507 residues) expressed in Escherichia coli BL21 (DE3) assessed as biotinylated SRC1-2 peptide coactivator recruitment by AlphaScreen assay, ","Entry 0: B, Entry 1: B, Entry 2: B, ",,"Entry 0: CHEMBL3227243, Entry 1: CHEMBL3375302, Entry 2: CHEMBL4136966, ","Entry 0: 10.1039/C3MD00005B, Entry 1: 10.1016/j.bmcl.2014.10.037, Entry 2: 10.1021/acs.jmedchem.7b01314, ","Entry 0: 25453817, Entry 1: 29412659, ","Entry 0: CHEMBL3217638, Entry 1: CHEMBL3352095, Entry 2: CHEMBL4130622, ","Entry 0: Synthetic modulators of the retinoic acid receptor-related orphan receptors, Entry 1: A reversed sulfonamide series of selective RORc inverse agonists., Entry 2: Retinoic Acid Receptor-Related Orphan Receptor γt (RORγt) Agonists as Potential Small Molecule Therapeutics for Cancer Immunotherapy., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, Entry 2: PUBLICATION, ","Entry 0: The identification of a new series of RORc inverse agonists is described. Comprehensive structure-activity relationship studies of this reversed sulfonamide series identified potent RORc inverse agonists in biochemical and cellular assays which were also selective against a panel of nuclear receptors. Our work has contributed a compound that may serve as a useful in vitro tool to delineate the complex biological pathways involved in signalling through RORc. An X-ray co-crystal structure of an analogue with RORc has also provided useful insights into the binding interactions of the new series., Entry 1: The recent success of PD-1/PD-L1 antibodies for advanced cancer treatment has led to the conclusion that activating the immune system can be employed to fight cancer. These results also encourage the development of small molecule immunomodulators for cancer immunotherapy. RORγt is a key transcription factor mediating Th17 cell differentiation and IL-17 production, which is able to activate CD8+ T cells and elicit antitumor efficacy. Since RORγt agonists have been shown to increase basal activity of RORγt and promote Th17 cell differentiation, development of RORγt agonists could provide a unique approach to cancer immunotherapy. In this review, we summarize RORγt sterol and synthetic agonists, analyze the common ground of their mode of actions, and discuss the potential role of RORγt agonists as small molecule therapeutics for cancer immunotherapy., ",,CC(C)CC[C@@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,C27H46O2,CHEMBL422904,20.0,20.0,20.0,,,,
285365,nM,EC50,,"Entry 0: BAO_0000188, Entry 1: BAO_0000188, Entry 2: BAO_0000188, Entry 3: BAO_0000188, ",EC50,"Entry 0: 1331800, Entry 1: 1442780, Entry 2: 1721966, Entry 3: 1929471, ","Entry 0: Agonist activity at human His6-tagged ROR gamma ligand binding domain (residues 262 to 507) expressed in Escherichia coli BL21 (DE3) cells assessed as increase in recruitment of coactivator peptide by AlphaScreen biochemical assay, Entry 1: Displacement of [3H]25-hydroxycholesterol from human RORc-LBD expressed in bacterial expression system after 3 hrs by scintillation counting analysis, Entry 2: Agonist activity at 6xHis tagged human RORgammat LBD (262 to 507 residues) expressed in Escherichia coli BL21 (DE3) assessed as biotinylated SRC1-2 peptide coactivator recruitment by AlphaScreen assay, Entry 3: Activity at 6His-tagged human RORgamma LBD (262 to 507 residues) expressed in Escherichia coli BL21 (DE3) cells assessed as induction of biotinylated SRC1 co-activator peptide recruitment by alphascreen assay, ","Entry 0: B, Entry 1: B, Entry 2: B, Entry 3: B, ",,"Entry 0: CHEMBL3227243, Entry 1: CHEMBL3375302, Entry 2: CHEMBL4136966, Entry 3: CHEMBL4432647, ","Entry 0: 10.1039/C3MD00005B, Entry 1: 10.1016/j.bmcl.2014.10.037, Entry 2: 10.1021/acs.jmedchem.7b01314, Entry 3: 10.1016/j.bmcl.2016.08.012, ","Entry 0: 25453817, Entry 1: 29412659, Entry 2: 27542308, ","Entry 0: CHEMBL3217638, Entry 1: CHEMBL3352095, Entry 2: CHEMBL4130622, Entry 3: CHEMBL4431360, ","Entry 0: Synthetic modulators of the retinoic acid receptor-related orphan receptors, Entry 1: A reversed sulfonamide series of selective RORc inverse agonists., Entry 2: Retinoic Acid Receptor-Related Orphan Receptor γt (RORγt) Agonists as Potential Small Molecule Therapeutics for Cancer Immunotherapy., Entry 3: Recent progress on nuclear receptor RORγ modulators., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, Entry 2: PUBLICATION, Entry 3: PUBLICATION, ","Entry 0: The identification of a new series of RORc inverse agonists is described. Comprehensive structure-activity relationship studies of this reversed sulfonamide series identified potent RORc inverse agonists in biochemical and cellular assays which were also selective against a panel of nuclear receptors. Our work has contributed a compound that may serve as a useful in vitro tool to delineate the complex biological pathways involved in signalling through RORc. An X-ray co-crystal structure of an analogue with RORc has also provided useful insights into the binding interactions of the new series., Entry 1: The recent success of PD-1/PD-L1 antibodies for advanced cancer treatment has led to the conclusion that activating the immune system can be employed to fight cancer. These results also encourage the development of small molecule immunomodulators for cancer immunotherapy. RORγt is a key transcription factor mediating Th17 cell differentiation and IL-17 production, which is able to activate CD8+ T cells and elicit antitumor efficacy. Since RORγt agonists have been shown to increase basal activity of RORγt and promote Th17 cell differentiation, development of RORγt agonists could provide a unique approach to cancer immunotherapy. In this review, we summarize RORγt sterol and synthetic agonists, analyze the common ground of their mode of actions, and discuss the potential role of RORγt agonists as small molecule therapeutics for cancer immunotherapy., Entry 2: The retinoic acid receptor-related orphan receptor RORγ plays key roles in the development and differentiation of TH17 cells, and thus in IL-17 expression, thymocyte development and regulation of metabolism. With the recent progression into phase 2 clinical trials of both oral and topically administered inverse agonists, and with others close behind, there is significant interest in the discovery of RORγ modulators. This digest covers key developments around RORγ agonists, antagonists and inverse agonists; orthosteric and allosteric binders; and aims to summarize the available information concerning the potential utility of RORγ modulators., ",,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,C27H46O2,CHEMBL169046,20.0,20.0,20.0,20.0,,,
287334,nM,EC50,,BAO_0000188,EC50,2059672,"Orthosteric agonist activity at recombinant human N-terminal His6-tagged RORgammat ligand binding domain (265 to 518 residues) expressed in Escherichia coli BL21 (DE3) assessed as increase in coactivator, N-terminal biotinylated SRC-1 box2 peptide recruitment incubated for 60 mins by TR-FRET assay",B,,CHEMBL4714673,10.1021/acsmedchemlett.1c00029,33854703,CHEMBL4706717,Covalent Occlusion of the RORγt Ligand Binding Pocket Allows Unambiguous Targeting of an Allosteric Site.,PUBLICATION,"The nuclear receptor RORγt is a key positive regulator in the differentiation and proliferation of T helper 17 (Th17) cells and the production of proinflammatory cytokines like IL-17a. Dysregulation of this pathway can result in the development of various autoimmune diseases, and inhibition of RORγt with small molecules thus holds great potential as a therapeutic strategy. RORγt has a unique allosteric ligand binding site in the ligand binding domain, which is distinct from the canonical, orthosteric binding site. Allosteric modulation of RORγt shows high potential, but the targeted discovery of novel allosteric ligands is highly challenging via currently available methods. Here, we introduce covalent, orthosteric chemical probes for RORγt that occlude the binding of canonical, orthosteric ligands but still allow allosteric ligand binding. Ultimately, these probes could be used to underpin screening approaches for the unambiguous and rapid identification of novel allosteric RORγt ligands.",,CC(C)CCC[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,C27H46O2,CHEMBL173898,27.0,,,,,,
342577,nM,EC50,,BAO_0000188,EC50,1279576,Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis,B,,CHEMBL3097489,10.1016/j.bmcl.2013.10.054,24239186,CHEMBL3091433,Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc.,PUBLICATION,"The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors.",,O=S(=O)(c1ccccc1)N1CCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc21,C17H13F6NO3S,CHEMBL205937,5000.0,,,,,,
