comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2,act_3
2208,%,Efficacy,,BAO_0000656,Efficacy,1434916,Inverse agonist activity at RORgammaT (unknown origin) by M1H assay relative to control,B,,CHEMBL3385310,10.1016/j.bmcl.2014.09.053,25305688,CHEMBL3352412,Identification of the first inverse agonist of retinoid-related orphan receptor (ROR) with dual selectivity for RORβ and RORγt.,PUBLICATION,"Retinoic acid receptor-related orphan nuclear receptor gamma t (RORγt) is a key transcription factor for the development of Th17 cells. Inhibiting RORγt activity is thought to be beneficial in targeting a variety of inflammatory and autoimmune disorders. Recently N-(5-(arylcarbonyl)thiazol-2-yl)amides were described as RORγt antagonists with in vivo efficacy in experimental autoimmune encephalomyelitis (EAE) and collagen-induced arthritis (CIA) via oral administration. So far no selective small molecule ligands have been revealed for RORβ. We show, that one compound of this class, namely N-[5-(2-chloro-benzoyl)-4-(3-chlorophenyl)-thiazol-2-yl]-2-(4-ethanesulfonyl-phenyl)-acetamide (4) is a potent dual inverse agonist towards RORγt and RORβ devoid of activity to 18 other human nuclear receptors and thus can serve as chemical probe to deepen our understanding about RORβ and its biology.",,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,C20H28O2,CHEMBL38,55.0,,,
92776,%,Efficacy,,"Entry 0: BAO_0000656, Entry 1: BAO_0000656, Entry 2: BAO_0000656, ",Efficacy,"Entry 0: 1279575, Entry 1: 1434912, Entry 2: 1434916, ","Entry 0: Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis relative to apo-RORc ligand binding domain, Entry 1: Inverse agonist activity at recombinant N-terminally 6xHis-tagged RORgamma ligand binding domain (unknown origin) expressed in Escherichia coli incubated for 1 hr by FRET assay relative to control, Entry 2: Inverse agonist activity at RORgammaT (unknown origin) by M1H assay relative to control, ","Entry 0: B, Entry 1: B, Entry 2: B, ",,"Entry 0: CHEMBL3097488, Entry 1: CHEMBL3385306, Entry 2: CHEMBL3385310, ","Entry 0: 10.1016/j.bmcl.2013.10.054, Entry 1: 10.1016/j.bmcl.2014.09.053, Entry 2: 10.1016/j.bmcl.2014.09.053, ","Entry 0: 24239186, Entry 1: 25305688, Entry 2: 25305688, ","Entry 0: CHEMBL3091433, Entry 1: CHEMBL3352412, Entry 2: CHEMBL3352412, ","Entry 0: Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc., Entry 1: Identification of the first inverse agonist of retinoid-related orphan receptor (ROR) with dual selectivity for RORβ and RORγt., Entry 2: Identification of the first inverse agonist of retinoid-related orphan receptor (ROR) with dual selectivity for RORβ and RORγt., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, Entry 2: PUBLICATION, ","Entry 0: The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors., Entry 1: Retinoic acid receptor-related orphan nuclear receptor gamma t (RORγt) is a key transcription factor for the development of Th17 cells. Inhibiting RORγt activity is thought to be beneficial in targeting a variety of inflammatory and autoimmune disorders. Recently N-(5-(arylcarbonyl)thiazol-2-yl)amides were described as RORγt antagonists with in vivo efficacy in experimental autoimmune encephalomyelitis (EAE) and collagen-induced arthritis (CIA) via oral administration. So far no selective small molecule ligands have been revealed for RORβ. We show, that one compound of this class, namely N-[5-(2-chloro-benzoyl)-4-(3-chlorophenyl)-thiazol-2-yl]-2-(4-ethanesulfonyl-phenyl)-acetamide (4) is a potent dual inverse agonist towards RORγt and RORβ devoid of activity to 18 other human nuclear receptors and thus can serve as chemical probe to deepen our understanding about RORβ and its biology., Entry 2: Retinoic acid receptor-related orphan nuclear receptor gamma t (RORγt) is a key transcription factor for the development of Th17 cells. Inhibiting RORγt activity is thought to be beneficial in targeting a variety of inflammatory and autoimmune disorders. Recently N-(5-(arylcarbonyl)thiazol-2-yl)amides were described as RORγt antagonists with in vivo efficacy in experimental autoimmune encephalomyelitis (EAE) and collagen-induced arthritis (CIA) via oral administration. So far no selective small molecule ligands have been revealed for RORβ. We show, that one compound of this class, namely N-[5-(2-chloro-benzoyl)-4-(3-chlorophenyl)-thiazol-2-yl]-2-(4-ethanesulfonyl-phenyl)-acetamide (4) is a potent dual inverse agonist towards RORγt and RORβ devoid of activity to 18 other human nuclear receptors and thus can serve as chemical probe to deepen our understanding about RORβ and its biology., ",,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,C17H12F9NO3S,CHEMBL62136,-99.0,100.0,100.0,
342577,%,Efficacy,,BAO_0000656,Efficacy,1279575,Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis relative to apo-RORc ligand binding domain,B,,CHEMBL3097488,10.1016/j.bmcl.2013.10.054,24239186,CHEMBL3091433,Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc.,PUBLICATION,"The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors.",,O=S(=O)(c1ccccc1)N1CCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc21,C17H13F6NO3S,CHEMBL205937,-76.0,,,
1016024,%,Efficacy,,BAO_0000656,Efficacy,1517040,Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis relative to apo-RORc ligand binding domain,B,,CHEMBL3619499,10.1016/j.bmcl.2015.08.028,26321361,CHEMBL3616373,Identification of N-sulfonyl-tetrahydroquinolines as RORc inverse agonists.,PUBLICATION,"A high-throughput screen of the Genentech/Roche compound collection using a retinoic acid receptor-related orphan receptor C (RORc, RORγ, or NR1F3) biochemical assay revealed a N-sulfonyl-tetrahydroquinoline hit. Herein, we describe the hit-to-lead optimization and structure-activity relationships of these tetrahydroquinoline RORc inverse agonists. Through iterative synthesis and analog design, we identified compounds with improved biochemical RORc inverse agonist activity and RORc cellular potencies. These improved N-sulfonyl-tetrahydroquinoline compounds also exhibited selectivity for RORc over other nuclear receptors.",,O=C(Nc1ccc2c(c1)N(S(=O)(=O)c1cccs1)CCC2)c1c(F)cccc1F,C20H16F2N2O3S2,CHEMBL1592140,-77.0,,,
1521038,%,Efficacy,,BAO_0000656,Efficacy,1279575,Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis relative to apo-RORc ligand binding domain,B,,CHEMBL3097488,10.1016/j.bmcl.2013.10.054,24239186,CHEMBL3091433,Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc.,PUBLICATION,"The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors.",,CCN(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)S(=O)(=O)c1ccccc1,C17H15F6NO3S,CHEMBL2326845,-97.0,,,
1608755,%,Efficacy,,BAO_0000656,Efficacy,1279575,Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis relative to apo-RORc ligand binding domain,B,,CHEMBL3097488,10.1016/j.bmcl.2013.10.054,24239186,CHEMBL3091433,Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc.,PUBLICATION,"The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors.",,N#Cc1ccccc1S(=O)(=O)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,C18H11F9N2O3S,CHEMBL3094365,-91.0,,,
1608756,%,Efficacy,,BAO_0000656,Efficacy,1279575,Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis relative to apo-RORc ligand binding domain,B,,CHEMBL3097488,10.1016/j.bmcl.2013.10.054,24239186,CHEMBL3091433,Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc.,PUBLICATION,"The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors.",,N#Cc1cccc(S(=O)(=O)N(CC(F)(F)F)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)c1,C18H11F9N2O3S,CHEMBL3094366,-93.0,,,
1608757,%,Efficacy,,BAO_0000656,Efficacy,1279575,Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis relative to apo-RORc ligand binding domain,B,,CHEMBL3097488,10.1016/j.bmcl.2013.10.054,24239186,CHEMBL3091433,Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc.,PUBLICATION,"The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors.",,N#Cc1ccc(S(=O)(=O)N(CC(F)(F)F)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)cc1,C18H11F9N2O3S,CHEMBL3094367,-96.0,,,
1608758,%,Efficacy,,BAO_0000656,Efficacy,1279575,Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis relative to apo-RORc ligand binding domain,B,,CHEMBL3097488,10.1016/j.bmcl.2013.10.054,24239186,CHEMBL3091433,Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc.,PUBLICATION,"The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors.",,Cc1ccc(S(=O)(=O)N(CC(F)(F)F)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)cc1,C18H14F9NO3S,CHEMBL3094368,-100.0,,,
1608759,%,Efficacy,,BAO_0000656,Efficacy,1279575,Inverse agonist activity at N-terminal 6xHis-tagged human RORc ligand binding domain (241 to 486) expressed in bacterial expression system assessed as inhibition of SRC1 co-activator peptide recruitment after 3 hrs by TR-FRET analysis relative to apo-RORc ligand binding domain,B,,CHEMBL3097488,10.1016/j.bmcl.2013.10.054,24239186,CHEMBL3091433,Structure-based design of substituted hexafluoroisopropanol-arylsulfonamides as modulators of RORc.,PUBLICATION,"The structure-activity relationships of T0901317 analogs were explored as RORc inverse agonists using the principles of property- and structure-based drug design. An X-ray co-crystal structure of T0901317 and RORc was obtained and provided molecular insight into why T0901317 functioned as an inverse agonist of RORc; whereas, the same ligand functioned as an agonist of FXR, LXR, and PXR. The structural data was also used to design inhibitors with improved RORc biochemical and cellular activities. The improved inhibitors possessed enhanced selectivity profiles (rationalized using the X-ray crystallographic data) against other nuclear receptors.",,O=S(=O)(c1ccc(F)cc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,C17H11F10NO3S,CHEMBL3094369,-99.0,,,
