comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1
2292638,%,Emax,,BAO_0000656,Emax,1762475,Agonist activity at APC-labeled RORgammat LBD (unknown origin) assessed as co-activator europium-labeled SRC1 peptide recruitment after 1 hr by LANCE-FRET assay relative to control,B,,CHEMBL4197722,10.1016/j.ejmech.2018.02.050,29477887,CHEMBL4196040,Discovery of carbazole carboxamides as novel RORγt inverse agonists.,PUBLICATION,"A novel series of carbazole carboxamides was discovered as potent RORγt inverse agonists using a scaffold hybridization strategy. Structure-activity relationship exploration on the amide linker, carbazole ring and arylsulfone moiety of the hybrid amide 3a led to identification of potent RORγt inverse agonists. Compound 6c was found to have a good RORγt activity with an IC50 of 58.5 nM in FRET assay, and reasonable inhibitory activity in mouse Th17 cell differentiation assay (58.8% inhibition at 0.3 μM). The binding mode of carbazole carboxamides in RORγt ligand binding domain was discussed.",,CCS(=O)(=O)c1ccc(CNC(=O)c2ccc3c(c2)c2ccccc2n3CC2CCCCC2)cc1,C29H32N2O3S,CHEMBL4214487,54.0,
2341753,%,Emax,,"Entry 0: BAO_0000656, Entry 1: BAO_0000656, ",Emax,"Entry 0: 1861979, Entry 1: 1861982, ","Entry 0: Agonist activity at APC-labeled biotinylated RORgammaT LBD (unknown origin) assessed as induction of biotinylated SRC-1 peptide recruitment incubated for 1 hr by dual FRET assay relative to control, Entry 1: Transactivation of human GAL4-fused RORgammaT LBD expressed in human HEK293T cells incubated for 16 to 20 hrs by steady-glo luciferase assay relative to control, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL4362835, Entry 1: CHEMBL4362838, ","Entry 0: 10.1016/j.ejmech.2019.111589, Entry 1: 10.1016/j.ejmech.2019.111589, ","Entry 0: 31425906, Entry 1: 31425906, ","Entry 0: CHEMBL4359888, Entry 1: CHEMBL4359888, ","Entry 0: Discovery of aryl-substituted indole and indoline derivatives as RORγt agonists., Entry 1: Discovery of aryl-substituted indole and indoline derivatives as RORγt agonists., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A series of aryl-substituted indole and indoline derivatives were discovered as novel RORγt agonists by a scaffold-based hybridization of the reported RORγt agonists 1 and 2. SAR studies on the core structures, the RHS hydrophilic side chains and the LHS hydrophobic aryl groups of a hybrid compound 3 led to the identification of potent RORγt agonists with improved drug-like properties. Compound 14 represented a high potency lead with an EC<sub>50</sub> of 20.8 ± 1.5 nM, the (S)-enantiomer (EC<sub>50</sub> = 16.1 ± 4.5 nM) of which was 17 times more potent than the (R) counterpart (EC<sub>50</sub> = 286 ± 30.4 nM) in RORγ dual FRET assay. The cell-based GAL4 reporter gene assay also suggested 14 as the most active compound which exhibited an EC<sub>50</sub> of 247 ± 33.1 nM and a maximum activation percentage of 133%. Moreover, 14 showed high metabolic stability (t<sub>1/2</sub> = 113 min) in mouse liver microsome and had improved aqueous solubility at pH 7.4 compared to the parent compounds. Furthermore, 14 was found to be orally bioavailable and demonstrated excellent in vivo pharmacokinetics in mice. Present studies indicate that 14 deserves further investigation in tumor animal models as a potential candidate of RORγt agonist for cancer immunotherapy., Entry 1: A series of aryl-substituted indole and indoline derivatives were discovered as novel RORγt agonists by a scaffold-based hybridization of the reported RORγt agonists 1 and 2. SAR studies on the core structures, the RHS hydrophilic side chains and the LHS hydrophobic aryl groups of a hybrid compound 3 led to the identification of potent RORγt agonists with improved drug-like properties. Compound 14 represented a high potency lead with an EC<sub>50</sub> of 20.8 ± 1.5 nM, the (S)-enantiomer (EC<sub>50</sub> = 16.1 ± 4.5 nM) of which was 17 times more potent than the (R) counterpart (EC<sub>50</sub> = 286 ± 30.4 nM) in RORγ dual FRET assay. The cell-based GAL4 reporter gene assay also suggested 14 as the most active compound which exhibited an EC<sub>50</sub> of 247 ± 33.1 nM and a maximum activation percentage of 133%. Moreover, 14 showed high metabolic stability (t<sub>1/2</sub> = 113 min) in mouse liver microsome and had improved aqueous solubility at pH 7.4 compared to the parent compounds. Furthermore, 14 was found to be orally bioavailable and demonstrated excellent in vivo pharmacokinetics in mice. Present studies indicate that 14 deserves further investigation in tumor animal models as a potential candidate of RORγt agonist for cancer immunotherapy., ",,O=C(O)CCc1cc2ccc(-c3cc(F)cc(OC(F)F)c3)cc2n1S(=O)(=O)c1cccc(C(F)(F)F)c1,C25H17F6NO5S,CHEMBL4434744,74.0,124.0
2341822,%,Emax,,BAO_0000656,Emax,1861979,Agonist activity at APC-labeled biotinylated RORgammaT LBD (unknown origin) assessed as induction of biotinylated SRC-1 peptide recruitment incubated for 1 hr by dual FRET assay relative to control,B,,CHEMBL4362835,10.1016/j.ejmech.2019.111589,31425906,CHEMBL4359888,Discovery of aryl-substituted indole and indoline derivatives as RORγt agonists.,PUBLICATION,"A series of aryl-substituted indole and indoline derivatives were discovered as novel RORγt agonists by a scaffold-based hybridization of the reported RORγt agonists 1 and 2. SAR studies on the core structures, the RHS hydrophilic side chains and the LHS hydrophobic aryl groups of a hybrid compound 3 led to the identification of potent RORγt agonists with improved drug-like properties. Compound 14 represented a high potency lead with an EC<sub>50</sub> of 20.8 ± 1.5 nM, the (S)-enantiomer (EC<sub>50</sub> = 16.1 ± 4.5 nM) of which was 17 times more potent than the (R) counterpart (EC<sub>50</sub> = 286 ± 30.4 nM) in RORγ dual FRET assay. The cell-based GAL4 reporter gene assay also suggested 14 as the most active compound which exhibited an EC<sub>50</sub> of 247 ± 33.1 nM and a maximum activation percentage of 133%. Moreover, 14 showed high metabolic stability (t<sub>1/2</sub> = 113 min) in mouse liver microsome and had improved aqueous solubility at pH 7.4 compared to the parent compounds. Furthermore, 14 was found to be orally bioavailable and demonstrated excellent in vivo pharmacokinetics in mice. Present studies indicate that 14 deserves further investigation in tumor animal models as a potential candidate of RORγt agonist for cancer immunotherapy.",,O=C(O)CCc1cn(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(-c3cc(F)cc(OC(F)F)c3)ccc12,C25H17F6NO5S,CHEMBL4434813,71.0,
2342115,%,Emax,,BAO_0000656,Emax,1861979,Agonist activity at APC-labeled biotinylated RORgammaT LBD (unknown origin) assessed as induction of biotinylated SRC-1 peptide recruitment incubated for 1 hr by dual FRET assay relative to control,B,,CHEMBL4362835,10.1016/j.ejmech.2019.111589,31425906,CHEMBL4359888,Discovery of aryl-substituted indole and indoline derivatives as RORγt agonists.,PUBLICATION,"A series of aryl-substituted indole and indoline derivatives were discovered as novel RORγt agonists by a scaffold-based hybridization of the reported RORγt agonists 1 and 2. SAR studies on the core structures, the RHS hydrophilic side chains and the LHS hydrophobic aryl groups of a hybrid compound 3 led to the identification of potent RORγt agonists with improved drug-like properties. Compound 14 represented a high potency lead with an EC<sub>50</sub> of 20.8 ± 1.5 nM, the (S)-enantiomer (EC<sub>50</sub> = 16.1 ± 4.5 nM) of which was 17 times more potent than the (R) counterpart (EC<sub>50</sub> = 286 ± 30.4 nM) in RORγ dual FRET assay. The cell-based GAL4 reporter gene assay also suggested 14 as the most active compound which exhibited an EC<sub>50</sub> of 247 ± 33.1 nM and a maximum activation percentage of 133%. Moreover, 14 showed high metabolic stability (t<sub>1/2</sub> = 113 min) in mouse liver microsome and had improved aqueous solubility at pH 7.4 compared to the parent compounds. Furthermore, 14 was found to be orally bioavailable and demonstrated excellent in vivo pharmacokinetics in mice. Present studies indicate that 14 deserves further investigation in tumor animal models as a potential candidate of RORγt agonist for cancer immunotherapy.",,O=C(O)CC1Cc2ccc(-c3cccc(OC(F)(F)F)c3)cc2N1S(=O)(=O)c1cccc(C(F)(F)F)c1,C24H17F6NO5S,CHEMBL4435106,95.0,
2345640,%,Emax,,BAO_0000656,Emax,1861979,Agonist activity at APC-labeled biotinylated RORgammaT LBD (unknown origin) assessed as induction of biotinylated SRC-1 peptide recruitment incubated for 1 hr by dual FRET assay relative to control,B,,CHEMBL4362835,10.1016/j.ejmech.2019.111589,31425906,CHEMBL4359888,Discovery of aryl-substituted indole and indoline derivatives as RORγt agonists.,PUBLICATION,"A series of aryl-substituted indole and indoline derivatives were discovered as novel RORγt agonists by a scaffold-based hybridization of the reported RORγt agonists 1 and 2. SAR studies on the core structures, the RHS hydrophilic side chains and the LHS hydrophobic aryl groups of a hybrid compound 3 led to the identification of potent RORγt agonists with improved drug-like properties. Compound 14 represented a high potency lead with an EC<sub>50</sub> of 20.8 ± 1.5 nM, the (S)-enantiomer (EC<sub>50</sub> = 16.1 ± 4.5 nM) of which was 17 times more potent than the (R) counterpart (EC<sub>50</sub> = 286 ± 30.4 nM) in RORγ dual FRET assay. The cell-based GAL4 reporter gene assay also suggested 14 as the most active compound which exhibited an EC<sub>50</sub> of 247 ± 33.1 nM and a maximum activation percentage of 133%. Moreover, 14 showed high metabolic stability (t<sub>1/2</sub> = 113 min) in mouse liver microsome and had improved aqueous solubility at pH 7.4 compared to the parent compounds. Furthermore, 14 was found to be orally bioavailable and demonstrated excellent in vivo pharmacokinetics in mice. Present studies indicate that 14 deserves further investigation in tumor animal models as a potential candidate of RORγt agonist for cancer immunotherapy.",,O=S(=O)(c1cccc(C(F)(F)F)c1)n1ncc2ccc(-c3cc(F)cc(OC(F)F)c3)cc21,C21H12F6N2O3S,CHEMBL4438631,75.0,
2347050,%,Emax,,BAO_0000656,Emax,1861979,Agonist activity at APC-labeled biotinylated RORgammaT LBD (unknown origin) assessed as induction of biotinylated SRC-1 peptide recruitment incubated for 1 hr by dual FRET assay relative to control,B,,CHEMBL4362835,10.1016/j.ejmech.2019.111589,31425906,CHEMBL4359888,Discovery of aryl-substituted indole and indoline derivatives as RORγt agonists.,PUBLICATION,"A series of aryl-substituted indole and indoline derivatives were discovered as novel RORγt agonists by a scaffold-based hybridization of the reported RORγt agonists 1 and 2. SAR studies on the core structures, the RHS hydrophilic side chains and the LHS hydrophobic aryl groups of a hybrid compound 3 led to the identification of potent RORγt agonists with improved drug-like properties. Compound 14 represented a high potency lead with an EC<sub>50</sub> of 20.8 ± 1.5 nM, the (S)-enantiomer (EC<sub>50</sub> = 16.1 ± 4.5 nM) of which was 17 times more potent than the (R) counterpart (EC<sub>50</sub> = 286 ± 30.4 nM) in RORγ dual FRET assay. The cell-based GAL4 reporter gene assay also suggested 14 as the most active compound which exhibited an EC<sub>50</sub> of 247 ± 33.1 nM and a maximum activation percentage of 133%. Moreover, 14 showed high metabolic stability (t<sub>1/2</sub> = 113 min) in mouse liver microsome and had improved aqueous solubility at pH 7.4 compared to the parent compounds. Furthermore, 14 was found to be orally bioavailable and demonstrated excellent in vivo pharmacokinetics in mice. Present studies indicate that 14 deserves further investigation in tumor animal models as a potential candidate of RORγt agonist for cancer immunotherapy.",,O=C(O)CC1Cc2ccc(-c3ccc4c(c3)OC(F)(F)O4)cc2N1S(=O)(=O)c1cccc(C(F)(F)F)c1,C24H16F5NO6S,CHEMBL4440041,90.0,
2347332,%,Emax,,BAO_0000656,Emax,1861979,Agonist activity at APC-labeled biotinylated RORgammaT LBD (unknown origin) assessed as induction of biotinylated SRC-1 peptide recruitment incubated for 1 hr by dual FRET assay relative to control,B,,CHEMBL4362835,10.1016/j.ejmech.2019.111589,31425906,CHEMBL4359888,Discovery of aryl-substituted indole and indoline derivatives as RORγt agonists.,PUBLICATION,"A series of aryl-substituted indole and indoline derivatives were discovered as novel RORγt agonists by a scaffold-based hybridization of the reported RORγt agonists 1 and 2. SAR studies on the core structures, the RHS hydrophilic side chains and the LHS hydrophobic aryl groups of a hybrid compound 3 led to the identification of potent RORγt agonists with improved drug-like properties. Compound 14 represented a high potency lead with an EC<sub>50</sub> of 20.8 ± 1.5 nM, the (S)-enantiomer (EC<sub>50</sub> = 16.1 ± 4.5 nM) of which was 17 times more potent than the (R) counterpart (EC<sub>50</sub> = 286 ± 30.4 nM) in RORγ dual FRET assay. The cell-based GAL4 reporter gene assay also suggested 14 as the most active compound which exhibited an EC<sub>50</sub> of 247 ± 33.1 nM and a maximum activation percentage of 133%. Moreover, 14 showed high metabolic stability (t<sub>1/2</sub> = 113 min) in mouse liver microsome and had improved aqueous solubility at pH 7.4 compared to the parent compounds. Furthermore, 14 was found to be orally bioavailable and demonstrated excellent in vivo pharmacokinetics in mice. Present studies indicate that 14 deserves further investigation in tumor animal models as a potential candidate of RORγt agonist for cancer immunotherapy.",,O=C(CC1Cc2ccc(-c3cc(F)cc(OC(F)F)c3)cc2N1S(=O)(=O)c1cccc(C(F)(F)F)c1)N1CC(O)C1,C27H22F6N2O5S,CHEMBL4440323,141.0,
2348113,%,Emax,,BAO_0000656,Emax,1861979,Agonist activity at APC-labeled biotinylated RORgammaT LBD (unknown origin) assessed as induction of biotinylated SRC-1 peptide recruitment incubated for 1 hr by dual FRET assay relative to control,B,,CHEMBL4362835,10.1016/j.ejmech.2019.111589,31425906,CHEMBL4359888,Discovery of aryl-substituted indole and indoline derivatives as RORγt agonists.,PUBLICATION,"A series of aryl-substituted indole and indoline derivatives were discovered as novel RORγt agonists by a scaffold-based hybridization of the reported RORγt agonists 1 and 2. SAR studies on the core structures, the RHS hydrophilic side chains and the LHS hydrophobic aryl groups of a hybrid compound 3 led to the identification of potent RORγt agonists with improved drug-like properties. Compound 14 represented a high potency lead with an EC<sub>50</sub> of 20.8 ± 1.5 nM, the (S)-enantiomer (EC<sub>50</sub> = 16.1 ± 4.5 nM) of which was 17 times more potent than the (R) counterpart (EC<sub>50</sub> = 286 ± 30.4 nM) in RORγ dual FRET assay. The cell-based GAL4 reporter gene assay also suggested 14 as the most active compound which exhibited an EC<sub>50</sub> of 247 ± 33.1 nM and a maximum activation percentage of 133%. Moreover, 14 showed high metabolic stability (t<sub>1/2</sub> = 113 min) in mouse liver microsome and had improved aqueous solubility at pH 7.4 compared to the parent compounds. Furthermore, 14 was found to be orally bioavailable and demonstrated excellent in vivo pharmacokinetics in mice. Present studies indicate that 14 deserves further investigation in tumor animal models as a potential candidate of RORγt agonist for cancer immunotherapy.",,O=C(O)CC1Cc2ccc(-c3ccc4c(c3)OCO4)cc2N1S(=O)(=O)c1cccc(C(F)(F)F)c1,C24H18F3NO6S,CHEMBL4441104,77.0,
2348548,%,Emax,,BAO_0000656,Emax,1861979,Agonist activity at APC-labeled biotinylated RORgammaT LBD (unknown origin) assessed as induction of biotinylated SRC-1 peptide recruitment incubated for 1 hr by dual FRET assay relative to control,B,,CHEMBL4362835,10.1016/j.ejmech.2019.111589,31425906,CHEMBL4359888,Discovery of aryl-substituted indole and indoline derivatives as RORγt agonists.,PUBLICATION,"A series of aryl-substituted indole and indoline derivatives were discovered as novel RORγt agonists by a scaffold-based hybridization of the reported RORγt agonists 1 and 2. SAR studies on the core structures, the RHS hydrophilic side chains and the LHS hydrophobic aryl groups of a hybrid compound 3 led to the identification of potent RORγt agonists with improved drug-like properties. Compound 14 represented a high potency lead with an EC<sub>50</sub> of 20.8 ± 1.5 nM, the (S)-enantiomer (EC<sub>50</sub> = 16.1 ± 4.5 nM) of which was 17 times more potent than the (R) counterpart (EC<sub>50</sub> = 286 ± 30.4 nM) in RORγ dual FRET assay. The cell-based GAL4 reporter gene assay also suggested 14 as the most active compound which exhibited an EC<sub>50</sub> of 247 ± 33.1 nM and a maximum activation percentage of 133%. Moreover, 14 showed high metabolic stability (t<sub>1/2</sub> = 113 min) in mouse liver microsome and had improved aqueous solubility at pH 7.4 compared to the parent compounds. Furthermore, 14 was found to be orally bioavailable and demonstrated excellent in vivo pharmacokinetics in mice. Present studies indicate that 14 deserves further investigation in tumor animal models as a potential candidate of RORγt agonist for cancer immunotherapy.",,O=S(=O)(c1cccc(C(F)(F)F)c1)N1CCc2ccc(-c3cc(F)cc(OC(F)F)c3)cc21,C22H15F6NO3S,CHEMBL4441539,159.0,
2357489,%,Emax,,BAO_0000656,Emax,1861979,Agonist activity at APC-labeled biotinylated RORgammaT LBD (unknown origin) assessed as induction of biotinylated SRC-1 peptide recruitment incubated for 1 hr by dual FRET assay relative to control,B,,CHEMBL4362835,10.1016/j.ejmech.2019.111589,31425906,CHEMBL4359888,Discovery of aryl-substituted indole and indoline derivatives as RORγt agonists.,PUBLICATION,"A series of aryl-substituted indole and indoline derivatives were discovered as novel RORγt agonists by a scaffold-based hybridization of the reported RORγt agonists 1 and 2. SAR studies on the core structures, the RHS hydrophilic side chains and the LHS hydrophobic aryl groups of a hybrid compound 3 led to the identification of potent RORγt agonists with improved drug-like properties. Compound 14 represented a high potency lead with an EC<sub>50</sub> of 20.8 ± 1.5 nM, the (S)-enantiomer (EC<sub>50</sub> = 16.1 ± 4.5 nM) of which was 17 times more potent than the (R) counterpart (EC<sub>50</sub> = 286 ± 30.4 nM) in RORγ dual FRET assay. The cell-based GAL4 reporter gene assay also suggested 14 as the most active compound which exhibited an EC<sub>50</sub> of 247 ± 33.1 nM and a maximum activation percentage of 133%. Moreover, 14 showed high metabolic stability (t<sub>1/2</sub> = 113 min) in mouse liver microsome and had improved aqueous solubility at pH 7.4 compared to the parent compounds. Furthermore, 14 was found to be orally bioavailable and demonstrated excellent in vivo pharmacokinetics in mice. Present studies indicate that 14 deserves further investigation in tumor animal models as a potential candidate of RORγt agonist for cancer immunotherapy.",,COc1cc(F)cc(-c2ccc3c(c2)N(S(=O)(=O)c2cccc(C(F)(F)F)c2)C(CC(=O)O)C3)c1,C24H19F4NO5S,CHEMBL4450480,88.0,
