comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2,act_3,act_4
16741,%,Inhibition,,"Entry 0: BAO_0000201, Entry 1: BAO_0000201, ",INH,"Entry 0: 1292856, Entry 1: 1292857, ","Entry 0: Inverse agonist activity at human RORgamma expressed in HEK293 cells at 10 uM after 18 hrs by luciferase reporter gene assay, Entry 1: Inverse agonist activity at human RORgamma expressed in HEK293 cells at 1 uM after 18 hrs by luciferase reporter gene assay, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL3122595, Entry 1: CHEMBL3122596, ","Entry 0: 10.1016/j.bmc.2014.01.023, Entry 1: 10.1016/j.bmc.2014.01.023, ","Entry 0: 24559867, Entry 1: 24559867, ","Entry 0: CHEMBL3120095, Entry 1: CHEMBL3120095, ","Entry 0: Development of novel silicon-containing inverse agonists of retinoic acid receptor-related orphan receptors., Entry 1: Development of novel silicon-containing inverse agonists of retinoic acid receptor-related orphan receptors., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: Retinoic acid receptor (RAR)-related orphan receptors (RORs) regulate a variety of physiological processes, including hepatic gluconeogenesis, lipid metabolism, circadian rhythm and immune function. The RAR agonist: all-trans retinoic acid was reported to be an RORβ inverse agonist, but no information is available regarding ROR activity of its synthetic analogue Am580. Therefore, we screened Am580 and some related tetramethyltetrahydronaphthalene derivatives and carried out structural development studies, including substitution of carbon atoms with silicon, with the aim of creating a potent ROR transcriptional inhibitor. The phenyl amide disila compound 22 showed the most potent ROR-inhibitory activity among the compounds examined. Its activity towards RORα, RORβ and RORγ was increased compared to that of Am580. The IC₅₀ values for RORα, RORβ and RORγ are 1.3, >10 and 4.5 μM, respectively., Entry 1: Retinoic acid receptor (RAR)-related orphan receptors (RORs) regulate a variety of physiological processes, including hepatic gluconeogenesis, lipid metabolism, circadian rhythm and immune function. The RAR agonist: all-trans retinoic acid was reported to be an RORβ inverse agonist, but no information is available regarding ROR activity of its synthetic analogue Am580. Therefore, we screened Am580 and some related tetramethyltetrahydronaphthalene derivatives and carried out structural development studies, including substitution of carbon atoms with silicon, with the aim of creating a potent ROR transcriptional inhibitor. The phenyl amide disila compound 22 showed the most potent ROR-inhibitory activity among the compounds examined. Its activity towards RORα, RORβ and RORγ was increased compared to that of Am580. The IC₅₀ values for RORα, RORβ and RORγ are 1.3, >10 and 4.5 μM, respectively., ",,CC(=O)c1ccccc1,C8H8O,CHEMBL274467,5.0,5.1,,,
109312,%,Inhibition,,"Entry 0: BAO_0000201, Entry 1: BAO_0000201, ",INH,"Entry 0: 1292856, Entry 1: 1292857, ","Entry 0: Inverse agonist activity at human RORgamma expressed in HEK293 cells at 10 uM after 18 hrs by luciferase reporter gene assay, Entry 1: Inverse agonist activity at human RORgamma expressed in HEK293 cells at 1 uM after 18 hrs by luciferase reporter gene assay, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL3122595, Entry 1: CHEMBL3122596, ","Entry 0: 10.1016/j.bmc.2014.01.023, Entry 1: 10.1016/j.bmc.2014.01.023, ","Entry 0: 24559867, Entry 1: 24559867, ","Entry 0: CHEMBL3120095, Entry 1: CHEMBL3120095, ","Entry 0: Development of novel silicon-containing inverse agonists of retinoic acid receptor-related orphan receptors., Entry 1: Development of novel silicon-containing inverse agonists of retinoic acid receptor-related orphan receptors., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: Retinoic acid receptor (RAR)-related orphan receptors (RORs) regulate a variety of physiological processes, including hepatic gluconeogenesis, lipid metabolism, circadian rhythm and immune function. The RAR agonist: all-trans retinoic acid was reported to be an RORβ inverse agonist, but no information is available regarding ROR activity of its synthetic analogue Am580. Therefore, we screened Am580 and some related tetramethyltetrahydronaphthalene derivatives and carried out structural development studies, including substitution of carbon atoms with silicon, with the aim of creating a potent ROR transcriptional inhibitor. The phenyl amide disila compound 22 showed the most potent ROR-inhibitory activity among the compounds examined. Its activity towards RORα, RORβ and RORγ was increased compared to that of Am580. The IC₅₀ values for RORα, RORβ and RORγ are 1.3, >10 and 4.5 μM, respectively., Entry 1: Retinoic acid receptor (RAR)-related orphan receptors (RORs) regulate a variety of physiological processes, including hepatic gluconeogenesis, lipid metabolism, circadian rhythm and immune function. The RAR agonist: all-trans retinoic acid was reported to be an RORβ inverse agonist, but no information is available regarding ROR activity of its synthetic analogue Am580. Therefore, we screened Am580 and some related tetramethyltetrahydronaphthalene derivatives and carried out structural development studies, including substitution of carbon atoms with silicon, with the aim of creating a potent ROR transcriptional inhibitor. The phenyl amide disila compound 22 showed the most potent ROR-inhibitory activity among the compounds examined. Its activity towards RORα, RORβ and RORγ was increased compared to that of Am580. The IC₅₀ values for RORα, RORβ and RORγ are 1.3, >10 and 4.5 μM, respectively., ",,CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21,C22H25NO3,CHEMBL69367,5.8,9.1,,,
558616,%,Inhibition,,"Entry 0: BAO_0000201, Entry 1: BAO_0000201, ",INH,"Entry 0: 1292856, Entry 1: 1292857, ","Entry 0: Inverse agonist activity at human RORgamma expressed in HEK293 cells at 10 uM after 18 hrs by luciferase reporter gene assay, Entry 1: Inverse agonist activity at human RORgamma expressed in HEK293 cells at 1 uM after 18 hrs by luciferase reporter gene assay, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL3122595, Entry 1: CHEMBL3122596, ","Entry 0: 10.1016/j.bmc.2014.01.023, Entry 1: 10.1016/j.bmc.2014.01.023, ","Entry 0: 24559867, Entry 1: 24559867, ","Entry 0: CHEMBL3120095, Entry 1: CHEMBL3120095, ","Entry 0: Development of novel silicon-containing inverse agonists of retinoic acid receptor-related orphan receptors., Entry 1: Development of novel silicon-containing inverse agonists of retinoic acid receptor-related orphan receptors., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: Retinoic acid receptor (RAR)-related orphan receptors (RORs) regulate a variety of physiological processes, including hepatic gluconeogenesis, lipid metabolism, circadian rhythm and immune function. The RAR agonist: all-trans retinoic acid was reported to be an RORβ inverse agonist, but no information is available regarding ROR activity of its synthetic analogue Am580. Therefore, we screened Am580 and some related tetramethyltetrahydronaphthalene derivatives and carried out structural development studies, including substitution of carbon atoms with silicon, with the aim of creating a potent ROR transcriptional inhibitor. The phenyl amide disila compound 22 showed the most potent ROR-inhibitory activity among the compounds examined. Its activity towards RORα, RORβ and RORγ was increased compared to that of Am580. The IC₅₀ values for RORα, RORβ and RORγ are 1.3, >10 and 4.5 μM, respectively., Entry 1: Retinoic acid receptor (RAR)-related orphan receptors (RORs) regulate a variety of physiological processes, including hepatic gluconeogenesis, lipid metabolism, circadian rhythm and immune function. The RAR agonist: all-trans retinoic acid was reported to be an RORβ inverse agonist, but no information is available regarding ROR activity of its synthetic analogue Am580. Therefore, we screened Am580 and some related tetramethyltetrahydronaphthalene derivatives and carried out structural development studies, including substitution of carbon atoms with silicon, with the aim of creating a potent ROR transcriptional inhibitor. The phenyl amide disila compound 22 showed the most potent ROR-inhibitory activity among the compounds examined. Its activity towards RORα, RORβ and RORγ was increased compared to that of Am580. The IC₅₀ values for RORα, RORβ and RORγ are 1.3, >10 and 4.5 μM, respectively., ",,CC1(C)CCC(C)(C)c2cc(C(=O)c3ccccc3)ccc21,C21H24O,CHEMBL562183,5.0,18.4,,,
567536,%,Inhibition,,"Entry 0: BAO_0000201, Entry 1: BAO_0000201, ",INH,"Entry 0: 1292856, Entry 1: 1292857, ","Entry 0: Inverse agonist activity at human RORgamma expressed in HEK293 cells at 10 uM after 18 hrs by luciferase reporter gene assay, Entry 1: Inverse agonist activity at human RORgamma expressed in HEK293 cells at 1 uM after 18 hrs by luciferase reporter gene assay, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL3122595, Entry 1: CHEMBL3122596, ","Entry 0: 10.1016/j.bmc.2014.01.023, Entry 1: 10.1016/j.bmc.2014.01.023, ","Entry 0: 24559867, Entry 1: 24559867, ","Entry 0: CHEMBL3120095, Entry 1: CHEMBL3120095, ","Entry 0: Development of novel silicon-containing inverse agonists of retinoic acid receptor-related orphan receptors., Entry 1: Development of novel silicon-containing inverse agonists of retinoic acid receptor-related orphan receptors., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: Retinoic acid receptor (RAR)-related orphan receptors (RORs) regulate a variety of physiological processes, including hepatic gluconeogenesis, lipid metabolism, circadian rhythm and immune function. The RAR agonist: all-trans retinoic acid was reported to be an RORβ inverse agonist, but no information is available regarding ROR activity of its synthetic analogue Am580. Therefore, we screened Am580 and some related tetramethyltetrahydronaphthalene derivatives and carried out structural development studies, including substitution of carbon atoms with silicon, with the aim of creating a potent ROR transcriptional inhibitor. The phenyl amide disila compound 22 showed the most potent ROR-inhibitory activity among the compounds examined. Its activity towards RORα, RORβ and RORγ was increased compared to that of Am580. The IC₅₀ values for RORα, RORβ and RORγ are 1.3, >10 and 4.5 μM, respectively., Entry 1: Retinoic acid receptor (RAR)-related orphan receptors (RORs) regulate a variety of physiological processes, including hepatic gluconeogenesis, lipid metabolism, circadian rhythm and immune function. The RAR agonist: all-trans retinoic acid was reported to be an RORβ inverse agonist, but no information is available regarding ROR activity of its synthetic analogue Am580. Therefore, we screened Am580 and some related tetramethyltetrahydronaphthalene derivatives and carried out structural development studies, including substitution of carbon atoms with silicon, with the aim of creating a potent ROR transcriptional inhibitor. The phenyl amide disila compound 22 showed the most potent ROR-inhibitory activity among the compounds examined. Its activity towards RORα, RORβ and RORγ was increased compared to that of Am580. The IC₅₀ values for RORα, RORβ and RORγ are 1.3, >10 and 4.5 μM, respectively., ",,CC1(C)CCC(C)(C)c2ccccc21,C14H20,CHEMBL540753,5.0,5.0,,,
567537,%,Inhibition,,"Entry 0: BAO_0000201, Entry 1: BAO_0000201, ",INH,"Entry 0: 1292856, Entry 1: 1292857, ","Entry 0: Inverse agonist activity at human RORgamma expressed in HEK293 cells at 10 uM after 18 hrs by luciferase reporter gene assay, Entry 1: Inverse agonist activity at human RORgamma expressed in HEK293 cells at 1 uM after 18 hrs by luciferase reporter gene assay, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL3122595, Entry 1: CHEMBL3122596, ","Entry 0: 10.1016/j.bmc.2014.01.023, Entry 1: 10.1016/j.bmc.2014.01.023, ","Entry 0: 24559867, Entry 1: 24559867, ","Entry 0: CHEMBL3120095, Entry 1: CHEMBL3120095, ","Entry 0: Development of novel silicon-containing inverse agonists of retinoic acid receptor-related orphan receptors., Entry 1: Development of novel silicon-containing inverse agonists of retinoic acid receptor-related orphan receptors., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: Retinoic acid receptor (RAR)-related orphan receptors (RORs) regulate a variety of physiological processes, including hepatic gluconeogenesis, lipid metabolism, circadian rhythm and immune function. The RAR agonist: all-trans retinoic acid was reported to be an RORβ inverse agonist, but no information is available regarding ROR activity of its synthetic analogue Am580. Therefore, we screened Am580 and some related tetramethyltetrahydronaphthalene derivatives and carried out structural development studies, including substitution of carbon atoms with silicon, with the aim of creating a potent ROR transcriptional inhibitor. The phenyl amide disila compound 22 showed the most potent ROR-inhibitory activity among the compounds examined. Its activity towards RORα, RORβ and RORγ was increased compared to that of Am580. The IC₅₀ values for RORα, RORβ and RORγ are 1.3, >10 and 4.5 μM, respectively., Entry 1: Retinoic acid receptor (RAR)-related orphan receptors (RORs) regulate a variety of physiological processes, including hepatic gluconeogenesis, lipid metabolism, circadian rhythm and immune function. The RAR agonist: all-trans retinoic acid was reported to be an RORβ inverse agonist, but no information is available regarding ROR activity of its synthetic analogue Am580. Therefore, we screened Am580 and some related tetramethyltetrahydronaphthalene derivatives and carried out structural development studies, including substitution of carbon atoms with silicon, with the aim of creating a potent ROR transcriptional inhibitor. The phenyl amide disila compound 22 showed the most potent ROR-inhibitory activity among the compounds examined. Its activity towards RORα, RORβ and RORγ was increased compared to that of Am580. The IC₅₀ values for RORα, RORβ and RORγ are 1.3, >10 and 4.5 μM, respectively., ",,CC(=O)c1ccc2c(c1)C(C)(C)CCC2(C)C,C16H22O,CHEMBL556486,7.0,24.4,,,
622247,%,Inhibition,,BAO_0000201,INH,1500937,Inverse agonist activity at human ROR-gamma1 transfected in HEK293 cells at 10 uM after 16 hrs by luciferase reporter gene assay relative to control,B,,CHEMBL3586833,10.1016/j.bmc.2015.05.004,26014484,CHEMBL3585299,Design and synthesis of novel ROR inverse agonists with a dibenzosilole scaffold as a hydrophobic core structure.,PUBLICATION,"Molecular structure calculations indicated that the dibenzosilole skeleton could be well superposed on phenanthridinone, which is a structural component of ligands of retinoic acid receptor-related orphan receptors (RORs). Therefore, we designed, synthesized and biologically evaluated a series of novel ROR ligands based on the dibenzosilole scaffold as a hydrophobic core structure. Dibenzosilole derivatives bearing a hexafluoro-2-hydroxypropyl group on the benzene ring exhibited significant ROR-inhibitory activity, comparable to that of the lead phenanthridinone derivative 5. Our results indicate that the dibenzosilole skeleton would be a useful scaffold for developing novel biologically active compounds, and that cis-amide structure can be replaced by an alkylsilyl functionality.",,CCCCn1c(=O)c2ccccc2c2cc(CC)ccc21,C19H21NO,CHEMBL1092222,37.0,,,,
812895,%,Inhibition,,BAO_0000201,INH,1752138,Displacement of 25-[3H2]hydroxycholesterol from GST-tagged RORgammat (unknown origin) at 10 uM,B,,CHEMBL4186898,10.1016/j.bmc.2017.12.006,29262987,CHEMBL4184189,"Discovery of orally efficacious RORγt inverse agonists, part 1: Identification of novel phenylglycinamides as lead scaffolds.",PUBLICATION,"A series of novel phenylglycinamides as retinoic acid receptor-related orphan receptor-gamma t (RORγt) inverse agonists were discovered through optimization of a high-throughput screen hit 1. (R)-N-(2-((3,5-Difluoro-4-(trimethylsilyl)phenyl) amino)-1-(4-methoxyphenyl)-2-oxoethyl)-3-hydroxy-N-methylisoxazole-5-carboxamide (22) was identified as one of the best of these compounds. It displayed higher subtype selectivity and specificity over other nuclear receptors and demonstrated in vivo potency to suppress the transcriptional activity of RORγt in a mouse PD (pharmacodynamic) model upon oral administration.",,COc1ccc(C(C(=O)Nc2ccc(C(C)C)cc2)N(C)C(=O)c2ccc(O)nc2)cc1,C25H27N3O4,CHEMBL1389011,93.0,,,,
900639,%,Inhibition,,BAO_0000201,INH,937726,Modulation of ROR-gamma Gal4-DBD-NR-LBD (unknown origin) expressed in HEK293T cells assessed as repression of transcriptional activity at 10 uM after 20 hrs by luciferase assay relative to control,B,,CHEMBL2317476,10.1016/j.bmcl.2012.11.025,23232056,CHEMBL2311492,Small molecule amides as potent ROR-γ selective modulators.,PUBLICATION,The structure-activity relationship study of a diphenylpropanamide series of ROR-γ selective modulators is reported. Compounds were screened using chimeric receptor Gal4 DNA-binding domain (DBD)-NR ligand binding domain cotransfection assay in a two-step format. Three different regions of the scaffold were modified to assess the effects on repression of ROR-γ transcriptional activity and potency. The lead compound 1 exhibits modest mouse pharmacokinetics and an acceptable in vitro profile which makes it a suitable in vivo probe to interrogate the functions of ROR-γ in animal models of disease.,,COc1cc(O)c(C(CC(=O)N2CCOCC2)c2ccc3c(c2)OCO3)c(OC)c1,C22H25NO7,CHEMBL1476755,17.0,,,,
1409150,%,Inhibition,,"Entry 0: BAO_0000201, Entry 1: BAO_0000201, ",INH,"Entry 0: 1331812, Entry 1: 1331814, ","Entry 0: Inhibition of full length ROR gamma (unknown origin) expressed in HEK293T cells cotransfected with 5X-RORE-luc assessed as suppression of Il17 promoter transcriptional activity after 20 hrs by luciferase reporter gene assay, Entry 1: Inhibition of GAL4-fused ROR gamma (unknown origin) expressed in HEK293T cells assessed as suppression of transcriptional activity at 10 uM after 20 hrs, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL3227568, Entry 1: CHEMBL3227570, ","Entry 0: 10.1039/C3MD00005B, Entry 1: 10.1039/C3MD00005B, ",,"Entry 0: CHEMBL3217638, Entry 1: CHEMBL3217638, ","Entry 0: Synthetic modulators of the retinoic acid receptor-related orphan receptors, Entry 1: Synthetic modulators of the retinoic acid receptor-related orphan receptors, ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ",,,OC(c1ccc(-c2ccc(CN3CCN(Cc4ccncc4)CC3)cc2)c(F)c1)(C(F)(F)F)C(F)(F)F,C26H24F7N3O,CHEMBL2137199,50.0,95.0,,,
1511156,%,Inhibition,,BAO_0000201,INH,937726,Modulation of ROR-gamma Gal4-DBD-NR-LBD (unknown origin) expressed in HEK293T cells assessed as repression of transcriptional activity at 10 uM after 20 hrs by luciferase assay relative to control,B,,CHEMBL2317476,10.1016/j.bmcl.2012.11.025,23232056,CHEMBL2311492,Small molecule amides as potent ROR-γ selective modulators.,PUBLICATION,The structure-activity relationship study of a diphenylpropanamide series of ROR-γ selective modulators is reported. Compounds were screened using chimeric receptor Gal4 DNA-binding domain (DBD)-NR ligand binding domain cotransfection assay in a two-step format. Three different regions of the scaffold were modified to assess the effects on repression of ROR-γ transcriptional activity and potency. The lead compound 1 exhibits modest mouse pharmacokinetics and an acceptable in vitro profile which makes it a suitable in vivo probe to interrogate the functions of ROR-γ in animal models of disease.,,COc1cc(O)c(C(CC(=O)N2CC(C)CC(C)C2)c2ccc3c(c2)OCO3)c(OC)c1,C25H31NO6,CHEMBL2312113,22.0,,,,
