comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2,act_3,act_4,act_5
581814,nM,Kd,,BAO_0000034,Kd,1442780,Displacement of [3H]25-hydroxycholesterol from human RORc-LBD expressed in bacterial expression system after 3 hrs by scintillation counting analysis,B,,CHEMBL3375302,10.1016/j.bmcl.2014.10.037,25453817,CHEMBL3352095,A reversed sulfonamide series of selective RORc inverse agonists.,PUBLICATION,The identification of a new series of RORc inverse agonists is described. Comprehensive structure-activity relationship studies of this reversed sulfonamide series identified potent RORc inverse agonists in biochemical and cellular assays which were also selective against a panel of nuclear receptors. Our work has contributed a compound that may serve as a useful in vitro tool to delineate the complex biological pathways involved in signalling through RORc. An X-ray co-crystal structure of an analogue with RORc has also provided useful insights into the binding interactions of the new series.,,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,C41H64O14,CHEMBL1751,109.0,,,,,
1780717,nM,Kd,,BAO_0000034,Kd,1711298,"Binding affinity to recombinant human RORgamma LBD (237 to 497 residues) expressed in Escherichia coli BL21 (DE3) GOLD by 1,8-ANS dye-based thermofluor assay",B,,CHEMBL4121347,10.1016/j.bmcl.2018.03.093,29631962,CHEMBL4118122,Identification and biological evaluation of thiazole-based inverse agonists of RORγt.,PUBLICATION,"The nuclear receptor retinoic acid receptor-related orphan receptor gamma t (RORγt) is a transcription factor that drives Th17 cell differentiation and IL-17 production in both innate and adaptive immune cells. The IL-23/IL-17 pathway is implicated in major autoimmune and inflammatory diseases. RORγt lies at the core of this pathway and represents an attractive opportunity for intervention with a small molecule. Despite diverse chemical series having been reported, combining high potency and nuclear receptor selectivity with good physicochemical properties remains a challenging endeavor in the field of RORγt drug discovery. We describe the discovery and evaluation of a new class of potent and selective RORγt inverse agonists based on a thiazole core. Acid analog 1j demonstrated oral bioavailability in rats and was potent in a human whole blood assay, suggesting potential utility in treating autoimmune and inflammatory diseases such as psoriasis. X-ray crystallographic data helped to elucidate the molecular mechanism for RORγt inhibition with this series.",,CC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N3CC4(CCS(=O)(=O)CC4)C3)nc2CC2CCCCC2)c2ccccc12,C32H41N3O5S3,CHEMBL3314001,4.2,,,,,
1780718,nM,Kd,,BAO_0000034,Kd,1711298,"Binding affinity to recombinant human RORgamma LBD (237 to 497 residues) expressed in Escherichia coli BL21 (DE3) GOLD by 1,8-ANS dye-based thermofluor assay",B,,CHEMBL4121347,10.1016/j.bmcl.2018.03.093,29631962,CHEMBL4118122,Identification and biological evaluation of thiazole-based inverse agonists of RORγt.,PUBLICATION,"The nuclear receptor retinoic acid receptor-related orphan receptor gamma t (RORγt) is a transcription factor that drives Th17 cell differentiation and IL-17 production in both innate and adaptive immune cells. The IL-23/IL-17 pathway is implicated in major autoimmune and inflammatory diseases. RORγt lies at the core of this pathway and represents an attractive opportunity for intervention with a small molecule. Despite diverse chemical series having been reported, combining high potency and nuclear receptor selectivity with good physicochemical properties remains a challenging endeavor in the field of RORγt drug discovery. We describe the discovery and evaluation of a new class of potent and selective RORγt inverse agonists based on a thiazole core. Acid analog 1j demonstrated oral bioavailability in rats and was potent in a human whole blood assay, suggesting potential utility in treating autoimmune and inflammatory diseases such as psoriasis. X-ray crystallographic data helped to elucidate the molecular mechanism for RORγt inhibition with this series.",,CCC(C)(C)NS(=O)(=O)c1ccc(-c2sc(C(=O)N[C@H]3C[C@H](C(=O)O)C3)nc2CC2CCCCC2)c(Cl)c1C,C28H38ClN3O5S2,CHEMBL3314002,0.05,,,,,
1786551,nM,Kd,385318,"Entry 0: BAO_0000034, Entry 1: BAO_0000034, ",Kd,"Entry 0: 1452425, Entry 1: 1641535, ","Entry 0: Binding affinity to human wild type RORgammat ligand binding domain expressed in Escherichia coli by thermofluor assay, Entry 1: ThermoFluor® Assay: Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1×=46 nL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil., ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL3362087, Entry 1: CHEMBL3888258, ",10.1021/ml500219t,25147600,"Entry 0: CHEMBL3351462, Entry 1: CHEMBL3886629, ","Entry 0: RORγt Modulators Are Potentially Useful for the Treatment of the Immune-Mediated Inflammatory Diseases., Entry 1: Methylene linked quinolinyl modulators of RORγt, ","Entry 0: PUBLICATION, Entry 1: PATENT, ",,US-9290476-B2,Cn1cncc1C(O)(c1ccc(Cl)cc1)c1ccc2nc(Cl)c(Cc3ccccc3)c(Cl)c2c1,C27H20Cl3N3O,CHEMBL3325741,18.0,18.0,,,,
1786552,nM,Kd,,BAO_0000034,Kd,1452425,Binding affinity to human wild type RORgammat ligand binding domain expressed in Escherichia coli by thermofluor assay,B,,CHEMBL3362087,10.1021/ml500219t,25147600,CHEMBL3351462,RORγt Modulators Are Potentially Useful for the Treatment of the Immune-Mediated Inflammatory Diseases.,PUBLICATION,,,OC(c1ccncc1)(c1ccc2nc(Cl)c(Cc3ccc(Cl)cc3)c(Cl)c2c1)c1cncs1,C25H16Cl3N3OS,CHEMBL3325742,0.83,,,,,
1786553,nM,Kd,mix,"Entry 0: BAO_0000034, Entry 1: BAO_0000034, Entry 2: BAO_0000034, ",Kd,"Entry 0: 1452425, Entry 1: 1641535, Entry 2: 1641535, ","Entry 0: Binding affinity to human wild type RORgammat ligand binding domain expressed in Escherichia coli by thermofluor assay, Entry 1: ThermoFluor® Assay: Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1×=46 nL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil., Entry 2: ThermoFluor® Assay: Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1×=46 nL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil., ","Entry 0: B, Entry 1: B, Entry 2: B, ",,"Entry 0: CHEMBL3362087, Entry 1: CHEMBL3888258, Entry 2: CHEMBL3888258, ",10.1021/ml500219t,25147600,"Entry 0: CHEMBL3351462, Entry 1: CHEMBL3886629, Entry 2: CHEMBL3886629, ","Entry 0: RORγt Modulators Are Potentially Useful for the Treatment of the Immune-Mediated Inflammatory Diseases., Entry 1: Methylene linked quinolinyl modulators of RORγt, Entry 2: Methylene linked quinolinyl modulators of RORγt, ","Entry 0: PUBLICATION, Entry 1: PATENT, Entry 2: PATENT, ",,"Entry 0: US-9290476-B2, Entry 1: US-9290476-B2, ",Cn1cncc1C(O)(c1ccc(C(F)(F)F)nc1)c1ccc2nc(C#N)c(Cc3ccc(-n4cccn4)cc3)c(C#N)c2c1,C32H21F3N8O,CHEMBL3325743,0.71,0.71,7.1,,,
1822614,nM,Kd,mix,"Entry 0: BAO_0000034, Entry 1: BAO_0000034, Entry 2: BAO_0000034, ",Kd,"Entry 0: 1452425, Entry 1: 1641535, Entry 2: 1641535, ","Entry 0: Binding affinity to human wild type RORgammat ligand binding domain expressed in Escherichia coli by thermofluor assay, Entry 1: ThermoFluor® Assay: Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1×=46 nL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil., Entry 2: ThermoFluor® Assay: Bar-coded assay plates are robotically loaded onto a thermostatically controlled PCR-type thermal block and then heated at a typical ramp-rate of 1 °C./min for all experiments. Fluorescence was measured by continuous illumination with UV light (Hamamatsu LC6) supplied via fiber optic and filtered through a band-pass filter (380-400 nm; >6 OD cutoff). Fluorescence emission of the entire 384-well plate was detected by measuring light intensity using a CCD camera (Sensys, Roper Scientific) filtered to detect 500±25 nm, resulting in simultaneous and independent readings of all 384 wells. Images were collected at each temperature, and the sum of the pixel intensity in a given area of the assay plate was recorded versus temperature. Reference wells contained RORγt without compounds, and the assay conditions were as follows: 0.065 mg/mL RORγt, 60 μM 1,8-ANS, 100 mM Hepes, pH 7.0, 10 mM NaCl, 2.5 mM GSH, 0.002% Tween-20. Project compounds were arranged in a pre-dosed mother plate (Greiner Bio-one) wherein compounds are serially diluted in 100% DMSO by 1:2 from a high concentration of 10 mM over 12 columns within a series (column 12 is a reference well containing DMSO, no compound). The compounds were robotically dispensed directly into assay plates (1×=46 nL) using a Hummingbird capillary liquid handling instrument (Digilab). Following compound dispense, protein and dye in buffer was added to achieve the final assay volume of 3 μL, followed by 1 μL of silicone oil., ","Entry 0: B, Entry 1: B, Entry 2: B, ",,"Entry 0: CHEMBL3362087, Entry 1: CHEMBL3888258, Entry 2: CHEMBL3888258, ",10.1021/ml500219t,25147600,"Entry 0: CHEMBL3351462, Entry 1: CHEMBL3886629, Entry 2: CHEMBL3886629, ","Entry 0: RORγt Modulators Are Potentially Useful for the Treatment of the Immune-Mediated Inflammatory Diseases., Entry 1: Methylene linked quinolinyl modulators of RORγt, Entry 2: Methylene linked quinolinyl modulators of RORγt, ","Entry 0: PUBLICATION, Entry 1: PATENT, Entry 2: PATENT, ",,"Entry 0: US-9290476-B2, Entry 1: US-9290476-B2, ",COc1nc2ccc(C(O)(c3sc(C)nc3C)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,C27H23ClF3N5O2S,CHEMBL3358455,0.024,0.024,57.0,,,
1832341,nM,Kd,,BAO_0000034,Kd,1466222,Binding affinity to RORC-SRC2 fusion construct (unknown origin) by TAMRA-labeled active site probe based fluorescence polarization competition binding assay,B,,CHEMBL3405280,10.1016/j.bmcl.2015.03.042,25840886,CHEMBL3400123,"Discovery of 1,3-dihydro-2,1,3-benzothiadiazole 2,2-dioxide analogs as new RORC modulators.",PUBLICATION,Structure-based and pharmacophore-based virtual screening in combination with combinatorial chemistry and X-ray crystallography led to the discovery of a new class of benzothiadiazole dioxide analogs with functional activity as RORC inverse agonists. The early RORC SAR compound 14 exhibited RORC inhibition in a cell based reporter gene assay of 5.7 μM and bound to RORC with an affinity of 1.6 μM in a fluorescence polarization assay displacing a ligand binding site probe. Crystallography confirmed the binding mode of the compound in the ligand binding domain displaying the engagement of a novel sub pocket close to Ser404. Subsequent optimization yielded compounds with enhanced RORC inverse agonist activity. The most active compound 19 showed an IC50 of 440 nM in a human PBMC assay.,,CC(CCO)N(C)C(=O)CCCN1c2ccccc2N(Cc2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)S1(=O)=O,C25H29F6N3O5S,CHEMBL3402133,1600.0,,,,,
1832342,nM,Kd,,BAO_0000034,Kd,1466222,Binding affinity to RORC-SRC2 fusion construct (unknown origin) by TAMRA-labeled active site probe based fluorescence polarization competition binding assay,B,,CHEMBL3405280,10.1016/j.bmcl.2015.03.042,25840886,CHEMBL3400123,"Discovery of 1,3-dihydro-2,1,3-benzothiadiazole 2,2-dioxide analogs as new RORC modulators.",PUBLICATION,Structure-based and pharmacophore-based virtual screening in combination with combinatorial chemistry and X-ray crystallography led to the discovery of a new class of benzothiadiazole dioxide analogs with functional activity as RORC inverse agonists. The early RORC SAR compound 14 exhibited RORC inhibition in a cell based reporter gene assay of 5.7 μM and bound to RORC with an affinity of 1.6 μM in a fluorescence polarization assay displacing a ligand binding site probe. Crystallography confirmed the binding mode of the compound in the ligand binding domain displaying the engagement of a novel sub pocket close to Ser404. Subsequent optimization yielded compounds with enhanced RORC inverse agonist activity. The most active compound 19 showed an IC50 of 440 nM in a human PBMC assay.,,COc1cccc(CN(C)C(=O)CCCN2c3ccccc3N(Cc3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)S2(=O)=O)c1,C29H29F6N3O5S,CHEMBL3402134,480.0,,,,,
1832343,nM,Kd,,BAO_0000034,Kd,1466222,Binding affinity to RORC-SRC2 fusion construct (unknown origin) by TAMRA-labeled active site probe based fluorescence polarization competition binding assay,B,,CHEMBL3405280,10.1016/j.bmcl.2015.03.042,25840886,CHEMBL3400123,"Discovery of 1,3-dihydro-2,1,3-benzothiadiazole 2,2-dioxide analogs as new RORC modulators.",PUBLICATION,Structure-based and pharmacophore-based virtual screening in combination with combinatorial chemistry and X-ray crystallography led to the discovery of a new class of benzothiadiazole dioxide analogs with functional activity as RORC inverse agonists. The early RORC SAR compound 14 exhibited RORC inhibition in a cell based reporter gene assay of 5.7 μM and bound to RORC with an affinity of 1.6 μM in a fluorescence polarization assay displacing a ligand binding site probe. Crystallography confirmed the binding mode of the compound in the ligand binding domain displaying the engagement of a novel sub pocket close to Ser404. Subsequent optimization yielded compounds with enhanced RORC inverse agonist activity. The most active compound 19 showed an IC50 of 440 nM in a human PBMC assay.,,Cc1ccccc1CN(C)C(=O)CCCN1c2ccccc2N(Cc2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)S1(=O)=O,C29H29F6N3O4S,CHEMBL3402135,2400.0,,,,,
