comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1
92776,nM,Ki,,"Entry 0: BAO_0000192, Entry 1: BAO_0000192, ",Ki,"Entry 0: 1331824, Entry 1: 1457048, ","Entry 0: Displacement of 25-[3H]hydroxycholesterol from GST-tagged ROR gamma (unknown origin) by radioligand competition assay, Entry 1: Binding affinity to RORc (unknown origin) by radioligand binding assay, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL3227580, Entry 1: CHEMBL3368933, ","Entry 0: 10.1039/C3MD00005B, Entry 1: 10.1021/jm401901d, ",24502334,"Entry 0: CHEMBL3217638, Entry 1: CHEMBL3351629, ","Entry 0: Synthetic modulators of the retinoic acid receptor-related orphan receptors, Entry 1: Modulators of the nuclear receptor retinoic acid receptor-related orphan receptor-γ (RORγ or RORc)., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","As the biology surrounding the nuclear receptor retinoic acid receptor-related orphan receptor-gamma (RORγ or RORc) continues to evolve, significant effort has been invested in discovering modulators of this potentially important target for the treatment of metabolic and immunological diseases. Several major pharmaceutical and biotechnology companies have disclosed RORc inhibitors or partnered with other players in the field. In this perspective, we discuss both the biology and the underlying structural biology of RORc, and summarize the RORc modulators disclosed in the scientific and patent literature.",,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,C17H12F9NO3S,CHEMBL62136,51.0,51.0
285127,nM,Ki,,BAO_0000192,Ki,1331799,Displacement of 25-[3H]hydroxycholesterol from GST-tagged ROR gamma ligand binding domain (unknown origin) expressed in Escherichia coli BL21 gold (DE3) cells by radioligand competition assay,B,,CHEMBL3227242,10.1039/C3MD00005B,,CHEMBL3217638,Synthetic modulators of the retinoic acid receptor-related orphan receptors,PUBLICATION,,,CC(C)[C@@H](O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,C27H46O2,CHEMBL171804,10.0,
501186,nM,Ki,,BAO_0000192,Ki,1331799,Displacement of 25-[3H]hydroxycholesterol from GST-tagged ROR gamma ligand binding domain (unknown origin) expressed in Escherichia coli BL21 gold (DE3) cells by radioligand competition assay,B,,CHEMBL3227242,10.1039/C3MD00005B,,CHEMBL3217638,Synthetic modulators of the retinoic acid receptor-related orphan receptors,PUBLICATION,,,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@H]3[C@H](CC[C@@]21C)[C@@]1(C)CC[C@H](O)CC1=C[C@@H]3O,C27H46O2,CHEMBL497834,10.0,
501330,nM,Ki,,BAO_0000192,Ki,1331799,Displacement of 25-[3H]hydroxycholesterol from GST-tagged ROR gamma ligand binding domain (unknown origin) expressed in Escherichia coli BL21 gold (DE3) cells by radioligand competition assay,B,,CHEMBL3227242,10.1039/C3MD00005B,,CHEMBL3217638,Synthetic modulators of the retinoic acid receptor-related orphan receptors,PUBLICATION,,,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,C27H46O2,CHEMBL497207,10.0,
1409150,nM,Ki,,"Entry 0: BAO_0000192, Entry 1: BAO_0000192, ",Ki,"Entry 0: 1331813, Entry 1: 1457048, ","Entry 0: Displacement of [3H]T0901317 from GST-tagged ROR gamma ligand binding domain (unknown origin) after 20 hrs by scintillation proximity assay, Entry 1: Binding affinity to RORc (unknown origin) by radioligand binding assay, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL3227569, Entry 1: CHEMBL3368933, ","Entry 0: 10.1039/C3MD00005B, Entry 1: 10.1021/jm401901d, ",24502334,"Entry 0: CHEMBL3217638, Entry 1: CHEMBL3351629, ","Entry 0: Synthetic modulators of the retinoic acid receptor-related orphan receptors, Entry 1: Modulators of the nuclear receptor retinoic acid receptor-related orphan receptor-γ (RORγ or RORc)., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","As the biology surrounding the nuclear receptor retinoic acid receptor-related orphan receptor-gamma (RORγ or RORc) continues to evolve, significant effort has been invested in discovering modulators of this potentially important target for the treatment of metabolic and immunological diseases. Several major pharmaceutical and biotechnology companies have disclosed RORc inhibitors or partnered with other players in the field. In this perspective, we discuss both the biology and the underlying structural biology of RORc, and summarize the RORc modulators disclosed in the scientific and patent literature.",,OC(c1ccc(-c2ccc(CN3CCN(Cc4ccncc4)CC3)cc2)c(F)c1)(C(F)(F)F)C(F)(F)F,C26H24F7N3O,CHEMBL2137199,105.0,105.0
1608778,nM,Ki,,"Entry 0: BAO_0000192, Entry 1: BAO_0000192, ",Ki,"Entry 0: 1331799, Entry 1: 1457050, ","Entry 0: Displacement of 25-[3H]hydroxycholesterol from GST-tagged ROR gamma ligand binding domain (unknown origin) expressed in Escherichia coli BL21 gold (DE3) cells by radioligand competition assay, Entry 1: Binding affinity to RORc-LBD (unknown origin) by radioligand binding assay, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL3227242, Entry 1: CHEMBL3368935, ","Entry 0: 10.1039/C3MD00005B, Entry 1: 10.1021/jm401901d, ",24502334,"Entry 0: CHEMBL3217638, Entry 1: CHEMBL3351629, ","Entry 0: Synthetic modulators of the retinoic acid receptor-related orphan receptors, Entry 1: Modulators of the nuclear receptor retinoic acid receptor-related orphan receptor-γ (RORγ or RORc)., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","As the biology surrounding the nuclear receptor retinoic acid receptor-related orphan receptor-gamma (RORγ or RORc) continues to evolve, significant effort has been invested in discovering modulators of this potentially important target for the treatment of metabolic and immunological diseases. Several major pharmaceutical and biotechnology companies have disclosed RORc inhibitors or partnered with other players in the field. In this perspective, we discuss both the biology and the underlying structural biology of RORc, and summarize the RORc modulators disclosed in the scientific and patent literature.",,CC(=O)Nc1nc(C)c(S(=O)(=O)Nc2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)s1,C15H13F6N3O4S2,CHEMBL3094388,111.0,111.0
1613765,nM,Ki,,BAO_0000192,pKi,1285940,"Displacement of 25-[26,27-3H]hydroxycholesterol from RORgammat receptor ligand binding domain (unknown origin) after 60 mins",B,,CHEMBL3106083,10.1016/j.bmc.2013.12.021,24388993,CHEMBL3102747,Discovery of novel N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides as potent RORγt inhibitors.,PUBLICATION,Novel series of N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides were discovered as potent retinoic acid receptor-related orphan receptor-gamma-t (RORγt) inhibitors. SAR studies of the RORγt HTS hit 6a led to identification of thiazole ketone amide 8h and thiophene ketone amide 9g with high binding affinity and inhibitory activity of Th17 cell differentiation. Compound 8h showed in vivo efficacy in both mouse experimental autoimmune encephalomyelitis (EAE) and collagen induced arthritis (CIA) models via oral administration.,,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(Cl)c3)c(C(=O)c3cccc(F)c3)s2)cc1,C27H21ClFNO4S2,CHEMBL3105671,31.62,
1613775,nM,Ki,,BAO_0000192,pKi,1285940,"Displacement of 25-[26,27-3H]hydroxycholesterol from RORgammat receptor ligand binding domain (unknown origin) after 60 mins",B,,CHEMBL3106083,10.1016/j.bmc.2013.12.021,24388993,CHEMBL3102747,Discovery of novel N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides as potent RORγt inhibitors.,PUBLICATION,Novel series of N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides were discovered as potent retinoic acid receptor-related orphan receptor-gamma-t (RORγt) inhibitors. SAR studies of the RORγt HTS hit 6a led to identification of thiazole ketone amide 8h and thiophene ketone amide 9g with high binding affinity and inhibitory activity of Th17 cell differentiation. Compound 8h showed in vivo efficacy in both mouse experimental autoimmune encephalomyelitis (EAE) and collagen induced arthritis (CIA) models via oral administration.,,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(Cl)c3)c(C(=O)c3ccccc3Cl)s2)cc1,C26H20Cl2N2O4S2,CHEMBL3105681,39.81,
1613786,nM,Ki,,BAO_0000192,pKi,1285940,"Displacement of 25-[26,27-3H]hydroxycholesterol from RORgammat receptor ligand binding domain (unknown origin) after 60 mins",B,,CHEMBL3106083,10.1016/j.bmc.2013.12.021,24388993,CHEMBL3102747,Discovery of novel N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides as potent RORγt inhibitors.,PUBLICATION,Novel series of N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides were discovered as potent retinoic acid receptor-related orphan receptor-gamma-t (RORγt) inhibitors. SAR studies of the RORγt HTS hit 6a led to identification of thiazole ketone amide 8h and thiophene ketone amide 9g with high binding affinity and inhibitory activity of Th17 cell differentiation. Compound 8h showed in vivo efficacy in both mouse experimental autoimmune encephalomyelitis (EAE) and collagen induced arthritis (CIA) models via oral administration.,,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(Cl)c3)c(C(=O)c3ccccc3Cl)s2)cc1,C27H21Cl2NO4S2,CHEMBL3105692,25.12,
1613911,nM,Ki,,BAO_0000192,pKi,1285940,"Displacement of 25-[26,27-3H]hydroxycholesterol from RORgammat receptor ligand binding domain (unknown origin) after 60 mins",B,,CHEMBL3106083,10.1016/j.bmc.2013.12.021,24388993,CHEMBL3102747,Discovery of novel N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides as potent RORγt inhibitors.,PUBLICATION,Novel series of N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides were discovered as potent retinoic acid receptor-related orphan receptor-gamma-t (RORγt) inhibitors. SAR studies of the RORγt HTS hit 6a led to identification of thiazole ketone amide 8h and thiophene ketone amide 9g with high binding affinity and inhibitory activity of Th17 cell differentiation. Compound 8h showed in vivo efficacy in both mouse experimental autoimmune encephalomyelitis (EAE) and collagen induced arthritis (CIA) models via oral administration.,,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cc(Cl)ccc3Cl)cs2)cc1,C19H16Cl2N2O3S2,CHEMBL3105815,398.11,
