comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0
2489967,nM,XC50,,BAO_0000186,XC50,2052859,Inverse agonist activity at APC-labeled RORgammat LBD (unknown origin) assessed as inhibition of europium-labeled co-activator SRC1 recruitment incubated for 1 hr by FRET assay,B,,CHEMBL4707860,10.1016/j.ejmech.2019.111984,31881455,CHEMBL4706491,Discovery of novel N-sulfonamide-tetrahydroquinolines as potent retinoic acid receptor-related orphan receptor γt inverse agonists for the treatment of autoimmune diseases.,PUBLICATION,"Targeting the nuclear receptor RORγt is thought to be effective in autoimmune disorders. Tertiary sulfonamide 1 was found to be a potent RORγt inverse agonist previously. However, the high hepatic clearance value limits its druggability. In this study, we designed and synthesized a series of N-sulfonamide-tetrahydroquinolines by molecular modeling and scaffold hopping strategy, aiming at improving the metabolic stabilities. Detailed SAR exploration led to identification of potent RORγt inverse agonists such as 13 with moderate binding affinity and inhibitory activity of Th17 cell differentiation. Binding mode of 13 with RORγt-LBD was revealed by molecular docking. Moreover, 13 showed lower intrinsic clearance in mouse liver microsomes compared with 1 and potent in vivo efficacy and safety in psoriasis models, which can be used as a good starting point for the further optimization.",,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)CCCc2ccccc2)CC1,C25H34N4O3S,CHEMBL4742350,7226.0
2492389,nM,XC50,,BAO_0000186,XC50,2052859,Inverse agonist activity at APC-labeled RORgammat LBD (unknown origin) assessed as inhibition of europium-labeled co-activator SRC1 recruitment incubated for 1 hr by FRET assay,B,,CHEMBL4707860,10.1016/j.ejmech.2019.111984,31881455,CHEMBL4706491,Discovery of novel N-sulfonamide-tetrahydroquinolines as potent retinoic acid receptor-related orphan receptor γt inverse agonists for the treatment of autoimmune diseases.,PUBLICATION,"Targeting the nuclear receptor RORγt is thought to be effective in autoimmune disorders. Tertiary sulfonamide 1 was found to be a potent RORγt inverse agonist previously. However, the high hepatic clearance value limits its druggability. In this study, we designed and synthesized a series of N-sulfonamide-tetrahydroquinolines by molecular modeling and scaffold hopping strategy, aiming at improving the metabolic stabilities. Detailed SAR exploration led to identification of potent RORγt inverse agonists such as 13 with moderate binding affinity and inhibitory activity of Th17 cell differentiation. Binding mode of 13 with RORγt-LBD was revealed by molecular docking. Moreover, 13 showed lower intrinsic clearance in mouse liver microsomes compared with 1 and potent in vivo efficacy and safety in psoriasis models, which can be used as a good starting point for the further optimization.",,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)Cc2ccccc2)CC1,C23H30N4O3S,CHEMBL4745031,218.0
2494577,nM,XC50,,BAO_0000186,XC50,2052859,Inverse agonist activity at APC-labeled RORgammat LBD (unknown origin) assessed as inhibition of europium-labeled co-activator SRC1 recruitment incubated for 1 hr by FRET assay,B,,CHEMBL4707860,10.1016/j.ejmech.2019.111984,31881455,CHEMBL4706491,Discovery of novel N-sulfonamide-tetrahydroquinolines as potent retinoic acid receptor-related orphan receptor γt inverse agonists for the treatment of autoimmune diseases.,PUBLICATION,"Targeting the nuclear receptor RORγt is thought to be effective in autoimmune disorders. Tertiary sulfonamide 1 was found to be a potent RORγt inverse agonist previously. However, the high hepatic clearance value limits its druggability. In this study, we designed and synthesized a series of N-sulfonamide-tetrahydroquinolines by molecular modeling and scaffold hopping strategy, aiming at improving the metabolic stabilities. Detailed SAR exploration led to identification of potent RORγt inverse agonists such as 13 with moderate binding affinity and inhibitory activity of Th17 cell differentiation. Binding mode of 13 with RORγt-LBD was revealed by molecular docking. Moreover, 13 showed lower intrinsic clearance in mouse liver microsomes compared with 1 and potent in vivo efficacy and safety in psoriasis models, which can be used as a good starting point for the further optimization.",,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)Cc2cccc(F)c2)CC1,C23H29FN4O3S,CHEMBL4747219,324.0
2494581,nM,XC50,,BAO_0000186,XC50,2052859,Inverse agonist activity at APC-labeled RORgammat LBD (unknown origin) assessed as inhibition of europium-labeled co-activator SRC1 recruitment incubated for 1 hr by FRET assay,B,,CHEMBL4707860,10.1016/j.ejmech.2019.111984,31881455,CHEMBL4706491,Discovery of novel N-sulfonamide-tetrahydroquinolines as potent retinoic acid receptor-related orphan receptor γt inverse agonists for the treatment of autoimmune diseases.,PUBLICATION,"Targeting the nuclear receptor RORγt is thought to be effective in autoimmune disorders. Tertiary sulfonamide 1 was found to be a potent RORγt inverse agonist previously. However, the high hepatic clearance value limits its druggability. In this study, we designed and synthesized a series of N-sulfonamide-tetrahydroquinolines by molecular modeling and scaffold hopping strategy, aiming at improving the metabolic stabilities. Detailed SAR exploration led to identification of potent RORγt inverse agonists such as 13 with moderate binding affinity and inhibitory activity of Th17 cell differentiation. Binding mode of 13 with RORγt-LBD was revealed by molecular docking. Moreover, 13 showed lower intrinsic clearance in mouse liver microsomes compared with 1 and potent in vivo efficacy and safety in psoriasis models, which can be used as a good starting point for the further optimization.",,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)Cc2ccc(Cl)cc2)CC1,C23H29ClN4O3S,CHEMBL4747223,1135.0
2494944,nM,XC50,,BAO_0000186,XC50,2052859,Inverse agonist activity at APC-labeled RORgammat LBD (unknown origin) assessed as inhibition of europium-labeled co-activator SRC1 recruitment incubated for 1 hr by FRET assay,B,,CHEMBL4707860,10.1016/j.ejmech.2019.111984,31881455,CHEMBL4706491,Discovery of novel N-sulfonamide-tetrahydroquinolines as potent retinoic acid receptor-related orphan receptor γt inverse agonists for the treatment of autoimmune diseases.,PUBLICATION,"Targeting the nuclear receptor RORγt is thought to be effective in autoimmune disorders. Tertiary sulfonamide 1 was found to be a potent RORγt inverse agonist previously. However, the high hepatic clearance value limits its druggability. In this study, we designed and synthesized a series of N-sulfonamide-tetrahydroquinolines by molecular modeling and scaffold hopping strategy, aiming at improving the metabolic stabilities. Detailed SAR exploration led to identification of potent RORγt inverse agonists such as 13 with moderate binding affinity and inhibitory activity of Th17 cell differentiation. Binding mode of 13 with RORγt-LBD was revealed by molecular docking. Moreover, 13 showed lower intrinsic clearance in mouse liver microsomes compared with 1 and potent in vivo efficacy and safety in psoriasis models, which can be used as a good starting point for the further optimization.",,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)CCc2ccccc2)CC1,C23H29N3O3S,CHEMBL4747586,906.0
2495066,nM,XC50,,BAO_0000186,XC50,2052859,Inverse agonist activity at APC-labeled RORgammat LBD (unknown origin) assessed as inhibition of europium-labeled co-activator SRC1 recruitment incubated for 1 hr by FRET assay,B,,CHEMBL4707860,10.1016/j.ejmech.2019.111984,31881455,CHEMBL4706491,Discovery of novel N-sulfonamide-tetrahydroquinolines as potent retinoic acid receptor-related orphan receptor γt inverse agonists for the treatment of autoimmune diseases.,PUBLICATION,"Targeting the nuclear receptor RORγt is thought to be effective in autoimmune disorders. Tertiary sulfonamide 1 was found to be a potent RORγt inverse agonist previously. However, the high hepatic clearance value limits its druggability. In this study, we designed and synthesized a series of N-sulfonamide-tetrahydroquinolines by molecular modeling and scaffold hopping strategy, aiming at improving the metabolic stabilities. Detailed SAR exploration led to identification of potent RORγt inverse agonists such as 13 with moderate binding affinity and inhibitory activity of Th17 cell differentiation. Binding mode of 13 with RORγt-LBD was revealed by molecular docking. Moreover, 13 showed lower intrinsic clearance in mouse liver microsomes compared with 1 and potent in vivo efficacy and safety in psoriasis models, which can be used as a good starting point for the further optimization.",,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)Cc2ccc(C)cc2)CC1,C24H32N4O3S,CHEMBL4747708,2453.0
2496303,nM,XC50,,BAO_0000186,XC50,2052859,Inverse agonist activity at APC-labeled RORgammat LBD (unknown origin) assessed as inhibition of europium-labeled co-activator SRC1 recruitment incubated for 1 hr by FRET assay,B,,CHEMBL4707860,10.1016/j.ejmech.2019.111984,31881455,CHEMBL4706491,Discovery of novel N-sulfonamide-tetrahydroquinolines as potent retinoic acid receptor-related orphan receptor γt inverse agonists for the treatment of autoimmune diseases.,PUBLICATION,"Targeting the nuclear receptor RORγt is thought to be effective in autoimmune disorders. Tertiary sulfonamide 1 was found to be a potent RORγt inverse agonist previously. However, the high hepatic clearance value limits its druggability. In this study, we designed and synthesized a series of N-sulfonamide-tetrahydroquinolines by molecular modeling and scaffold hopping strategy, aiming at improving the metabolic stabilities. Detailed SAR exploration led to identification of potent RORγt inverse agonists such as 13 with moderate binding affinity and inhibitory activity of Th17 cell differentiation. Binding mode of 13 with RORγt-LBD was revealed by molecular docking. Moreover, 13 showed lower intrinsic clearance in mouse liver microsomes compared with 1 and potent in vivo efficacy and safety in psoriasis models, which can be used as a good starting point for the further optimization.",,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)CCc2ccccc2)CC1,C24H32N4O3S,CHEMBL4748966,910.0
2500020,nM,XC50,,BAO_0000186,XC50,2052859,Inverse agonist activity at APC-labeled RORgammat LBD (unknown origin) assessed as inhibition of europium-labeled co-activator SRC1 recruitment incubated for 1 hr by FRET assay,B,,CHEMBL4707860,10.1016/j.ejmech.2019.111984,31881455,CHEMBL4706491,Discovery of novel N-sulfonamide-tetrahydroquinolines as potent retinoic acid receptor-related orphan receptor γt inverse agonists for the treatment of autoimmune diseases.,PUBLICATION,"Targeting the nuclear receptor RORγt is thought to be effective in autoimmune disorders. Tertiary sulfonamide 1 was found to be a potent RORγt inverse agonist previously. However, the high hepatic clearance value limits its druggability. In this study, we designed and synthesized a series of N-sulfonamide-tetrahydroquinolines by molecular modeling and scaffold hopping strategy, aiming at improving the metabolic stabilities. Detailed SAR exploration led to identification of potent RORγt inverse agonists such as 13 with moderate binding affinity and inhibitory activity of Th17 cell differentiation. Binding mode of 13 with RORγt-LBD was revealed by molecular docking. Moreover, 13 showed lower intrinsic clearance in mouse liver microsomes compared with 1 and potent in vivo efficacy and safety in psoriasis models, which can be used as a good starting point for the further optimization.",,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)Cc2cccc(Cl)c2)CC1,C23H29ClN4O3S,CHEMBL4752683,104.0
2502828,nM,XC50,,BAO_0000186,XC50,2052859,Inverse agonist activity at APC-labeled RORgammat LBD (unknown origin) assessed as inhibition of europium-labeled co-activator SRC1 recruitment incubated for 1 hr by FRET assay,B,,CHEMBL4707860,10.1016/j.ejmech.2019.111984,31881455,CHEMBL4706491,Discovery of novel N-sulfonamide-tetrahydroquinolines as potent retinoic acid receptor-related orphan receptor γt inverse agonists for the treatment of autoimmune diseases.,PUBLICATION,"Targeting the nuclear receptor RORγt is thought to be effective in autoimmune disorders. Tertiary sulfonamide 1 was found to be a potent RORγt inverse agonist previously. However, the high hepatic clearance value limits its druggability. In this study, we designed and synthesized a series of N-sulfonamide-tetrahydroquinolines by molecular modeling and scaffold hopping strategy, aiming at improving the metabolic stabilities. Detailed SAR exploration led to identification of potent RORγt inverse agonists such as 13 with moderate binding affinity and inhibitory activity of Th17 cell differentiation. Binding mode of 13 with RORγt-LBD was revealed by molecular docking. Moreover, 13 showed lower intrinsic clearance in mouse liver microsomes compared with 1 and potent in vivo efficacy and safety in psoriasis models, which can be used as a good starting point for the further optimization.",,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)Cc2ccc(C(F)(F)F)cc2)CC1,C24H29F3N4O3S,CHEMBL4755491,1555.0
2503910,nM,XC50,,BAO_0000186,XC50,2052859,Inverse agonist activity at APC-labeled RORgammat LBD (unknown origin) assessed as inhibition of europium-labeled co-activator SRC1 recruitment incubated for 1 hr by FRET assay,B,,CHEMBL4707860,10.1016/j.ejmech.2019.111984,31881455,CHEMBL4706491,Discovery of novel N-sulfonamide-tetrahydroquinolines as potent retinoic acid receptor-related orphan receptor γt inverse agonists for the treatment of autoimmune diseases.,PUBLICATION,"Targeting the nuclear receptor RORγt is thought to be effective in autoimmune disorders. Tertiary sulfonamide 1 was found to be a potent RORγt inverse agonist previously. However, the high hepatic clearance value limits its druggability. In this study, we designed and synthesized a series of N-sulfonamide-tetrahydroquinolines by molecular modeling and scaffold hopping strategy, aiming at improving the metabolic stabilities. Detailed SAR exploration led to identification of potent RORγt inverse agonists such as 13 with moderate binding affinity and inhibitory activity of Th17 cell differentiation. Binding mode of 13 with RORγt-LBD was revealed by molecular docking. Moreover, 13 showed lower intrinsic clearance in mouse liver microsomes compared with 1 and potent in vivo efficacy and safety in psoriasis models, which can be used as a good starting point for the further optimization.",,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)Cc2ccccc2C)CC1,C24H32N4O3S,CHEMBL4756573,143.0
