comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2
1613763,%,%max,,BAO_0000179,%max,1285943,"Inhibition of N-(2-chloro-6-fluorobenzyl)-N-((2'-methoxy-[1,1'-biphenyl]-4-yl)methyl)benzenesulfonamide-induced APC-labeled RORgammat receptor ligand binding domain (unknown origin) after 1 hr by FRET assay",B,,CHEMBL3106086,10.1016/j.bmc.2013.12.021,24388993,CHEMBL3102747,Discovery of novel N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides as potent RORγt inhibitors.,PUBLICATION,Novel series of N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides were discovered as potent retinoic acid receptor-related orphan receptor-gamma-t (RORγt) inhibitors. SAR studies of the RORγt HTS hit 6a led to identification of thiazole ketone amide 8h and thiophene ketone amide 9g with high binding affinity and inhibitory activity of Th17 cell differentiation. Compound 8h showed in vivo efficacy in both mouse experimental autoimmune encephalomyelitis (EAE) and collagen induced arthritis (CIA) models via oral administration.,,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(Cl)c3)c(C(=O)c3cccc(Cl)c3)s2)cc1,C27H21Cl2NO4S2,CHEMBL3105669,89.0,,
1613764,%,%max,,BAO_0000179,%max,1285943,"Inhibition of N-(2-chloro-6-fluorobenzyl)-N-((2'-methoxy-[1,1'-biphenyl]-4-yl)methyl)benzenesulfonamide-induced APC-labeled RORgammat receptor ligand binding domain (unknown origin) after 1 hr by FRET assay",B,,CHEMBL3106086,10.1016/j.bmc.2013.12.021,24388993,CHEMBL3102747,Discovery of novel N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides as potent RORγt inhibitors.,PUBLICATION,Novel series of N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides were discovered as potent retinoic acid receptor-related orphan receptor-gamma-t (RORγt) inhibitors. SAR studies of the RORγt HTS hit 6a led to identification of thiazole ketone amide 8h and thiophene ketone amide 9g with high binding affinity and inhibitory activity of Th17 cell differentiation. Compound 8h showed in vivo efficacy in both mouse experimental autoimmune encephalomyelitis (EAE) and collagen induced arthritis (CIA) models via oral administration.,,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(Cl)c3)c(C(=O)c3ccccc3F)s2)cc1,C27H21ClFNO4S2,CHEMBL3105670,106.0,,
1613765,%,%max,,BAO_0000179,%max,1285943,"Inhibition of N-(2-chloro-6-fluorobenzyl)-N-((2'-methoxy-[1,1'-biphenyl]-4-yl)methyl)benzenesulfonamide-induced APC-labeled RORgammat receptor ligand binding domain (unknown origin) after 1 hr by FRET assay",B,,CHEMBL3106086,10.1016/j.bmc.2013.12.021,24388993,CHEMBL3102747,Discovery of novel N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides as potent RORγt inhibitors.,PUBLICATION,Novel series of N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides were discovered as potent retinoic acid receptor-related orphan receptor-gamma-t (RORγt) inhibitors. SAR studies of the RORγt HTS hit 6a led to identification of thiazole ketone amide 8h and thiophene ketone amide 9g with high binding affinity and inhibitory activity of Th17 cell differentiation. Compound 8h showed in vivo efficacy in both mouse experimental autoimmune encephalomyelitis (EAE) and collagen induced arthritis (CIA) models via oral administration.,,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(Cl)c3)c(C(=O)c3cccc(F)c3)s2)cc1,C27H21ClFNO4S2,CHEMBL3105671,104.0,,
1613766,%,%max,,BAO_0000179,%max,1285943,"Inhibition of N-(2-chloro-6-fluorobenzyl)-N-((2'-methoxy-[1,1'-biphenyl]-4-yl)methyl)benzenesulfonamide-induced APC-labeled RORgammat receptor ligand binding domain (unknown origin) after 1 hr by FRET assay",B,,CHEMBL3106086,10.1016/j.bmc.2013.12.021,24388993,CHEMBL3102747,Discovery of novel N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides as potent RORγt inhibitors.,PUBLICATION,Novel series of N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides were discovered as potent retinoic acid receptor-related orphan receptor-gamma-t (RORγt) inhibitors. SAR studies of the RORγt HTS hit 6a led to identification of thiazole ketone amide 8h and thiophene ketone amide 9g with high binding affinity and inhibitory activity of Th17 cell differentiation. Compound 8h showed in vivo efficacy in both mouse experimental autoimmune encephalomyelitis (EAE) and collagen induced arthritis (CIA) models via oral administration.,,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(C(F)(F)F)c3)c(C(=O)c3cccc(F)c3)s2)cc1,C28H21F4NO4S2,CHEMBL3105672,104.0,,
1613767,%,%max,,BAO_0000179,%max,1285943,"Inhibition of N-(2-chloro-6-fluorobenzyl)-N-((2'-methoxy-[1,1'-biphenyl]-4-yl)methyl)benzenesulfonamide-induced APC-labeled RORgammat receptor ligand binding domain (unknown origin) after 1 hr by FRET assay",B,,CHEMBL3106086,10.1016/j.bmc.2013.12.021,24388993,CHEMBL3102747,Discovery of novel N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides as potent RORγt inhibitors.,PUBLICATION,Novel series of N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides were discovered as potent retinoic acid receptor-related orphan receptor-gamma-t (RORγt) inhibitors. SAR studies of the RORγt HTS hit 6a led to identification of thiazole ketone amide 8h and thiophene ketone amide 9g with high binding affinity and inhibitory activity of Th17 cell differentiation. Compound 8h showed in vivo efficacy in both mouse experimental autoimmune encephalomyelitis (EAE) and collagen induced arthritis (CIA) models via oral administration.,,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(C(=O)C3CCCCC3)s2)cc1,C26H28N2O4S2,CHEMBL3105673,87.0,,
1613768,%,%max,,"Entry 0: BAO_0000179, Entry 1: BAO_0000179, Entry 2: BAO_0000179, ",%max,"Entry 0: 1285943, Entry 1: 1729707, Entry 2: 1729709, ","Entry 0: Inhibition of N-(2-chloro-6-fluorobenzyl)-N-((2'-methoxy-[1,1'-biphenyl]-4-yl)methyl)benzenesulfonamide-induced APC-labeled RORgammat receptor ligand binding domain (unknown origin) after 1 hr by FRET assay, Entry 1: Inverse agonist activity at APC-labeled RORgammat LBD (unknown origin) assessed as inhibition of N-(2-chloro-6-fluorobenzyl)-N-((2'-methoxy-[1,1'-biphenyl]-4-yl)methyl)benzenesulfonamide-induced co-activator SRC1 peptide recruitment after 1 hr by FRET based LANCE assay relative to control, Entry 2: Inverse agonist activity at biotinylated RORgammat LBD (unknown origin) assessed as inhibition of N-(2-chloro-6-fluorobenzyl)-N-((2'-methoxy-[1,1'-biphenyl]-4-yl)methyl)benzenesulfonamide-induced co-activator SRC1 peptide recruitment after 1 hr by dual FRET based LANCE assay relative to control, ","Entry 0: B, Entry 1: B, Entry 2: B, ",,"Entry 0: CHEMBL3106086, Entry 1: CHEMBL4144985, Entry 2: CHEMBL4144987, ","Entry 0: 10.1016/j.bmc.2013.12.021, Entry 1: 10.1021/acsmedchemlett.7b00476, Entry 2: 10.1021/acsmedchemlett.7b00476, ","Entry 0: 24388993, Entry 1: 29456799, Entry 2: 29456799, ","Entry 0: CHEMBL3102747, Entry 1: CHEMBL4138302, Entry 2: CHEMBL4138302, ","Entry 0: Discovery of novel N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides as potent RORγt inhibitors., Entry 1: From RORγt Agonist to Two Types of RORγt Inverse Agonists., Entry 2: From RORγt Agonist to Two Types of RORγt Inverse Agonists., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, Entry 2: PUBLICATION, ","Entry 0: Novel series of N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides were discovered as potent retinoic acid receptor-related orphan receptor-gamma-t (RORγt) inhibitors. SAR studies of the RORγt HTS hit 6a led to identification of thiazole ketone amide 8h and thiophene ketone amide 9g with high binding affinity and inhibitory activity of Th17 cell differentiation. Compound 8h showed in vivo efficacy in both mouse experimental autoimmune encephalomyelitis (EAE) and collagen induced arthritis (CIA) models via oral administration., Entry 1: Biaryl amides as new RORγt modulators were discovered. The crystal structure of biaryl amide agonist 6 in complex with RORγt ligand binding domain (LBD) was resolved, and both ""short"" and ""long"" inverse agonists were obtained by removing from 6 or adding to 6 a proper structural moiety. While ""short"" inverse agonist (8) recruits a corepressor peptide and dispels a coactivator peptide, ""long"" inverse agonist (9) dispels both. The two types of inverse agonists can be utilized as potential tools to study mechanisms of Th17 transcriptional network inhibition and related disease biology., Entry 2: Biaryl amides as new RORγt modulators were discovered. The crystal structure of biaryl amide agonist 6 in complex with RORγt ligand binding domain (LBD) was resolved, and both ""short"" and ""long"" inverse agonists were obtained by removing from 6 or adding to 6 a proper structural moiety. While ""short"" inverse agonist (8) recruits a corepressor peptide and dispels a coactivator peptide, ""long"" inverse agonist (9) dispels both. The two types of inverse agonists can be utilized as potential tools to study mechanisms of Th17 transcriptional network inhibition and related disease biology., ",,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(C(=O)c3ccccc3)s2)cc1,C26H22N2O4S2,CHEMBL3105674,51.0,98.0,107.0
1613769,%,%max,,BAO_0000179,%max,1285943,"Inhibition of N-(2-chloro-6-fluorobenzyl)-N-((2'-methoxy-[1,1'-biphenyl]-4-yl)methyl)benzenesulfonamide-induced APC-labeled RORgammat receptor ligand binding domain (unknown origin) after 1 hr by FRET assay",B,,CHEMBL3106086,10.1016/j.bmc.2013.12.021,24388993,CHEMBL3102747,Discovery of novel N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides as potent RORγt inhibitors.,PUBLICATION,Novel series of N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides were discovered as potent retinoic acid receptor-related orphan receptor-gamma-t (RORγt) inhibitors. SAR studies of the RORγt HTS hit 6a led to identification of thiazole ketone amide 8h and thiophene ketone amide 9g with high binding affinity and inhibitory activity of Th17 cell differentiation. Compound 8h showed in vivo efficacy in both mouse experimental autoimmune encephalomyelitis (EAE) and collagen induced arthritis (CIA) models via oral administration.,,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3Cl)c(C(=O)c3ccccc3)s2)cc1,C26H21ClN2O4S2,CHEMBL3105675,90.0,,
1613770,%,%max,,BAO_0000179,%max,1285943,"Inhibition of N-(2-chloro-6-fluorobenzyl)-N-((2'-methoxy-[1,1'-biphenyl]-4-yl)methyl)benzenesulfonamide-induced APC-labeled RORgammat receptor ligand binding domain (unknown origin) after 1 hr by FRET assay",B,,CHEMBL3106086,10.1016/j.bmc.2013.12.021,24388993,CHEMBL3102747,Discovery of novel N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides as potent RORγt inhibitors.,PUBLICATION,Novel series of N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides were discovered as potent retinoic acid receptor-related orphan receptor-gamma-t (RORγt) inhibitors. SAR studies of the RORγt HTS hit 6a led to identification of thiazole ketone amide 8h and thiophene ketone amide 9g with high binding affinity and inhibitory activity of Th17 cell differentiation. Compound 8h showed in vivo efficacy in both mouse experimental autoimmune encephalomyelitis (EAE) and collagen induced arthritis (CIA) models via oral administration.,,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(Cl)c3)c(C(=O)c3ccccc3)s2)cc1,C26H21ClN2O4S2,CHEMBL3105676,100.0,,
1613771,%,%max,,BAO_0000179,%max,1285943,"Inhibition of N-(2-chloro-6-fluorobenzyl)-N-((2'-methoxy-[1,1'-biphenyl]-4-yl)methyl)benzenesulfonamide-induced APC-labeled RORgammat receptor ligand binding domain (unknown origin) after 1 hr by FRET assay",B,,CHEMBL3106086,10.1016/j.bmc.2013.12.021,24388993,CHEMBL3102747,Discovery of novel N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides as potent RORγt inhibitors.,PUBLICATION,Novel series of N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides were discovered as potent retinoic acid receptor-related orphan receptor-gamma-t (RORγt) inhibitors. SAR studies of the RORγt HTS hit 6a led to identification of thiazole ketone amide 8h and thiophene ketone amide 9g with high binding affinity and inhibitory activity of Th17 cell differentiation. Compound 8h showed in vivo efficacy in both mouse experimental autoimmune encephalomyelitis (EAE) and collagen induced arthritis (CIA) models via oral administration.,,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccc(Cl)cc3)c(C(=O)c3ccccc3)s2)cc1,C26H21ClN2O4S2,CHEMBL3105677,102.0,,
1613772,%,%max,,BAO_0000179,%max,1285943,"Inhibition of N-(2-chloro-6-fluorobenzyl)-N-((2'-methoxy-[1,1'-biphenyl]-4-yl)methyl)benzenesulfonamide-induced APC-labeled RORgammat receptor ligand binding domain (unknown origin) after 1 hr by FRET assay",B,,CHEMBL3106086,10.1016/j.bmc.2013.12.021,24388993,CHEMBL3102747,Discovery of novel N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides as potent RORγt inhibitors.,PUBLICATION,Novel series of N-(5-(arylcarbonyl)thiazol-2-yl)amides and N-(5-(arylcarbonyl)thiophen-2-yl)amides were discovered as potent retinoic acid receptor-related orphan receptor-gamma-t (RORγt) inhibitors. SAR studies of the RORγt HTS hit 6a led to identification of thiazole ketone amide 8h and thiophene ketone amide 9g with high binding affinity and inhibitory activity of Th17 cell differentiation. Compound 8h showed in vivo efficacy in both mouse experimental autoimmune encephalomyelitis (EAE) and collagen induced arthritis (CIA) models via oral administration.,,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(C#N)c3)c(C(=O)c3ccccc3)s2)cc1,C27H21N3O4S2,CHEMBL3105678,101.0,,
