comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1
1958124,%,max activation,,BAO_0000179,max activation,1510457,Agonist activity at APC-labeled RORgammat-LBD (unknown origin) assessed as induction of europium-labeled SRC1 recruitment after 1 hr by dual FRET analysis,B,,CHEMBL3607382,10.1016/j.bmc.2015.07.068,26277758,CHEMBL3603752,Discovery of N-(4-aryl-5-aryloxy-thiazol-2-yl)-amides as potent RORγt inverse agonists.,PUBLICATION,A novel series of N-(4-aryl-5-aryloxy-thiazol-2-yl)-amides as RORγt inverse agonists was discovered. Binding mode analysis of a RORγt partial agonist (2c) revealed by co-crystal structure in RORγt LBD suggests that the inverse agonists do not directly interfere with the interaction between H12 and the RORγt LBD. Detailed SAR exploration led to identification of potent RORγt inverse agonists such as 3m with a pIC50 of 8.0. Selected compounds in the series showed reasonable activity in Th17 cell differentiation assay as well as low intrinsic clearance in mouse liver microsomes.,,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cc(Cl)ccc3Cl)c(-c3ccccc3)s2)cc1,C25H20Cl2N2O3S2,CHEMBL3605079,150.0,
1958125,%,max activation,,BAO_0000179,max activation,1510457,Agonist activity at APC-labeled RORgammat-LBD (unknown origin) assessed as induction of europium-labeled SRC1 recruitment after 1 hr by dual FRET analysis,B,,CHEMBL3607382,10.1016/j.bmc.2015.07.068,26277758,CHEMBL3603752,Discovery of N-(4-aryl-5-aryloxy-thiazol-2-yl)-amides as potent RORγt inverse agonists.,PUBLICATION,A novel series of N-(4-aryl-5-aryloxy-thiazol-2-yl)-amides as RORγt inverse agonists was discovered. Binding mode analysis of a RORγt partial agonist (2c) revealed by co-crystal structure in RORγt LBD suggests that the inverse agonists do not directly interfere with the interaction between H12 and the RORγt LBD. Detailed SAR exploration led to identification of potent RORγt inverse agonists such as 3m with a pIC50 of 8.0. Selected compounds in the series showed reasonable activity in Th17 cell differentiation assay as well as low intrinsic clearance in mouse liver microsomes.,,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(-c3ccccc3)s2)cc1,C25H22N2O3S2,CHEMBL3605080,150.0,
1958128,%,max activation,,BAO_0000179,max activation,1510457,Agonist activity at APC-labeled RORgammat-LBD (unknown origin) assessed as induction of europium-labeled SRC1 recruitment after 1 hr by dual FRET analysis,B,,CHEMBL3607382,10.1016/j.bmc.2015.07.068,26277758,CHEMBL3603752,Discovery of N-(4-aryl-5-aryloxy-thiazol-2-yl)-amides as potent RORγt inverse agonists.,PUBLICATION,A novel series of N-(4-aryl-5-aryloxy-thiazol-2-yl)-amides as RORγt inverse agonists was discovered. Binding mode analysis of a RORγt partial agonist (2c) revealed by co-crystal structure in RORγt LBD suggests that the inverse agonists do not directly interfere with the interaction between H12 and the RORγt LBD. Detailed SAR exploration led to identification of potent RORγt inverse agonists such as 3m with a pIC50 of 8.0. Selected compounds in the series showed reasonable activity in Th17 cell differentiation assay as well as low intrinsic clearance in mouse liver microsomes.,,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(Oc3ccccc3OC)s2)cc1,C26H24N2O5S2,CHEMBL3605083,33.0,
2379517,%,max activation,,BAO_0000179,max activation,2117950,Agonist activity at human RORgammat LBD expressed in HEK293T cells incubated for 16 to 20 hrs by Gal4-luciferase reporter gene assay relative to control,B,,CHEMBL4827016,10.1016/j.ejmech.2021.113585,34118722,CHEMBL4825693,Discovery of novel N-sulfonamide-tetrahydroisoquinolines as potent retinoic acid receptor-related orphan receptor γt agonists.,PUBLICATION,"Cancer immunotherapy has become a research hotspot in recent years. A variety of targets were developed for small molecule immuno-oncology agents, including retinoic acid-related orphan receptor gamma t (RORγt), chemokine receptor, stimulator of interferon genes (Sting), indoleamine 2,3-dioxygenase (IDO), toll-like receptors (TLR), etc. Among them, the retinoic acid receptor-related orphan receptor γt (RORγt) has gradually attracted more attention in these years. In particular, LYC-55716 (cintirorgon), a small molecule RORγt agonist developed by Lycera, has entered the phase II clinical study. In this work, starting from compound 7, compound 28 was obtained after 4 rounds of compound design, synthesis and SAR studies, which had an EC<sub>50</sub> of 0.021 ± 0.002 μM in dual Fluorescence Resonance Energy Transfer (dual-FRET) assay and an EC<sub>50</sub> of 0.021 ± 0.002 μM in mouse Th17 cell differentiation assay. It indicated that compound 28 had excellent RORγt agonistic activity and was expected to be developed as a new type of small molecule drug for cancer immunotherapy. The molecular dynamic simulation revealed that the agonist 28 formed a strong HYF triplet intramolecular interaction to stabilize H12, which helped RORγt to form the protein-binding site and therefore made the receptor ready to recruit coactivator. When the inverse agonist s27 bound with RORγt, the steric hindrance between s27 and H479 caused the destruction of the HYF triplet, leading to the collapse of H12, thus the transcription function of RORγt was interrupted due to the failure of recruiting a coactivator molecule. The triplet HYF in RORγt and the rigidity of 28 and s27 were identified to be the structural determinants for the functional switch of RORγt.",,CC(C)(C[C@H]1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(-c3cc(F)cc(OC(F)F)c3)ccc2O1)C(=O)O,C27H23F6NO6S,CHEMBL4472508,100.0,
2539524,%,max activation,,BAO_0000179,max activation,2110959,Agonist activity at APC-labelled RORgammat (unknown origin) assessed as biotinylated SRC recruitment measured after 1 hr by dual FRET assay relative to control,B,,CHEMBL4819809,10.1016/j.ejmech.2020.113013,33272782,CHEMBL4819001,Discovery of tetrahydroquinolines and benzomorpholines as novel potent RORγt agonists.,PUBLICATION,"The retinoic acid receptor-related orphan receptor γt (RORγt) is an important nuclear receptor that regulates the differentiation of Th17 cells and production of interleukin 17(IL-17). RORγt agonists increase basal activity of RORγt and could provide a potential approach to cancer immunotherapy. Herein, hit compound 1 was identified as a weak RORγt agonist during in-house library screening. Changes in LHS core of 1 led to the identification of tetrahydroquinoline compound 6 as a partial RORγt agonist (max. act. = 39.3%). Detailed structure-activity relationship on substituent of the LHS core, amide linker and RHS arylsulfonyl moiety was explored and a novel series of tetrahydroquinolines and benzomorpholines was discovered as potent RORγt agonists. Tetrahydroquinoline compound 8g (EC<sub>50</sub> = 8.9 ± 0.4 nM, max. act. = 104.5%) and benzomorpholine compound 9g (EC<sub>50</sub> = 7.5 ± 0.6 nM, max. act. = 105.8%) were representative compounds with high RORγt agonistic activity in dual FRET assay, and they showed good activity in cell-based Gal4 reporter gene assay and Th17 cell differentiation assay (104.5% activation at 300 nM of 8g; 59.4% activation at 300 nM of 9g). The binding modes of 8g and 9g as well as the two RORγt inverse agonists accidentally discovered were also discussed.",,CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(CCN3CCCc4ccc(C(C)C)cc43)cc2)cc1,C30H36N2O3S,CHEMBL4845753,87.6,
2540381,%,max activation,,"Entry 0: BAO_0000179, Entry 1: BAO_0000179, ",max activation,"Entry 0: 2117949, Entry 1: 2117950, ","Entry 0: Agonist activity at europium-labeled human RORgammat LBD assessed as induction of XL665-labeled co-activator SRC1 recruitment incubated for 1 hr by dual FRET assay relative to control, Entry 1: Agonist activity at human RORgammat LBD expressed in HEK293T cells incubated for 16 to 20 hrs by Gal4-luciferase reporter gene assay relative to control, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL4827015, Entry 1: CHEMBL4827016, ","Entry 0: 10.1016/j.ejmech.2021.113585, Entry 1: 10.1016/j.ejmech.2021.113585, ","Entry 0: 34118722, Entry 1: 34118722, ","Entry 0: CHEMBL4825693, Entry 1: CHEMBL4825693, ","Entry 0: Discovery of novel N-sulfonamide-tetrahydroisoquinolines as potent retinoic acid receptor-related orphan receptor γt agonists., Entry 1: Discovery of novel N-sulfonamide-tetrahydroisoquinolines as potent retinoic acid receptor-related orphan receptor γt agonists., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: Cancer immunotherapy has become a research hotspot in recent years. A variety of targets were developed for small molecule immuno-oncology agents, including retinoic acid-related orphan receptor gamma t (RORγt), chemokine receptor, stimulator of interferon genes (Sting), indoleamine 2,3-dioxygenase (IDO), toll-like receptors (TLR), etc. Among them, the retinoic acid receptor-related orphan receptor γt (RORγt) has gradually attracted more attention in these years. In particular, LYC-55716 (cintirorgon), a small molecule RORγt agonist developed by Lycera, has entered the phase II clinical study. In this work, starting from compound 7, compound 28 was obtained after 4 rounds of compound design, synthesis and SAR studies, which had an EC<sub>50</sub> of 0.021 ± 0.002 μM in dual Fluorescence Resonance Energy Transfer (dual-FRET) assay and an EC<sub>50</sub> of 0.021 ± 0.002 μM in mouse Th17 cell differentiation assay. It indicated that compound 28 had excellent RORγt agonistic activity and was expected to be developed as a new type of small molecule drug for cancer immunotherapy. The molecular dynamic simulation revealed that the agonist 28 formed a strong HYF triplet intramolecular interaction to stabilize H12, which helped RORγt to form the protein-binding site and therefore made the receptor ready to recruit coactivator. When the inverse agonist s27 bound with RORγt, the steric hindrance between s27 and H479 caused the destruction of the HYF triplet, leading to the collapse of H12, thus the transcription function of RORγt was interrupted due to the failure of recruiting a coactivator molecule. The triplet HYF in RORγt and the rigidity of 28 and s27 were identified to be the structural determinants for the functional switch of RORγt., Entry 1: Cancer immunotherapy has become a research hotspot in recent years. A variety of targets were developed for small molecule immuno-oncology agents, including retinoic acid-related orphan receptor gamma t (RORγt), chemokine receptor, stimulator of interferon genes (Sting), indoleamine 2,3-dioxygenase (IDO), toll-like receptors (TLR), etc. Among them, the retinoic acid receptor-related orphan receptor γt (RORγt) has gradually attracted more attention in these years. In particular, LYC-55716 (cintirorgon), a small molecule RORγt agonist developed by Lycera, has entered the phase II clinical study. In this work, starting from compound 7, compound 28 was obtained after 4 rounds of compound design, synthesis and SAR studies, which had an EC<sub>50</sub> of 0.021 ± 0.002 μM in dual Fluorescence Resonance Energy Transfer (dual-FRET) assay and an EC<sub>50</sub> of 0.021 ± 0.002 μM in mouse Th17 cell differentiation assay. It indicated that compound 28 had excellent RORγt agonistic activity and was expected to be developed as a new type of small molecule drug for cancer immunotherapy. The molecular dynamic simulation revealed that the agonist 28 formed a strong HYF triplet intramolecular interaction to stabilize H12, which helped RORγt to form the protein-binding site and therefore made the receptor ready to recruit coactivator. When the inverse agonist s27 bound with RORγt, the steric hindrance between s27 and H479 caused the destruction of the HYF triplet, leading to the collapse of H12, thus the transcription function of RORγt was interrupted due to the failure of recruiting a coactivator molecule. The triplet HYF in RORγt and the rigidity of 28 and s27 were identified to be the structural determinants for the functional switch of RORγt., ",,CC(=O)N1CCN(c2ccc3c(c2)CCN(S(=O)(=O)N(C)Cc2ccccc2Cl)C3)CC1,C23H29ClN4O3S,CHEMBL4846610,4.7,174.9
2540689,%,max activation,,BAO_0000179,max activation,2117949,Agonist activity at europium-labeled human RORgammat LBD assessed as induction of XL665-labeled co-activator SRC1 recruitment incubated for 1 hr by dual FRET assay relative to control,B,,CHEMBL4827015,10.1016/j.ejmech.2021.113585,34118722,CHEMBL4825693,Discovery of novel N-sulfonamide-tetrahydroisoquinolines as potent retinoic acid receptor-related orphan receptor γt agonists.,PUBLICATION,"Cancer immunotherapy has become a research hotspot in recent years. A variety of targets were developed for small molecule immuno-oncology agents, including retinoic acid-related orphan receptor gamma t (RORγt), chemokine receptor, stimulator of interferon genes (Sting), indoleamine 2,3-dioxygenase (IDO), toll-like receptors (TLR), etc. Among them, the retinoic acid receptor-related orphan receptor γt (RORγt) has gradually attracted more attention in these years. In particular, LYC-55716 (cintirorgon), a small molecule RORγt agonist developed by Lycera, has entered the phase II clinical study. In this work, starting from compound 7, compound 28 was obtained after 4 rounds of compound design, synthesis and SAR studies, which had an EC<sub>50</sub> of 0.021 ± 0.002 μM in dual Fluorescence Resonance Energy Transfer (dual-FRET) assay and an EC<sub>50</sub> of 0.021 ± 0.002 μM in mouse Th17 cell differentiation assay. It indicated that compound 28 had excellent RORγt agonistic activity and was expected to be developed as a new type of small molecule drug for cancer immunotherapy. The molecular dynamic simulation revealed that the agonist 28 formed a strong HYF triplet intramolecular interaction to stabilize H12, which helped RORγt to form the protein-binding site and therefore made the receptor ready to recruit coactivator. When the inverse agonist s27 bound with RORγt, the steric hindrance between s27 and H479 caused the destruction of the HYF triplet, leading to the collapse of H12, thus the transcription function of RORγt was interrupted due to the failure of recruiting a coactivator molecule. The triplet HYF in RORγt and the rigidity of 28 and s27 were identified to be the structural determinants for the functional switch of RORγt.",,CC(=O)N1CCN(c2ccc3c(c2)CCN(S(=O)(=O)N(C)Cc2cccc(F)c2)C3)CC1,C23H29FN4O3S,CHEMBL4846918,169.0,
2540765,%,max activation,,BAO_0000179,max activation,2110959,Agonist activity at APC-labelled RORgammat (unknown origin) assessed as biotinylated SRC recruitment measured after 1 hr by dual FRET assay relative to control,B,,CHEMBL4819809,10.1016/j.ejmech.2020.113013,33272782,CHEMBL4819001,Discovery of tetrahydroquinolines and benzomorpholines as novel potent RORγt agonists.,PUBLICATION,"The retinoic acid receptor-related orphan receptor γt (RORγt) is an important nuclear receptor that regulates the differentiation of Th17 cells and production of interleukin 17(IL-17). RORγt agonists increase basal activity of RORγt and could provide a potential approach to cancer immunotherapy. Herein, hit compound 1 was identified as a weak RORγt agonist during in-house library screening. Changes in LHS core of 1 led to the identification of tetrahydroquinoline compound 6 as a partial RORγt agonist (max. act. = 39.3%). Detailed structure-activity relationship on substituent of the LHS core, amide linker and RHS arylsulfonyl moiety was explored and a novel series of tetrahydroquinolines and benzomorpholines was discovered as potent RORγt agonists. Tetrahydroquinoline compound 8g (EC<sub>50</sub> = 8.9 ± 0.4 nM, max. act. = 104.5%) and benzomorpholine compound 9g (EC<sub>50</sub> = 7.5 ± 0.6 nM, max. act. = 105.8%) were representative compounds with high RORγt agonistic activity in dual FRET assay, and they showed good activity in cell-based Gal4 reporter gene assay and Th17 cell differentiation assay (104.5% activation at 300 nM of 8g; 59.4% activation at 300 nM of 9g). The binding modes of 8g and 9g as well as the two RORγt inverse agonists accidentally discovered were also discussed.",,CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(CCN3CCCc4ccc(CC(C)C)cc43)c(F)c2)cc1,C31H37FN2O3S,CHEMBL4846994,81.3,
2541034,%,max activation,,BAO_0000179,max activation,2117949,Agonist activity at europium-labeled human RORgammat LBD assessed as induction of XL665-labeled co-activator SRC1 recruitment incubated for 1 hr by dual FRET assay relative to control,B,,CHEMBL4827015,10.1016/j.ejmech.2021.113585,34118722,CHEMBL4825693,Discovery of novel N-sulfonamide-tetrahydroisoquinolines as potent retinoic acid receptor-related orphan receptor γt agonists.,PUBLICATION,"Cancer immunotherapy has become a research hotspot in recent years. A variety of targets were developed for small molecule immuno-oncology agents, including retinoic acid-related orphan receptor gamma t (RORγt), chemokine receptor, stimulator of interferon genes (Sting), indoleamine 2,3-dioxygenase (IDO), toll-like receptors (TLR), etc. Among them, the retinoic acid receptor-related orphan receptor γt (RORγt) has gradually attracted more attention in these years. In particular, LYC-55716 (cintirorgon), a small molecule RORγt agonist developed by Lycera, has entered the phase II clinical study. In this work, starting from compound 7, compound 28 was obtained after 4 rounds of compound design, synthesis and SAR studies, which had an EC<sub>50</sub> of 0.021 ± 0.002 μM in dual Fluorescence Resonance Energy Transfer (dual-FRET) assay and an EC<sub>50</sub> of 0.021 ± 0.002 μM in mouse Th17 cell differentiation assay. It indicated that compound 28 had excellent RORγt agonistic activity and was expected to be developed as a new type of small molecule drug for cancer immunotherapy. The molecular dynamic simulation revealed that the agonist 28 formed a strong HYF triplet intramolecular interaction to stabilize H12, which helped RORγt to form the protein-binding site and therefore made the receptor ready to recruit coactivator. When the inverse agonist s27 bound with RORγt, the steric hindrance between s27 and H479 caused the destruction of the HYF triplet, leading to the collapse of H12, thus the transcription function of RORγt was interrupted due to the failure of recruiting a coactivator molecule. The triplet HYF in RORγt and the rigidity of 28 and s27 were identified to be the structural determinants for the functional switch of RORγt.",,CC(=O)N1CCN(c2ccc3c(c2)CCN(S(=O)(=O)N(C)CC2CC2)C3)CC1,C20H30N4O3S,CHEMBL4847263,55.7,
2541388,%,max activation,,BAO_0000179,max activation,2117949,Agonist activity at europium-labeled human RORgammat LBD assessed as induction of XL665-labeled co-activator SRC1 recruitment incubated for 1 hr by dual FRET assay relative to control,B,,CHEMBL4827015,10.1016/j.ejmech.2021.113585,34118722,CHEMBL4825693,Discovery of novel N-sulfonamide-tetrahydroisoquinolines as potent retinoic acid receptor-related orphan receptor γt agonists.,PUBLICATION,"Cancer immunotherapy has become a research hotspot in recent years. A variety of targets were developed for small molecule immuno-oncology agents, including retinoic acid-related orphan receptor gamma t (RORγt), chemokine receptor, stimulator of interferon genes (Sting), indoleamine 2,3-dioxygenase (IDO), toll-like receptors (TLR), etc. Among them, the retinoic acid receptor-related orphan receptor γt (RORγt) has gradually attracted more attention in these years. In particular, LYC-55716 (cintirorgon), a small molecule RORγt agonist developed by Lycera, has entered the phase II clinical study. In this work, starting from compound 7, compound 28 was obtained after 4 rounds of compound design, synthesis and SAR studies, which had an EC<sub>50</sub> of 0.021 ± 0.002 μM in dual Fluorescence Resonance Energy Transfer (dual-FRET) assay and an EC<sub>50</sub> of 0.021 ± 0.002 μM in mouse Th17 cell differentiation assay. It indicated that compound 28 had excellent RORγt agonistic activity and was expected to be developed as a new type of small molecule drug for cancer immunotherapy. The molecular dynamic simulation revealed that the agonist 28 formed a strong HYF triplet intramolecular interaction to stabilize H12, which helped RORγt to form the protein-binding site and therefore made the receptor ready to recruit coactivator. When the inverse agonist s27 bound with RORγt, the steric hindrance between s27 and H479 caused the destruction of the HYF triplet, leading to the collapse of H12, thus the transcription function of RORγt was interrupted due to the failure of recruiting a coactivator molecule. The triplet HYF in RORγt and the rigidity of 28 and s27 were identified to be the structural determinants for the functional switch of RORγt.",,CC(=O)N1CCN(c2ccc3c(c2)CCN(S(=O)(=O)N(C)Cc2c(F)cccc2Cl)C3)[C@H](C)C1,C24H30ClFN4O3S,CHEMBL4847617,82.4,
