comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0
AGGLDJAEDVCHGN-YPZLOKHQSA-N,uM,DC50,,BAO_0000179,DC50,DEGRADER,123161,Induction of AR degradation in human LNCap cells incubated for 24 hrs by sandwich ELISA analysis,,,36070471,12481,10.1021/acs.jmedchem.2c01164,CHEMBL5113526,"Design, Synthesis, and Biological Evaluation of Androgen Receptor Degrading and Antagonizing Bifunctional Steroidal Analogs for the Treatment of Advanced Prostate Cancer.","Wang A, Luo X, Wang Y, Meng X, Lu Z, Yang Y.","Metastatic castration-resistant prostate cancer (mCRPC) with high mortality has seriously threatened men's health. Bifunctional agents simultaneously degrade and antagonize androgen receptor (AR), display robust AR signaling pathway blockade, and show the therapeutic prospect for mCRPC. Herein, systemic structural modifications on the C-3, C-6, and C-17 positions of galeterone led to the discovery of <b>67-b</b> with the dual functions of AR antagonism and degradation. <i>In vitro</i>, <b>67-b</b> exhibited excellent antiproliferative activity and potent AR degradation activity in different PCa cells (LNCaP and 22RV1), as well as outstanding antagonistic activity against wild-type and mutant (W741L, T877A, and F876L) ARs. <i>In vivo</i>, <b>67-b</b> effectively inhibited the growth of hormone-sensitive organs in the Hershberger assay and exhibited tumor regression in the enzalutamide-resistant (c4-2b-ENZ) xenograft model. These results confirmed <b>67-b</b> to be a promising AR degrader and antagonist for the treatment of mCRPC patients.","InChI=1S/C28H35N5O/c1-18-16-33(17-29-18)25-7-6-23-22-5-4-20-14-21(32-26(34)19-10-13-30-31-15-19)8-11-27(20,2)24(22)9-12-28(23,25)3/h4,7,10,13,15-17,21-24H,5-6,8-9,11-12,14H2,1-3H3,(H,32,34)/t21-,22-,23-,24-,27-,28-/m0/s1",0.64,0.52,2.08
BFRSSNKSUVHGBY-FQEVSTJZSA-N,uM,DC50,,BAO_0000179,DC50,DEGRADER,117548,Induction of androgen receptor T877A mutant degradation in human LNCaP cells measured after 24 hrs in presence of AR agonist R1881 by Western blot analysis,,,33095584,12665,10.1021/acs.jmedchem.0c00943,CHEMBL4673256,Pyrazol-1-yl-propanamides as SARD and Pan-Antagonists for the Treatment of Enzalutamide-Resistant Prostate Cancer.,"He Y,Hwang DJ,Ponnusamy S,Thiyagarajan T,Mohler ML,Narayanan R,Miller DD","We report herein the design, synthesis, and pharmacological characterization of a library of novel aryl pyrazol-1-yl-propanamides as selective androgen receptor degraders (SARDs) and pan-antagonists that exert broad-scope AR antagonism. Pharmacological evaluation demonstrated that introducing a pyrazole moiety as the B-ring structural element in the common A-ring-linkage-B-ring nonsteroidal antiandrogens' general pharmacophore allowed the development of a new scaffold of small molecules with unique SARD and pan-antagonist activities even compared to our recently published AF-1 binding SARDs such as UT-155 (9) and UT-34 (10). Novel B-ring pyrazoles exhibited potent AR antagonist activities, including promising distribution, metabolism, and pharmacokinetic properties, and broad-spectrum AR antagonist properties, including potent in vivo antitumor activity. 26a was able to induce an 80% tumor growth inhibition of xenografts derived from the enzalutamide-resistant (Enz-R) VCaP cell line. These results represent an advancement toward the development of novel AR antagonists for the treatment of Enz-R prostate cancer.","InChI=1S/C21H16F4N4O2/c1-20(31,12-29-9-8-18(28-29)13-2-5-15(22)6-3-13)19(30)27-16-7-4-14(11-26)17(10-16)21(23,24)25/h2-10,31H,12H2,1H3,(H,27,30)/t20-/m0/s1",0.60,-1.73,0.99
CXXULIBVDAQXMX-BNCSLUSBSA-N,uM,DC50,,BAO_0000179,DC50,DEGRADER,123161,Induction of AR degradation in human LNCap cells incubated for 24 hrs by sandwich ELISA analysis,,,36070471,12481,10.1021/acs.jmedchem.2c01164,CHEMBL5113526,"Design, Synthesis, and Biological Evaluation of Androgen Receptor Degrading and Antagonizing Bifunctional Steroidal Analogs for the Treatment of Advanced Prostate Cancer.","Wang A, Luo X, Wang Y, Meng X, Lu Z, Yang Y.","Metastatic castration-resistant prostate cancer (mCRPC) with high mortality has seriously threatened men's health. Bifunctional agents simultaneously degrade and antagonize androgen receptor (AR), display robust AR signaling pathway blockade, and show the therapeutic prospect for mCRPC. Herein, systemic structural modifications on the C-3, C-6, and C-17 positions of galeterone led to the discovery of <b>67-b</b> with the dual functions of AR antagonism and degradation. <i>In vitro</i>, <b>67-b</b> exhibited excellent antiproliferative activity and potent AR degradation activity in different PCa cells (LNCaP and 22RV1), as well as outstanding antagonistic activity against wild-type and mutant (W741L, T877A, and F876L) ARs. <i>In vivo</i>, <b>67-b</b> effectively inhibited the growth of hormone-sensitive organs in the Hershberger assay and exhibited tumor regression in the enzalutamide-resistant (c4-2b-ENZ) xenograft model. These results confirmed <b>67-b</b> to be a promising AR degrader and antagonist for the treatment of mCRPC patients.","InChI=1S/C26H32N6O/c1-25-10-7-19(30-24(33)17-9-12-27-29-16-17)15-18(25)3-4-20-21-5-6-23(32-14-13-28-31-32)26(21,2)11-8-22(20)25/h3,6,9,12-14,16,19-22H,4-5,7-8,10-11,15H2,1-2H3,(H,30,33)/t19-,20-,21-,22-,25-,26-/m0/s1",0.71,0.54,4.36
HJMCKQIXYCUICJ-LMXVXWCUSA-N,uM,DC50,,BAO_0000179,DC50,DEGRADER,123161,Induction of AR degradation in human LNCap cells incubated for 24 hrs by sandwich ELISA analysis,,,36070471,12481,10.1021/acs.jmedchem.2c01164,CHEMBL5113526,"Design, Synthesis, and Biological Evaluation of Androgen Receptor Degrading and Antagonizing Bifunctional Steroidal Analogs for the Treatment of Advanced Prostate Cancer.","Wang A, Luo X, Wang Y, Meng X, Lu Z, Yang Y.","Metastatic castration-resistant prostate cancer (mCRPC) with high mortality has seriously threatened men's health. Bifunctional agents simultaneously degrade and antagonize androgen receptor (AR), display robust AR signaling pathway blockade, and show the therapeutic prospect for mCRPC. Herein, systemic structural modifications on the C-3, C-6, and C-17 positions of galeterone led to the discovery of <b>67-b</b> with the dual functions of AR antagonism and degradation. <i>In vitro</i>, <b>67-b</b> exhibited excellent antiproliferative activity and potent AR degradation activity in different PCa cells (LNCaP and 22RV1), as well as outstanding antagonistic activity against wild-type and mutant (W741L, T877A, and F876L) ARs. <i>In vivo</i>, <b>67-b</b> effectively inhibited the growth of hormone-sensitive organs in the Hershberger assay and exhibited tumor regression in the enzalutamide-resistant (c4-2b-ENZ) xenograft model. These results confirmed <b>67-b</b> to be a promising AR degrader and antagonist for the treatment of mCRPC patients.","InChI=1S/C29H36N4O/c1-19-17-33(18-31-19)26-7-6-24-23-5-4-21-16-22(32-27(34)20-10-14-30-15-11-20)8-12-28(21,2)25(23)9-13-29(24,26)3/h4,7,10-11,14-15,17-18,22-25H,5-6,8-9,12-13,16H2,1-3H3,(H,32,34)/t22-,23-,24-,25-,28-,29-/m0/s1",0.59,0.49,2.84
HSSVFKGJRBTBRJ-HNNXBMFYSA-N,uM,DC50,,BAO_0000179,DC50,DEGRADER,117548,Induction of androgen receptor T877A mutant degradation in human LNCaP cells measured after 24 hrs in presence of AR agonist R1881 by Western blot analysis,,,33095584,12665,10.1021/acs.jmedchem.0c00943,CHEMBL4673256,Pyrazol-1-yl-propanamides as SARD and Pan-Antagonists for the Treatment of Enzalutamide-Resistant Prostate Cancer.,"He Y,Hwang DJ,Ponnusamy S,Thiyagarajan T,Mohler ML,Narayanan R,Miller DD","We report herein the design, synthesis, and pharmacological characterization of a library of novel aryl pyrazol-1-yl-propanamides as selective androgen receptor degraders (SARDs) and pan-antagonists that exert broad-scope AR antagonism. Pharmacological evaluation demonstrated that introducing a pyrazole moiety as the B-ring structural element in the common A-ring-linkage-B-ring nonsteroidal antiandrogens' general pharmacophore allowed the development of a new scaffold of small molecules with unique SARD and pan-antagonist activities even compared to our recently published AF-1 binding SARDs such as UT-155 (9) and UT-34 (10). Novel B-ring pyrazoles exhibited potent AR antagonist activities, including promising distribution, metabolism, and pharmacokinetic properties, and broad-spectrum AR antagonist properties, including potent in vivo antitumor activity. 26a was able to induce an 80% tumor growth inhibition of xenografts derived from the enzalutamide-resistant (Enz-R) VCaP cell line. These results represent an advancement toward the development of novel AR antagonists for the treatment of Enz-R prostate cancer.","InChI=1S/C16H12F3N5O2/c1-15(26,9-24-8-10(5-20)7-22-24)14(25)23-12-3-2-11(6-21)13(4-12)16(17,18)19/h2-4,7-8,26H,9H2,1H3,(H,23,25)/t15-/m0/s1",0.86,-1.59,0.32
HXODPWIKNOEWIM-LMXVXWCUSA-N,uM,DC50,,BAO_0000179,DC50,DEGRADER,123161,Induction of AR degradation in human LNCap cells incubated for 24 hrs by sandwich ELISA analysis,,,36070471,12481,10.1021/acs.jmedchem.2c01164,CHEMBL5113526,"Design, Synthesis, and Biological Evaluation of Androgen Receptor Degrading and Antagonizing Bifunctional Steroidal Analogs for the Treatment of Advanced Prostate Cancer.","Wang A, Luo X, Wang Y, Meng X, Lu Z, Yang Y.","Metastatic castration-resistant prostate cancer (mCRPC) with high mortality has seriously threatened men's health. Bifunctional agents simultaneously degrade and antagonize androgen receptor (AR), display robust AR signaling pathway blockade, and show the therapeutic prospect for mCRPC. Herein, systemic structural modifications on the C-3, C-6, and C-17 positions of galeterone led to the discovery of <b>67-b</b> with the dual functions of AR antagonism and degradation. <i>In vitro</i>, <b>67-b</b> exhibited excellent antiproliferative activity and potent AR degradation activity in different PCa cells (LNCaP and 22RV1), as well as outstanding antagonistic activity against wild-type and mutant (W741L, T877A, and F876L) ARs. <i>In vivo</i>, <b>67-b</b> effectively inhibited the growth of hormone-sensitive organs in the Hershberger assay and exhibited tumor regression in the enzalutamide-resistant (c4-2b-ENZ) xenograft model. These results confirmed <b>67-b</b> to be a promising AR degrader and antagonist for the treatment of mCRPC patients.","InChI=1S/C29H36N4O/c1-19-17-33(18-31-19)26-9-8-24-23-7-6-21-15-22(32-27(34)20-5-4-14-30-16-20)10-12-28(21,2)25(23)11-13-29(24,26)3/h4-6,9,14,16-18,22-25H,7-8,10-13,15H2,1-3H3,(H,32,34)/t22-,23-,24-,25-,28-,29-/m0/s1",0.59,0.43,3.58
JNETZLOYJXWUGZ-JJAANBCZSA-N,uM,DC50,,BAO_0000179,DC50,DEGRADER,123161,Induction of AR degradation in human LNCap cells incubated for 24 hrs by sandwich ELISA analysis,,,36070471,12481,10.1021/acs.jmedchem.2c01164,CHEMBL5113526,"Design, Synthesis, and Biological Evaluation of Androgen Receptor Degrading and Antagonizing Bifunctional Steroidal Analogs for the Treatment of Advanced Prostate Cancer.","Wang A, Luo X, Wang Y, Meng X, Lu Z, Yang Y.","Metastatic castration-resistant prostate cancer (mCRPC) with high mortality has seriously threatened men's health. Bifunctional agents simultaneously degrade and antagonize androgen receptor (AR), display robust AR signaling pathway blockade, and show the therapeutic prospect for mCRPC. Herein, systemic structural modifications on the C-3, C-6, and C-17 positions of galeterone led to the discovery of <b>67-b</b> with the dual functions of AR antagonism and degradation. <i>In vitro</i>, <b>67-b</b> exhibited excellent antiproliferative activity and potent AR degradation activity in different PCa cells (LNCaP and 22RV1), as well as outstanding antagonistic activity against wild-type and mutant (W741L, T877A, and F876L) ARs. <i>In vivo</i>, <b>67-b</b> effectively inhibited the growth of hormone-sensitive organs in the Hershberger assay and exhibited tumor regression in the enzalutamide-resistant (c4-2b-ENZ) xenograft model. These results confirmed <b>67-b</b> to be a promising AR degrader and antagonist for the treatment of mCRPC patients.","InChI=1S/C27H33N5O/c1-26-10-7-20(31-25(33)18-9-12-29-30-16-18)15-19(26)3-4-21-22-5-6-24(32-14-13-28-17-32)27(22,2)11-8-23(21)26/h3,6,9,12-14,16-17,20-23H,4-5,7-8,10-11,15H2,1-2H3,(H,31,33)/t20-,21-,22-,23-,26-,27-/m0/s1",0.69,0.39,2.76
JQTBLQBOBNNBKG-PQFRROSMSA-N,uM,DC50,,BAO_0000179,DC50,DEGRADER,123161,Induction of AR degradation in human LNCap cells incubated for 24 hrs by sandwich ELISA analysis,,,36070471,12481,10.1021/acs.jmedchem.2c01164,CHEMBL5113526,"Design, Synthesis, and Biological Evaluation of Androgen Receptor Degrading and Antagonizing Bifunctional Steroidal Analogs for the Treatment of Advanced Prostate Cancer.","Wang A, Luo X, Wang Y, Meng X, Lu Z, Yang Y.","Metastatic castration-resistant prostate cancer (mCRPC) with high mortality has seriously threatened men's health. Bifunctional agents simultaneously degrade and antagonize androgen receptor (AR), display robust AR signaling pathway blockade, and show the therapeutic prospect for mCRPC. Herein, systemic structural modifications on the C-3, C-6, and C-17 positions of galeterone led to the discovery of <b>67-b</b> with the dual functions of AR antagonism and degradation. <i>In vitro</i>, <b>67-b</b> exhibited excellent antiproliferative activity and potent AR degradation activity in different PCa cells (LNCaP and 22RV1), as well as outstanding antagonistic activity against wild-type and mutant (W741L, T877A, and F876L) ARs. <i>In vivo</i>, <b>67-b</b> effectively inhibited the growth of hormone-sensitive organs in the Hershberger assay and exhibited tumor regression in the enzalutamide-resistant (c4-2b-ENZ) xenograft model. These results confirmed <b>67-b</b> to be a promising AR degrader and antagonist for the treatment of mCRPC patients.","InChI=1S/C32H36N4O/c1-31-15-11-23(35-30(37)21-13-17-33-18-14-21)19-22(31)7-8-24-25-9-10-29(32(25,2)16-12-26(24)31)36-20-34-27-5-3-4-6-28(27)36/h3-7,10,13-14,17-18,20,23-26H,8-9,11-12,15-16,19H2,1-2H3,(H,35,37)/t23-,24-,25-,26-,31-,32-/m0/s1",0.42,0.32,3.76
KETQDHYSNYBDHH-UHFFFAOYSA-N,uM,DC50,,BAO_0000179,DC50,DEGRADER,117548,Induction of androgen receptor T877A mutant degradation in human LNCaP cells measured after 24 hrs in presence of AR agonist R1881 by Western blot analysis,,,33095584,12665,10.1021/acs.jmedchem.0c00943,CHEMBL4673256,Pyrazol-1-yl-propanamides as SARD and Pan-Antagonists for the Treatment of Enzalutamide-Resistant Prostate Cancer.,"He Y,Hwang DJ,Ponnusamy S,Thiyagarajan T,Mohler ML,Narayanan R,Miller DD","We report herein the design, synthesis, and pharmacological characterization of a library of novel aryl pyrazol-1-yl-propanamides as selective androgen receptor degraders (SARDs) and pan-antagonists that exert broad-scope AR antagonism. Pharmacological evaluation demonstrated that introducing a pyrazole moiety as the B-ring structural element in the common A-ring-linkage-B-ring nonsteroidal antiandrogens' general pharmacophore allowed the development of a new scaffold of small molecules with unique SARD and pan-antagonist activities even compared to our recently published AF-1 binding SARDs such as UT-155 (9) and UT-34 (10). Novel B-ring pyrazoles exhibited potent AR antagonist activities, including promising distribution, metabolism, and pharmacokinetic properties, and broad-spectrum AR antagonist properties, including potent in vivo antitumor activity. 26a was able to induce an 80% tumor growth inhibition of xenografts derived from the enzalutamide-resistant (Enz-R) VCaP cell line. These results represent an advancement toward the development of novel AR antagonists for the treatment of Enz-R prostate cancer.","InChI=1S/C15H12F4N4O/c1-9(7-23-8-11(16)6-21-23)14(24)22-12-3-2-10(5-20)13(4-12)15(17,18)19/h2-4,6,8-9H,7H2,1H3,(H,22,24)",0.87,-2.11,0.74
LFDQERITJWSRCX-HKSHTPPISA-N,uM,DC50,,BAO_0000179,DC50,DEGRADER,123161,Induction of AR degradation in human LNCap cells incubated for 24 hrs by sandwich ELISA analysis,,,36070471,12481,10.1021/acs.jmedchem.2c01164,CHEMBL5113526,"Design, Synthesis, and Biological Evaluation of Androgen Receptor Degrading and Antagonizing Bifunctional Steroidal Analogs for the Treatment of Advanced Prostate Cancer.","Wang A, Luo X, Wang Y, Meng X, Lu Z, Yang Y.","Metastatic castration-resistant prostate cancer (mCRPC) with high mortality has seriously threatened men's health. Bifunctional agents simultaneously degrade and antagonize androgen receptor (AR), display robust AR signaling pathway blockade, and show the therapeutic prospect for mCRPC. Herein, systemic structural modifications on the C-3, C-6, and C-17 positions of galeterone led to the discovery of <b>67-b</b> with the dual functions of AR antagonism and degradation. <i>In vitro</i>, <b>67-b</b> exhibited excellent antiproliferative activity and potent AR degradation activity in different PCa cells (LNCaP and 22RV1), as well as outstanding antagonistic activity against wild-type and mutant (W741L, T877A, and F876L) ARs. <i>In vivo</i>, <b>67-b</b> effectively inhibited the growth of hormone-sensitive organs in the Hershberger assay and exhibited tumor regression in the enzalutamide-resistant (c4-2b-ENZ) xenograft model. These results confirmed <b>67-b</b> to be a promising AR degrader and antagonist for the treatment of mCRPC patients.","InChI=1S/C31H35N5O/c1-30-14-11-22(35-29(37)20-13-16-33-34-18-20)17-21(30)7-8-23-24-9-10-28(31(24,2)15-12-25(23)30)36-19-32-26-5-3-4-6-27(26)36/h3-7,10,13,16,18-19,22-25H,8-9,11-12,14-15,17H2,1-2H3,(H,35,37)/t22-,23-,24-,25-,30-,31-/m0/s1",0.45,0.35,4.78
