comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0
DANYIYRPLHHOCZ-UHFFFAOYSA-N,uM,EC150,,BAO_0000179,EC150,,48045,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,,,19592245,4710,10.1016/j.bmcl.2009.06.073,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,"Nishizaki Y, Ishimoto Y, Hotta Y, Hosoda A, Yoshikawa H, Akamatsu M, Tamura H.","The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.","InChI=1S/C16H12O5/c1-20-11-4-2-9(3-5-11)14-8-13(19)16-12(18)6-10(17)7-15(16)21-14/h2-8,17-18H,1H3",0.76,1.12,2.1
FXNFHKRTJBSTCS-UHFFFAOYSA-N,uM,EC150,,BAO_0000179,EC150,,48045,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,,,19592245,4710,10.1016/j.bmcl.2009.06.073,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,"Nishizaki Y, Ishimoto Y, Hotta Y, Hosoda A, Yoshikawa H, Akamatsu M, Tamura H.","The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.","InChI=1S/C15H10O5/c16-9-6-11(8-4-2-1-3-5-8)20-12-7-10(17)14(18)15(19)13(9)12/h1-7,17-19H",0.59,1.27,18.9
GPZYYYGYCRFPBU-UHFFFAOYSA-N,uM,EC150,,BAO_0000179,EC150,,48045,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,,,19592245,4710,10.1016/j.bmcl.2009.06.073,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,"Nishizaki Y, Ishimoto Y, Hotta Y, Hosoda A, Yoshikawa H, Akamatsu M, Tamura H.","The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.","InChI=1S/C15H10O3/c16-11-6-7-14-12(8-11)13(17)9-15(18-14)10-4-2-1-3-5-10/h1-9,16H",0.71,0.68,7.1
IFNDLWHUYFSXBK-UHFFFAOYSA-N,uM,EC150,,BAO_0000179,EC150,,48045,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,,,19592245,4710,10.1016/j.bmcl.2009.06.073,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,"Nishizaki Y, Ishimoto Y, Hotta Y, Hosoda A, Yoshikawa H, Akamatsu M, Tamura H.","The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.",InChI=1S/C15H9ClO2/c16-11-6-7-14-12(8-11)13(17)9-15(18-14)10-4-2-1-3-5-10/h1-9H,0.66,-0.11,12.6
IQPNAANSBPBGFQ-UHFFFAOYSA-N,uM,EC150,,BAO_0000179,EC150,,48045,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,,,19592245,4710,10.1016/j.bmcl.2009.06.073,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,"Nishizaki Y, Ishimoto Y, Hotta Y, Hosoda A, Yoshikawa H, Akamatsu M, Tamura H.","The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.","InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H",0.51,1.50,18.0
IYBLVRRCNVHZQJ-UHFFFAOYSA-N,uM,EC150,,BAO_0000179,EC150,,48045,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,,,19592245,4710,10.1016/j.bmcl.2009.06.073,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,"Nishizaki Y, Ishimoto Y, Hotta Y, Hosoda A, Yoshikawa H, Akamatsu M, Tamura H.","The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.","InChI=1S/C15H10O3/c16-11-7-4-8-13-15(11)12(17)9-14(18-13)10-5-2-1-3-6-10/h1-9,16H",0.71,0.90,6.0
IYRMWMYZSQPJKC-UHFFFAOYSA-N,uM,EC150,,BAO_0000179,EC150,,48045,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,,,19592245,4710,10.1016/j.bmcl.2009.06.073,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,"Nishizaki Y, Ishimoto Y, Hotta Y, Hosoda A, Yoshikawa H, Akamatsu M, Tamura H.","The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.","InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",0.55,1.55,55.7
KQMVAGISDHMXJJ-UHFFFAOYSA-N,uM,EC150,,BAO_0000179,EC150,,48045,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,,,19592245,4710,10.1016/j.bmcl.2009.06.073,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,"Nishizaki Y, Ishimoto Y, Hotta Y, Hosoda A, Yoshikawa H, Akamatsu M, Tamura H.","The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.","InChI=1S/C16H12O5/c1-20-11-6-13(18)15-14(7-11)21-8-12(16(15)19)9-2-4-10(17)5-3-9/h2-8,17-18H,1H3",0.76,1.14,3.2
KZNIFHPLKGYRTM-UHFFFAOYSA-N,uM,EC150,,BAO_0000179,EC150,,48045,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,,,19592245,4710,10.1016/j.bmcl.2009.06.073,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,"Nishizaki Y, Ishimoto Y, Hotta Y, Hosoda A, Yoshikawa H, Akamatsu M, Tamura H.","The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.","InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",0.63,1.36,5.2
MQGPSCMMNJKMHQ-UHFFFAOYSA-N,uM,EC150,,BAO_0000179,EC150,,48045,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,,,19592245,4710,10.1016/j.bmcl.2009.06.073,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,"Nishizaki Y, Ishimoto Y, Hotta Y, Hosoda A, Yoshikawa H, Akamatsu M, Tamura H.","The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.","InChI=1S/C15H10O3/c16-11-6-7-12-13(17)9-14(18-15(12)8-11)10-4-2-1-3-5-10/h1-9,16H",0.71,0.74,3.1
