comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2
AGSCTHMUNVWIEG-UHFFFAOYSA-N,nM,EC5,,"Entry 0: BAO_0000179, Entry 1: BAO_0000179, ",EC5,,"Entry 0: 51143, Entry 1: 51143, ","Entry 0: Activity at human AR expressed in human HeLa cells after 48 hrs by transient-luciferase reporter gene assay, Entry 1: Activity at human AR expressed in human HeLa cells after 48 hrs by stable-luciferase reporter gene assay, ",,,"Entry 0: 20381361, Entry 1: 20381361, ","Entry 0: 3168, Entry 1: 3168, ","Entry 0: 10.1016/j.bmc.2010.03.036, Entry 1: 10.1016/j.bmc.2010.03.036, ","Entry 0: CHEMBL1158555, Entry 1: CHEMBL1158555, ","Entry 0: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., Entry 1: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., ","Entry 0: Yoshino H, Sato H, Tachibana K, Shiraishi T, Nakamura M, Ohta M, Ishikura N, Nagamuta M, Onuma E, Nakagawa T, Arai S, Ahn KH, Jung KY, Kawata H., Entry 1: Yoshino H, Sato H, Tachibana K, Shiraishi T, Nakamura M, Ohta M, Ishikura N, Nagamuta M, Onuma E, Nakagawa T, Arai S, Ahn KH, Jung KY, Kawata H., ","Entry 0: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., Entry 1: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., ","InChI=1S/C17H19F3N4O3S2/c1-16(2)14(25)24(15(28)23(16)7-4-8-29(26,27)22-3)12-6-5-11(10-21)13(9-12)17(18,19)20/h5-6,9,22H,4,7-8H2,1-3H3",0.67,-1.64,1400.0,10000.0,
BPEAQTOVXXWKSB-UHFFFAOYSA-N,nM,EC5,,BAO_0000179,EC5,,54081,Agonist activity at human AR expressed in human HeLa cells co-transfected with MMTV-Luc-Hyg after 48 hrs by transient-luciferase reporter gene assay,,,21050768,8157,10.1016/j.bmc.2010.10.023,CHEMBL1287756,Design and synthesis of an androgen receptor pure antagonist (CH5137291) for the treatment of castration-resistant prostate cancer.,"Yoshino H, Sato H, Shiraishi T, Tachibana K, Emura T, Honma A, Ishikura N, Tsunenari T, Watanabe M, Nishimoto A, Nakamura R, Nakagawa T, Ohta M, Takata N, Furumoto K, Kimura K, Kawata H.","A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of castration-resistant prostate cancer. Since CH4933468, which we reported previously, had a problem with agonist metabolites, novel thiohydantoin derivatives were identified by applying two strategies. One was the replacement of the alkylsulfonamide moiety by a phenylsulfonamide to avoid the production of agonist metabolites. The other was the replacement of the phenyl ring with a pyridine ring to improve in vivo potency and reduce hERG affinity. Pharmacological assays indicated that CH5137291 (17b) was a potent AR pure antagonist which did not produce the agonist metabolite. Moreover, CH5137291 completely inhibited in vivo tumor growth of LNCaP-BC2, a castration-resistant prostate cancer model.","InChI=1S/C17H14ClN5O3S2/c1-17(2)15(24)22(11-7-6-10(9-19)12(18)8-11)16(27)23(17)13-4-3-5-14(21-13)28(20,25)26/h3-8H,1-2H3,(H2,20,25,26)",0.73,-1.62,10000.0,,
CKUVUKJYCLTZAY-UHFFFAOYSA-N,nM,EC5,,"Entry 0: BAO_0000179, Entry 1: BAO_0000179, ",EC5,,"Entry 0: 51143, Entry 1: 51143, ","Entry 0: Activity at human AR expressed in human HeLa cells after 48 hrs by transient-luciferase reporter gene assay, Entry 1: Activity at human AR expressed in human HeLa cells after 48 hrs by stable-luciferase reporter gene assay, ",,,"Entry 0: 20381361, Entry 1: 20381361, ","Entry 0: 3168, Entry 1: 3168, ","Entry 0: 10.1016/j.bmc.2010.03.036, Entry 1: 10.1016/j.bmc.2010.03.036, ","Entry 0: CHEMBL1158555, Entry 1: CHEMBL1158555, ","Entry 0: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., Entry 1: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., ","Entry 0: Yoshino H, Sato H, Tachibana K, Shiraishi T, Nakamura M, Ohta M, Ishikura N, Nagamuta M, Onuma E, Nakagawa T, Arai S, Ahn KH, Jung KY, Kawata H., Entry 1: Yoshino H, Sato H, Tachibana K, Shiraishi T, Nakamura M, Ohta M, Ishikura N, Nagamuta M, Onuma E, Nakagawa T, Arai S, Ahn KH, Jung KY, Kawata H., ","Entry 0: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., Entry 1: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., ","InChI=1S/C17H19F3N4O3S2/c1-16(2)14(25)24(15(28)23(16)7-3-4-8-29(22,26)27)12-6-5-11(10-21)13(9-12)17(18,19)20/h5-6,9H,3-4,7-8H2,1-2H3,(H2,22,26,27)",0.53,-1.51,10000.0,10000.0,
DNOXQXMQZDSJQU-UHFFFAOYSA-N,nM,EC5,,"Entry 0: BAO_0000179, Entry 1: BAO_0000179, ",EC5,,"Entry 0: 51143, Entry 1: 51143, ","Entry 0: Activity at human AR expressed in human HeLa cells after 48 hrs by transient-luciferase reporter gene assay, Entry 1: Activity at human AR expressed in human HeLa cells after 48 hrs by stable-luciferase reporter gene assay, ",,,"Entry 0: 20381361, Entry 1: 20381361, ","Entry 0: 3168, Entry 1: 3168, ","Entry 0: 10.1016/j.bmc.2010.03.036, Entry 1: 10.1016/j.bmc.2010.03.036, ","Entry 0: CHEMBL1158555, Entry 1: CHEMBL1158555, ","Entry 0: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., Entry 1: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., ","Entry 0: Yoshino H, Sato H, Tachibana K, Shiraishi T, Nakamura M, Ohta M, Ishikura N, Nagamuta M, Onuma E, Nakagawa T, Arai S, Ahn KH, Jung KY, Kawata H., Entry 1: Yoshino H, Sato H, Tachibana K, Shiraishi T, Nakamura M, Ohta M, Ishikura N, Nagamuta M, Onuma E, Nakagawa T, Arai S, Ahn KH, Jung KY, Kawata H., ","Entry 0: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., Entry 1: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., ","InChI=1S/C16H18F3N5O3S2/c1-15(2)13(25)24(14(28)23(15)7-3-6-22-29(21,26)27)11-5-4-10(9-20)12(8-11)16(17,18)19/h4-5,8,22H,3,6-7H2,1-2H3,(H2,21,26,27)",0.50,-1.58,10000.0,10000.0,
DSIHXMZSDDJEHM-UHFFFAOYSA-N,nM,EC5,,"Entry 0: BAO_0000179, Entry 1: BAO_0000179, ",EC5,,"Entry 0: 51143, Entry 1: 54081, ","Entry 0: Activity at human AR expressed in human HeLa cells after 48 hrs by stable-luciferase reporter gene assay, Entry 1: Agonist activity at human AR expressed in human HeLa cells co-transfected with MMTV-Luc-Hyg after 48 hrs by transient-luciferase reporter gene assay, ",,,"Entry 0: 20381361, Entry 1: 21050768, ","Entry 0: 3168, Entry 1: 8157, ","Entry 0: 10.1016/j.bmc.2010.03.036, Entry 1: 10.1016/j.bmc.2010.10.023, ","Entry 0: CHEMBL1158555, Entry 1: CHEMBL1287756, ","Entry 0: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., Entry 1: Design and synthesis of an androgen receptor pure antagonist (CH5137291) for the treatment of castration-resistant prostate cancer., ","Entry 0: Yoshino H, Sato H, Tachibana K, Shiraishi T, Nakamura M, Ohta M, Ishikura N, Nagamuta M, Onuma E, Nakagawa T, Arai S, Ahn KH, Jung KY, Kawata H., Entry 1: Yoshino H, Sato H, Shiraishi T, Tachibana K, Emura T, Honma A, Ishikura N, Tsunenari T, Watanabe M, Nishimoto A, Nakamura R, Nakagawa T, Ohta M, Takata N, Furumoto K, Kimura K, Kawata H., ","Entry 0: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., Entry 1: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of castration-resistant prostate cancer. Since CH4933468, which we reported previously, had a problem with agonist metabolites, novel thiohydantoin derivatives were identified by applying two strategies. One was the replacement of the alkylsulfonamide moiety by a phenylsulfonamide to avoid the production of agonist metabolites. The other was the replacement of the phenyl ring with a pyridine ring to improve in vivo potency and reduce hERG affinity. Pharmacological assays indicated that CH5137291 (17b) was a potent AR pure antagonist which did not produce the agonist metabolite. Moreover, CH5137291 completely inhibited in vivo tumor growth of LNCaP-BC2, a castration-resistant prostate cancer model., ","InChI=1S/C15H17ClN4O3S2/c1-15(2)13(21)20(11-5-4-10(9-17)12(16)8-11)14(24)19(15)6-3-7-25(18,22)23/h4-5,8H,3,6-7H2,1-2H3,(H2,18,22,23)",0.75,-1.73,10000.0,10000.0,
FJTVLRBKLVJPNG-UHFFFAOYSA-N,nM,EC5,,BAO_0000179,EC5,,54081,Agonist activity at human AR expressed in human HeLa cells co-transfected with MMTV-Luc-Hyg after 48 hrs by transient-luciferase reporter gene assay,,,21050768,8157,10.1016/j.bmc.2010.10.023,CHEMBL1287756,Design and synthesis of an androgen receptor pure antagonist (CH5137291) for the treatment of castration-resistant prostate cancer.,"Yoshino H, Sato H, Shiraishi T, Tachibana K, Emura T, Honma A, Ishikura N, Tsunenari T, Watanabe M, Nishimoto A, Nakamura R, Nakagawa T, Ohta M, Takata N, Furumoto K, Kimura K, Kawata H.","A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of castration-resistant prostate cancer. Since CH4933468, which we reported previously, had a problem with agonist metabolites, novel thiohydantoin derivatives were identified by applying two strategies. One was the replacement of the alkylsulfonamide moiety by a phenylsulfonamide to avoid the production of agonist metabolites. The other was the replacement of the phenyl ring with a pyridine ring to improve in vivo potency and reduce hERG affinity. Pharmacological assays indicated that CH5137291 (17b) was a potent AR pure antagonist which did not produce the agonist metabolite. Moreover, CH5137291 completely inhibited in vivo tumor growth of LNCaP-BC2, a castration-resistant prostate cancer model.","InChI=1S/C18H14F3N5O3S2/c1-17(2)15(27)25(11-4-3-10(9-22)13(7-11)18(19,20)21)16(30)26(17)12-5-6-24-14(8-12)31(23,28)29/h3-8H,1-2H3,(H2,23,28,29)",0.69,-1.39,10000.0,,
FUHSAPKUKZPRCD-UHFFFAOYSA-N,nM,EC5,,BAO_0000179,EC5,,54081,Agonist activity at human AR expressed in human HeLa cells co-transfected with MMTV-Luc-Hyg after 48 hrs by transient-luciferase reporter gene assay,,,21050768,8157,10.1016/j.bmc.2010.10.023,CHEMBL1287756,Design and synthesis of an androgen receptor pure antagonist (CH5137291) for the treatment of castration-resistant prostate cancer.,"Yoshino H, Sato H, Shiraishi T, Tachibana K, Emura T, Honma A, Ishikura N, Tsunenari T, Watanabe M, Nishimoto A, Nakamura R, Nakagawa T, Ohta M, Takata N, Furumoto K, Kimura K, Kawata H.","A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of castration-resistant prostate cancer. Since CH4933468, which we reported previously, had a problem with agonist metabolites, novel thiohydantoin derivatives were identified by applying two strategies. One was the replacement of the alkylsulfonamide moiety by a phenylsulfonamide to avoid the production of agonist metabolites. The other was the replacement of the phenyl ring with a pyridine ring to improve in vivo potency and reduce hERG affinity. Pharmacological assays indicated that CH5137291 (17b) was a potent AR pure antagonist which did not produce the agonist metabolite. Moreover, CH5137291 completely inhibited in vivo tumor growth of LNCaP-BC2, a castration-resistant prostate cancer model.","InChI=1S/C13H10F3N3OS/c1-12(2)10(20)19(11(21)18-12)8-4-3-7(6-17)9(5-8)13(14,15)16/h3-5H,1-2H3,(H,18,21)",0.81,-1.62,1.0,,
HLBUAKQNKJTEIU-UHFFFAOYSA-N,nM,EC5,,"Entry 0: BAO_0000179, Entry 1: BAO_0000179, ",EC5,,"Entry 0: 51143, Entry 1: 51143, ","Entry 0: Activity at human AR expressed in human HeLa cells after 48 hrs by transient-luciferase reporter gene assay, Entry 1: Activity at human AR expressed in human HeLa cells after 48 hrs by stable-luciferase reporter gene assay, ",,,"Entry 0: 20381361, Entry 1: 20381361, ","Entry 0: 3168, Entry 1: 3168, ","Entry 0: 10.1016/j.bmc.2010.03.036, Entry 1: 10.1016/j.bmc.2010.03.036, ","Entry 0: CHEMBL1158555, Entry 1: CHEMBL1158555, ","Entry 0: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., Entry 1: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., ","Entry 0: Yoshino H, Sato H, Tachibana K, Shiraishi T, Nakamura M, Ohta M, Ishikura N, Nagamuta M, Onuma E, Nakagawa T, Arai S, Ahn KH, Jung KY, Kawata H., Entry 1: Yoshino H, Sato H, Tachibana K, Shiraishi T, Nakamura M, Ohta M, Ishikura N, Nagamuta M, Onuma E, Nakagawa T, Arai S, Ahn KH, Jung KY, Kawata H., ","Entry 0: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., Entry 1: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., ","InChI=1S/C14H12F3N3OS/c1-13(2)11(21)20(12(22)19(13)3)9-5-4-8(7-18)10(6-9)14(15,16)17/h4-6H,1-3H3",0.74,-1.42,0.08,1.0,
JIIHFLNYGVNTFP-UHFFFAOYSA-N,nM,EC5,,BAO_0000179,EC5,,54081,Agonist activity at human AR expressed in human HeLa cells co-transfected with MMTV-Luc-Hyg after 48 hrs by transient-luciferase reporter gene assay,,,21050768,8157,10.1016/j.bmc.2010.10.023,CHEMBL1287756,Design and synthesis of an androgen receptor pure antagonist (CH5137291) for the treatment of castration-resistant prostate cancer.,"Yoshino H, Sato H, Shiraishi T, Tachibana K, Emura T, Honma A, Ishikura N, Tsunenari T, Watanabe M, Nishimoto A, Nakamura R, Nakagawa T, Ohta M, Takata N, Furumoto K, Kimura K, Kawata H.","A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of castration-resistant prostate cancer. Since CH4933468, which we reported previously, had a problem with agonist metabolites, novel thiohydantoin derivatives were identified by applying two strategies. One was the replacement of the alkylsulfonamide moiety by a phenylsulfonamide to avoid the production of agonist metabolites. The other was the replacement of the phenyl ring with a pyridine ring to improve in vivo potency and reduce hERG affinity. Pharmacological assays indicated that CH5137291 (17b) was a potent AR pure antagonist which did not produce the agonist metabolite. Moreover, CH5137291 completely inhibited in vivo tumor growth of LNCaP-BC2, a castration-resistant prostate cancer model.","InChI=1S/C18H14F3N5O3S2/c1-17(2)15(27)25(11-7-6-10(9-22)12(8-11)18(19,20)21)16(30)26(17)13-4-3-5-14(24-13)31(23,28)29/h3-8H,1-2H3,(H2,23,28,29)",0.69,-1.49,10000.0,,
JSRULUANHPEMHN-UHFFFAOYSA-N,nM,EC5,,BAO_0000179,EC5,,51143,Activity at human AR expressed in human HeLa cells after 48 hrs by stable-luciferase reporter gene assay,,,20381361,3168,10.1016/j.bmc.2010.03.036,CHEMBL1158555,Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists.,"Yoshino H, Sato H, Tachibana K, Shiraishi T, Nakamura M, Ohta M, Ishikura N, Nagamuta M, Onuma E, Nakagawa T, Arai S, Ahn KH, Jung KY, Kawata H.","A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently.","InChI=1S/C16H20N4O4S2/c1-16(2)14(21)20(12-6-5-11(10-17)13(9-12)24-3)15(25)19(16)7-4-8-26(18,22)23/h5-6,9H,4,7-8H2,1-3H3,(H2,18,22,23)",0.71,-1.36,10000.0,,
