comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,act_16,act_17,act_18,act_19,act_20,act_21,act_22,act_23,act_24,act_25
ABMNASWKARFNAA-VHSXEESVSA-N,nM,EC50,,BAO_0000188,EC50,,3577,In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells.,,,10230628,1008,10.1016/s0960-894x(99)00118-3,CHEMBL1132082,"Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one.","Edwards JP, Higuchi RI, Winn DT, Pooley CL, Caferro TR, Hamann LG, Zhi L, Marschke KB, Goldman ME, Jones TK.","A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone.","InChI=1S/C17H18F3NO2/c1-3-9-8-21-14-7-15-12(5-11(14)10(9)4-2)13(17(18,19)20)6-16(22)23-15/h5-7,9-10,21H,3-4,8H2,1-2H3/t9-,10+/m0/s1",0.81,0.27,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
ABMNASWKARFNAA-ZJUUUORDSA-N,nM,EC50,,"Entry 0: BAO_0000188, Entry 1: BAO_0000188, ",EC50,,"Entry 0: 3577, Entry 1: 3577, ","Entry 0: In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells., Entry 1: In vitro antagonistic activity against human androgen receptor (hAR) expressed in CV-1 cells, ",,,"Entry 0: 10230628, Entry 1: 10230628, ","Entry 0: 1008, Entry 1: 1008, ","Entry 0: 10.1016/s0960-894x(99)00118-3, Entry 1: 10.1016/s0960-894x(99)00118-3, ","Entry 0: CHEMBL1132082, Entry 1: CHEMBL1132082, ","Entry 0: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., Entry 1: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., ","Entry 0: Edwards JP, Higuchi RI, Winn DT, Pooley CL, Caferro TR, Hamann LG, Zhi L, Marschke KB, Goldman ME, Jones TK., Entry 1: Edwards JP, Higuchi RI, Winn DT, Pooley CL, Caferro TR, Hamann LG, Zhi L, Marschke KB, Goldman ME, Jones TK., ","Entry 0: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., Entry 1: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., ","InChI=1S/C17H18F3NO2/c1-3-9-8-21-14-7-15-12(5-11(14)10(9)4-2)13(17(18,19)20)6-16(22)23-15/h5-7,9-10,21H,3-4,8H2,1-2H3/t9-,10+/m1/s1",0.81,0.27,5.0,1400.0,,,,,,,,,,,,,,,,,,,,,,,,
ACYXDSBSDZXJHI-GXTWGEPZSA-N,nM,EC50,,BAO_0000188,EC50,,91251,Modulation of androgen receptor (unknown origin) expressed in Cos7 cells assessed as luciferase activity after 24 hrs,,730219,25862209,2578,10.1016/j.bmc.2015.03.032,CHEMBL3399980,Synthesis and biological evaluation of novel selective androgen receptor modulators (SARMs). Part I.,"Aikawa K, Miyawaki T, Hitaka T, Imai YN, Hara T, Miyazaki J, Yamaoka M, Kusaka M, Kanzaki N, Tasaka A, Shiraishi M, Yamamoto S.","To develop effective drugs for hypogonadism, sarcopenia, and cachexia, we designed, synthesized, and evaluated selective androgen receptor modulators (SARMs) that exhibit not only anabolic effects on organs such as muscles and the central nervous system (CNS) but also neutral or antagonistic effects on the prostate. Based on the information obtained from a docking model with androgen receptor (AR), we modified a hit compound A identified through high-throughput screening. Among the prepared compounds, 1-(4-cyano-1-naphthyl)-2,3-disubstituted pyrrolidine derivatives 17h, 17m, and 17j had highly potent AR agonistic activities in vitro and good tissue selectivity in vivo. These derivatives increased the weight of the levator ani muscle without influencing the prostate and seminal vesicle. In addition, these compounds induced sexual behavior in castrated rats, indicating that the compounds could also act as agonists on the CNS.","InChI=1S/C17H18N2O/c1-12-14(11-20)8-9-19(12)17-7-6-13(10-18)15-4-2-3-5-16(15)17/h2-7,12,14,20H,8-9,11H2,1H3/t12-,14+/m0/s1",0.91,-0.16,1.2,,,,,,,,,,,,,,,,,,,,,,,,,
ADDBMVAFDVHRAU-UHFFFAOYSA-N,nM,EC50,,BAO_0000188,EC50,,114343,Antagonist activity at androgen receptor in human C4-2-PSA-rl cells incubated for 24 hrs in presence of androgen R1881 by dual-glo luciferase reporter gene assay,,,27563404,790,10.1021/acsmedchemlett.6b00186,CHEMBL4431378,Small Molecule Antagonists of the Nuclear Androgen Receptor for the Treatment of Castration-Resistant Prostate Cancer.,"Johnson JK, Skoda EM, Zhou J, Parrinello E, Wang D, O'Malley K, Eyer BR, Kazancioglu M, Eisermann K, Johnston PA, Nelson JB, Wang Z, Wipf P.","After a high-throughput screening campaign identified thioether 1 as an antagonist of the nuclear androgen receptor, a zone model was developed for structure-activity relationship (SAR) purposes and analogues were synthesized and evaluated in a cell-based luciferase assay. A novel thioether isostere, cyclopropane (1S,2R)-27, showed the desired increased potency and structural properties (stereospecific SAR response, absence of a readily oxidized sulfur atom, low molecular weight, reduced number of flexible bonds and polar surface area, and drug-likeness score) in the prostate-specific antigen luciferase assay in C4-2-PSA-rl cells to qualify as a new lead structure for prostate cancer drug development.","InChI=1S/C19H25N3O2S/c1-14-4-6-17(7-5-14)21-8-10-22(11-9-21)19(23)13-25-12-18-15(2)20-24-16(18)3/h4-7H,8-13H2,1-3H3",0.82,-2.30,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,
ADPDINVHVCYFSE-UHFFFAOYSA-N,nM,EC50,,"Entry 0: BAO_0000188, Entry 1: BAO_0000188, Entry 2: BAO_0000188, ",EC50,,"Entry 0: 60605, Entry 1: 60605, Entry 2: 60605, ","Entry 0: Agonist activity at human androgen receptor expressed in COS7 cells assessed as luciferase activity after 24 hrs by reporter gene assay, Entry 1: Agonist activity at human androgen receptor T877A mutant expressed in COS7 cells assessed as luciferase activity after 24 hrs by reporter gene assay, Entry 2: Agonist activity at human androgen receptor W741C mutant expressed in COS7 cells assessed as luciferase activity after 24 hrs by reporter gene assay, ","Entry 0: In vitro, Entry 1: In vitro, Entry 2: In vitro, ","Entry 0: 423735, Entry 1: 423736, Entry 2: 423737, ","Entry 0: 22094279, Entry 1: 22094279, Entry 2: 22094279, ","Entry 0: 434, Entry 1: 434, Entry 2: 434, ","Entry 0: 10.1016/j.bmc.2011.10.067, Entry 1: 10.1016/j.bmc.2011.10.067, Entry 2: 10.1016/j.bmc.2011.10.067, ","Entry 0: CHEMBL1932924, Entry 1: CHEMBL1932924, Entry 2: CHEMBL1932924, ","Entry 0: Design, synthesis, and biological evaluation of 4-phenylpyrrole derivatives as novel androgen receptor antagonists., Entry 1: Design, synthesis, and biological evaluation of 4-phenylpyrrole derivatives as novel androgen receptor antagonists., Entry 2: Design, synthesis, and biological evaluation of 4-phenylpyrrole derivatives as novel androgen receptor antagonists., ","Entry 0: Yamamoto S, Matsunaga N, Hitaka T, Yamada M, Hara T, Miyazaki J, Santou T, Kusaka M, Yamaoka M, Kanzaki N, Furuya S, Tasaka A, Hamamura K, Ito M., Entry 1: Yamamoto S, Matsunaga N, Hitaka T, Yamada M, Hara T, Miyazaki J, Santou T, Kusaka M, Yamaoka M, Kanzaki N, Furuya S, Tasaka A, Hamamura K, Ito M., Entry 2: Yamamoto S, Matsunaga N, Hitaka T, Yamada M, Hara T, Miyazaki J, Santou T, Kusaka M, Yamaoka M, Kanzaki N, Furuya S, Tasaka A, Hamamura K, Ito M., ","Entry 0: A series of 4-phenylpyrrole derivatives D were designed, synthesized, and evaluated for their potential as novel orally available androgen receptor antagonists therapeutically effective against castration-resistant prostate cancers. 4-Phenylpyrrole compound 1 exhibited androgen receptor (AR) antagonistic activity against T877A and W741C mutant-type ARs as well as wild-type AR. An arylmethyl group incorporated into compound 1 contributed to enhancement of antagonistic activity. Compound 4n, 1-{[6-chloro-5-(hydroxymethyl)pyridin-3-yl]methyl}-4-(4-cyanophenyl)-2,5-dimethyl-1H-pyrrole-3-carbonitrile exhibited inhibitory effects on tumor cell growth against the bicalutamide-resistant LNCaP-cxD2 cell line as well as the androgen receptor-dependent JDCaP cell line in a mouse xenograft model. These results demonstrate that this series of pyrrole compounds are novel androgen receptor antagonists with efficacy against prostate cancer cells, including castration-resistant prostate cancers such as bicalutamide-resistant prostate cancer., Entry 1: A series of 4-phenylpyrrole derivatives D were designed, synthesized, and evaluated for their potential as novel orally available androgen receptor antagonists therapeutically effective against castration-resistant prostate cancers. 4-Phenylpyrrole compound 1 exhibited androgen receptor (AR) antagonistic activity against T877A and W741C mutant-type ARs as well as wild-type AR. An arylmethyl group incorporated into compound 1 contributed to enhancement of antagonistic activity. Compound 4n, 1-{[6-chloro-5-(hydroxymethyl)pyridin-3-yl]methyl}-4-(4-cyanophenyl)-2,5-dimethyl-1H-pyrrole-3-carbonitrile exhibited inhibitory effects on tumor cell growth against the bicalutamide-resistant LNCaP-cxD2 cell line as well as the androgen receptor-dependent JDCaP cell line in a mouse xenograft model. These results demonstrate that this series of pyrrole compounds are novel androgen receptor antagonists with efficacy against prostate cancer cells, including castration-resistant prostate cancers such as bicalutamide-resistant prostate cancer., Entry 2: A series of 4-phenylpyrrole derivatives D were designed, synthesized, and evaluated for their potential as novel orally available androgen receptor antagonists therapeutically effective against castration-resistant prostate cancers. 4-Phenylpyrrole compound 1 exhibited androgen receptor (AR) antagonistic activity against T877A and W741C mutant-type ARs as well as wild-type AR. An arylmethyl group incorporated into compound 1 contributed to enhancement of antagonistic activity. Compound 4n, 1-{[6-chloro-5-(hydroxymethyl)pyridin-3-yl]methyl}-4-(4-cyanophenyl)-2,5-dimethyl-1H-pyrrole-3-carbonitrile exhibited inhibitory effects on tumor cell growth against the bicalutamide-resistant LNCaP-cxD2 cell line as well as the androgen receptor-dependent JDCaP cell line in a mouse xenograft model. These results demonstrate that this series of pyrrole compounds are novel androgen receptor antagonists with efficacy against prostate cancer cells, including castration-resistant prostate cancers such as bicalutamide-resistant prostate cancer., ","InChI=1S/C21H17N3/c1-15-20(13-23)21(19-10-8-17(12-22)9-11-19)16(2)24(15)14-18-6-4-3-5-7-18/h3-11H,14H2,1-2H3",0.71,-1.15,10000.0,10000.0,10000.0,,,,,,,,,,,,,,,,,,,,,,,
AECUUHUGTSTYSJ-PRHODGIISA-N,nM,EC50,,BAO_0000188,EC50,,3036,Agonistic activity (EC50) against human androgen receptor (hAR) in co-transfected CV-1 cell,,,9871534,750,10.1016/s0960-894x(98)00107-3,CHEMBL1130772,"New nonsteroidal androgen receptor modulators based on 4-(trifluoromethyl)-2(1H)-pyrrolidino[3,2-g] quinolinone.","Edwards JP, West SJ, Pooley CL, Marschke KB, Farmer LJ, Jones TK.","A series of 2(1H)-pyrrolidino[3,2-g]quinolinones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2(1H)-pyrrolidino[3,2-g]quinolinone, displayed moderate interaction with hAR, but more substituted analogues, particularly 6,7-disubstituted compounds, were potent hAR agonists in vitro.","InChI=1S/C16H15F3N2O/c17-16(18,19)11-6-15(22)21-14-7-13-9(5-10(11)14)8-3-1-2-4-12(8)20-13/h5-8,12,20H,1-4H2,(H,21,22)/t8-,12-/m1/s1",0.76,-0.05,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
AIHZOMOUVPLYEC-UHFFFAOYSA-N,nM,EC50,,BAO_0000188,EC50,,38697,Agonist activity at human androgen receptor african green monkey CV1 cells by cotransfection assay,,,18442912,3435,10.1016/j.bmcl.2008.03.085,CHEMBL1143080,Discovery of a novel series of nonsteroidal androgen receptor modulators: 5- or 6-oxachrysen-2-ones.,"Zhao S, Shen Y, van Oeveren A, Marschke KB, Zhi L.","A novel oxachrysenone series (2) of nonsteroidal selective androgen receptor modulators (SARM) was developed based on the 6-aryl-2-quinolinones (1). Synthesis and preliminary SAR results based on in vitro assays are discussed. In the cotransfection assay, lead compound 5d showed AR agonist activity more potent than dihydrotestosterone (DHT), whereas compound 17b was a potent antagonist similar to bicalutamide.","InChI=1S/C21H19NO3/c1-4-6-16-21-13(20-15(24-3)7-5-8-17(20)25-16)9-10-14-19(21)12(2)11-18(23)22-14/h4-5,7-11,16H,1,6H2,2-3H3,(H,22,23)",0.72,0.61,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,
AJFQZAYESNNIFS-UHFFFAOYSA-N,nM,EC50,,BAO_0000188,EC50,,3638,Agonist activity to the human androgen receptor (hAR) in CV-1 cells,,,10340624,1340,10.1016/s0960-894x(99)00186-9,CHEMBL1132051,"4-Alkyl- and 3,4-dialkyl-1,2,3,4-tetrahydro-8-pyridono[5,6-g]quinolines: potent, nonsteroidal androgen receptor agonists.","Higuchi RI, Edwards JP, Caferro TR, Ringgenberg JD, Kong JW, Hamann LG, Arienti KL, Marschke KB, Davis RL, Farmer LJ, Jones TK.","A series of human androgen receptor (hAR) agonists based on 4-alkyl-; 4,4-dialkyl-; and 3,4-dialkyl-1,2,3,4-tetrahydro-8-pyridono[5,6-g]quinoline was synthesized and evaluated in competitive receptor binding assays and an androgen receptor cotransfection assay in a mammalian cell background. A number of compounds in this series demonstrated activity equal to or better than dihydrotestosterone in both assays and represent a novel class of compounds for use in androgen replacement therapy.","InChI=1S/C16H17F3N2O/c1-3-9-4-5-21(2)14-8-13-11(6-10(9)14)12(16(17,18)19)7-15(22)20-13/h6-9H,3-5H2,1-2H3,(H,20,22)",0.85,-0.53,158.0,,,,,,,,,,,,,,,,,,,,,,,,,
ALLJOJGFZFRYAA-QFIPXVFZSA-N,nM,EC50,,"Entry 0: BAO_0000188, Entry 1: BAO_0000188, ",EC50,,"Entry 0: 82381, Entry 1: 82381, ","Entry 0: Agonist activity at human AR expressed in CV1 cells after 17 hrs by luciferase reporter gene assay, Entry 1: Binding affinity to human AR NTD (1 to 561 aa) expressed in CV1 cells coexpressing human AR-LBD (644-919 aa) assessed as N/C-termini interaction by androgenic assay, ",,"Entry 0: 660157, Entry 1: 660158, ","Entry 0: 24527807, Entry 1: 24527807, ","Entry 0: 2471, Entry 1: 2471, ","Entry 0: 10.1021/jm401625b, Entry 1: 10.1021/jm401625b, ","Entry 0: CHEMBL3232788, Entry 1: CHEMBL3232788, ","Entry 0: 1-(2-Hydroxy-2-methyl-3-phenoxypropanoyl)indoline-4-carbonitrile derivatives as potent and tissue selective androgen receptor modulators., Entry 1: 1-(2-Hydroxy-2-methyl-3-phenoxypropanoyl)indoline-4-carbonitrile derivatives as potent and tissue selective androgen receptor modulators., ","Entry 0: Piatnitski Chekler EL, Unwalla R, Khan TA, Tangirala RS, Johnson M, St Andre M, Anderson JT, Kenney T, Chiparri S, McNally C, Kilbourne E, Thompson C, Nagpal S, Weber G, Schelling S, Owens J, Morris CA, Powell D, Verhoest PR, Gilbert AM., Entry 1: Piatnitski Chekler EL, Unwalla R, Khan TA, Tangirala RS, Johnson M, St Andre M, Anderson JT, Kenney T, Chiparri S, McNally C, Kilbourne E, Thompson C, Nagpal S, Weber G, Schelling S, Owens J, Morris CA, Powell D, Verhoest PR, Gilbert AM., ","Entry 0: We present a novel series of selective androgen receptor modulators (SARMs) which shows excellent biological activity and physical properties. 1-(2-Hydroxy-2-methyl-3-phenoxypropanoyl)-indoline-4-carbonitriles showed potent binding to the androgen receptor (AR) and activated AR-mediated transcription in vitro. Representative compounds demonstrated diminished activity in promoting the intramolecular interaction between the AR carboxyl (C) and amino (N) termini. This N/C-termini interaction is a biomarker assay for the undesired androgenic responses in vivo. In orchidectomized rats, daily administration of a lead compound from this series showed anabolic activity by increasing levator ani muscle weight. Importantly, minimal androgenic effects (increased tissue weights) were observed in the prostate and seminal vesicles, along with minimal repression of circulating luteinizing hormone (LH) levels and no change in the lipid and triglyceride levels. This lead compound completed a two week rat toxicology study, and was well tolerated at doses up to 100 mg/kg/day, the highest dose tested, for 14 consecutive days., Entry 1: We present a novel series of selective androgen receptor modulators (SARMs) which shows excellent biological activity and physical properties. 1-(2-Hydroxy-2-methyl-3-phenoxypropanoyl)-indoline-4-carbonitriles showed potent binding to the androgen receptor (AR) and activated AR-mediated transcription in vitro. Representative compounds demonstrated diminished activity in promoting the intramolecular interaction between the AR carboxyl (C) and amino (N) termini. This N/C-termini interaction is a biomarker assay for the undesired androgenic responses in vivo. In orchidectomized rats, daily administration of a lead compound from this series showed anabolic activity by increasing levator ani muscle weight. Importantly, minimal androgenic effects (increased tissue weights) were observed in the prostate and seminal vesicles, along with minimal repression of circulating luteinizing hormone (LH) levels and no change in the lipid and triglyceride levels. This lead compound completed a two week rat toxicology study, and was well tolerated at doses up to 100 mg/kg/day, the highest dose tested, for 14 consecutive days., ","InChI=1S/C22H19N3O4/c1-22(27,13-29-17-7-5-15(6-8-17)19-12-28-14-24-19)21(26)25-10-9-18-16(11-23)3-2-4-20(18)25/h2-8,12,14,27H,9-10,13H2,1H3/t22-/m0/s1",0.72,-0.79,7.2,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
ALMASABXCFFRHW-UHFFFAOYSA-N,nM,EC50,,"Entry 0: BAO_0000188, Entry 1: BAO_0000188, ",EC50,,"Entry 0: 61360, Entry 1: 61360, ","Entry 0: Agonist activity at androgen receptor expressed in Cos7 cells after 24 hrs by luciferase reporter gene assay, Entry 1: Agonist activity at androgen receptor T877A mutant expressed in Cos7 cells after 24 hrs by luciferase reporter gene assay, ","Entry 0: In vitro, Entry 1: In vitro, ","Entry 0: 435471, Entry 1: 435472, ","Entry 0: 22391033, Entry 1: 22391033, ","Entry 0: 2352, Entry 1: 2352, ","Entry 0: 10.1016/j.bmc.2012.02.005, Entry 1: 10.1016/j.bmc.2012.02.005, ","Entry 0: CHEMBL1955860, Entry 1: CHEMBL1955860, ","Entry 0: Design, synthesis, and biological evaluation of 4-arylmethyl-1-phenylpyrazole and 4-aryloxy-1-phenylpyrazole derivatives as novel androgen receptor antagonists., Entry 1: Design, synthesis, and biological evaluation of 4-arylmethyl-1-phenylpyrazole and 4-aryloxy-1-phenylpyrazole derivatives as novel androgen receptor antagonists., ","Entry 0: Yamamoto S, Tomita N, Suzuki Y, Suzaki T, Kaku T, Hara T, Yamaoka M, Kanzaki N, Hasuoka A, Baba A, Ito M., Entry 1: Yamamoto S, Tomita N, Suzuki Y, Suzaki T, Kaku T, Hara T, Yamaoka M, Kanzaki N, Hasuoka A, Baba A, Ito M., ","Entry 0: A series of 4-arylmethyl-1-phenylpyrazole and 4-aryloxy-1-phenylpyrazole compounds B were designed, synthesized, and evaluated for their potential as new-generation androgen receptor (AR) antagonists therapeutically effective against castration-resistant prostate cancer (CRPC). Introduction of a bulky amide substituent (R(2)) to the terminal aryl ring of the 4-arylmethyl group favored the reduction of agonistic activity and improved the pharmacokinetic (PK) properties. Similarly, introduction of a bulky substituent in the 4-aryloxy derivatives also resulted in improved PK properties. Compounds 28 h and 44b exhibited potent antitumor effects against a CRPC model of LNCaP-hr cell line in a mouse xenograft model. On the contrary, bicalutamide showed only partial suppression of tumor growth. These results suggest that the novel pyrazole derivatives are new-generation AR antagonists, different from the 'first-generation' antagonists such as bicalutamide in a CRPC treatment model., Entry 1: A series of 4-arylmethyl-1-phenylpyrazole and 4-aryloxy-1-phenylpyrazole compounds B were designed, synthesized, and evaluated for their potential as new-generation androgen receptor (AR) antagonists therapeutically effective against castration-resistant prostate cancer (CRPC). Introduction of a bulky amide substituent (R(2)) to the terminal aryl ring of the 4-arylmethyl group favored the reduction of agonistic activity and improved the pharmacokinetic (PK) properties. Similarly, introduction of a bulky substituent in the 4-aryloxy derivatives also resulted in improved PK properties. Compounds 28 h and 44b exhibited potent antitumor effects against a CRPC model of LNCaP-hr cell line in a mouse xenograft model. On the contrary, bicalutamide showed only partial suppression of tumor growth. These results suggest that the novel pyrazole derivatives are new-generation AR antagonists, different from the 'first-generation' antagonists such as bicalutamide in a CRPC treatment model., ","InChI=1S/C24H25ClN4O2/c1-15-21(16(2)29(28-15)20-10-9-19(13-26)22(25)12-20)11-17-5-7-18(8-6-17)23(30)27-14-24(3,4)31/h5-10,12,31H,11,14H2,1-4H3,(H,27,30)",0.61,-1.72,10000.0,10000.0,,,,,,,,,,,,,,,,,,,,,,,,
