comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,act_16,act_17,act_18,act_19,act_20,act_21
ABMNASWKARFNAA-VHSXEESVSA-N,%,Efficacy,,"Entry 0: BAO_0000656, Entry 1: BAO_0000656, ",Efficacy,,"Entry 0: 3577, Entry 1: 3577, ","Entry 0: In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells., Entry 1: In vitro antagonistic activity against human androgen receptor using cotransfection assay in CV-1 cells; Not active., ",,,"Entry 0: 10230628, Entry 1: 10230628, ","Entry 0: 1008, Entry 1: 1008, ","Entry 0: 10.1016/s0960-894x(99)00118-3, Entry 1: 10.1016/s0960-894x(99)00118-3, ","Entry 0: CHEMBL1132082, Entry 1: CHEMBL1132082, ","Entry 0: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., Entry 1: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., ","Entry 0: Edwards JP, Higuchi RI, Winn DT, Pooley CL, Caferro TR, Hamann LG, Zhi L, Marschke KB, Goldman ME, Jones TK., Entry 1: Edwards JP, Higuchi RI, Winn DT, Pooley CL, Caferro TR, Hamann LG, Zhi L, Marschke KB, Goldman ME, Jones TK., ","Entry 0: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., Entry 1: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., ","InChI=1S/C17H18F3NO2/c1-3-9-8-21-14-7-15-12(5-11(14)10(9)4-2)13(17(18,19)20)6-16(22)23-15/h5-7,9-10,21H,3-4,8H2,1-2H3/t9-,10+/m0/s1",0.81,0.27,20.0,53.0,,,,,,,,,,,,,,,,,,,,
ABMNASWKARFNAA-ZJUUUORDSA-N,%,Efficacy,,"Entry 0: BAO_0000656, Entry 1: BAO_0000656, ",Efficacy,,"Entry 0: 3577, Entry 1: 3577, ","Entry 0: In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells., Entry 1: In vitro antagonistic activity against human androgen receptor (hAR) expressed in CV-1 cells, ",,,"Entry 0: 10230628, Entry 1: 10230628, ","Entry 0: 1008, Entry 1: 1008, ","Entry 0: 10.1016/s0960-894x(99)00118-3, Entry 1: 10.1016/s0960-894x(99)00118-3, ","Entry 0: CHEMBL1132082, Entry 1: CHEMBL1132082, ","Entry 0: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., Entry 1: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., ","Entry 0: Edwards JP, Higuchi RI, Winn DT, Pooley CL, Caferro TR, Hamann LG, Zhi L, Marschke KB, Goldman ME, Jones TK., Entry 1: Edwards JP, Higuchi RI, Winn DT, Pooley CL, Caferro TR, Hamann LG, Zhi L, Marschke KB, Goldman ME, Jones TK., ","Entry 0: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., Entry 1: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., ","InChI=1S/C17H18F3NO2/c1-3-9-8-21-14-7-15-12(5-11(14)10(9)4-2)13(17(18,19)20)6-16(22)23-15/h5-7,9-10,21H,3-4,8H2,1-2H3/t9-,10+/m1/s1",0.81,0.27,35.0,90.0,,,,,,,,,,,,,,,,,,,,
AECUUHUGTSTYSJ-PRHODGIISA-N,%,Efficacy,,BAO_0000656,Efficacy,,3036,Agonistic activity against human androgen receptor (hAR) in co-transfected CV-1 cell,,,9871534,750,10.1016/s0960-894x(98)00107-3,CHEMBL1130772,"New nonsteroidal androgen receptor modulators based on 4-(trifluoromethyl)-2(1H)-pyrrolidino[3,2-g] quinolinone.","Edwards JP, West SJ, Pooley CL, Marschke KB, Farmer LJ, Jones TK.","A series of 2(1H)-pyrrolidino[3,2-g]quinolinones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2(1H)-pyrrolidino[3,2-g]quinolinone, displayed moderate interaction with hAR, but more substituted analogues, particularly 6,7-disubstituted compounds, were potent hAR agonists in vitro.","InChI=1S/C16H15F3N2O/c17-16(18,19)11-6-15(22)21-14-7-13-9(5-10(11)14)8-3-1-2-4-12(8)20-13/h5-8,12,20H,1-4H2,(H,21,22)/t8-,12-/m1/s1",0.76,-0.05,91.0,,,,,,,,,,,,,,,,,,,,,
AETQCZVPWXCWNA-UHFFFAOYSA-N,%,Efficacy,,BAO_0000656,Efficacy,,14815,Efficacy as a function of maximal inhibition against human androgen receptor.,,,9484511,639,10.1021/jm970699s,CHEMBL1131477,"Synthesis and biological activity of a novel series of nonsteroidal, peripherally selective androgen receptor antagonists derived from 1,2-dihydropyridono[5,6-g]quinolines.","Hamann LG, Higuchi RI, Zhi L, Edwards JP, Wang XN, Marschke KB, Kong JW, Farmer LJ, Jones TK.","A new nonsteroidal antiandrogenic pharmacophore has been discovered using cell-based cotransfection assays with human androgen receptor (hAR). This series of AR antagonists is structurally characterized by a linear tricyclic 1,2-dihydropyridono[5,6-g]quinoline core. Analogues inhibit AR-mediated reporter gene expression and bind to AR as potently as or better than any known AR antagonists. Several analogues also showed excellent in vivo activity in classic rodent models of AR antagonism, inhibiting growth of rat ventral prostate and seminal vesicles, without accompanying increases in serum gonadotropin and testosterone levels, as is seen with other AR antagonists. Investigations of structure-activity relationships surrounding this pharmacophore resulted in molecules with complete specificity for AR, antagonist activity on an AR mutant commonly observed in prostate cancer patients, and improved in vivo efficacy. Molecules based on this series of compounds have the potential to provide unique and effective clinical opportunities for treatment of prostate cancer and other androgen-dependent diseases.","InChI=1S/C17H19F3N2O/c1-4-10-5-9-6-11-12(17(18,19)20)7-15(23)21-14(11)8-13(9)22-16(10,2)3/h6-8,10,22H,4-5H2,1-3H3,(H,21,23)",0.80,-0.25,83.0,,,,,,,,,,,,,,,,,,,,,
AHDSMLCEPLKIHZ-UHFFFAOYSA-N,%,Efficacy,,BAO_0000656,Efficacy,,35972,Antagonist activity at human androgen receptor expressed in CV1 cells assessed as inhibition of DHT-induced response,In vitro,,17257838,1526,10.1016/j.bmcl.2007.01.007,CHEMBL1144605,Discovery of an androgen receptor modulator pharmacophore based on 2-quinolinones.,"van Oeveren A, Pio BA, Tegley CM, Higuchi RI, Wu M, Jones TK, Marschke KB, Negro-Vilar A, Zhi L.",A series of alkylamino-2-quinolinone compounds (3) was discovered as androgen receptor modulators based on an early linear tricyclic quinoline pharmacophore (1). The series demonstrated selective high binding affinity to androgen receptor and potent receptor modulating activities in the cotransfection assays.,"InChI=1S/C14H12F6N2O/c1-2-7-3-8-9(14(18,19)20)4-12(23)22-11(8)5-10(7)21-6-13(15,16)17/h3-5,21H,2,6H2,1H3,(H,22,23)",0.83,-0.96,91.0,,,,,,,,,,,,,,,,,,,,,
AIHZOMOUVPLYEC-UHFFFAOYSA-N,%,Efficacy,,"Entry 0: BAO_0000656, Entry 1: BAO_0000656, ",Efficacy,,"Entry 0: 38697, Entry 1: 38697, ","Entry 0: Agonist activity at human androgen receptor african green monkey CV1 cells by cotransfection assay relative to DHT, Entry 1: Antagonist activity at human androgen receptor african green monkey CV1 cells by cotransfection assay, ",,,"Entry 0: 18442912, Entry 1: 18442912, ","Entry 0: 3435, Entry 1: 3435, ","Entry 0: 10.1016/j.bmcl.2008.03.085, Entry 1: 10.1016/j.bmcl.2008.03.085, ","Entry 0: CHEMBL1143080, Entry 1: CHEMBL1143080, ","Entry 0: Discovery of a novel series of nonsteroidal androgen receptor modulators: 5- or 6-oxachrysen-2-ones., Entry 1: Discovery of a novel series of nonsteroidal androgen receptor modulators: 5- or 6-oxachrysen-2-ones., ","Entry 0: Zhao S, Shen Y, van Oeveren A, Marschke KB, Zhi L., Entry 1: Zhao S, Shen Y, van Oeveren A, Marschke KB, Zhi L., ","Entry 0: A novel oxachrysenone series (2) of nonsteroidal selective androgen receptor modulators (SARM) was developed based on the 6-aryl-2-quinolinones (1). Synthesis and preliminary SAR results based on in vitro assays are discussed. In the cotransfection assay, lead compound 5d showed AR agonist activity more potent than dihydrotestosterone (DHT), whereas compound 17b was a potent antagonist similar to bicalutamide., Entry 1: A novel oxachrysenone series (2) of nonsteroidal selective androgen receptor modulators (SARM) was developed based on the 6-aryl-2-quinolinones (1). Synthesis and preliminary SAR results based on in vitro assays are discussed. In the cotransfection assay, lead compound 5d showed AR agonist activity more potent than dihydrotestosterone (DHT), whereas compound 17b was a potent antagonist similar to bicalutamide., ","InChI=1S/C21H19NO3/c1-4-6-16-21-13(20-15(24-3)7-5-8-17(20)25-16)9-10-14-19(21)12(2)11-18(23)22-14/h4-5,7-11,16H,1,6H2,2-3H3,(H,22,23)",0.72,0.61,20.0,63.0,,,,,,,,,,,,,,,,,,,,
AJFQZAYESNNIFS-UHFFFAOYSA-N,%,Efficacy,,"Entry 0: BAO_0000656, Entry 1: BAO_0000656, ",Efficacy,,"Entry 0: 3638, Entry 1: 3638, ","Entry 0: Agonism of human androgen receptor (hAR) in CV-1 cells compared to that of dihydrotestosterone (100%), Entry 1: Antagonistic activity against human androgen receptor (hAR) in CV-1 cells was determined as a function of maximal inhibition of dihydrotestosterone using cotransfection assay, ",,,"Entry 0: 10340624, Entry 1: 10340624, ","Entry 0: 1340, Entry 1: 1340, ","Entry 0: 10.1016/s0960-894x(99)00186-9, Entry 1: 10.1016/s0960-894x(99)00186-9, ","Entry 0: CHEMBL1132051, Entry 1: CHEMBL1132051, ","Entry 0: 4-Alkyl- and 3,4-dialkyl-1,2,3,4-tetrahydro-8-pyridono[5,6-g]quinolines: potent, nonsteroidal androgen receptor agonists., Entry 1: 4-Alkyl- and 3,4-dialkyl-1,2,3,4-tetrahydro-8-pyridono[5,6-g]quinolines: potent, nonsteroidal androgen receptor agonists., ","Entry 0: Higuchi RI, Edwards JP, Caferro TR, Ringgenberg JD, Kong JW, Hamann LG, Arienti KL, Marschke KB, Davis RL, Farmer LJ, Jones TK., Entry 1: Higuchi RI, Edwards JP, Caferro TR, Ringgenberg JD, Kong JW, Hamann LG, Arienti KL, Marschke KB, Davis RL, Farmer LJ, Jones TK., ","Entry 0: A series of human androgen receptor (hAR) agonists based on 4-alkyl-; 4,4-dialkyl-; and 3,4-dialkyl-1,2,3,4-tetrahydro-8-pyridono[5,6-g]quinoline was synthesized and evaluated in competitive receptor binding assays and an androgen receptor cotransfection assay in a mammalian cell background. A number of compounds in this series demonstrated activity equal to or better than dihydrotestosterone in both assays and represent a novel class of compounds for use in androgen replacement therapy., Entry 1: A series of human androgen receptor (hAR) agonists based on 4-alkyl-; 4,4-dialkyl-; and 3,4-dialkyl-1,2,3,4-tetrahydro-8-pyridono[5,6-g]quinoline was synthesized and evaluated in competitive receptor binding assays and an androgen receptor cotransfection assay in a mammalian cell background. A number of compounds in this series demonstrated activity equal to or better than dihydrotestosterone in both assays and represent a novel class of compounds for use in androgen replacement therapy., ","InChI=1S/C16H17F3N2O/c1-3-9-4-5-21(2)14-8-13-11(6-10(9)14)12(16(17,18)19)7-15(22)20-13/h6-9H,3-5H2,1-2H3,(H,20,22)",0.85,-0.53,10.0,74.0,,,,,,,,,,,,,,,,,,,,
ALODTGZPEZGVDL-UHFFFAOYSA-N,%,Efficacy,,BAO_0000656,Efficacy,,14815,Efficacy as a function of maximal inhibition against human androgen receptor.,,,9484511,639,10.1021/jm970699s,CHEMBL1131477,"Synthesis and biological activity of a novel series of nonsteroidal, peripherally selective androgen receptor antagonists derived from 1,2-dihydropyridono[5,6-g]quinolines.","Hamann LG, Higuchi RI, Zhi L, Edwards JP, Wang XN, Marschke KB, Kong JW, Farmer LJ, Jones TK.","A new nonsteroidal antiandrogenic pharmacophore has been discovered using cell-based cotransfection assays with human androgen receptor (hAR). This series of AR antagonists is structurally characterized by a linear tricyclic 1,2-dihydropyridono[5,6-g]quinoline core. Analogues inhibit AR-mediated reporter gene expression and bind to AR as potently as or better than any known AR antagonists. Several analogues also showed excellent in vivo activity in classic rodent models of AR antagonism, inhibiting growth of rat ventral prostate and seminal vesicles, without accompanying increases in serum gonadotropin and testosterone levels, as is seen with other AR antagonists. Investigations of structure-activity relationships surrounding this pharmacophore resulted in molecules with complete specificity for AR, antagonist activity on an AR mutant commonly observed in prostate cancer patients, and improved in vivo efficacy. Molecules based on this series of compounds have the potential to provide unique and effective clinical opportunities for treatment of prostate cancer and other androgen-dependent diseases.","InChI=1S/C17H19F3N2O/c1-4-16(2)6-5-10-7-11-12(17(18,19)20)8-15(23)22(3)14(11)9-13(10)21-16/h7-9,21H,4-6H2,1-3H3",0.86,-0.24,85.0,,,,,,,,,,,,,,,,,,,,,
ANSIHTJRWWICOO-UHFFFAOYSA-N,%,Efficacy,,BAO_0000656,Efficacy,,4081,Percent maximal inhibition against human androgen receptor (AR) dependent transcriptional activity in co-transfected mammalian CV-1 cells,,,10743937,414,10.1016/s0960-894x(00)00010-x,CHEMBL1133046,"Effects of isosteric pyridone replacements in androgen receptor antagonists based on 1,2-dihydro- and 1,2,3,4-tetrahydro-2,2-dimethyl-6-trifluoromethyl-8-pyridono[5,6-g]quin olines.","Kong JW, Hamann LG, Ruppar DA, Edwards JP, Marschke KB, Jones TK.","A series of nonsteroidal human androgen receptor (hAR) antagonists based on 8-substituted 1,2-dihydro- and 1,2,3,4-tetrahydro-2,2-dimethyl-6-trifluoromethylpyrido[3,2-g]quin olines was synthesized. Compounds in this series were tested for the ability to bind to hAR and inhibit hAR-dependent transcription in a mammalian cellular background.","InChI=1S/C17H19F3N2/c1-9-8-16(3,4)22-15-10(2)14-12(7-11(9)15)13(5-6-21-14)17(18,19)20/h5-7,9,22H,8H2,1-4H3",0.72,-0.30,99.0,,,,,,,,,,,,,,,,,,,,,
APDOEOQZQMSOFL-IMSIIYSGSA-N,%,Efficacy,,BAO_0000656,Efficacy,,3036,Antagonistic activity against human androgen receptor (hAR) in co-transfected CV-1 cell,,,9871534,750,10.1016/s0960-894x(98)00107-3,CHEMBL1130772,"New nonsteroidal androgen receptor modulators based on 4-(trifluoromethyl)-2(1H)-pyrrolidino[3,2-g] quinolinone.","Edwards JP, West SJ, Pooley CL, Marschke KB, Farmer LJ, Jones TK.","A series of 2(1H)-pyrrolidino[3,2-g]quinolinones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2(1H)-pyrrolidino[3,2-g]quinolinone, displayed moderate interaction with hAR, but more substituted analogues, particularly 6,7-disubstituted compounds, were potent hAR agonists in vitro.","InChI=1S/C18H19F3N2O/c1-9-3-4-14-10(5-9)11-6-12-13(18(19,20)21)7-17(24)23(2)16(12)8-15(11)22-14/h6-10,14,22H,3-5H2,1-2H3/t9-,10+,14+/m0/s1",0.78,0.26,77.0,,,,,,,,,,,,,,,,,,,,,
