coms_canonical_smiles,act_median_expert_0,class_activity_median_expert_1000_0
CCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,5.5,1
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,138.5,1
CCC1CCc2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,5.5,1
CC1(C)CCc2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,5.5,1
O=c1cc(C(F)(F)F)c2cc3c(cc2o1)NCCC3,5.5,1
O=c1cc(C(F)(F)F)c2cc3c(cc2o1)NCCC3C(F)(F)F,6.0,1
O=c1cc(C(F)(F)F)c2cc3c(cc2o1)NCCC3C(F)(F)C(F)(F)F,7.5,1
CCC1CCN(C)c2cc3oc(=O)cc(C(F)(F)F)c3cc21,143.0,1
CCCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,7.5,1
CCC1Nc2cc3oc(=O)cc(C(F)(F)F)c3cc2CC1C,8.5,1
CCC1CC(C)c2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,10.5,1
CC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,5.5,1
CCC1CC(CC)c2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,8.5,1
CC[C@H]1Nc2cc3nc(O)cc(C(F)(F)F)c3cc2CC1(CC)CC,48.0,1
CC[C@@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1CC,10000.0,0
CC[C@H]1C[C@@H](C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21,10000.0,0
CCC[C@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1CC,10000.0,0
C[C@@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1C,74.0,1
CC[C@@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1C,10000.0,0
CC[C@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1C,10000.0,0
CC(C)[C@@H]1CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,25.0,1
C[C@@H]1C[C@H](C)c2cc3c(C(F)(F)F)cc(O)nc3cc2N1,15.0,1
C[C@H]1Nc2cc3nc(O)cc(C(F)(F)F)c3cc2CC1(C)C,24.0,1
CC[C@H]1Nc2cc3nc(O)cc(C(F)(F)F)c3cc2C[C@H]1C,15.0,1
CC[C@H]1Nc2cc3nc(O)cc(C(F)(F)F)c3cc2CC1(C)C,42.0,1
CCC[C@@H]1CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,32.0,1
C[C@@H]1CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,19.0,1
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,5200.0,0
CC1(C)CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,27.0,1
CC[C@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1CC,10000.0,0
CC[C@@H]1CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,11.0,1
C[C@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1C,33.0,1
CC[C@H]1Nc2cc3nc(O)cc(C(F)(F)F)c3cc2C[C@@H]1C,11.0,1
CC[C@@H]1C[C@H](C)c2cc3c(C(F)(F)F)cc(O)nc3cc2N1,137.0,1
CC[C@@H]1C[C@H](CC)c2cc3c(C(F)(F)F)cc(O)nc3cc2N1,10000.0,0
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,1300000.0,0
CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,10000.0,0
