comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7
ACBMPZRTBKJNKP-HKGZJRCASA-N,%,Inhibition,,BAO_0000201,INH,,73992,Inhibition of DHT-mediated AR transactivation in human LNCaP cells at 10 uM after 18 hrs by luciferase reporter gene assay relative to control,,574540,23713567,4898,10.1021/jm400048v,CHEMBL2390857,Systematic structure modifications of multitarget prostate cancer drug candidate galeterone to produce novel androgen receptor down-regulating agents as an approach to treatment of advanced prostate cancer.,"Purushottamachar P, Godbole AM, Gediya LK, Martin MS, Vasaitis TS, Kwegyir-Afful AK, Ramalingam S, Ates-Alagoz Z, Njar VC.","As part of our program to explore the influence of small structural modifications of our drug candidate 3β-(hydroxy)-17-(1H-benzimidazol-1-yl)androsta-5,16-diene (galeterone, 5) on the modulation of the androgen receptor (AR), we have prepared and evaluated a series of novel C-3, C-16, and C-17 analogues. Using structure activity analysis, we established that the benzimidazole moiety at C-17 is essential and optimal and also that hydrophilic and heteroaromatic groups at C-3 enhance both antiproliferative (AP) and AR degrading (ARD) activities. The most potent antiproliferative compounds were 3β-(1H-imidazole-1-carboxylate)-17-(1H-benzimidazol-1-yl)androsta-5,16-diene (47), 3-((EZ)-hydroximino)-17-(1H-benzimidazol-1-yl)androsta-4,16-diene (36), and 3β-(pyridine-4-carboxylate)-17-(1H-benzimidazol-1-yl)androsta-5,16-diene (43), with GI50 values of 0.87, 1.91, and 2.57 μM, respectively. Compared to 5, compound 47 was 4- and 8-fold more potent with respect to AP and ARD activities, respectively. Importantly, we also discovered that our compounds, including 5, 36, 43, and 47, could degrade both full-length and truncated ARs in CWR22rv1 human prostate cancer cells. With these activities, they have potential for development as new drugs for the treatment of all forms of prostate cancer.","InChI=1S/C26H31N3O/c1-25-13-11-18(28-30)15-17(25)7-8-19-20-9-10-24(26(20,2)14-12-21(19)25)29-16-27-22-5-3-4-6-23(22)29/h3-6,10,15-16,19-21,30H,7-9,11-14H2,1-2H3/t19-,20-,21-,25-,26-/m0/s1",0.45,0.81,65.0,,,,,,,
AHDAZCJDUQSPCQ-UHFFFAOYSA-N,%,Inhibition,,BAO_0000201,INH,,113171,Antagonist activity at androgen receptor (unknown origin) assessed as inhibition of R1881-induced receptor transactivation at 10 uM by dual-luciferase reporter gene assay relative to control,,,31493989,115081,10.1016/j.bmc.2019.115081,CHEMBL4396966,"Synthesis, biological evaluation and molecular docking of 4-Amino-2H-benzo[h]chromen-2-one (ABO) analogs containing the piperazine moiety.","Chen H, Zhang J, Hu P, Qian Y, Li J, Shen J.","Prostate cancer (PCa) is a major cause of cancer-related male death in worldwide. To develop of potential anti-prostate cancer agents, 22 kinds of 4-Amino-2H-benzo[h]chromen-2-one analogs were designed and synthesized as potent androgen receptor (AR) antagonist through rational drug modification leading to the discovery of a series of novel antiproliferative compounds. Analogs (3, 4, 5, 7, 8, 10, 11, 12, 16, 18, 21, 23, and 24) exhibited potent antagonistic potency against AR (inhibition >50%), and exhibited potent AR binding affinities as well as displayed the higher activities than finasteride toward LNCaP cells (AR-rich) versus PC-3 cells (AR-deficient). Moreover, the docking study suggested that the most potent antagonist 23 mainly bind to AR ligand binding pocket (LBP) site through Van der Waals' force interactions. The structure-activity relationship (SAR) of these designed 4-Amino-2H-benzo[h]chromen-2-one analogs was rationally explored and discussed. Collectively, this work provides a potential lead compound for anticancer agent development related to prostate cancer therapy, and took a step forward towards the development of novel and improved AR antagonists.","InChI=1S/C24H19F3N2O2/c25-24(26,27)19-7-3-4-8-20(19)28-11-13-29(14-12-28)21-15-22(30)31-23-17-6-2-1-5-16(17)9-10-18(21)23/h1-10,15H,11-14H2",0.32,-0.56,65.4,,,,,,,
AIKLCYAFOOBGEV-UHFFFAOYSA-N,%,Inhibition,,BAO_0000201,INH,,72690,Antagonist activity at human androgen receptor expressed in HEK293 cells assessed as inhibition of transcriptional activity at 10 uM by luciferase and beta-galactosidase reporter gene assay,,561874,23462715,1651,10.1016/j.bmc.2013.01.060,CHEMBL2331115,Development of silicon-containing bis-phenol derivatives as androgen receptor antagonists: selectivity switching by C/Si exchange.,"Nakamura M, Makishima M, Hashimoto Y.","We previously reported that bis-phenol derivatives, including LG190178 (3a), possess not only vitamin D receptor (VDR) agonistic activity, but also androgen receptor (AR) antagonistic activity. Here, we describe the design, synthesis and evaluation of silicon-containing bis-phenol derivatives, with the objective of obtaining increased selectivity toward VDR or AR. We found that replacement of the quaternary carbon in the bis-phenol skeleton with silicon increased AR-antagonistic activity and reduced VDR-agonistic activity, that is, the AR selectivity of the silicon-containing compounds was higher than that of corresponding carbon compounds. To our knowledge, this is the first report of nuclear receptor (NR) selectivity switching by sila-substitution (C/Si exchange). Among the compounds synthesized, AR-selective ligand (S,R)-3b exhibited more potent anti-androgenic activity (IC50=0.072 μM) than hydroxyflutamide, a well-known androgen antagonist (IC50=1.4 μM), in SC-3 cell proliferation assay. These results suggest that sila-substitution is a useful approach for structural development of selective AR ligands.","InChI=1S/C28H42O5/c1-8-28(9-2,21-10-12-24(19(3)14-21)32-17-23(30)16-29)22-11-13-25(20(4)15-22)33-18-26(31)27(5,6)7/h10-15,23,26,29-31H,8-9,16-18H2,1-7H3",0.45,0.21,16.0,,,,,,,
APCAZXDRUHTMKM-UHFFFAOYSA-N,%,Inhibition,,BAO_0000201,INH,,106877,Antagonist activity at androgen receptor (unknown origin) expressed in African green monkey COS7 cells assessed as inhibition of R1881-induced protein activation at 10 uM after 24 hrs by luciferase reporter gene assay relative to control,,,29117897,1344,10.1016/j.ejmech.2017.10.031,CHEMBL4138152,Exploring the tetrahydroisoquinoline thiohydantoin scaffold blockade the androgen receptor as potent anti-prostate cancer agents.,"Xu X, Ge R, Li L, Wang J, Lu X, Xue S, Chen X, Li Z, Bian J.","Prostate cancer (PC) is a major cause of cancer-related male death in worldwide and the identification of new and improved potent anti-PC molecules is constantly required. A novel scaffold of tetrahydroisoquinoline thiohydantoin was rationally designed based on the enzalutamide structures and our pre-work, leading to the discovery of a series of new antiproliferative compounds. Several new analogues displayed improved androgen receptor (AR) antagonistic activity, while maintaining the higher selective toxicity toward LNCaP cells (AR-rich) versus DU145 cells (AR-deficient) compared to enzalutamide. In fact, compound 55 exhibited promising in vitro antitumor activity by impairing AR unclear translocation. More importantly, 55 showed better pharmacokinetic properties compared to the compound 1 reported in our pre-work. These results demonstrate a step towards the development of novel and improved AR antagonists.","InChI=1S/C20H15F3N4O3S2/c1-32(29,30)25-14-4-2-11-7-17-18(28)27(19(31)26(17)10-13(11)6-14)15-5-3-12(9-24)16(8-15)20(21,22)23/h2-6,8,17,25H,7,10H2,1H3",0.68,-1.61,13.6,,,,,,,
APJBFEJHQOAULU-MSOLQXFVSA-N,%,Inhibition,,"Entry 0: BAO_0000201, Entry 1: BAO_0000201, ",INH,,"Entry 0: 75243, Entry 1: 75243, ","Entry 0: Inhibition of androgen receptor in human LNCAP cells assessed as decrease in PSA mRNA expression at 5 uM by RT-PCR analysis relative to control, Entry 1: Inhibition of androgen receptor in human LNCAP cells assessed as decrease in TMPRSS2 mRNA expression at 5 uM by RT-PCR analysis relative to control, ",,"Entry 0: 603719, Entry 1: 603720, ","Entry 0: 24044500, Entry 1: 24044500, ","Entry 0: 8297, Entry 1: 8297, ","Entry 0: 10.1021/jm301714s, Entry 1: 10.1021/jm301714s, ","Entry 0: CHEMBL2440058, Entry 1: CHEMBL2440058, ","Entry 0: Synthesis and structure-activity relationship studies of novel dihydropyridones as androgen receptor modulators., Entry 1: Synthesis and structure-activity relationship studies of novel dihydropyridones as androgen receptor modulators., ","Entry 0: Pepe A, Pamment M, Kim YS, Lee S, Lee MJ, Beebe K, Filikov A, Neckers L, Trepel JB, Malhotra SV., Entry 1: Pepe A, Pamment M, Kim YS, Lee S, Lee MJ, Beebe K, Filikov A, Neckers L, Trepel JB, Malhotra SV., ","Entry 0: A library of 3-hydroxy-2,3-dihydropyridones was synthesized, and their activities as antiandrogens were tested in the human prostate cancer cell line LNCaP. Structure-activity relationship (SAR) studies resulted in the identification of a potent compound whose activity is comparable to that of MDV3100. Homology modeling and molecular mechanics were used to build a structural model of the androgen receptor-ligand binding domain and to investigate the structural basis of the antagonism. The model is qualitatively consistent with the observed SAR. Moreover, the enrichment plot shows that screening with the model performs significantly better than random screening. Therefore, the model probably represents a realistic conformation of the antagonist form and can be utilized for structure-based design of novel antiandrogens., Entry 1: A library of 3-hydroxy-2,3-dihydropyridones was synthesized, and their activities as antiandrogens were tested in the human prostate cancer cell line LNCaP. Structure-activity relationship (SAR) studies resulted in the identification of a potent compound whose activity is comparable to that of MDV3100. Homology modeling and molecular mechanics were used to build a structural model of the androgen receptor-ligand binding domain and to investigate the structural basis of the antagonism. The model is qualitatively consistent with the observed SAR. Moreover, the enrichment plot shows that screening with the model performs significantly better than random screening. Therefore, the model probably represents a realistic conformation of the antagonist form and can be utilized for structure-based design of novel antiandrogens., ","InChI=1S/C19H15NO6/c21-14-8-9-20(19(23)26-13-4-2-1-3-5-13)17(18(14)22)12-6-7-15-16(10-12)25-11-24-15/h1-10,17-18,22H,11H2/t17-,18+/m1/s1",0.89,0.19,90.0,90.0,,,,,,
AQWPFTUXUBUSQP-UHFFFAOYSA-N,%,Inhibition,,BAO_0000201,INH,,103955,Antagonist activity at androgen receptor (unknown origin) expressed in COS-7 cells assessed as inhibition of R1881-induced MMTV promoter activity at 10 uM by luciferase reporter gene assay relative to control,,,27810589,1022,10.1016/j.ejmech.2016.10.049,CHEMBL4000170,Design and synthesis of indoline thiohydantoin derivatives based on enzalutamide as antiproliferative agents against prostate cancer.,"Zuo M, Xu X, Xie Z, Ge R, Zhang Z, Li Z, Bian J.","A novel scaffold of indoline thiohydantoin was discovered as potent androgen receptor (AR) antagonist through rational drug designation. Several compounds showed good biological profiles in AR binding and higher selective toxicity than enzalutamide toward LNCaP cells (AR-rich) versus DU145 cells (AR-deficient). In addition, the docking studies supported the rationalization of the biological evaluation. Among these compounds, the representative compound 48c exhibited the strongest inhibitory effect on LNCaP growth and also acted as a competitive AR antagonist. Further preliminary mechanism study confirmed that 48c exerted its AR antagonistic activity through impairing AR nuclear translocation. All these results indicated that the novel scaffold compounds demonstrated AR antagonistic behavior and promising candidates for future development were identified.","InChI=1S/C25H21F3N4O2S/c26-25(27,28)19-12-18(9-8-16(19)13-29)31-23(34)21-10-14-6-7-15(11-20(14)32(21)24(31)35)22(33)30-17-4-2-1-3-5-17/h6-9,11-12,17,21H,1-5,10H2,(H,30,33)",0.62,-1.43,22.9,,,,,,,
ARAUWVOHHMOSAF-UHFFFAOYSA-N,%,Inhibition,,BAO_0000201,INH,ANTAGONIST,120355,Antagonist activity at androgen receptor (unknown origin) transfected in COS7 cells cotransfected with pMMTV-LUC vector and pRL-SV4 assessed as inhibition of AR transcriptional activity at 10 uM incubated for 24 hrs by dual luciferase reporter gene assay relative to control,,,33756125,113376,10.1016/j.ejmech.2021.113376,CHEMBL4814014,Identification of novel androgen receptor degrading agents to treat advanced prostate cancer.,"Wu H, Ren J, Zhao L, Li Z, Ye W, Yang Y, Wang J, Bian J.","Prostate cancer (PCa) is one of the most common malignancies affecting men worldwide. Androgen receptor (AR) has been a target of PCa treatment for nearly six decades. AR antagonists/degraders can effectively treat PCa caused by increased AR overexpression. However, all approved AR antagonists have similar chemical structures and exhibit the same mode of action on the protein. Although initially effective, resistance to these AR antagonists usually develops. Therefore, this calls for the identification of novel chemical structures of AR antagonists to overcome the resistance. Herein, we employed the synergetic combination of virtual and experimental screening to identify a flavonoid compound which not only effectively inhibits AR transcriptional activity, but also induces the degradation of the protein. Based on this compound, we designed and synthesized a series of derivatives. We discovered that the most potent compound 10e could effectively inhibit AR transcriptional activity, and possessed a profound ability to cause degradation of both full length- and ARv7 truncated forms of human AR. Notably, 10e efficiently inhibited the growth of ARv7 dependent prostate cancer cell-lines, which are completely resistant to all current anti-androgens. Compound 10e also showed strong antitumor activity in the LNCaP (androgen dependent prostate cancer cell line) in vivo xenograft model. These results provide a foundation for the development of a new class of AR antagonists.","InChI=1S/C26H31N3O6/c1-14(2)34-24-22(33-5)11-20(31)23-19(30)10-21(35-25(23)24)17-6-8-18(9-7-17)28-26(32)29-12-15(3)27-16(4)13-29/h6-11,14-16,27,31H,12-13H2,1-5H3,(H,28,32)",0.50,0.12,96.2,,,,,,,
ATZJTNPBYBALHX-UHFFFAOYSA-N,%,Inhibition,,BAO_0000201,INH,,110521,Antagonist activity at alpha1 androgen receptor (unknown origin) assessed as reduction in R1881-induced response at 10 uM by dual-luciferase reporter gene assay relative to control,,,30482547,143,10.1016/j.bmc.2018.11.029,CHEMBL4308898,Synthesis and biological evaluation of arylpiperazine derivatives as potential anti-prostate cancer agents.,"Chen H, Yu YZ, Tian XM, Wang CL, Qian YN, Deng ZA, Zhang JX, Lv DJ, Zhang HB, Shen JL, Yuan M, Zhao SC.","A novel scaffold of arylpiperazine derivatives was discovered as potent androgen receptor (AR) antagonist through rational drug designation based on our pre-work, leading to the discovery of a series of new antiproliferative compounds. Compounds 10, 16, 27, 29 and 31 exhibited relatively strong antagonistic potency against AR and exhibited potent AR binding affinities, while compounds 5, 6, 10, 14, 16, 19, 21, 27 and 31 exhibited strong cytotoxic activities against LNCaP cells (AR-rich) as well as also displayed the higher activities than finasteride toward PC-3 (AR-deficient) and DU145 (AR-deficient). Docking study suggested that the most potent antagonist 16 mainly bind to AR ligand binding pocket (LBP) site through hydrogen bonding interactions. The structure-activity relationship (SAR) of these designed arylpiperazine derivatives was rationally explored and discussed. These results indicated that the novel scaffold compounds demonstrated a step towards the development of novel and improved AR antagonists, and promising candidates for future development were identified.","InChI=1S/C28H34N2O.2ClH/c1-23(2)26-12-14-28(15-13-26)31-21-16-24-8-10-25(11-9-24)22-29-17-19-30(20-18-29)27-6-4-3-5-7-27;;/h3-15,23H,16-22H2,1-2H3;2*1H",0.47,-1.08,40.2,,,,,,,
AUNGANRZJHBGPY-SCRDCRAPSA-N,%,Inhibition,,BAO_0000201,Inhibition,,39382,Activity at androgen receptor ligand binding domain assessed as inhibition of SRC2-3 interaction at 50 uM after 2 hrs by fluorescence polarization assay,,,17911242,16079,10.1073/pnas.0708036104,CHEMBL1147068,A surface on the androgen receptor that allosterically regulates coactivator binding.,"Estébanez-Perpiñá E, Arnold LA, Nguyen P, Rodrigues ED, Mar E, Bateman R, Pallai P, Shokat KM, Baxter JD, Guy RK, Webb P, Fletterick RJ.","Current approaches to inhibit nuclear receptor (NR) activity target the hormone binding pocket but face limitations. We have proposed that inhibitors, which bind to nuclear receptor surfaces that mediate assembly of the receptor's binding partners, might overcome some of these limitations. The androgen receptor (AR) plays a central role in prostate cancer, but conventional inhibitors lose effectiveness as cancer treatments because anti-androgen resistance usually develops. We conducted functional and x-ray screens to identify compounds that bind the AR surface and block binding of coactivators for AR activation function 2 (AF-2). Four compounds that block coactivator binding in solution with IC(50) approximately 50 microM and inhibit AF-2 activity in cells were detected: three nonsteroidal antiinflammatory drugs and the thyroid hormone 3,3',5-triiodothyroacetic acid. Although visualization of compounds at the AR surface reveals weak binding at AF-2, the most potent inhibitors bind preferentially to a previously unknown regulatory surface cleft termed binding function (BF)-3, which is a known target for mutations in prostate cancer and androgen insensitivity syndrome. X-ray structural analysis reveals that 3,3',5-triiodothyroacetic acid binding to BF-3 remodels the adjacent interaction site AF-2 to weaken coactivator binding. Mutation of residues that form BF-3 inhibits AR function and AR AF-2 activity. We propose that BF-3 is a previously unrecognized allosteric regulatory site needed for AR activity in vivo and a possible pharmaceutical target.","InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)/t11-,12+,14-/m0/s1",0.33,0.07,223.0,,,,,,,
AUYYCJSJGJYCDS-LBPRGKRZSA-N,%,Inhibition,,BAO_0000201,Inhibition,,39382,Activity at androgen receptor ligand binding domain assessed as inhibition of SRC2-3 interaction at 50 uM after 2 hrs by fluorescence polarization assay,,,17911242,16079,10.1073/pnas.0708036104,CHEMBL1147068,A surface on the androgen receptor that allosterically regulates coactivator binding.,"Estébanez-Perpiñá E, Arnold LA, Nguyen P, Rodrigues ED, Mar E, Bateman R, Pallai P, Shokat KM, Baxter JD, Guy RK, Webb P, Fletterick RJ.","Current approaches to inhibit nuclear receptor (NR) activity target the hormone binding pocket but face limitations. We have proposed that inhibitors, which bind to nuclear receptor surfaces that mediate assembly of the receptor's binding partners, might overcome some of these limitations. The androgen receptor (AR) plays a central role in prostate cancer, but conventional inhibitors lose effectiveness as cancer treatments because anti-androgen resistance usually develops. We conducted functional and x-ray screens to identify compounds that bind the AR surface and block binding of coactivators for AR activation function 2 (AF-2). Four compounds that block coactivator binding in solution with IC(50) approximately 50 microM and inhibit AF-2 activity in cells were detected: three nonsteroidal antiinflammatory drugs and the thyroid hormone 3,3',5-triiodothyroacetic acid. Although visualization of compounds at the AR surface reveals weak binding at AF-2, the most potent inhibitors bind preferentially to a previously unknown regulatory surface cleft termed binding function (BF)-3, which is a known target for mutations in prostate cancer and androgen insensitivity syndrome. X-ray structural analysis reveals that 3,3',5-triiodothyroacetic acid binding to BF-3 remodels the adjacent interaction site AF-2 to weaken coactivator binding. Mutation of residues that form BF-3 inhibits AR function and AR AF-2 activity. We propose that BF-3 is a previously unrecognized allosteric regulatory site needed for AR activity in vivo and a possible pharmaceutical target.","InChI=1S/C15H12I3NO4/c16-9-6-8(1-2-13(9)20)23-14-10(17)3-7(4-11(14)18)5-12(19)15(21)22/h1-4,6,12,20H,5,19H2,(H,21,22)/t12-/m0/s1",0.43,0.63,24.0,,,,,,,
