comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9
BZGPSGPFMNBCJZ-PYCFMQQDSA-N,nM,Kd,,BAO_0000034,Kd,,5682,Dissociation constant against GST-hARLBD was measured in SC-3 cell by using [3H]testosterone as radioligand,,,12873487,2658,10.1016/s0960-894x(03)00575-4,CHEMBL1144953,Anti-androgens with full antagonistic activity toward human prostate tumor LNCaP cells with mutated androgen receptor.,"Ishioka T, Tanatani A, Nagasawa K, Hashimoto Y.","Anti-androgens were designed based on the principle of inhibiting the folding of helix 12 of the nuclear androgen receptor. The prepared anti-androgens exhibited full antagonistic activity toward human prostate tumor LNCaP cells with T877A point-mutated nuclear androgen receptor, as far as examined, towards which other known anti-androgens, including hydroxyflutamide, are inactive or act as androgen agonists.","InChI=1S/C24H28N2O2/c1-3-5-16-26(17-6-4-2)21-14-12-19(13-15-21)18-22-23(25-28-24(22)27)20-10-8-7-9-11-20/h7-15,18H,3-6,16-17H2,1-2H3/b22-18-",0.43,-0.78,1.4,,,,,,,,,
CCCIJQPRIXGQOE-XWSJACJDSA-N,nM,Kd,,"Entry 0: BAO_0000034, Entry 1: BAO_0000034, Entry 2: BAO_0000034, Entry 3: BAO_0000034, Entry 4: BAO_0000034, Entry 5: BAO_0000034, Entry 6: BAO_0000034, Entry 7: BAO_0000034, Entry 8: BAO_0000034, Entry 9: BAO_0000034, ",Kd,,"Entry 0: 21588, Entry 1: 21588, Entry 2: 21588, Entry 3: 21588, Entry 4: 21588, Entry 5: 21588, Entry 6: 21588, Entry 7: 21588, Entry 8: 21588, Entry 9: 50947, ","Entry 0: Dissociation constant for [3H]R-1881 binding to human androgen receptor at 278 K, Entry 1: Dissociation constant for [3H]R-1881 binding to human androgen receptor at 283 K, Entry 2: Dissociation constant for [3H]R-1881 binding to human androgen receptor at 288 K, Entry 3: Dissociation constant value of the radiolabeled compound against the androgen receptor 293 K, Entry 4: Dissociation constant for [3H]R-1881 binding to human androgen receptor at 298 K, Entry 5: Dissociation constant for [3H]R-1881 binding to human androgen receptor at 303 K, Entry 6: Dissociation constant for [3H]R-1881 binding to human androgen receptor at 308 K, Entry 7: Dissociation constant for [3H]R-1881 binding to human androgen receptor at 310K, Entry 8: Dissociation constant for [3H]R-1881 binding to human androgen receptor at 273 K, Entry 9: Binding affinity to androgen receptor, ",,,"Entry 0: 15771445, Entry 1: 15771445, Entry 2: 15771445, Entry 3: 15771445, Entry 4: 15771445, Entry 5: 15771445, Entry 6: 15771445, Entry 7: 15771445, Entry 8: 15771445, Entry 9: 20355713, ","Entry 0: 2035, Entry 1: 2035, Entry 2: 2035, Entry 3: 2035, Entry 4: 2035, Entry 5: 2035, Entry 6: 2035, Entry 7: 2035, Entry 8: 2035, Entry 9: 3360, ","Entry 0: 10.1021/jm040842z, Entry 1: 10.1021/jm040842z, Entry 2: 10.1021/jm040842z, Entry 3: 10.1021/jm040842z, Entry 4: 10.1021/jm040842z, Entry 5: 10.1021/jm040842z, Entry 6: 10.1021/jm040842z, Entry 7: 10.1021/jm040842z, Entry 8: 10.1021/jm040842z, Entry 9: 10.1021/jm100052k, ","Entry 0: CHEMBL1142733, Entry 1: CHEMBL1142733, Entry 2: CHEMBL1142733, Entry 3: CHEMBL1142733, Entry 4: CHEMBL1142733, Entry 5: CHEMBL1142733, Entry 6: CHEMBL1142733, Entry 7: CHEMBL1142733, Entry 8: CHEMBL1142733, Entry 9: CHEMBL1157104, ","Entry 0: Binding thermodynamics as a tool to investigate the mechanisms of drug-receptor interactions: thermodynamics of cytoplasmic steroid/nuclear receptors in comparison with membrane receptors., Entry 1: Binding thermodynamics as a tool to investigate the mechanisms of drug-receptor interactions: thermodynamics of cytoplasmic steroid/nuclear receptors in comparison with membrane receptors., Entry 2: Binding thermodynamics as a tool to investigate the mechanisms of drug-receptor interactions: thermodynamics of cytoplasmic steroid/nuclear receptors in comparison with membrane receptors., Entry 3: Binding thermodynamics as a tool to investigate the mechanisms of drug-receptor interactions: thermodynamics of cytoplasmic steroid/nuclear receptors in comparison with membrane receptors., Entry 4: Binding thermodynamics as a tool to investigate the mechanisms of drug-receptor interactions: thermodynamics of cytoplasmic steroid/nuclear receptors in comparison with membrane receptors., Entry 5: Binding thermodynamics as a tool to investigate the mechanisms of drug-receptor interactions: thermodynamics of cytoplasmic steroid/nuclear receptors in comparison with membrane receptors., Entry 6: Binding thermodynamics as a tool to investigate the mechanisms of drug-receptor interactions: thermodynamics of cytoplasmic steroid/nuclear receptors in comparison with membrane receptors., Entry 7: Binding thermodynamics as a tool to investigate the mechanisms of drug-receptor interactions: thermodynamics of cytoplasmic steroid/nuclear receptors in comparison with membrane receptors., Entry 8: Binding thermodynamics as a tool to investigate the mechanisms of drug-receptor interactions: thermodynamics of cytoplasmic steroid/nuclear receptors in comparison with membrane receptors., Entry 9: Imaging progesterone receptor in breast tumors: synthesis and receptor binding affinity of fluoroalkyl-substituted analogues of tanaproget., ","Entry 0: Gilli P, Gilli G, Borea PA, Varani K, Scatturin A, Dalpiaz A., Entry 1: Gilli P, Gilli G, Borea PA, Varani K, Scatturin A, Dalpiaz A., Entry 2: Gilli P, Gilli G, Borea PA, Varani K, Scatturin A, Dalpiaz A., Entry 3: Gilli P, Gilli G, Borea PA, Varani K, Scatturin A, Dalpiaz A., Entry 4: Gilli P, Gilli G, Borea PA, Varani K, Scatturin A, Dalpiaz A., Entry 5: Gilli P, Gilli G, Borea PA, Varani K, Scatturin A, Dalpiaz A., Entry 6: Gilli P, Gilli G, Borea PA, Varani K, Scatturin A, Dalpiaz A., Entry 7: Gilli P, Gilli G, Borea PA, Varani K, Scatturin A, Dalpiaz A., Entry 8: Gilli P, Gilli G, Borea PA, Varani K, Scatturin A, Dalpiaz A., Entry 9: Zhou HB, Lee JH, Mayne CG, Carlson KE, Katzenellenbogen JA., ","Entry 0: Drug-receptor binding thermodynamics has proved to be a valid tool for pharmacological and pharmaceutical characterization of molecular mechanisms of receptor-recognition phenomena. The large number of membrane receptors so far studied has led to the discovery of enthalpy-entropy compensation effects in drug-receptor binding and discrimination between agonists and antagonists by thermodynamic methods. Since a single thermodynamic study on cytoplasmic receptors was known, this paper reports on binding thermodynamics of estradiol, ORG2058, and R1881 bound to estrogen, progesterone, and androgen steroid/nuclear receptors, respectively, as determined by variable-temperature binding constant measurements. The binding at 25 degrees C appears enthalpy/entropy-driven (-53.0 </= DeltaG degrees </= -48.6, -34.5 </= DeltaH degrees </= -19.9 kJ/mol, 0.057 </= DeltaS degrees </= 0.111, and -2.4 </= DeltaC(p) degrees </= -1.7 kJ mol(-1) K(-1)) and is interpreted in terms of hydrophobic and hydrogen-bonded specific interactions. Results obtained for cytoplasmic receptors are extensively compared with those known for typical membrane receptors, in particular the adenosine A(1) receptor, to investigate the thermodynamic bases of drug-receptor binding from the most general point of view., Entry 1: Drug-receptor binding thermodynamics has proved to be a valid tool for pharmacological and pharmaceutical characterization of molecular mechanisms of receptor-recognition phenomena. The large number of membrane receptors so far studied has led to the discovery of enthalpy-entropy compensation effects in drug-receptor binding and discrimination between agonists and antagonists by thermodynamic methods. Since a single thermodynamic study on cytoplasmic receptors was known, this paper reports on binding thermodynamics of estradiol, ORG2058, and R1881 bound to estrogen, progesterone, and androgen steroid/nuclear receptors, respectively, as determined by variable-temperature binding constant measurements. The binding at 25 degrees C appears enthalpy/entropy-driven (-53.0 </= DeltaG degrees </= -48.6, -34.5 </= DeltaH degrees </= -19.9 kJ/mol, 0.057 </= DeltaS degrees </= 0.111, and -2.4 </= DeltaC(p) degrees </= -1.7 kJ mol(-1) K(-1)) and is interpreted in terms of hydrophobic and hydrogen-bonded specific interactions. Results obtained for cytoplasmic receptors are extensively compared with those known for typical membrane receptors, in particular the adenosine A(1) receptor, to investigate the thermodynamic bases of drug-receptor binding from the most general point of view., Entry 2: Drug-receptor binding thermodynamics has proved to be a valid tool for pharmacological and pharmaceutical characterization of molecular mechanisms of receptor-recognition phenomena. The large number of membrane receptors so far studied has led to the discovery of enthalpy-entropy compensation effects in drug-receptor binding and discrimination between agonists and antagonists by thermodynamic methods. Since a single thermodynamic study on cytoplasmic receptors was known, this paper reports on binding thermodynamics of estradiol, ORG2058, and R1881 bound to estrogen, progesterone, and androgen steroid/nuclear receptors, respectively, as determined by variable-temperature binding constant measurements. The binding at 25 degrees C appears enthalpy/entropy-driven (-53.0 </= DeltaG degrees </= -48.6, -34.5 </= DeltaH degrees </= -19.9 kJ/mol, 0.057 </= DeltaS degrees </= 0.111, and -2.4 </= DeltaC(p) degrees </= -1.7 kJ mol(-1) K(-1)) and is interpreted in terms of hydrophobic and hydrogen-bonded specific interactions. Results obtained for cytoplasmic receptors are extensively compared with those known for typical membrane receptors, in particular the adenosine A(1) receptor, to investigate the thermodynamic bases of drug-receptor binding from the most general point of view., Entry 3: Drug-receptor binding thermodynamics has proved to be a valid tool for pharmacological and pharmaceutical characterization of molecular mechanisms of receptor-recognition phenomena. The large number of membrane receptors so far studied has led to the discovery of enthalpy-entropy compensation effects in drug-receptor binding and discrimination between agonists and antagonists by thermodynamic methods. Since a single thermodynamic study on cytoplasmic receptors was known, this paper reports on binding thermodynamics of estradiol, ORG2058, and R1881 bound to estrogen, progesterone, and androgen steroid/nuclear receptors, respectively, as determined by variable-temperature binding constant measurements. The binding at 25 degrees C appears enthalpy/entropy-driven (-53.0 </= DeltaG degrees </= -48.6, -34.5 </= DeltaH degrees </= -19.9 kJ/mol, 0.057 </= DeltaS degrees </= 0.111, and -2.4 </= DeltaC(p) degrees </= -1.7 kJ mol(-1) K(-1)) and is interpreted in terms of hydrophobic and hydrogen-bonded specific interactions. Results obtained for cytoplasmic receptors are extensively compared with those known for typical membrane receptors, in particular the adenosine A(1) receptor, to investigate the thermodynamic bases of drug-receptor binding from the most general point of view., Entry 4: Drug-receptor binding thermodynamics has proved to be a valid tool for pharmacological and pharmaceutical characterization of molecular mechanisms of receptor-recognition phenomena. The large number of membrane receptors so far studied has led to the discovery of enthalpy-entropy compensation effects in drug-receptor binding and discrimination between agonists and antagonists by thermodynamic methods. Since a single thermodynamic study on cytoplasmic receptors was known, this paper reports on binding thermodynamics of estradiol, ORG2058, and R1881 bound to estrogen, progesterone, and androgen steroid/nuclear receptors, respectively, as determined by variable-temperature binding constant measurements. The binding at 25 degrees C appears enthalpy/entropy-driven (-53.0 </= DeltaG degrees </= -48.6, -34.5 </= DeltaH degrees </= -19.9 kJ/mol, 0.057 </= DeltaS degrees </= 0.111, and -2.4 </= DeltaC(p) degrees </= -1.7 kJ mol(-1) K(-1)) and is interpreted in terms of hydrophobic and hydrogen-bonded specific interactions. Results obtained for cytoplasmic receptors are extensively compared with those known for typical membrane receptors, in particular the adenosine A(1) receptor, to investigate the thermodynamic bases of drug-receptor binding from the most general point of view., Entry 5: Drug-receptor binding thermodynamics has proved to be a valid tool for pharmacological and pharmaceutical characterization of molecular mechanisms of receptor-recognition phenomena. The large number of membrane receptors so far studied has led to the discovery of enthalpy-entropy compensation effects in drug-receptor binding and discrimination between agonists and antagonists by thermodynamic methods. Since a single thermodynamic study on cytoplasmic receptors was known, this paper reports on binding thermodynamics of estradiol, ORG2058, and R1881 bound to estrogen, progesterone, and androgen steroid/nuclear receptors, respectively, as determined by variable-temperature binding constant measurements. The binding at 25 degrees C appears enthalpy/entropy-driven (-53.0 </= DeltaG degrees </= -48.6, -34.5 </= DeltaH degrees </= -19.9 kJ/mol, 0.057 </= DeltaS degrees </= 0.111, and -2.4 </= DeltaC(p) degrees </= -1.7 kJ mol(-1) K(-1)) and is interpreted in terms of hydrophobic and hydrogen-bonded specific interactions. Results obtained for cytoplasmic receptors are extensively compared with those known for typical membrane receptors, in particular the adenosine A(1) receptor, to investigate the thermodynamic bases of drug-receptor binding from the most general point of view., Entry 6: Drug-receptor binding thermodynamics has proved to be a valid tool for pharmacological and pharmaceutical characterization of molecular mechanisms of receptor-recognition phenomena. The large number of membrane receptors so far studied has led to the discovery of enthalpy-entropy compensation effects in drug-receptor binding and discrimination between agonists and antagonists by thermodynamic methods. Since a single thermodynamic study on cytoplasmic receptors was known, this paper reports on binding thermodynamics of estradiol, ORG2058, and R1881 bound to estrogen, progesterone, and androgen steroid/nuclear receptors, respectively, as determined by variable-temperature binding constant measurements. The binding at 25 degrees C appears enthalpy/entropy-driven (-53.0 </= DeltaG degrees </= -48.6, -34.5 </= DeltaH degrees </= -19.9 kJ/mol, 0.057 </= DeltaS degrees </= 0.111, and -2.4 </= DeltaC(p) degrees </= -1.7 kJ mol(-1) K(-1)) and is interpreted in terms of hydrophobic and hydrogen-bonded specific interactions. Results obtained for cytoplasmic receptors are extensively compared with those known for typical membrane receptors, in particular the adenosine A(1) receptor, to investigate the thermodynamic bases of drug-receptor binding from the most general point of view., Entry 7: Drug-receptor binding thermodynamics has proved to be a valid tool for pharmacological and pharmaceutical characterization of molecular mechanisms of receptor-recognition phenomena. The large number of membrane receptors so far studied has led to the discovery of enthalpy-entropy compensation effects in drug-receptor binding and discrimination between agonists and antagonists by thermodynamic methods. Since a single thermodynamic study on cytoplasmic receptors was known, this paper reports on binding thermodynamics of estradiol, ORG2058, and R1881 bound to estrogen, progesterone, and androgen steroid/nuclear receptors, respectively, as determined by variable-temperature binding constant measurements. The binding at 25 degrees C appears enthalpy/entropy-driven (-53.0 </= DeltaG degrees </= -48.6, -34.5 </= DeltaH degrees </= -19.9 kJ/mol, 0.057 </= DeltaS degrees </= 0.111, and -2.4 </= DeltaC(p) degrees </= -1.7 kJ mol(-1) K(-1)) and is interpreted in terms of hydrophobic and hydrogen-bonded specific interactions. Results obtained for cytoplasmic receptors are extensively compared with those known for typical membrane receptors, in particular the adenosine A(1) receptor, to investigate the thermodynamic bases of drug-receptor binding from the most general point of view., Entry 8: Drug-receptor binding thermodynamics has proved to be a valid tool for pharmacological and pharmaceutical characterization of molecular mechanisms of receptor-recognition phenomena. The large number of membrane receptors so far studied has led to the discovery of enthalpy-entropy compensation effects in drug-receptor binding and discrimination between agonists and antagonists by thermodynamic methods. Since a single thermodynamic study on cytoplasmic receptors was known, this paper reports on binding thermodynamics of estradiol, ORG2058, and R1881 bound to estrogen, progesterone, and androgen steroid/nuclear receptors, respectively, as determined by variable-temperature binding constant measurements. The binding at 25 degrees C appears enthalpy/entropy-driven (-53.0 </= DeltaG degrees </= -48.6, -34.5 </= DeltaH degrees </= -19.9 kJ/mol, 0.057 </= DeltaS degrees </= 0.111, and -2.4 </= DeltaC(p) degrees </= -1.7 kJ mol(-1) K(-1)) and is interpreted in terms of hydrophobic and hydrogen-bonded specific interactions. Results obtained for cytoplasmic receptors are extensively compared with those known for typical membrane receptors, in particular the adenosine A(1) receptor, to investigate the thermodynamic bases of drug-receptor binding from the most general point of view., Entry 9: The progesterone receptor (PR) is estrogen regulated, and PR levels in breast tumors can be used to predict the success of endocrine therapies targeting the estrogen receptor (ER). Tanaproget is a nonsteroidal progestin agonist with very high PR binding affinity and excellent in vivo potency. When appropriately radiolabeled, it might be used to image PR-positive breast tumors noninvasively by positron emission tomography (PET). We describe the synthesis and PR binding affinities of a series of fluoroalkyl-substituted 6-aryl-1,4-dihydrobenzo[d][1,3]oxazine-2-thiones, analogues of Tanaproget. Some of these compounds have subnanomolar binding affinities, higher than that of either Tanaproget itself or the high affinity PR ligand R5020. Structure-binding affinity relationships can be rationalized by molecular modeling of ligand complexes with PR, and the enantioselectivity of binding has been predicted. These compounds are being further evaluated as potential diagnostic PET imaging agents for breast cancer, and enantiomerically pure materials of defined stereochemistry are being prepared., ","InChI=1S/C19H24O2/c1-18-9-7-15-14-6-4-13(20)11-12(14)3-5-16(15)17(18)8-10-19(18,2)21/h7,9,11,16-17,21H,3-6,8,10H2,1-2H3/t16-,17+,18+,19+/m1/s1",0.74,2.29,0.52,0.56,0.6,0.61,0.68,0.74,0.99,1.21,1.51,1.95
CFSAYQVTXBMPRF-IBGZPJMESA-N,nM,Kd,,BAO_0000034,Kd,DEGRADER,117218,Inhibition of androgen receptor AF1 domain (141 to 486 residues) (unknown origin) incubated for 30 mins by steady-state fluorescence emission spectroscopy,,,32352776,11361,10.1021/acs.jmedchem.0c00093,CHEMBL4665673,Monomeric Targeted Protein Degraders.,"Hanan EJ,Liang J,Wang X,Blake RA,Blaquiere N,Staben ST","The discovery and development of targeted protein degraders have become important areas of research in the field of medicinal chemistry. Inducing degradation of a target protein presents several advantages relative to simple inhibition including a potential for extended duration of action and more profound pharmacology. While engineered heterodimeric molecules have recently been a major focus within industry and academia, this Perspective highlights examples of targeted protein degradation observed for smaller, monomeric molecules. Methods and tools for evaluating protein degradation as well as a discussion of physical properties of monomeric vs engineered heterodimeric degraders are presented.","InChI=1S/C20H15F4N3O2/c1-19(29,11-27-7-6-12-8-14(21)3-5-17(12)27)18(28)26-15-4-2-13(10-25)16(9-15)20(22,23)24/h2-9,29H,11H2,1H3,(H,26,28)/t19-/m0/s1",0.64,-1.61,1300.0,,,,,,,,,
GMOZLLMXTMENGY-LGMDPLHJSA-N,nM,Kd,,BAO_0000034,Kd,,5682,Dissociation constant against GST-hARLBD was measured in SC-3 cell by using [3H]testosterone as radioligand,,,12873487,2658,10.1016/s0960-894x(03)00575-4,CHEMBL1144953,Anti-androgens with full antagonistic activity toward human prostate tumor LNCaP cells with mutated androgen receptor.,"Ishioka T, Tanatani A, Nagasawa K, Hashimoto Y.","Anti-androgens were designed based on the principle of inhibiting the folding of helix 12 of the nuclear androgen receptor. The prepared anti-androgens exhibited full antagonistic activity toward human prostate tumor LNCaP cells with T877A point-mutated nuclear androgen receptor, as far as examined, towards which other known anti-androgens, including hydroxyflutamide, are inactive or act as androgen agonists.","InChI=1S/C20H17FN2O2/c21-18-6-2-1-5-16(18)19-17(20(24)25-22-19)13-14-7-9-15(10-8-14)23-11-3-4-12-23/h1-2,5-10,13H,3-4,11-12H2/b17-13-",0.63,-1.11,1.4,,,,,,,,,
MUMGGOZAMZWBJJ-DYKIIFRCSA-N,nM,Kd,,BAO_0000034,Kd,AGONIST,123921,Binding affinity to human Androgen receptor,,,35786895,8797,10.1021/acs.jmedchem.2c00716,CHEMBL5137058,Therapeutic Strategies to Target the Androgen Receptor.,"Xiang W, Wang S.","The androgen receptor (AR) plays a key role in the maintenance of muscle and bone and the support of male sexual-related functions, as well as in the progression of prostate cancer. Accordingly, AR-targeted therapies have been developed for the treatment of related human diseases and conditions. AR agonists are an important class of drugs in the treatment of bone loss and muscle atrophy. AR antagonists have also been developed for the treatment of prostate cancer, including metastatic castration-resistant prostate cancer (mCRPC). Additionally, selective AR degraders (SARDs) have been reported. More recently, heterobifunctional degrader molecules of AR have been developed, and four such compounds are now in clinical development for the treatment of human prostate cancer. This review attempts to summarize the different types of compounds designed to target AR and the current frontiers of research on this important therapeutic target.","InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-17,21H,3-10H2,1-2H3/t14-,15-,16-,17-,18-,19-/m0/s1",0.73,2.52,0.4,,,,,,,,,
NASZVFZPSYLRIT-UHFFFAOYSA-N,nM,Kd,,BAO_0000034,Kd,ANTAGONIST,122799,Binding affinity to full length androgen receptor (unknown origin) assessed as dissociation constant at 5 uM measured after 15 mins by biolayer interferometry assay,,,36154033,13093,10.1021/acs.jmedchem.2c00912,CHEMBL5104187,"Discovery of 2-(1-(3-Chloro-4-cyanophenyl)-1<i>H</i>-pyrazol-3-yl)acetamides as Potent, Selective, and Orally Available Antagonists Targeting the Androgen Receptor.","Chen C, Chai X, Hu X, Lou S, Li D, Hou T, Cui S.","The androgen receptor (AR) antagonists are efficient therapeutics for the treatment of prostate cancer (PCa). All the approved AR antagonists to date are targeted to the ligand-binding pocket (LBP) of AR and have suffered from various drug resistances, whereas AR antagonist targeting non-LBP site of AR is conceived as a promising strategy. Through the scaffold hopping of AR LBP antagonists, the 2-chloro-4-(1<i>H</i>-pyrazol-1-yl)benzonitrile was designed as a new core structure for AR antagonists. A total of 46 compounds were synthesized and biologically evaluated to disclose compounds <b>2f</b>, <b>2k</b>, and <b>4c</b>, exhibiting potent AR antagonistic activities (IC<sub>50</sub> up to 69 nM), force against antiandrogen resistance, and untraditional targeting site of probably AR binding function 3. Therein, <b>4c</b> exhibited effective tumor growth inhibition in LNCaP xenograft study upon oral administration. This work provides a novel chemical scaffold for AR antagonists and offers new perspective for the development of PCa therapy.","InChI=1S/C17H11ClFN5O/c18-15-8-14(3-1-11(15)9-20)24-6-5-12(23-24)7-17(25)22-13-2-4-16(19)21-10-13/h1-6,8,10H,7H2,(H,22,25)",0.73,-2.93,20480.0,,,,,,,,,
NHPPXRZVKDOUPD-UHFFFAOYSA-N,nM,Kd,,BAO_0000034,Kd,ANTAGONIST,122799,Binding affinity to full length androgen receptor (unknown origin) assessed as dissociation constant at 5 uM measured after 15 mins by biolayer interferometry assay,,,36154033,13093,10.1021/acs.jmedchem.2c00912,CHEMBL5104187,"Discovery of 2-(1-(3-Chloro-4-cyanophenyl)-1<i>H</i>-pyrazol-3-yl)acetamides as Potent, Selective, and Orally Available Antagonists Targeting the Androgen Receptor.","Chen C, Chai X, Hu X, Lou S, Li D, Hou T, Cui S.","The androgen receptor (AR) antagonists are efficient therapeutics for the treatment of prostate cancer (PCa). All the approved AR antagonists to date are targeted to the ligand-binding pocket (LBP) of AR and have suffered from various drug resistances, whereas AR antagonist targeting non-LBP site of AR is conceived as a promising strategy. Through the scaffold hopping of AR LBP antagonists, the 2-chloro-4-(1<i>H</i>-pyrazol-1-yl)benzonitrile was designed as a new core structure for AR antagonists. A total of 46 compounds were synthesized and biologically evaluated to disclose compounds <b>2f</b>, <b>2k</b>, and <b>4c</b>, exhibiting potent AR antagonistic activities (IC<sub>50</sub> up to 69 nM), force against antiandrogen resistance, and untraditional targeting site of probably AR binding function 3. Therein, <b>4c</b> exhibited effective tumor growth inhibition in LNCaP xenograft study upon oral administration. This work provides a novel chemical scaffold for AR antagonists and offers new perspective for the development of PCa therapy.","InChI=1S/C19H12F4N4O/c20-13-2-4-14(5-3-13)25-18(28)9-15-7-8-27(26-15)16-6-1-12(11-24)17(10-16)19(21,22)23/h1-8,10H,9H2,(H,25,28)",0.68,-2.54,10050.0,,,,,,,,,
NVKAWKQGWWIWPM-ABEVXSGRSA-N,nM,Kd,,BAO_0000034,Kd,AGONIST,123921,Binding affinity to human Androgen receptor,,,35786895,8797,10.1021/acs.jmedchem.2c00716,CHEMBL5137058,Therapeutic Strategies to Target the Androgen Receptor.,"Xiang W, Wang S.","The androgen receptor (AR) plays a key role in the maintenance of muscle and bone and the support of male sexual-related functions, as well as in the progression of prostate cancer. Accordingly, AR-targeted therapies have been developed for the treatment of related human diseases and conditions. AR agonists are an important class of drugs in the treatment of bone loss and muscle atrophy. AR antagonists have also been developed for the treatment of prostate cancer, including metastatic castration-resistant prostate cancer (mCRPC). Additionally, selective AR degraders (SARDs) have been reported. More recently, heterobifunctional degrader molecules of AR have been developed, and four such compounds are now in clinical development for the treatment of human prostate cancer. This review attempts to summarize the different types of compounds designed to target AR and the current frontiers of research on this important therapeutic target.","InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12,14-17,21H,3-11H2,1-2H3/t12-,14-,15-,16-,17-,18-,19-/m0/s1",0.73,2.41,0.25,,,,,,,,,
PFTGETJOLHYFLD-AQTBWJFISA-N,nM,Kd,,BAO_0000034,Kd,,5682,Dissociation constant against GST-hARLBD was measured in SC-3 cell by using [3H]testosterone as radioligand,,,12873487,2658,10.1016/s0960-894x(03)00575-4,CHEMBL1144953,Anti-androgens with full antagonistic activity toward human prostate tumor LNCaP cells with mutated androgen receptor.,"Ishioka T, Tanatani A, Nagasawa K, Hashimoto Y.","Anti-androgens were designed based on the principle of inhibiting the folding of helix 12 of the nuclear androgen receptor. The prepared anti-androgens exhibited full antagonistic activity toward human prostate tumor LNCaP cells with T877A point-mutated nuclear androgen receptor, as far as examined, towards which other known anti-androgens, including hydroxyflutamide, are inactive or act as androgen agonists.","InChI=1S/C20H18N2O3/c23-17-9-5-15(6-10-17)19-18(20(24)25-21-19)13-14-3-7-16(8-4-14)22-11-1-2-12-22/h3-10,13,23H,1-2,11-12H2/b18-13-",0.69,-0.63,1.4,,,,,,,,,
PSGAAPLEWMOORI-PEINSRQWSA-N,nM,Kd,,BAO_0000034,Kd,AGONIST,123921,Agonist activity at human Androgen receptor,,,35786895,8797,10.1021/acs.jmedchem.2c00716,CHEMBL5137058,Therapeutic Strategies to Target the Androgen Receptor.,"Xiang W, Wang S.","The androgen receptor (AR) plays a key role in the maintenance of muscle and bone and the support of male sexual-related functions, as well as in the progression of prostate cancer. Accordingly, AR-targeted therapies have been developed for the treatment of related human diseases and conditions. AR agonists are an important class of drugs in the treatment of bone loss and muscle atrophy. AR antagonists have also been developed for the treatment of prostate cancer, including metastatic castration-resistant prostate cancer (mCRPC). Additionally, selective AR degraders (SARDs) have been reported. More recently, heterobifunctional degrader molecules of AR have been developed, and four such compounds are now in clinical development for the treatment of human prostate cancer. This review attempts to summarize the different types of compounds designed to target AR and the current frontiers of research on this important therapeutic target.","InChI=1S/C24H34O4/c1-14-12-18-19(22(4)9-6-17(27)13-21(14)22)7-10-23(5)20(18)8-11-24(23,15(2)25)28-16(3)26/h13-14,18-20H,6-12H2,1-5H3/t14-,18+,19-,20-,22+,23-,24-/m0/s1",0.65,2.07,1.0,,,,,,,,,
