comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2,act_3,act_4
AAFXQFIGKBLKMC-KQQUZDAGSA-N,nM,Potency,inconclusive,BAO_0000186,Potency,,51887,PUBCHEM_BIOASSAY: qHTS assay for small molecule antagonists of androgen receptor signaling. (Class of assay: confirmatory) ,,588516,,,,CHEMBL1201862,PubChem BioAssay data set,,,"InChI=1S/C12H10O4/c13-11(14)7-5-9-1-2-10(4-3-9)6-8-12(15)16/h1-8H,(H,13,14)(H,15,16)/b7-5+,8-6+",0.76,0.36,2.5,,,,
ACGUYXCXAPNIKK-UHFFFAOYSA-N,nM,Potency,inconclusive,"Entry 0: BAO_0000186, Entry 1: BAO_0000186, Entry 2: BAO_0000186, Entry 3: BAO_0000186, ",Potency,,"Entry 0: 51887, Entry 1: 51887, Entry 2: 51887, Entry 3: 51887, ","Entry 0: PUBCHEM_BIOASSAY: qHTS assay for small molecule agonists of androgen receptor signaling. (Class of assay: confirmatory) , Entry 1: PUBCHEM_BIOASSAY: qHTS assay for small molecule antagonists of androgen receptor signaling. (Class of assay: confirmatory) , Entry 2: PUBCHEM_BIOASSAY: qHTS assay for small molecule agonists of androgen receptor signaling. (Class of assay: confirmatory) , Entry 3: PUBCHEM_BIOASSAY: qHTS assay for small molecule antagonists of androgen receptor signaling. (Class of assay: confirmatory) , ",,"Entry 0: 588515, Entry 1: 588516, Entry 2: 588515, Entry 3: 588516, ",,,,"Entry 0: CHEMBL1201862, Entry 1: CHEMBL1201862, Entry 2: CHEMBL1201862, Entry 3: CHEMBL1201862, ","Entry 0: PubChem BioAssay data set, Entry 1: PubChem BioAssay data set, Entry 2: PubChem BioAssay data set, Entry 3: PubChem BioAssay data set, ",,,"InChI=1S/C13H6Cl6O2/c14-6-2-8(16)12(20)4(10(6)18)1-5-11(19)7(15)3-9(17)13(5)21/h2-3,20-21H,1H2",0.55,-0.01,5011.9,8912.5,12589.3,22387.2,
AEMFNILZOJDQLW-QAGGRKNESA-N,nM,Potency,mix,"Entry 0: BAO_0000186, Entry 1: BAO_0000186, ",Potency,,"Entry 0: 51887, Entry 1: 51887, ","Entry 0: PUBCHEM_BIOASSAY: qHTS assay for small molecule agonists of androgen receptor signaling. (Class of assay: confirmatory) , Entry 1: PUBCHEM_BIOASSAY: qHTS assay for small molecule agonists of androgen receptor signaling. (Class of assay: confirmatory) , ",,"Entry 0: 588515, Entry 1: 588515, ",,,,"Entry 0: CHEMBL1201862, Entry 1: CHEMBL1201862, ","Entry 0: PubChem BioAssay data set, Entry 1: PubChem BioAssay data set, ",,,"InChI=1S/C19H26O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-16H,3-10H2,1-2H3/t14-,15-,16-,18-,19-/m0/s1",0.67,2.14,223.9,17782.8,,,
AFYCEAFSNDLKSX-UHFFFAOYSA-N,nM,Potency,mix,"Entry 0: BAO_0000186, Entry 1: BAO_0000186, ",Potency,,"Entry 0: 51887, Entry 1: 51887, ","Entry 0: PUBCHEM_BIOASSAY: qHTS assay for small molecule agonists of androgen receptor signaling. (Class of assay: confirmatory) , Entry 1: PUBCHEM_BIOASSAY: qHTS assay for small molecule antagonists of androgen receptor signaling. (Class of assay: confirmatory) , ",,"Entry 0: 588515, Entry 1: 588516, ",,,,"Entry 0: CHEMBL1201862, Entry 1: CHEMBL1201862, ","Entry 0: PubChem BioAssay data set, Entry 1: PubChem BioAssay data set, ",,,"InChI=1S/C14H17NO2/c1-4-15(5-2)11-6-7-12-10(3)8-14(16)17-13(12)9-11/h6-9H,4-5H2,1-3H3",0.76,-0.78,14125.4,39810.7,,,
AHJKRLASYNVKDZ-UHFFFAOYSA-N,nM,Potency,inconclusive,"Entry 0: BAO_0000186, Entry 1: BAO_0000186, ",Potency,,"Entry 0: 51887, Entry 1: 51887, ","Entry 0: PUBCHEM_BIOASSAY: qHTS assay for small molecule antagonists of androgen receptor signaling. (Class of assay: confirmatory) , Entry 1: PUBCHEM_BIOASSAY: qHTS assay for small molecule agonists of androgen receptor signaling. (Class of assay: confirmatory) , ",,"Entry 0: 588516, Entry 1: 588515, ",,,,"Entry 0: CHEMBL1201862, Entry 1: CHEMBL1201862, ","Entry 0: PubChem BioAssay data set, Entry 1: PubChem BioAssay data set, ",,,"InChI=1S/C14H10Cl4/c15-11-5-1-9(2-6-11)13(14(17)18)10-3-7-12(16)8-4-10/h1-8,13-14H",0.62,-0.18,44668.4,44668.4,,,
AHXGXXJEEHFHDK-UHFFFAOYSA-N,nM,Potency,inconclusive,"Entry 0: BAO_0000186, Entry 1: BAO_0000186, ",Potency,,"Entry 0: 51887, Entry 1: 51887, ","Entry 0: PUBCHEM_BIOASSAY: qHTS assay for small molecule antagonists of androgen receptor signaling. (Class of assay: confirmatory) , Entry 1: PUBCHEM_BIOASSAY: qHTS assay for small molecule agonists of androgen receptor signaling. (Class of assay: confirmatory) , ",,"Entry 0: 588516, Entry 1: 588515, ",,,,"Entry 0: CHEMBL1201862, Entry 1: CHEMBL1201862, ","Entry 0: PubChem BioAssay data set, Entry 1: PubChem BioAssay data set, ",,,"InChI=1S/C20H14O2S2/c21-17-5-1-15-11-19(7-3-13(15)9-17)23-24-20-8-4-14-10-18(22)6-2-16(14)12-20/h1-12,21-22H",0.43,0.13,28183.8,70794.6,,,
AKJHMTWEGVYYSE-UHFFFAOYSA-N,nM,Potency,active,BAO_0000186,Potency,,51887,PUBCHEM_BIOASSAY: qHTS assay for small molecule antagonists of androgen receptor signaling. (Class of assay: confirmatory) ,,588516,,,,CHEMBL1201862,PubChem BioAssay data set,,,"InChI=1S/C26H33NO2/c1-19(11-16-24-21(3)10-7-17-26(24,4)5)8-6-9-20(2)18-25(29)27-22-12-14-23(28)15-13-22/h6,8-9,11-16,18,28H,7,10,17H2,1-5H3,(H,27,29)",0.32,1.40,35481.3,,,,
ALIFPGGMJDWMJH-UHFFFAOYSA-N,nM,Potency,inconclusive,BAO_0000186,Potency,,51887,PUBCHEM_BIOASSAY: qHTS assay for small molecule antagonists of androgen receptor signaling. (Class of assay: confirmatory) ,,588516,,,,CHEMBL1201862,PubChem BioAssay data set,,,"InChI=1S/C12H11N3/c1-3-7-11(8-4-1)13-15-14-12-9-5-2-6-10-12/h1-10H,(H,13,14)",0.59,-0.77,25118.9,,,,
ALYNCZNDIQEVRV-UHFFFAOYSA-N,nM,Potency,inconclusive,"Entry 0: BAO_0000186, Entry 1: BAO_0000186, ",Potency,,"Entry 0: 51887, Entry 1: 51887, ","Entry 0: PUBCHEM_BIOASSAY: qHTS assay for small molecule antagonists of androgen receptor signaling. (Class of assay: confirmatory) , Entry 1: PUBCHEM_BIOASSAY: qHTS assay for small molecule agonists of androgen receptor signaling. (Class of assay: confirmatory) , ",,"Entry 0: 588516, Entry 1: 588515, ",,,,"Entry 0: CHEMBL1201862, Entry 1: CHEMBL1201862, ","Entry 0: PubChem BioAssay data set, Entry 1: PubChem BioAssay data set, ",,,"InChI=1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H,9,10)",0.57,-0.07,28183.8,44668.4,,,
AMEKQAFGQBKLKX-UHFFFAOYSA-N,nM,Potency,active,BAO_0000186,Potency,,51887,PUBCHEM_BIOASSAY: qHTS assay for small molecule antagonists of androgen receptor signaling. (Class of assay: confirmatory) ,,588516,,,,CHEMBL1201862,PubChem BioAssay data set,,,"InChI=1S/C12H13NO4S/c1-9-11(18(15,16)8-7-17-9)12(14)13-10-5-3-2-4-6-10/h2-6H,7-8H2,1H3,(H,13,14)",0.88,-1.22,22387.2,,,,
