comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0
AULDYUVAHLAHSB-UHFFFAOYSA-N,%,RBA,,BAO_0000179,RBA,DEGRADER,121075,Binding affinity to GST-tagged AR ligand binding domain (unknown origin) at 10 uM measured after 4 hrs by competitive fluorimetric binding assay relative to testosterone,,,34364224,116331,10.1016/j.bmc.2021.116331,CHEMBL4834485,"Designed, synthesized and biological evaluation of proteolysis targeting chimeras (PROTACs) as AR degraders for prostate cancer treatment.","Liang JJ, Xie H, Yang RH, Wang N, Zheng ZJ, Zhou C, Wang YL, Wang ZJ, Liu HM, Shan LH, Ke Y.","As a continuation of our research on developing potent and potentially safe androgen receptor (AR) degrader, a series of novel proteolysis targeting chimeras (PROTACs) containing the phthalimide degrons with different linker were designed, synthesized and evaluated for their AR degradation activity against LNCaP (AR+) cell line. Most of the synthesized compounds displayed moderate to satisfactory AR binding affinity and might lead to antagonist activity against AR. Among them, compound A16 exhibited the best AR binding affinity (85%) and degradation activity against AR. Due to the strong fluorescence properties of pomalidomide derivatives, B10 was found to be effectively internalized and visualized in LNCaP (AR + ) cells than PC-3 (AR-) cells. Moreover, the molecular docking of A16 with AR and the active site of DDB1-CRBN E3 ubiquitin ligase complex provides guidance to design new PROTAC degrons targeting AR for prostate cancer therapy. These results represent a step toward the development of novel and improved AR PROTACs.","InChI=1S/C35H33F3N8O7/c1-34(2)32(51)45(22-11-10-20(18-39)24(17-22)35(36,37)38)33(52)44(34)15-4-3-14-43-19-21(41-42-43)7-6-16-53-26-9-5-8-23-28(26)31(50)46(30(23)49)25-12-13-27(47)40-29(25)48/h5,8-11,17,19,25H,3-4,6-7,12-16H2,1-2H3,(H,40,47,48)",0.16,-1.07,61.42
AVMHCIRXAZNHRP-UHFFFAOYSA-N,%,RBA,,BAO_0000179,RBA,DEGRADER,121075,Binding affinity to GST-tagged AR ligand binding domain (unknown origin) at 10 uM measured after 4 hrs by competitive fluorimetric binding assay relative to testosterone,,,34364224,116331,10.1016/j.bmc.2021.116331,CHEMBL4834485,"Designed, synthesized and biological evaluation of proteolysis targeting chimeras (PROTACs) as AR degraders for prostate cancer treatment.","Liang JJ, Xie H, Yang RH, Wang N, Zheng ZJ, Zhou C, Wang YL, Wang ZJ, Liu HM, Shan LH, Ke Y.","As a continuation of our research on developing potent and potentially safe androgen receptor (AR) degrader, a series of novel proteolysis targeting chimeras (PROTACs) containing the phthalimide degrons with different linker were designed, synthesized and evaluated for their AR degradation activity against LNCaP (AR+) cell line. Most of the synthesized compounds displayed moderate to satisfactory AR binding affinity and might lead to antagonist activity against AR. Among them, compound A16 exhibited the best AR binding affinity (85%) and degradation activity against AR. Due to the strong fluorescence properties of pomalidomide derivatives, B10 was found to be effectively internalized and visualized in LNCaP (AR + ) cells than PC-3 (AR-) cells. Moreover, the molecular docking of A16 with AR and the active site of DDB1-CRBN E3 ubiquitin ligase complex provides guidance to design new PROTAC degrons targeting AR for prostate cancer therapy. These results represent a step toward the development of novel and improved AR PROTACs.","InChI=1S/C36H35F3N8O9/c1-35(2)33(52)46(23-8-7-21(18-40)25(17-23)36(37,38)39)34(53)45(35)12-4-11-44-19-22(42-43-44)20-55-14-13-54-15-16-56-27-6-3-5-24-29(27)32(51)47(31(24)50)26-9-10-28(48)41-30(26)49/h3,5-8,17,19,26H,4,9-16,20H2,1-2H3,(H,41,48,49)",0.13,-1.15,50.47
BCJNRNBOQWJRIM-QFIPXVFZSA-N,%,RBA,,BAO_0000179,RBA,,57786,Displacement of [3H]MIB from GST-tagged wild type recombinant androgen receptor ligand binding domain after 18 hrs by scintillation counting relative to dihydrotestosterone,,379570,21506597,3976,10.1021/jm2000097,CHEMBL1782015,Unexpected binding orientation of bulky-B-ring anti-androgens and implications for future drug targets.,"Duke CB, Jones A, Bohl CE, Dalton JT, Miller DD.","Several new androgen receptor antagonists were synthesized and found to have varying activities across typically anti-androgen resistant mutants (Thr877 → Ala and Trp741 → Leu) and markedly improved potency over previously reported pan-antagonists. X-ray crystallography of a new anti-androgen in an androgen receptor mutant (Thr877 → Ala) shows that the receptor can accommodate the added bulk presented by phenyl to naphthyl substitution, casting doubt on previous reports of predicted binding orientation and the causes of antagonism in bulky-B-ring antagonists.","InChI=1S/C23H16F3N3O3/c1-22(31,13-32-20-9-7-14(11-27)17-4-2-3-5-18(17)20)21(30)29-16-8-6-15(12-28)19(10-16)23(24,25)26/h2-10,31H,13H2,1H3,(H,29,30)/t22-/m0/s1",0.61,-1.00,1.84
BKXKFNRTEKTGFA-QFIPXVFZSA-N,%,RBA,,BAO_0000179,RBA,,57786,Displacement of [3H]MIB from GST-tagged wild type recombinant androgen receptor ligand binding domain after 18 hrs by scintillation counting relative to dihydrotestosterone,,379570,21506597,3976,10.1021/jm2000097,CHEMBL1782015,Unexpected binding orientation of bulky-B-ring anti-androgens and implications for future drug targets.,"Duke CB, Jones A, Bohl CE, Dalton JT, Miller DD.","Several new androgen receptor antagonists were synthesized and found to have varying activities across typically anti-androgen resistant mutants (Thr877 → Ala and Trp741 → Leu) and markedly improved potency over previously reported pan-antagonists. X-ray crystallography of a new anti-androgen in an androgen receptor mutant (Thr877 → Ala) shows that the receptor can accommodate the added bulk presented by phenyl to naphthyl substitution, casting doubt on previous reports of predicted binding orientation and the causes of antagonism in bulky-B-ring antagonists.","InChI=1S/C23H16F3N3O4S/c1-22(31,21(30)29-16-8-6-15(12-28)19(10-16)23(24,25)26)13-34(32,33)20-9-7-14(11-27)17-4-2-3-5-18(17)20/h2-10,31H,13H2,1H3,(H,29,30)/t22-/m0/s1",0.56,-1.14,0.37
CIJPERBRGUFFJE-UHFFFAOYSA-N,%,RBA,,BAO_0000179,RBA,DEGRADER,121075,Binding affinity to GST-tagged AR ligand binding domain (unknown origin) at 10 uM measured after 4 hrs by competitive fluorimetric binding assay relative to testosterone,,,34364224,116331,10.1016/j.bmc.2021.116331,CHEMBL4834485,"Designed, synthesized and biological evaluation of proteolysis targeting chimeras (PROTACs) as AR degraders for prostate cancer treatment.","Liang JJ, Xie H, Yang RH, Wang N, Zheng ZJ, Zhou C, Wang YL, Wang ZJ, Liu HM, Shan LH, Ke Y.","As a continuation of our research on developing potent and potentially safe androgen receptor (AR) degrader, a series of novel proteolysis targeting chimeras (PROTACs) containing the phthalimide degrons with different linker were designed, synthesized and evaluated for their AR degradation activity against LNCaP (AR+) cell line. Most of the synthesized compounds displayed moderate to satisfactory AR binding affinity and might lead to antagonist activity against AR. Among them, compound A16 exhibited the best AR binding affinity (85%) and degradation activity against AR. Due to the strong fluorescence properties of pomalidomide derivatives, B10 was found to be effectively internalized and visualized in LNCaP (AR + ) cells than PC-3 (AR-) cells. Moreover, the molecular docking of A16 with AR and the active site of DDB1-CRBN E3 ubiquitin ligase complex provides guidance to design new PROTAC degrons targeting AR for prostate cancer therapy. These results represent a step toward the development of novel and improved AR PROTACs.","InChI=1S/C34H31F3N8O7/c1-33(2)31(50)44(21-10-9-19(17-38)23(16-21)34(35,36)37)32(51)43(33)14-5-13-42-18-20(40-41-42)6-4-15-52-25-8-3-7-22-27(25)30(49)45(29(22)48)24-11-12-26(46)39-28(24)47/h3,7-10,16,18,24H,4-6,11-15H2,1-2H3,(H,39,46,47)",0.18,-1.10,74.12
CJMRZSIYJHUPRO-UHFFFAOYSA-N,%,RBA,,BAO_0000179,RBA,DEGRADER,121075,Binding affinity to GST-tagged AR ligand binding domain (unknown origin) at 10 uM measured after 4 hrs by competitive fluorimetric binding assay relative to testosterone,,,34364224,116331,10.1016/j.bmc.2021.116331,CHEMBL4834485,"Designed, synthesized and biological evaluation of proteolysis targeting chimeras (PROTACs) as AR degraders for prostate cancer treatment.","Liang JJ, Xie H, Yang RH, Wang N, Zheng ZJ, Zhou C, Wang YL, Wang ZJ, Liu HM, Shan LH, Ke Y.","As a continuation of our research on developing potent and potentially safe androgen receptor (AR) degrader, a series of novel proteolysis targeting chimeras (PROTACs) containing the phthalimide degrons with different linker were designed, synthesized and evaluated for their AR degradation activity against LNCaP (AR+) cell line. Most of the synthesized compounds displayed moderate to satisfactory AR binding affinity and might lead to antagonist activity against AR. Among them, compound A16 exhibited the best AR binding affinity (85%) and degradation activity against AR. Due to the strong fluorescence properties of pomalidomide derivatives, B10 was found to be effectively internalized and visualized in LNCaP (AR + ) cells than PC-3 (AR-) cells. Moreover, the molecular docking of A16 with AR and the active site of DDB1-CRBN E3 ubiquitin ligase complex provides guidance to design new PROTAC degrons targeting AR for prostate cancer therapy. These results represent a step toward the development of novel and improved AR PROTACs.","InChI=1S/C33H30F3N9O6/c1-32(2)30(50)44(20-8-7-18(16-37)22(15-20)33(34,35)36)31(51)43(32)14-4-13-42-17-19(40-41-42)11-12-38-23-6-3-5-21-26(23)29(49)45(28(21)48)24-9-10-25(46)39-27(24)47/h3,5-8,15,17,24,38H,4,9-14H2,1-2H3,(H,39,46,47)",0.23,-1.25,68.61
CVBOVAPPVCQMQX-UHFFFAOYSA-N,%,RBA,,BAO_0000179,RBA,DEGRADER,121075,Binding affinity to GST-tagged AR ligand binding domain (unknown origin) at 10 uM measured after 4 hrs by competitive fluorimetric binding assay relative to testosterone,,,34364224,116331,10.1016/j.bmc.2021.116331,CHEMBL4834485,"Designed, synthesized and biological evaluation of proteolysis targeting chimeras (PROTACs) as AR degraders for prostate cancer treatment.","Liang JJ, Xie H, Yang RH, Wang N, Zheng ZJ, Zhou C, Wang YL, Wang ZJ, Liu HM, Shan LH, Ke Y.","As a continuation of our research on developing potent and potentially safe androgen receptor (AR) degrader, a series of novel proteolysis targeting chimeras (PROTACs) containing the phthalimide degrons with different linker were designed, synthesized and evaluated for their AR degradation activity against LNCaP (AR+) cell line. Most of the synthesized compounds displayed moderate to satisfactory AR binding affinity and might lead to antagonist activity against AR. Among them, compound A16 exhibited the best AR binding affinity (85%) and degradation activity against AR. Due to the strong fluorescence properties of pomalidomide derivatives, B10 was found to be effectively internalized and visualized in LNCaP (AR + ) cells than PC-3 (AR-) cells. Moreover, the molecular docking of A16 with AR and the active site of DDB1-CRBN E3 ubiquitin ligase complex provides guidance to design new PROTAC degrons targeting AR for prostate cancer therapy. These results represent a step toward the development of novel and improved AR PROTACs.","InChI=1S/C36H35F3N8O9S/c1-35(2)33(52)46(23-7-6-21(17-40)25(16-23)36(37,38)39)34(57)45(35)20-44-18-22(42-43-44)19-55-13-12-53-10-11-54-14-15-56-27-5-3-4-24-29(27)32(51)47(31(24)50)26-8-9-28(48)41-30(26)49/h3-7,16,18,26H,8-15,19-20H2,1-2H3,(H,41,48,49)",0.13,-1.12,53.41
DKJZGFQQUSEPES-UHFFFAOYSA-N,%,RBA,,BAO_0000179,RBA,DEGRADER,121075,Binding affinity to GST-tagged AR ligand binding domain (unknown origin) at 10 uM measured after 4 hrs by competitive fluorimetric binding assay relative to testosterone,,,34364224,116331,10.1016/j.bmc.2021.116331,CHEMBL4834485,"Designed, synthesized and biological evaluation of proteolysis targeting chimeras (PROTACs) as AR degraders for prostate cancer treatment.","Liang JJ, Xie H, Yang RH, Wang N, Zheng ZJ, Zhou C, Wang YL, Wang ZJ, Liu HM, Shan LH, Ke Y.","As a continuation of our research on developing potent and potentially safe androgen receptor (AR) degrader, a series of novel proteolysis targeting chimeras (PROTACs) containing the phthalimide degrons with different linker were designed, synthesized and evaluated for their AR degradation activity against LNCaP (AR+) cell line. Most of the synthesized compounds displayed moderate to satisfactory AR binding affinity and might lead to antagonist activity against AR. Among them, compound A16 exhibited the best AR binding affinity (85%) and degradation activity against AR. Due to the strong fluorescence properties of pomalidomide derivatives, B10 was found to be effectively internalized and visualized in LNCaP (AR + ) cells than PC-3 (AR-) cells. Moreover, the molecular docking of A16 with AR and the active site of DDB1-CRBN E3 ubiquitin ligase complex provides guidance to design new PROTAC degrons targeting AR for prostate cancer therapy. These results represent a step toward the development of novel and improved AR PROTACs.","InChI=1S/C33H29F3N8O8/c1-32(2)30(49)43(20-8-7-18(14-37)22(13-20)33(34,35)36)31(50)42(32)17-41-15-19(39-40-41)16-51-11-4-12-52-24-6-3-5-21-26(24)29(48)44(28(21)47)23-9-10-25(45)38-27(23)46/h3,5-8,13,15,23H,4,9-12,16-17H2,1-2H3,(H,38,45,46)",0.17,-1.12,53.22
DURNXNDQRVIEGR-UHFFFAOYSA-N,%,RBA,,BAO_0000179,RBA,DEGRADER,121075,Binding affinity to GST-tagged AR ligand binding domain (unknown origin) at 10 uM measured after 4 hrs by competitive fluorimetric binding assay relative to testosterone,,,34364224,116331,10.1016/j.bmc.2021.116331,CHEMBL4834485,"Designed, synthesized and biological evaluation of proteolysis targeting chimeras (PROTACs) as AR degraders for prostate cancer treatment.","Liang JJ, Xie H, Yang RH, Wang N, Zheng ZJ, Zhou C, Wang YL, Wang ZJ, Liu HM, Shan LH, Ke Y.","As a continuation of our research on developing potent and potentially safe androgen receptor (AR) degrader, a series of novel proteolysis targeting chimeras (PROTACs) containing the phthalimide degrons with different linker were designed, synthesized and evaluated for their AR degradation activity against LNCaP (AR+) cell line. Most of the synthesized compounds displayed moderate to satisfactory AR binding affinity and might lead to antagonist activity against AR. Among them, compound A16 exhibited the best AR binding affinity (85%) and degradation activity against AR. Due to the strong fluorescence properties of pomalidomide derivatives, B10 was found to be effectively internalized and visualized in LNCaP (AR + ) cells than PC-3 (AR-) cells. Moreover, the molecular docking of A16 with AR and the active site of DDB1-CRBN E3 ubiquitin ligase complex provides guidance to design new PROTAC degrons targeting AR for prostate cancer therapy. These results represent a step toward the development of novel and improved AR PROTACs.","InChI=1S/C38H39F3N8O10S/c1-37(2)35(54)48(25-7-6-23(19-42)27(18-25)38(39,40)41)36(60)47(37)22-46-20-24(44-45-46)21-58-15-14-56-11-10-55-12-13-57-16-17-59-29-5-3-4-26-31(29)34(53)49(33(26)52)28-8-9-30(50)43-32(28)51/h3-7,18,20,28H,8-17,21-22H2,1-2H3,(H,43,50,51)",0.10,-1.06,41.84
DUYIWAYWPCBANG-UHFFFAOYSA-N,%,RBA,,BAO_0000179,RBA,DEGRADER,121075,Binding affinity to GST-tagged AR ligand binding domain (unknown origin) at 10 uM measured after 4 hrs by competitive fluorimetric binding assay relative to testosterone,,,34364224,116331,10.1016/j.bmc.2021.116331,CHEMBL4834485,"Designed, synthesized and biological evaluation of proteolysis targeting chimeras (PROTACs) as AR degraders for prostate cancer treatment.","Liang JJ, Xie H, Yang RH, Wang N, Zheng ZJ, Zhou C, Wang YL, Wang ZJ, Liu HM, Shan LH, Ke Y.","As a continuation of our research on developing potent and potentially safe androgen receptor (AR) degrader, a series of novel proteolysis targeting chimeras (PROTACs) containing the phthalimide degrons with different linker were designed, synthesized and evaluated for their AR degradation activity against LNCaP (AR+) cell line. Most of the synthesized compounds displayed moderate to satisfactory AR binding affinity and might lead to antagonist activity against AR. Among them, compound A16 exhibited the best AR binding affinity (85%) and degradation activity against AR. Due to the strong fluorescence properties of pomalidomide derivatives, B10 was found to be effectively internalized and visualized in LNCaP (AR + ) cells than PC-3 (AR-) cells. Moreover, the molecular docking of A16 with AR and the active site of DDB1-CRBN E3 ubiquitin ligase complex provides guidance to design new PROTAC degrons targeting AR for prostate cancer therapy. These results represent a step toward the development of novel and improved AR PROTACs.","InChI=1S/C36H35F3N8O8/c1-35(2)33(52)46(23-10-9-21(18-40)25(17-23)36(37,38)39)34(53)45(35)14-4-3-13-44-19-22(42-43-44)20-54-15-6-16-55-27-8-5-7-24-29(27)32(51)47(31(24)50)26-11-12-28(48)41-30(26)49/h5,7-10,17,19,26H,3-4,6,11-16,20H2,1-2H3,(H,41,48,49)",0.14,-1.11,52.1
