canonical_smiles_get_levels;IC50_nM
O=C(Nc1ccccc1)c1cc([N+](=O)[O-])ccc1Cl;86.0
COc1cc(O)c(C(CC(=O)N2CC(C)CC(C)C2)c2ccc3c(c2)OCO3)c(OC)c1;66.5
N#Cc1ccc(S(=O)(=O)N(CC(F)(F)F)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)cc1;50.0
Cc1ccc(S(=O)(=O)N(CC(F)(F)F)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)cc1;51.0
O=S(=O)(c1ccc(F)cc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1;34.0
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(Cl)c3)c(C(=O)c3cccc(Cl)c3)s2)cc1;7.943
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(Cl)c3)c(C(=O)c3ccccc3F)s2)cc1;6.31
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(Cl)c3)c(C(=O)c3cccc(F)c3)s2)cc1;12.59
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(C(F)(F)F)c3)c(C(=O)c3cccc(F)c3)s2)cc1;10.0
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(C(=O)C3CCCCC3)s2)cc1;25.12
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(C(=O)c3ccccc3)s2)cc1;23.735
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3Cl)c(C(=O)c3ccccc3)s2)cc1;39.81
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(Cl)c3)c(C(=O)c3ccccc3)s2)cc1;12.59
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccc(Cl)cc3)c(C(=O)c3ccccc3)s2)cc1;39.81
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(C#N)c3)c(C(=O)c3ccccc3)s2)cc1;31.62
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(Cl)c3)c(C(=O)c3ccccc3Cl)s2)cc1;17.9
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(Cl)c3)c(C(=O)c3cccc(Cl)c3)s2)cc1;10.0
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(Cl)c3)c(C(=O)c3ccc(Cl)cc3)s2)cc1;12.59
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(Cl)c3)c(C(=O)c3ccccc3F)s2)cc1;19.95
CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(Cl)c3)c(C(=O)c3cccc(F)c3)s2)cc1;25.12
CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3ccccc3)c(C(=O)c3ccccc3)s2)cc1;10.0
