molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1
1608771,11.0,%,Activity,CHEMBL3094381,O=C(O)c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1,11.0,
1725303,220.0,%,Activity,CHEMBL3218918,Cc1cccc(C(=O)Nc2cc(-c3ccccc3)no2)c1,220.0,
1725304,220.0,%,Activity,CHEMBL3218919,Cc1cc(C)c2nc(NC(=O)c3sccc3C)sc2c1,220.0,
1725305,220.0,%,Activity,CHEMBL3218920,CCC(=O)Nc1ccc2nn(-c3ccc(CC)cc3)nc2c1,220.0,
2076386,11.0,%,Activity,CHEMBL3781118,CC(C)(O)c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1,11.0,
2218947,81.5,%,Activity,CHEMBL4079036,COc1nc2ccc(C(O)(c3ccc(C(F)(F)F)nc3)c3cncn3C)cc2c(Cl)c1-c1ccc(S(C)(=O)=O)cc1,78.0,85.0
2240197,-81.0,%,Activity,CHEMBL4100286,COc1ccc2c(n1)CCN(C(=O)CCCC(=O)O)[C@H]2C(=O)Nc1cc(F)c2c(c1)CCC2(C)C,-81.0,
2262113,58.5,%,Activity,CHEMBL4159082,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccnc3OCc3cccc(C#N)c3)cs2)cc1,5.0,112.0
2262534,200.0,%,Activity,CHEMBL4159503,COc1c(Cl)cccc1-c1ccc2c(c1)N(S(=O)(=O)c1cccc(C(F)(F)F)c1)C[C@H](CCC(=O)O)O2,200.0,
2268091,55.0,%,Activity,CHEMBL4165060,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccnc3OCCc3ccccc3)cs2)cc1,26.0,84.0
2269740,200.0,%,Activity,CHEMBL4166709,O=C(O)C1Cc2ccc(OCc3c(F)cccc3Cl)cc2N(S(=O)(=O)c2cccc(C(F)(F)F)c2)C1,200.0,
2270444,42.0,%,Activity,CHEMBL4167413,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccnc3Oc3ccccc3)cs2)cc1,42.0,
2273149,200.0,%,Activity,CHEMBL4170118,C/C(=C\c1ccc2c(c1)N(S(=O)(=O)c1cccc(C(F)(F)F)c1)C[C@H](CCc1nn[nH]n1)O2)c1c(F)cccc1Cl,200.0,
2275437,200.0,%,Activity,CHEMBL4172406,CCN(c1cccc(OCc2c(Cl)cccc2Cl)c1)S(=O)(=O)c1cccc(C(F)(F)F)c1,200.0,
2276939,16.5,%,Activity,CHEMBL4173908,CCS(=O)(=O)c1ccc(C(NC(C)=O)C(=O)Nc2cc(-c3cccnc3OCc3ccccc3)cs2)cc1,10.0,23.0
2278711,17.0,%,Activity,CHEMBL4175680,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccnc3OCCCc3ccccc3)cs2)cc1,17.0,
2279853,66.5,%,Activity,CHEMBL4176822,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccnc3OCc3ccccc3)cs2)cc1,38.0,95.0
2307842,54.0,%,Activity,CHEMBL4243271,CN(c1ccc([Si](C)(C)O)cc1)S(=O)(=O)c1ccccc1,54.0,
2311566,11.0,%,Activity,CHEMBL4246995,COC(=O)CN(c1ccc([Si](C)(C)O)cc1)S(=O)(=O)c1ccccc1,11.0,
2312025,11.0,%,Activity,CHEMBL4247454,COCCN(c1ccc([Si](C)(C)O)cc1)S(=O)(=O)c1ccccc1,11.0,
2314157,11.0,%,Activity,CHEMBL4249586,C[Si](C)(O)c1ccc(NS(=O)(=O)c2ccccc2)cc1,11.0,
2353149,147.0,%,Activity,CHEMBL4446140,CCOc1ccccc1CN1CCc2cc(NC(=O)[C@H]3c4ccc(OC)nc4CCN3C(=O)CCCC(=O)O)ccc21,147.0,
2353558,652.0,%,Activity,CHEMBL4446549,COc1ccccc1COc1ccc(C(=O)NCc2ccc(S(N)(=O)=O)cc2)cc1,120.0,1184.0
2355693,157.0,%,Activity,CHEMBL4448684,CCOc1ccccc1CN1CCc2cc(NC(=O)[C@H]3c4ccc(OC)nc4CCN3C(C)=O)ccc21,157.0,
2361646,80.0,%,Activity,CHEMBL4454637,COc1ccc2c(n1)CCN(C(C)=O)C2C(=O)Nc1ccc(OCc2ccccc2Cl)cc1,80.0,
2371345,139.0,%,Activity,CHEMBL4464336,COc1ccc2c(n1)CCN(C(C)=O)C2C(=O)Nc1ccc2c(c1)CCN2Cc1ccccc1OC(F)(F)F,139.0,
2413934,134.0,%,Activity,CHEMBL4543504,COc1ccc2c(n1)CCN(C(C)=O)C2C(=O)Nc1ccc2c(c1)CCN2Cc1ccccc1OC,134.0,
2433031,718.5,%,Activity,CHEMBL4562603,COc1ccc2c(n1)CCN(C(C)=O)[C@H]2C(=O)Nc1ccc(OCc2ccccc2OC)cc1,114.0,1323.0
2439462,23.0,%,Activity,CHEMBL4569034,O=C(O)c1ccc(CS(=O)(=O)Nc2ccc(-c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3F)cc2)cc1,23.0,
2464336,96.0,%,Activity,CHEMBL4593905,COc1ccc2c(n1)CCN(C(C)=O)[C@@H]2C(=O)Nc1ccc(OCc2ccccc2OC)cc1,96.0,
