molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0
1409150,6.5,degrees C,Delta Tm,CHEMBL2137199,OC(c1ccc(-c2ccc(CN3CCN(Cc4ccncc4)CC3)cc2)c(F)c1)(C(F)(F)F)C(F)(F)F,6.5
1613765,15.3,degrees C,Delta Tm,CHEMBL3105671,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(Cl)c3)c(C(=O)c3cccc(F)c3)s2)cc1,15.3
1613775,11.3,degrees C,Delta Tm,CHEMBL3105681,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(Cl)c3)c(C(=O)c3ccccc3Cl)s2)cc1,11.3
1613786,14.8,degrees C,Delta Tm,CHEMBL3105692,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(Cl)c3)c(C(=O)c3ccccc3Cl)s2)cc1,14.8
1613911,7.1,degrees C,Delta Tm,CHEMBL3105815,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cc(Cl)ccc3Cl)cs2)cc1,7.1
2082448,1.8,degrees C,Delta Tm,CHEMBL3797260,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(F)cc2F)c2cccc(C(F)(F)F)c2)cc1,1.8
2082450,0.8,degrees C,Delta Tm,CHEMBL3797522,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2nc(C)cs2)c2cccc(C(F)(F)F)c2)cc1,0.8
2082451,0.25,degrees C,Delta Tm,CHEMBL3797861,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(OCc3ccccc3)cc2)c2cccc(C(F)(F)F)c2)cc1,0.25
2082452,1.07,degrees C,Delta Tm,CHEMBL3799931,Cc1ccc(S(=O)(=O)N(CC(=O)NCc2ccc(F)cc2)c2cccc(C(F)(F)F)c2)cc1,1.07
2082454,0.1,degrees C,Delta Tm,CHEMBL3798965,Cc1ccc(S(=O)(=O)N(CC(=O)NC2CCCCC2)c2cccc(C(F)(F)F)c2)cc1,0.1
2082456,1.0,degrees C,Delta Tm,CHEMBL3798836,Cc1ccc(S(=O)(=O)N(CC(=O)NCc2ccc(O)cc2)c2cccc(C(F)(F)F)c2)cc1,1.0
2082457,2.2,degrees C,Delta Tm,CHEMBL3799866,Cc1ccc(S(=O)(=O)N(CC(=O)NCc2ccncc2)c2cccc(C(F)(F)F)c2)cc1,2.2
2082458,1.0,degrees C,Delta Tm,CHEMBL3800363,Cc1ccc(CNC(=O)CN(c2cccc(C(F)(F)F)c2)S(=O)(=O)c2ccc(C)cc2)cc1,1.0
2082460,2.1,degrees C,Delta Tm,CHEMBL3798227,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(F)cc2)c2cccc(C(F)(F)F)c2)cc1,2.1
2082461,1.15,degrees C,Delta Tm,CHEMBL3798627,COC(=O)c1ccc(NC(=O)CN(c2cccc(C(F)(F)F)c2)S(=O)(=O)c2ccc(C)cc2)cc1,1.15
2082462,2.1,degrees C,Delta Tm,CHEMBL3800387,COC(=O)c1ccccc1NC(=O)CN(c1cccc(C(F)(F)F)c1)S(=O)(=O)c1ccc(C)cc1,2.1
2082465,3.5,degrees C,Delta Tm,CHEMBL3799786,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(C#N)cc2)c2cccc(C(F)(F)F)c2)cc1,3.5
2082466,1.9,degrees C,Delta Tm,CHEMBL3800071,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(C(N)=O)cc2)c2cccc(C(F)(F)F)c2)cc1,1.9
2082467,1.25,degrees C,Delta Tm,CHEMBL3798862,CC(=O)c1ccc(NC(=O)CN(c2cccc(C(F)(F)F)c2)S(=O)(=O)c2ccc(C)cc2)cc1,1.25
2082468,1.6,degrees C,Delta Tm,CHEMBL3797968,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(O)cc2)c2cccc(C(F)(F)F)c2)cc1,1.6
2082469,0.9,degrees C,Delta Tm,CHEMBL3799019,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(OC(F)(F)F)cc2)c2cccc(C(F)(F)F)c2)cc1,0.9
2082470,1.3,degrees C,Delta Tm,CHEMBL3799613,COc1ccc(NC(=O)CN(c2cccc(C(F)(F)F)c2)S(=O)(=O)c2ccc(C)cc2)cc1OC,1.3
2082471,0.5,degrees C,Delta Tm,CHEMBL3799700,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)c2cccc(C(F)(F)F)c2)cc1,0.5
2082472,3.05,degrees C,Delta Tm,CHEMBL3800208,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(C#N)cc2)c2ccc(C(F)(F)F)cc2)cc1,3.05
2082473,1.71,degrees C,Delta Tm,CHEMBL3798333,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(C#N)cc2)c2ccc(C#N)cc2)cc1,1.71
2082474,2.15,degrees C,Delta Tm,CHEMBL3798928,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(C#N)cc2)c2ccc(F)cc2)cc1,2.15
2082475,3.5,degrees C,Delta Tm,CHEMBL3799398,Cc1ccc(S(=O)(=O)N(CC(=O)Nc2ccc(C#N)cc2)c2ccc(Cl)c(Cl)c2)cc1,3.5
2082476,2.8,degrees C,Delta Tm,CHEMBL3800238,Cc1ccc(N(CC(=O)Nc2ccc(C#N)cc2)S(=O)(=O)c2ccc(F)cc2)cc1,2.8
2082477,2.5,degrees C,Delta Tm,CHEMBL3797671,Cc1ccc(N(CC(=O)Nc2ccc(C#N)cc2)S(=O)(=O)Cc2ccc(F)cc2)cc1,2.5
2082478,1.71,degrees C,Delta Tm,CHEMBL3798354,Cc1ccc(N(CC(=O)Nc2ccc(C#N)cc2)S(=O)(=O)Cc2ccccc2)cc1,1.71
2346699,10.1,degrees C,Delta Tm,CHEMBL4439690,CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3F)cc2)cc1,10.1
2348390,2.0,degrees C,Delta Tm,CHEMBL4441381,COC(=O)c1ccccc1CS(=O)(=O)Nc1ccc(-c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2F)cc1,2.0
2348523,5.9,degrees C,Delta Tm,CHEMBL4441514,CCCCCC(=O)Nc1ccc(-c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2F)cc1,5.9
2348712,6.3,degrees C,Delta Tm,CHEMBL4441703,CCCCC(=O)Nc1ccc(-c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2F)cc1,6.3
2355304,0.0,degrees C,Delta Tm,CHEMBL4448295,NC(=O)c1ccc(CS(=O)(=O)Nc2ccc(-c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3F)cc2)cc1,0.0
2360604,1.0,degrees C,Delta Tm,CHEMBL4453595,O=[N+]([O-])c1ccccc1CS(=O)(=O)Nc1ccc(-c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2F)cc1,1.0
2362529,8.0,degrees C,Delta Tm,CHEMBL4455520,COC(=O)c1ccc(CS(=O)(=O)Nc2ccc(-c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3F)cc2)cc1,8.0
2364556,1.0,degrees C,Delta Tm,CHEMBL4457547,CS(=O)(=O)c1ccc(CS(=O)(=O)Nc2ccc(-c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3F)cc2)cc1,1.0
2366005,5.4,degrees C,Delta Tm,CHEMBL4458996,COC(=O)CCCC(=O)Nc1ccc(-c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2F)cc1,5.4
2366506,3.5,degrees C,Delta Tm,CHEMBL4459497,O=[N+]([O-])c1cccc(CS(=O)(=O)Nc2ccc(-c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3F)cc2)c1,3.5
2369232,0.0,degrees C,Delta Tm,CHEMBL4462223,CNC(=O)c1ccc(CS(=O)(=O)Nc2ccc(-c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3F)cc2)cc1,0.0
2369556,1.5,degrees C,Delta Tm,CHEMBL4462547,Nc1ccc(CC(=O)Nc2ccc(-c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3F)cc2)cc1,1.5
2372206,5.8,degrees C,Delta Tm,CHEMBL4465197,CCCCCCC(=O)Nc1ccc(-c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2F)cc1,5.8
2376789,6.0,degrees C,Delta Tm,CHEMBL4469780,O=C(Cc1ccc([N+](=O)[O-])cc1)Nc1ccc(-c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2F)cc1,6.0
2378959,5.2,degrees C,Delta Tm,CHEMBL4471950,COC(=O)CCC(=O)Nc1ccc(-c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2F)cc1,5.2
2395926,5.0,degrees C,Delta Tm,CHEMBL4525495,CC(=O)CCCC(=O)Nc1ccc(-c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2F)cc1,5.0
2400017,1.5,degrees C,Delta Tm,CHEMBL4529586,O=[N+]([O-])c1ccc(CS(=O)(=O)Nc2ccc(-c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3F)cc2)cc1,1.5
2408169,4.2,degrees C,Delta Tm,CHEMBL4537738,O=C(Cc1ccccc1[N+](=O)[O-])Nc1ccc(-c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2F)cc1,4.2
2420813,5.2,degrees C,Delta Tm,CHEMBL4550385,O=C(CCc1ccccc1)Nc1ccc(-c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2F)cc1,5.2
2421923,6.5,degrees C,Delta Tm,CHEMBL4551495,O=C(CCCC1CCCCC1)Nc1ccc(-c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2F)cc1,6.5
2429031,1.5,degrees C,Delta Tm,CHEMBL4558603,Nc1ccccc1CC(=O)Nc1ccc(-c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2F)cc1,1.5
2429293,7.8,degrees C,Delta Tm,CHEMBL4558865,CS(=O)(=O)c1ccc(CC(=O)Nc2ccc(-c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3F)cc2)cc1,7.8
2432003,4.0,degrees C,Delta Tm,CHEMBL4561575,COC(=O)c1cccc(CS(=O)(=O)Nc2ccc(-c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3F)cc2)c1,4.0
2437326,7.8,degrees C,Delta Tm,CHEMBL4566898,O=C(CCC(F)(F)F)Nc1ccc(-c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2F)cc1,7.8
2439462,0.0,degrees C,Delta Tm,CHEMBL4569034,O=C(O)c1ccc(CS(=O)(=O)Nc2ccc(-c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3F)cc2)cc1,0.0
