molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1,act_2,act_3
2208,55.0,%,Efficacy,CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,55.0,,,
92776,33.666666666666664,%,Efficacy,CHEMBL62136,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,-99.0,100.0,,
342577,-76.0,%,Efficacy,CHEMBL205937,O=S(=O)(c1ccccc1)N1CCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc21,-76.0,,,
1016024,-77.0,%,Efficacy,CHEMBL1592140,O=C(Nc1ccc2c(c1)N(S(=O)(=O)c1cccs1)CCC2)c1c(F)cccc1F,-77.0,,,
1521038,-97.0,%,Efficacy,CHEMBL2326845,CCN(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)S(=O)(=O)c1ccccc1,-97.0,,,
1608755,-91.0,%,Efficacy,CHEMBL3094365,N#Cc1ccccc1S(=O)(=O)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,-91.0,,,
1608756,-93.0,%,Efficacy,CHEMBL3094366,N#Cc1cccc(S(=O)(=O)N(CC(F)(F)F)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)c1,-93.0,,,
1608757,-96.0,%,Efficacy,CHEMBL3094367,N#Cc1ccc(S(=O)(=O)N(CC(F)(F)F)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)cc1,-96.0,,,
1608758,-100.0,%,Efficacy,CHEMBL3094368,Cc1ccc(S(=O)(=O)N(CC(F)(F)F)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)cc1,-100.0,,,
1608759,-99.0,%,Efficacy,CHEMBL3094369,O=S(=O)(c1ccc(F)cc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,-99.0,,,
1608760,-88.0,%,Efficacy,CHEMBL3094370,O=S(=O)(c1cccnc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,-88.0,,,
1608762,-22.0,%,Efficacy,CHEMBL3094372,O=S(=O)(Cc1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,-22.0,,,
1608763,-80.0,%,Efficacy,CHEMBL3094373,O=S(=O)(c1ccccc1)N(CCO)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,-80.0,,,
1608768,-70.0,%,Efficacy,CHEMBL3094378,O=S(=O)(c1ccccc1)N(CCC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,-70.0,,,
