molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12
2208,199.53,nM,IC50,CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,199.53,,,,,,,,,,,,
40459,31900.0,nM,IC50,CHEMBL28721,O=C(O)C(S)C(S)C(=O)O,31900.0,,,,,,,,,,,,
92776,1770.0946666666666,nM,IC50,CHEMBL62136,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,60.0,204.0,316.23,330.0,501.19,540.0,1700.0,1730.0,2010.0,3000.0,3500.0,4400.0,6500.0
155592,10000.0,nM,IC50,CHEMBL418971,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,10000.0,,,,,,,,,,,,
201200,2820.0,nM,IC50,CHEMBL169,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C,130.0,680.0,1060.0,9410.0,,,,,,,,,
242555,80000.0,nM,IC50,CHEMBL358290,NS(=O)(=O)c1ccc(N/C(S)=N\CCc2ccccc2)cc1,80000.0,,,,,,,,,,,,
342149,10000.0,nM,IC50,CHEMBL382792,O=S(=O)(Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)c1ccccc1,10000.0,,,,,,,,,,,,
342577,883.0,nM,IC50,CHEMBL205937,O=S(=O)(c1ccccc1)N1CCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc21,883.0,,,,,,,,,,,,
370136,80000.0,nM,IC50,CHEMBL220259,Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1,80000.0,,,,,,,,,,,,
370163,10000.0,nM,IC50,CHEMBL384441,O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,10000.0,,,,,,,,,,,,
391323,10000.0,nM,IC50,CHEMBL389979,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(CO)cc1,10000.0,,,,,,,,,,,,
460722,10000.0,nM,IC50,CHEMBL490942,CC(c1ccccc1)(c1ccc(O)cc1)c1ccc(O)cc1,10000.0,,,,,,,,,,,,
581814,19730.285714285714,nM,IC50,CHEMBL1751,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,1980.0,2000.0,4000.0,4100.0,7012.0,33620.0,85400.0,,,,,,
622071,20000.0,nM,IC50,CHEMBL1093421,CCCCCCCCCn1c(=O)c2ccccc2c2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc21,20000.0,,,,,,,,,,,,
622073,5800.0,nM,IC50,CHEMBL1090463,O=c1c2ccccc2c2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2n1CC1CCCCC1,5800.0,,,,,,,,,,,,
622074,14500.0,nM,IC50,CHEMBL1093016,CCCCn1c(=O)c2ccccc2c2ccccc21,14500.0,,,,,,,,,,,,
622139,16800.0,nM,IC50,CHEMBL1093312,CCCCn1c(=O)c2ccccc2c2cc(C)ccc21,16800.0,,,,,,,,,,,,
622247,9200.0,nM,IC50,CHEMBL1092222,CCCCn1c(=O)c2ccccc2c2cc(CC)ccc21,9200.0,,,,,,,,,,,,
622248,11900.0,nM,IC50,CHEMBL1088839,CCCCn1c(=O)c2ccccc2c2cc(C(C)C)ccc21,11900.0,,,,,,,,,,,,
622249,20000.0,nM,IC50,CHEMBL1088840,CCCCn1c(=O)c2ccccc2c2cc(CO)ccc21,20000.0,,,,,,,,,,,,
622310,10400.0,nM,IC50,CHEMBL1089421,CCCCn1c(=O)c2ccccc2c2cc(C(C)(C)C)ccc21,10400.0,,,,,,,,,,,,
623165,20000.0,nM,IC50,CHEMBL1093517,CCn1c(=O)c2ccccc2c2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc21,20000.0,,,,,,,,,,,,
