molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1,act_2,act_3
92776,79.0,%,Imax,CHEMBL62136,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,76.0,82.0,,
201200,69.5,%,Imax,CHEMBL169,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C,63.0,76.0,,
518480,30.0,%,Imax,CHEMBL462525,C=CCn1c(SCC(=O)Nc2ccc(S(N)(=O)=O)cc2)nnc1-c1ccc(Cl)cc1,30.0,,,
728249,20.0,%,Imax,CHEMBL1304365,CCN1C(=O)c2cccc3c(S(=O)(=O)NCCCN4CCOCC4)ccc1c23,10.0,30.0,,
856686,15.0,%,Imax,CHEMBL1432802,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4c(C)n(C)n(-c5ccccc5)c4=O)ccc1c23,10.0,20.0,,
866388,40.0,%,Imax,CHEMBL1442504,CCN1C(=O)c2cccc3c(S(=O)(=O)NCc4ccccn4)ccc1c23,40.0,,,
866694,10.0,%,Imax,CHEMBL1442810,Cc1c(C(=O)Nc2ccc(S(N)(=O)=O)cc2)oc2ccc(Cl)cc12,10.0,,,
918411,62.5,%,Imax,CHEMBL1494527,CCN1C(=O)c2cccc3c(S(=O)(=O)N(C(=O)c4ccncc4)c4ccc(OC)cc4)ccc1c23,55.0,70.0,,
1409150,79.0,%,Imax,CHEMBL2137199,OC(c1ccc(-c2ccc(CN3CCN(Cc4ccncc4)CC3)cc2)c(F)c1)(C(F)(F)F)C(F)(F)F,44.0,79.0,95.0,98.0
1613911,107.66666666666667,%,Imax,CHEMBL3105815,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cc(Cl)ccc3Cl)cs2)cc1,91.0,116.0,,
1699622,20.0,%,Imax,CHEMBL3210331,C=CCn1c(COc2ccc(Cl)cc2)nnc1SCC(=O)N/N=C/c1cccc(O)c1,10.0,30.0,,
1732533,70.5,%,Imax,CHEMBL3234024,CC1(C)CC(=O)c2c(oc3cc(NS(=O)(=O)c4ccc5c6c(cccc46)C(=O)N5)ccc23)C1,62.0,79.0,,
1732534,52.5,%,Imax,CHEMBL3234025,CCOc1ccc2nc(NS(=O)(=O)c3ccc4c5c(cccc35)C(=O)N4CC)sc2c1,45.0,60.0,,
1732535,10.0,%,Imax,CHEMBL3234026,CCN1C(=O)c2cccc3c(S(=O)(=O)NCc4cc5cc(OC)ccc5[nH]4)ccc1c23,10.0,,,
1732536,33.0,%,Imax,CHEMBL3234027,CCN1C(=O)c2cccc3c(S(=O)(=O)NCc4cc5cc(F)ccc5[nH]4)ccc1c23,32.0,34.0,,
1732537,25.0,%,Imax,CHEMBL3234028,CCN1C(=O)c2cccc3c(S(=O)(=O)NCc4n[nH]c5ccc(C)cc45)ccc1c23,20.0,30.0,,
1732538,30.0,%,Imax,CHEMBL3234029,CCN1C(=O)c2cccc3c(S(=O)(=O)NCc4nc5cc(C(F)(F)F)ccc5n4C)ccc1c23,20.0,40.0,,
1732539,71.0,%,Imax,CHEMBL3234030,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4cccc5ccncc45)ccc1c23,70.0,72.0,,
1732540,25.0,%,Imax,CHEMBL3234031,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccc5ccccc5c4)ccc1c23,10.0,40.0,,
1732541,15.0,%,Imax,CHEMBL3234032,CCCCCOC(=O)c1c(C)oc2cc(NS(=O)(=O)c3ccc4c5c(cccc35)C(=O)N4)ccc12,10.0,20.0,,
1732542,40.0,%,Imax,CHEMBL3234033,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccc5c(c4)CCN5C(C)=O)ccc1c23,40.0,,,
1732543,65.5,%,Imax,CHEMBL3234034,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccc(N5CCOCC5)cc4)ccc1c23,60.0,71.0,,
1732751,59.0,%,Imax,CHEMBL3234240,O=C1Nc2ccc(S(=O)(=O)Nc3ccc(N4CCOCC4)cc3)c3cccc1c23,54.0,64.0,,
1732752,63.0,%,Imax,CHEMBL3234241,CCN1C(=O)c2cccc3c(S(=O)(=O)NCCN4CCOCC4)ccc1c23,63.0,,,
1732753,30.0,%,Imax,CHEMBL3234242,O=C1Nc2ccc(S(=O)(=O)Nc3ccc(-c4ccccc4)cc3)c3cccc1c23,20.0,40.0,,
1732754,55.5,%,Imax,CHEMBL3234243,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4cccc(-c5ccccc5)c4)ccc1c23,53.0,58.0,,
1732755,50.0,%,Imax,CHEMBL3234244,CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCN(Cc5ccccc5)CC4)ccc1c23,50.0,,,
1732756,25.0,%,Imax,CHEMBL3234245,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccccc4C(=O)c4ccccc4)ccc1c23,20.0,30.0,,
1732757,65.0,%,Imax,CHEMBL3234246,O=C1Nc2ccc(S(=O)(=O)Nc3ccc(Oc4ccccc4)cc3)c3cccc1c23,60.0,70.0,,
1732758,56.5,%,Imax,CHEMBL3234247,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccc(/N=N/c5ccccc5)cc4)ccc1c23,54.0,59.0,,
1732759,62.5,%,Imax,CHEMBL3234248,COc1ccc(NC(=O)c2ccc(NS(=O)(=O)c3ccc4c5c(cccc35)C(=O)N4)cc2)cc1,60.0,65.0,,
1732760,79.5,%,Imax,CHEMBL3234249,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4cccc(NC(=O)OC(C)(C)C)c4)ccc1c23,79.0,80.0,,
1732761,50.0,%,Imax,CHEMBL3234250,CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCN(C(=O)OC(C)(C)C)CC4)ccc1c23,50.0,,,
1732762,69.5,%,Imax,CHEMBL3234251,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccc(C(C)=O)cc4)ccc1c23,64.0,75.0,,
1732763,58.5,%,Imax,CHEMBL3234252,CCN1C(=O)c2cccc3c(S(=O)(=O)NC4CCN(C(C)=O)CC4)ccc1c23,44.0,73.0,,
1732764,35.5,%,Imax,CHEMBL3234253,CCN1C(=O)c2cccc3c(S(=O)(=O)NCC4CCN(C(C)=O)CC4)ccc1c23,27.0,44.0,,
1732765,20.0,%,Imax,CHEMBL3234254,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccccc4C(C)=O)ccc1c23,10.0,30.0,,
1732766,64.5,%,Imax,CHEMBL3234255,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4cccc(C(C)=O)c4)ccc1c23,62.0,67.0,,
1732767,66.0,%,Imax,CHEMBL3234256,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccc(NC(C)=O)cc4)ccc1c23,65.0,67.0,,
1732768,67.5,%,Imax,CHEMBL3234257,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4ccccc4C(C)(C)C)ccc1c23,65.0,70.0,,
1732769,15.0,%,Imax,CHEMBL3234258,CCN1C(=O)c2cccc3c(S(=O)(=O)Nc4cccc(C(C)(C)C)c4)ccc1c23,10.0,20.0,,
