molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1,act_2,act_3,act_4,act_5
2208,18000.0,nM,EC50,CHEMBL38,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1,18000.0,,,,,
11254,9000.0,nM,EC50,CHEMBL275311,C/C(=C\c1ccc(C(=O)O)cc1)c1ccc2c(c1)C(C)(C)CCC2(C)C,9000.0,,,,,
33216,14000.0,nM,EC50,CHEMBL705,CC1=C(/C=C/C(C)=C\C=C\C(C)=C\C(=O)O)C(C)(C)CCC1,14000.0,,,,,
72436,4000.0,nM,EC50,CHEMBL298373,CN1c2cc3c(cc2N=C(c2ccc(C(=O)O)cc2)c2ccc4ccccc4c21)C(C)(C)CCC3(C)C,4000.0,,,,,
92776,272.8,nM,EC50,CHEMBL62136,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,54.0,54.0,333.0,460.0,463.0,
182921,219.0,nM,EC50,CHEMBL112570,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,20.0,418.0,,,,
285115,20.0,nM,EC50,CHEMBL422904,CC(C)CC[C@@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,20.0,20.0,20.0,,,
285365,20.0,nM,EC50,CHEMBL169046,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,20.0,20.0,20.0,20.0,,
287334,27.0,nM,EC50,CHEMBL173898,CC(C)CCC[C@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,27.0,,,,,
342577,5000.0,nM,EC50,CHEMBL205937,O=S(=O)(c1ccccc1)N1CCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc21,5000.0,,,,,
391323,10000.0,nM,EC50,CHEMBL389979,O=S(=O)(c1ccccc1)N(CC(F)(F)F)c1ccc(CO)cc1,10000.0,,,,,
504283,64.0,nM,EC50,CHEMBL455876,CC(C)=CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,48.0,80.0,,,,
695599,20.0,nM,EC50,CHEMBL1233249,CC(C)CCC[C@@](C)(O)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,20.0,20.0,20.0,,,
702481,20.0,nM,EC50,CHEMBL1243244,CC(C)CC[C@H](O)[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,20.0,,,,,
1016024,2100.0,nM,EC50,CHEMBL1592140,O=C(Nc1ccc2c(c1)N(S(=O)(=O)c1cccs1)CCC2)c1c(F)cccc1F,2100.0,,,,,
1409150,320.0,nM,EC50,CHEMBL2137199,OC(c1ccc(-c2ccc(CN3CCN(Cc4ccncc4)CC3)cc2)c(F)c1)(C(F)(F)F)C(F)(F)F,320.0,,,,,
1521038,698.25,nM,EC50,CHEMBL2326845,CCN(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)S(=O)(=O)c1ccccc1,190.0,593.0,930.0,1080.0,,
1608755,920.0,nM,EC50,CHEMBL3094365,N#Cc1ccccc1S(=O)(=O)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,920.0,,,,,
1608756,100.0,nM,EC50,CHEMBL3094366,N#Cc1cccc(S(=O)(=O)N(CC(F)(F)F)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)c1,100.0,,,,,
1608757,126.5,nM,EC50,CHEMBL3094367,N#Cc1ccc(S(=O)(=O)N(CC(F)(F)F)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)cc1,61.0,192.0,,,,
1608758,20.0,nM,EC50,CHEMBL3094368,Cc1ccc(S(=O)(=O)N(CC(F)(F)F)c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)cc1,20.0,,,,,
1608759,54.0,nM,EC50,CHEMBL3094369,O=S(=O)(c1ccc(F)cc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,19.0,19.0,89.0,89.0,,
1608760,1000.0,nM,EC50,CHEMBL3094370,O=S(=O)(c1cccnc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,1000.0,,,,,
1608762,2000.0,nM,EC50,CHEMBL3094372,O=S(=O)(Cc1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,2000.0,,,,,
1608763,1000.0,nM,EC50,CHEMBL3094373,O=S(=O)(c1ccccc1)N(CCO)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,1000.0,,,,,
1608764,10000.0,nM,EC50,CHEMBL3094374,COCCN(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)S(=O)(=O)c1ccccc1,10000.0,,,,,
1608765,10000.0,nM,EC50,CHEMBL3094375,CS(=O)(=O)CCN(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)S(=O)(=O)c1ccccc1,10000.0,,,,,
1608766,10000.0,nM,EC50,CHEMBL3094376,CC(=O)NCCN(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)S(=O)(=O)c1ccccc1,10000.0,,,,,
1608767,10000.0,nM,EC50,CHEMBL3094377,O=C(O)CCN(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)S(=O)(=O)c1ccccc1,10000.0,,,,,
1608768,4000.0,nM,EC50,CHEMBL3094378,O=S(=O)(c1ccccc1)N(CCC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,4000.0,,,,,
1608769,8000.0,nM,EC50,CHEMBL3094379,O=S(=O)(c1ccccc1)N(Cc1ccccc1)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,8000.0,,,,,
1608770,9000.0,nM,EC50,CHEMBL3094380,COC(c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1)(C(F)(F)F)C(F)(F)F,9000.0,,,,,
1608771,10000.0,nM,EC50,CHEMBL3094381,O=C(O)c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1,10000.0,,,,,
1608772,10000.0,nM,EC50,CHEMBL3094382,NC(=O)c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1,10000.0,,,,,
1608773,10000.0,nM,EC50,CHEMBL3094383,NS(=O)(=O)c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1,10000.0,,,,,
1608774,900.0,nM,EC50,CHEMBL3094384,CCN(c1cccc(C(O)(C(F)(F)F)C(F)(F)F)c1)S(=O)(=O)c1ccccc1,900.0,,,,,
1608775,4000.0,nM,EC50,CHEMBL3094385,O=C(c1ccccc1)N(CC(F)(F)F)c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1,4000.0,,,,,
1608776,10000.0,nM,EC50,CHEMBL3094386,O=C(Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)c1ccccc1,10000.0,,,,,
1608777,10000.0,nM,EC50,CHEMBL3094387,O=C(Nc1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,10000.0,,,,,
1608778,2455.5,nM,EC50,CHEMBL3094388,CC(=O)Nc1nc(C)c(S(=O)(=O)Nc2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)s1,911.0,4000.0,,,,
1613768,251.0,nM,EC50,CHEMBL3105674,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3ccccc3)c(C(=O)c3ccccc3)s2)cc1,251.0,,,,,
1613775,9.0,nM,EC50,CHEMBL3105681,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cccc(Cl)c3)c(C(=O)c3ccccc3Cl)s2)cc1,8.0,10.0,,,,
1613786,15.5,nM,EC50,CHEMBL3105692,CCS(=O)(=O)c1ccc(CC(=O)Nc2cc(-c3cccc(Cl)c3)c(C(=O)c3ccccc3Cl)s2)cc1,6.0,25.0,,,,
1613911,1000.0,nM,EC50,CHEMBL3105815,CCS(=O)(=O)c1ccc(CC(=O)Nc2nc(-c3cc(Cl)ccc3Cl)cs2)cc1,1000.0,,,,,
1614433,6.0,nM,EC50,CHEMBL3109235,CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccc(Cl)cc3Cl)c2)cc1,6.0,,,,,
1614524,20.0,nM,EC50,CHEMBL3109325,CCCN(Cc1ccccc1)Cc1ccc(NC(=O)Cc2ccc(S(=O)(=O)CC)cc2)cc1,20.0,20.0,,,,
1614525,25.0,nM,EC50,CHEMBL3109326,CCCN(Cc1ccc(C)cc1)Cc1ccc(NC(=O)Cc2ccc(S(=O)(=O)CC)cc2)cc1,25.0,,,,,
