molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1
2292638,54.0,%,Emax,CHEMBL4214487,CCS(=O)(=O)c1ccc(CNC(=O)c2ccc3c(c2)c2ccccc2n3CC2CCCCC2)cc1,54.0,
2341753,99.0,%,Emax,CHEMBL4434744,O=C(O)CCc1cc2ccc(-c3cc(F)cc(OC(F)F)c3)cc2n1S(=O)(=O)c1cccc(C(F)(F)F)c1,74.0,124.0
2341822,71.0,%,Emax,CHEMBL4434813,O=C(O)CCc1cn(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(-c3cc(F)cc(OC(F)F)c3)ccc12,71.0,
2342115,95.0,%,Emax,CHEMBL4435106,O=C(O)CC1Cc2ccc(-c3cccc(OC(F)(F)F)c3)cc2N1S(=O)(=O)c1cccc(C(F)(F)F)c1,95.0,
2345640,75.0,%,Emax,CHEMBL4438631,O=S(=O)(c1cccc(C(F)(F)F)c1)n1ncc2ccc(-c3cc(F)cc(OC(F)F)c3)cc21,75.0,
2347050,90.0,%,Emax,CHEMBL4440041,O=C(O)CC1Cc2ccc(-c3ccc4c(c3)OC(F)(F)O4)cc2N1S(=O)(=O)c1cccc(C(F)(F)F)c1,90.0,
2347332,141.0,%,Emax,CHEMBL4440323,O=C(CC1Cc2ccc(-c3cc(F)cc(OC(F)F)c3)cc2N1S(=O)(=O)c1cccc(C(F)(F)F)c1)N1CC(O)C1,141.0,
2348113,77.0,%,Emax,CHEMBL4441104,O=C(O)CC1Cc2ccc(-c3ccc4c(c3)OCO4)cc2N1S(=O)(=O)c1cccc(C(F)(F)F)c1,77.0,
2348548,159.0,%,Emax,CHEMBL4441539,O=S(=O)(c1cccc(C(F)(F)F)c1)N1CCc2ccc(-c3cc(F)cc(OC(F)F)c3)cc21,159.0,
2357489,88.0,%,Emax,CHEMBL4450480,COc1cc(F)cc(-c2ccc3c(c2)N(S(=O)(=O)c2cccc(C(F)(F)F)c2)C(CC(=O)O)C3)c1,88.0,
2358789,128.0,%,Emax,CHEMBL4451780,O=C(O)c1cc2ccc(-c3cc(F)cc(OC(F)F)c3)cc2n1S(=O)(=O)c1cccc(C(F)(F)F)c1,128.0,
2359923,62.0,%,Emax,CHEMBL4452914,O=C(O)Cc1cn(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(-c3cc(F)cc(OC(F)F)c3)ccc12,62.0,
2361961,116.0,%,Emax,CHEMBL4454952,O=C(CC1Cc2ccc(-c3cc(F)cc(OC(F)F)c3)cc2N1S(=O)(=O)c1cccc(C(F)(F)F)c1)N1CC2(COC2)C1,104.0,128.0
2362273,95.0,%,Emax,CHEMBL4455264,O=C(O)CCCc1cc2ccc(-c3cc(F)cc(OC(F)F)c3)cc2n1S(=O)(=O)c1cccc(C(F)(F)F)c1,95.0,
2362937,40.0,%,Emax,CHEMBL4455928,O=C(O)CC1Cc2ccc(-c3ccc4c(c3)CCO4)cc2N1S(=O)(=O)c1cccc(C(F)(F)F)c1,40.0,
2364453,109.0,%,Emax,CHEMBL4457444,O=C(O)CC1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(-c3cc(F)cc(OC(F)F)c3)ccc21,109.0,
2365340,134.0,%,Emax,CHEMBL4458331,O=C(O)C[C@@H]1Cc2ccc(-c3cc(F)cc(OC(F)F)c3)cc2N1S(=O)(=O)c1cccc(C(F)(F)F)c1,124.0,144.0
2366327,105.0,%,Emax,CHEMBL4459318,CC(C)Oc1cc(F)cc(-c2ccc3c(c2)N(S(=O)(=O)c2cccc(C(F)(F)F)c2)C(CC(=O)O)C3)c1,105.0,
