molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1,act_2,act_3,act_4
16741,5.05,%,Inhibition,CHEMBL274467,CC(=O)c1ccccc1,5.0,5.1,,,
109312,7.45,%,Inhibition,CHEMBL69367,CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21,5.8,9.1,,,
558616,11.7,%,Inhibition,CHEMBL562183,CC1(C)CCC(C)(C)c2cc(C(=O)c3ccccc3)ccc21,5.0,18.4,,,
567536,5.0,%,Inhibition,CHEMBL540753,CC1(C)CCC(C)(C)c2ccccc21,5.0,5.0,,,
567537,15.7,%,Inhibition,CHEMBL556486,CC(=O)c1ccc2c(c1)C(C)(C)CCC2(C)C,7.0,24.4,,,
622247,37.0,%,Inhibition,CHEMBL1092222,CCCCn1c(=O)c2ccccc2c2cc(CC)ccc21,37.0,,,,
812895,93.0,%,Inhibition,CHEMBL1389011,COc1ccc(C(C(=O)Nc2ccc(C(C)C)cc2)N(C)C(=O)c2ccc(O)nc2)cc1,93.0,,,,
900639,17.0,%,Inhibition,CHEMBL1476755,COc1cc(O)c(C(CC(=O)N2CCOCC2)c2ccc3c(c2)OCO3)c(OC)c1,17.0,,,,
1409150,72.5,%,Inhibition,CHEMBL2137199,OC(c1ccc(-c2ccc(CN3CCN(Cc4ccncc4)CC3)cc2)c(F)c1)(C(F)(F)F)C(F)(F)F,50.0,95.0,,,
1511156,22.0,%,Inhibition,CHEMBL2312113,COc1cc(O)c(C(CC(=O)N2CC(C)CC(C)C2)c2ccc3c(c2)OCO3)c(OC)c1,22.0,,,,
1511157,11.0,%,Inhibition,CHEMBL2312114,COc1cc(O)c(C(CC(=O)NC2CCCC2)c2ccc3c(c2)OCO3)c(OC)c1,11.0,,,,
1511158,4.0,%,Inhibition,CHEMBL2312115,COc1cc(O)c(C(CC(=O)N2CCCC(O)C2)c2ccc3c(c2)OCO3)c(OC)c1,4.0,,,,
1511159,0.0,%,Inhibition,CHEMBL2312116,COc1cc(O)c(C(CC(=O)N2CCC(CO)CC2)c2ccc3c(c2)OCO3)c(OC)c1,0.0,,,,
1511160,1.0,%,Inhibition,CHEMBL2312117,CCOC(=O)C1CCN(C(=O)CC(c2ccc3c(c2)OCO3)c2c(O)cc(OC)cc2OC)CC1,1.0,,,,
1511161,68.0,%,Inhibition,CHEMBL2312118,COc1cc(O)c(C(CC(=O)N2CCC(c3ccccc3)CC2)c2ccc3c(c2)OCO3)c(OC)c1,68.0,,,,
1511162,57.0,%,Inhibition,CHEMBL2312119,COc1cc(O)c(C(CC(=O)N2CCCCCCC2)c2ccc3c(c2)OCO3)c(OC)c1,57.0,,,,
1511163,23.0,%,Inhibition,CHEMBL2312120,COc1cc(O)c(C(CC(=O)N2CCC(Cc3ccc(F)cc3)CC2)c2ccc3c(c2)OCO3)c(OC)c1,23.0,,,,
1511164,8.0,%,Inhibition,CHEMBL2312121,COc1cc(O)c(C(CC(=O)N2CCC(O)(Cc3ccccc3)CC2)c2ccc3c(c2)OCO3)c(OC)c1,8.0,,,,
1511165,83.0,%,Inhibition,CHEMBL2312122,COc1cc(O)c(C(CC(=O)N2CCCC(C(F)(F)F)C2)c2ccc3c(c2)OCO3)c(OC)c1,83.0,,,,
1511169,95.0,%,Inhibition,CHEMBL2312126,COc1ccc(C(CC(=O)N2CC(C)CC(C)C2)c2c(O)cc(OC)cc2OC)cc1,95.0,,,,
1511170,95.0,%,Inhibition,CHEMBL2312127,CCc1ccc(O)c(C(CC(=O)N2CC(C)CC(C)C2)c2ccc3c(c2)OCO3)c1,95.0,,,,
1511171,95.0,%,Inhibition,CHEMBL2312128,CCOc1ccc(O)c(C(CC(=O)N2CC(C)CC(C)C2)c2ccc3c(c2)OCO3)c1,95.0,,,,
1511172,96.0,%,Inhibition,CHEMBL2312129,CCCOc1ccc(O)c(C(CC(=O)N2CC(C)CC(C)C2)c2ccc3c(c2)OCO3)c1,96.0,,,,
1511173,96.0,%,Inhibition,CHEMBL2312130,Cc1cccc(O)c1C(CC(=O)N1CC(C)CC(C)C1)c1ccc2c(c1)OCO2,96.0,,,,
1511174,95.0,%,Inhibition,CHEMBL2312131,Cc1ccc(O)c(C(CC(=O)N2CC(C)CC(C)C2)c2ccc3c(c2)OCO3)c1,95.0,,,,
1511175,95.0,%,Inhibition,CHEMBL2312132,CC1CC(C)CN(C(=O)CC(c2ccc3c(c2)OCO3)c2c(O)cccc2Oc2ccccc2)C1,95.0,,,,
1511176,93.0,%,Inhibition,CHEMBL2312133,CC1CC(C)CN(C(=O)CC(c2ccc3c(c2)OCO3)c2c(O)ccc3ccccc23)C1,93.0,,,,
1511177,96.0,%,Inhibition,CHEMBL2312134,COc1cc(O)c(C(CC(=O)N2CC(C)CC(C)C2)c2ccccc2OC)c(OC)c1,96.0,,,,
1511178,27.0,%,Inhibition,CHEMBL2312135,COc1cc(O)c(C(CC(=O)N2CC(C)CC(C)C2)c2ccccc2)c(OC)c1,27.0,,,,
1511179,0.0,%,Inhibition,CHEMBL2312136,COc1cccc(O)c1CC(C(=O)N1CC(C)CC(C)C1)c1ccc(C)cc1,0.0,,,,
1511180,0.0,%,Inhibition,CHEMBL2312137,Cc1ccc(C(NC(=O)N2CC(C)CC(C)C2)c2c(O)ccc3ccccc23)cc1,0.0,,,,
1511181,96.0,%,Inhibition,CHEMBL2312138,Cc1ccc(C(CC(=O)N2CC(C)CC(C)C2)c2c(O)ccc3ccccc23)cc1,96.0,,,,
1608771,11.0,%,Inhibition,CHEMBL3094381,O=C(O)c1ccc(N(CC(F)(F)F)S(=O)(=O)c2ccccc2)cc1,11.0,,,,
1614433,73.0,%,Inhibition,CHEMBL3109235,CCS(=O)(=O)c1ccc(CC(=O)Nc2ccc3c(ccn3CCc3ccc(Cl)cc3Cl)c2)cc1,73.0,,,,
1621058,33.2,%,Inhibition,CHEMBL3121734,CC(=O)c1ccc2c(c1)[Si](C)(C)CC[Si]2(C)C,20.2,46.2,,,
1621059,5.0,%,Inhibition,CHEMBL3121735,CC(=O)c1ccc2c(c1)C(C)(C)CC2(C)C,5.0,5.0,,,
1621060,31.6,%,Inhibition,CHEMBL3121736,CC(=O)c1ccc2c(c1)[Si](C)(C)C[Si]2(C)C,26.4,36.8,,,
1621061,6.45,%,Inhibition,CHEMBL3121737,CC(=O)c1cccc([Si](C)(C)C)c1,5.0,7.9,,,
1621062,11.05,%,Inhibition,CHEMBL3121738,CC(=O)c1ccc([Si](C)(C)C)cc1,7.6,14.5,,,
1621063,14.25,%,Inhibition,CHEMBL3121739,CC(O)c1ccc2c(c1)[Si](C)(C)CC[Si]2(C)C,5.0,23.5,,,
1621065,5.0,%,Inhibition,CHEMBL3121741,C[Si]1(C)CC[Si](C)(C)c2cc(C(=O)O)ccc21,5.0,5.0,,,
1621066,17.55,%,Inhibition,CHEMBL3121742,CC(O)c1ccc2c(c1)[Si](C)(C)C[Si]2(C)C,15.8,19.3,,,
1621067,11.25,%,Inhibition,CHEMBL3121743,CC1(C)CCC(C)(C)c2cc([Si](C)(O)O)ccc21,5.0,17.5,,,
1621068,5.0,%,Inhibition,CHEMBL3121744,CC1(C)CCC(C)(C)c2cc([Si](C)(C)O)ccc21,5.0,5.0,,,
1621069,21.15,%,Inhibition,CHEMBL3121745,CC1(C)CCC(C)(C)c2cc([Si](O)(O)c3ccccc3)ccc21,14.4,27.9,,,
1621070,23.65,%,Inhibition,CHEMBL3121746,CNC(=O)c1ccc2c(c1)[Si](C)(C)CC[Si]2(C)C,6.3,41.0,,,
1621071,5.85,%,Inhibition,CHEMBL3121747,CNC(=O)c1ccc2c(c1)C(C)(C)CCC2(C)C,5.0,6.7,,,
1621072,18.05,%,Inhibition,CHEMBL3121748,CC(C)(C)NC(=O)c1ccc2c(c1)[Si](C)(C)CC[Si]2(C)C,15.5,20.6,,,
1621073,17.95,%,Inhibition,CHEMBL3121749,CC(C)(C)NC(=O)c1ccc2c(c1)C(C)(C)CCC2(C)C,15.5,20.4,,,
1621074,45.6,%,Inhibition,CHEMBL3121750,C[Si]1(C)CC[Si](C)(C)c2cc(C(=O)Nc3ccccc3)ccc21,27.1,64.1,,,
1621075,19.8,%,Inhibition,CHEMBL3121751,CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccccc3)ccc21,5.0,34.6,,,
1725302,50.0,%,Inhibition,CHEMBL3218917,CC(=O)N1CCN(Cc2ccc(-c3ccc(C(O)(C(F)(F)F)C(F)(F)F)cc3)cc2)CC1,50.0,,,,
1780737,71.5,%,Inhibition,CHEMBL3314021,CCc1ccc(N(CC(C)C)S(=O)(=O)c2ccc(C(O)CN3CCOCC3)c(CO)c2)cc1,60.0,83.0,,,
1780745,98.5,%,Inhibition,CHEMBL3314029,CC(C)(C)n1ncc(-c2nc(CC(=O)NCC3CCOCC3)cs2)c1-c1cc2ccccc2s1,98.0,99.0,,,
1780746,94.0,%,Inhibition,CHEMBL3314030,COc1ccc(-c2c(-c3nc(CC(=O)NCC4CCOCC4)cs3)cnn2C(C)(C)C)cc1F,91.0,95.0,96.0,,
1780747,97.5,%,Inhibition,CHEMBL3314031,CCn1c2ccccc2c2cc(NC(=O)CC(C)CC(=O)Nc3ccc(C#N)c(Cl)c3)ccc21,95.0,100.0,,,
1780748,100.0,%,Inhibition,CHEMBL3314032,CCn1c2ccccc2c2cc(NC(=O)CC(C)(O)CCOc3ccc(C#N)c(Cl)c3)ccc21,100.0,100.0,,,
1780749,94.33333333333333,%,Inhibition,CHEMBL3314033,COc1ccc(C(C(=O)Nc2ccc(C(C)(C)C)cc2)N(C)C(=O)c2ccc(=O)[nH]c2)cc1,87.0,97.0,99.0,,
1780750,85.66666666666667,%,Inhibition,CHEMBL3314034,COc1ccc(C(C(=O)Nc2ccc(C(C)(C)C)cc2)N(C)C(=O)c2c[nH]c(=O)cn2)cc1,79.0,85.0,93.0,,
1786551,72.0,%,Inhibition,CHEMBL3325741,Cn1cncc1C(O)(c1ccc(Cl)cc1)c1ccc2nc(Cl)c(Cc3ccccc3)c(Cl)c2c1,72.0,,,,
1786552,85.0,%,Inhibition,CHEMBL3325742,OC(c1ccncc1)(c1ccc2nc(Cl)c(Cc3ccc(Cl)cc3)c(Cl)c2c1)c1cncs1,85.0,,,,
1786553,99.0,%,Inhibition,CHEMBL3325743,Cn1cncc1C(O)(c1ccc(C(F)(F)F)nc1)c1ccc2nc(C#N)c(Cc3ccc(-n4cccn4)cc3)c(C#N)c2c1,99.0,,,,
1822614,94.0,%,Inhibition,CHEMBL3358455,COc1nc2ccc(C(O)(c3sc(C)nc3C)c3cnnn3C)cc2c(Cl)c1Cc1ccc(C(F)(F)F)cc1,94.0,,,,
