molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0,act_1
115,33491.5,nM,Potency,CHEMBL3,CN1CCC[C@H]1c1cccnc1,33491.5,
173,9439.2,nM,Potency,CHEMBL6,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,9439.2,
853,26603.2,nM,Potency,CHEMBL7301,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)Nc2ccc(O)cc2)C(C)(C)CCC1,26603.2,
860,33491.5,nM,Potency,CHEMBL411,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1,33491.5,
1063,13333.2,nM,Potency,CHEMBL416,COc1c2occc2cc2ccc(=O)oc12,13333.2,
1280,8412.7,nM,Potency,CHEMBL25,CC(=O)Oc1ccccc1C(=O)O,8412.7,
1564,4216.3,nM,Potency,CHEMBL28,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,4216.3,
2080,29849.3,nM,Potency,CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,29849.3,
2654,37578.0,nM,Potency,CHEMBL456,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,37578.0,
3012,58570.6,nM,Potency,CHEMBL45,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,42163.2,74978.0
3281,1188.3,nM,Potency,CHEMBL8145,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,1188.3,
3765,26603.2,nM,Potency,CHEMBL8320,O=C1C=CC(=O)C=C1,26603.2,
3997,2371.0,nM,Potency,CHEMBL8682,O=C(O)CNC(=O)c1ccc([N+](=O)[O-])cc1,2371.0,
4361,37578.0,nM,Potency,CHEMBL8659,CCCCCCCC/C=C\CCCCCCCC(=O)O,37578.0,
5285,33491.5,nM,Potency,CHEMBL274826,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=O,33491.5,33491.5
5406,21131.7,nM,Potency,CHEMBL275260,S=C(Nc1ccccc1)Nc1ccccc1,21131.7,
5425,5955.7,nM,Potency,CHEMBL269755,Nc1cccc(O)c1,5955.7,
6341,33491.5,nM,Potency,CHEMBL10041,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccc(O)cc1,33491.5,
6787,18833.6,nM,Potency,CHEMBL491,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,18833.6,
8167,1059.1,nM,Potency,CHEMBL496,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,1059.1,
8193,23710.1,nM,Potency,CHEMBL497,Oc1c(I)cc(Cl)c2cccnc12,23710.1,
8873,74978.0,nM,Potency,CHEMBL267345,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](C)[C@@H](O)[C@H]1C)O2,74978.0,
