molregno,standard_value_get_mean,standard_units_get_levels,standard_type_get_levels,chembl_id_compound_get_levels,canonical_smiles_get_levels,act_0
2489967,7226.0,nM,XC50,CHEMBL4742350,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)CCCc2ccccc2)CC1,7226.0
2492389,218.0,nM,XC50,CHEMBL4745031,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)Cc2ccccc2)CC1,218.0
2494577,324.0,nM,XC50,CHEMBL4747219,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)Cc2cccc(F)c2)CC1,324.0
2494581,1135.0,nM,XC50,CHEMBL4747223,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)Cc2ccc(Cl)cc2)CC1,1135.0
2494944,906.0,nM,XC50,CHEMBL4747586,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)CCc2ccccc2)CC1,906.0
2495066,2453.0,nM,XC50,CHEMBL4747708,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)Cc2ccc(C)cc2)CC1,2453.0
2496303,910.0,nM,XC50,CHEMBL4748966,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)CCc2ccccc2)CC1,910.0
2500020,104.0,nM,XC50,CHEMBL4752683,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)Cc2cccc(Cl)c2)CC1,104.0
2502828,1555.0,nM,XC50,CHEMBL4755491,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)Cc2ccc(C(F)(F)F)cc2)CC1,1555.0
2503910,143.0,nM,XC50,CHEMBL4756573,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)Cc2ccccc2C)CC1,143.0
2517795,768.0,nM,XC50,CHEMBL4781204,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)Cc2cccc(C)c2)CC1,768.0
2520582,86.0,nM,XC50,CHEMBL4783991,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)Cc2ccccc2Cl)CC1,86.0
2529003,1650.0,nM,XC50,CHEMBL4792412,CC(=O)N1CCN(c2ccc3c(c2)CCCN3S(=O)(=O)N(C)Cc2ccc(F)cc2)CC1,1650.0
