,SMILES,target_0
0,O=C1c2ccccc2C(=O)c3c1ccc4c3[nH]c5c6C(=O)c7ccccc7C(=O)c6c8[nH]c9c%10C(=O)c%11ccccc%11C(=O)c%10ccc9c8c45,0
1,NNC(=O)CNC(=O)\C=N\#N,1
2,O=C1NC(=O)\C(=N/#N)\C=N1,1
3,NC(=O)CNC(=O)\C=N\#N,1
4,CCCCN(CC(O)C1=C\C(=N/#N)\C(=O)C=C1)N=O,1
5,NC(COC(=O)\C=N/#N)C(=O)O,1
6,CCN(CC(O)C1=CC(=O)\C(=N\#N)\C=C1)N=O,1
7,CC(=O)OC1(CCC2C3C=C(Cl)C4=CC(=O)OCC4(C)C3CCC12C)C(=O)C,0
8,Nc1nc(N)nc(N)n1,0
9,Cc1ccc(N=Nc2c(O)ccc3ccccc23)c(c1)[N+](=O)[O-],1
10,CC(C)CC(=O)Nc1snc2ccccc12,0
11,Cc1cccc(c1C)[N+](=O)[O-],1
12,CCCCCCC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4C3CCC12C)C#C,0
13,CCC[N+](=O)[O-],0
14,OC(=O)c1cc(cc2cccnc12)[N+](=O)[O-],1
15,OC1C=Cc2c(ccc3c(Br)c4ccccc4cc23)C1O,1
16,NC(=O)Nc1nc2ccccc2[nH]1,1
17,C[C@@H](O)CCC(=O)c1cocc1,0
18,Nc1ccc2c(oc3ccccc23)c1,1
19,Cc1ccc2ccc3ccc(C)cc3c2c1,1
20,Cc1cc2c(nc(N)n2C)c3ncc(nc13)c4ccccc4,1
21,CCN(N=O)\C(=N\O)\C=O,1
22,NNc1nnc(NN)c2ccccc12,1
23,C=CC(=O)NCNC(=O)C=C,1
24,OCc1cc2c3ccccc3c4cccc(c1)c24,0
25,Cc1ccccc1c2ccccc2,0
26,CC1C2C3C(C)C4C(=O)C56C(=O)c7c(O)cc(C)cc7C(=O)C35C1C(=O)C68C(=O)c9c(O)cc(C)cc9C(=O)C248,0
27,Cc1nc(N)nc(N)n1,0
28,CCNc1nc(N)nc(Cl)n1,0
29,C1CCC(CC1)N2C3C2c4ccccc4c5ccccc35,1
30,CCCCB(CCCC)CCCC,1
31,CC(=O)NC(CSC(=C(Cl)Cl)Cl)C(=O)O,1
32,CC(C)[C@@H]1CC[C@H](C)[C@@H]2CC[C@H](C)C[C@@H]12,1
33,CCNN=NCC,1
34,Oc1cccc(c1)[N+](=O)[O-],1
35,[O-][N+](=O)c1ccc2c(c1)c3cccc4cccc2c34,1
36,OCc1occc1,0
37,C(Cc1ccc(cc1)c2ccccc2)[C@H]3CO3,1
38,Oc1cc2c3ccccc3ccc2c4ccccc14,1
39,Oc1ccc2ccccc2c1N=Nc3ccccc3,1
40,N[C@@H]1CC[C@@H](C[C@@H]2CC[C@@H](N)CC2)CC1,0
41,COC(=O)C12CC1(C=O)C(=CC3CC(C)(C)CC23)C=O,1
42,CCOC(=O)C(C)Br,1
43,COC1(CCCC1)OC2CCC3C4CCC5CC6SC6CC5(C)C4CCC23C,0
44,CCN(CCCl)CCCNc1c2CCCCc2nc3ccccc13,1
45,C\C(=C/C(=C/C1=CCOC1=O)/C)\C=C\C=C(/C)\C(=O)C23OC2C(O)(CCO)NC3=O,1
46,CCO[P@](=S)(CC)Sc1ccccc1,0
47,Nc1ccc(c(N)c1)[N+](=O)[O-],1
48,CCSCCSP(=O)(OC)OC,0
49,Cc1ccccc1C(=O)O,0
50,CC(=CC1C(C(=O)OCc2cccc(Oc3ccccc3)c2)C1(C)C)C,1
51,Brc1ccccc1,0
52,Cc1cc(N)c(cc1Cl)S(=O)(=O)O,0
53,Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1,0
54,CN(C)CCNC(=O)c1cccc2C(=O)c3ccccc3C(=O)c12,1
55,Nc1snc2c(Cl)cc(Cl)cc12,1
56,ClCC1(C(Cl)Cl)C2CC(Cl)(Cl)C1(CC2(Cl)Cl)C(Cl)Cl,0
57,Cc1cc(O)c2C(=O)c3c(O)cc(O)c(c3C(=O)c2c1)c4c(O)cc(O)c5C(=O)c6c(O)cc(C)cc6C(=O)c45,0
58,COCCl,0
59,O=NN1CCOCC1,1
60,Nc1ccc(Oc2cccc(Oc3ccc(N)cc3)c2)cc1,1
61,Nc1ccc(Nc2ccccc2)cc1,0
62,CCCCCOC(=O)C(=C)C,0
63,OC(=O)c1ccccc1,0
64,Nc1ncnc2c1ncn2Cc3ccc(cc3)[N+](=O)[O-],1
65,C1c2cccc3ccc4cccc1c4c23,1
66,Fc1ccccc1c2ccccc2,0
67,Clc1ccc(cc1Cl)c2ccc(Cl)c(Cl)c2Cl,0
68,CC(=CCc1ccc(O)c2C(=O)c3c(O)c4c(OC5OC=CC45O)cc3Oc12)C,1
69,CC1COCc2cc3c(cc12)C(C)(C)C(C)C3(C)C,0
70,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,0
71,Nc1ccc2ccccc2c1N=Nc3ccc(cc3)[N+](=O)[O-],1
72,COc1cccc2C(=O)c3c(O)c4CC(O)(CC(OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)CO,1
73,Oc1ccc(Cc2ccccc2O)cc1,0
74,COC(C)CCO,0
75,CC(=O)N(O)c1ccc(Oc2ccccc2)cc1,1
76,CC(C)(c1ccc(OP(O)O)cc1)c2ccc(OP(O)O)cc2,0
77,CCCCCCCC(=O)Cl,1
78,CC(C)(C)C(Br)C(=O)Nc1ccccc1,0
79,CCN(CC)CCNc1ccc2nc(C)n3c4ccc(O)cc4C(=O)c1c23,1
80,CCNC(=O)Nc1ncc(s1)[N+](=O)[O-],1
81,COc1ccc(O)c2C(=O)c3c(OC)cc4O[C@@H]5OC=C[C@H]5c4c3Oc12,1
82,[O-][N+](=O)c1cc2Oc3cc(Cl)c(Cl)cc3Oc2cc1Cl,1
83,COC(=O)C(=C)C,0
84,Oc1ccc2c3ccc(O)c4C(=O)C=C[C@@](O)([C@@H]5[C@H]6O[C@H]6C(=O)c1c25)c34,1
85,COC(=O)N,0
86,Cc1cc(C)n(n1)c2[nH]nc(NN)c3c4ccccc4nc23,0
87,Fc1cnc2ccc3cccnc3c2c1,1
88,SC(NC(=O)NC(S)c1nc2ccccc2s1)c3nc4ccccc4s3,1
89,Cc1c2ccccc2c(CBr)c3ccccc13,1
90,Nc1cccc2cc3CCCCc3nc12,1
91,COC(=O)C=C,0
92,CC(=O)Nc1c(O)cc2c3ccccc3c4cccc1c24,1
93,OC1Cc2cc3ccc4cccc5ccc(c2C=C1)c3c45,1
94,Oc1ccc2c(c1)c3ccc(c4cccc2c34)[N+](=O)[O-],1
95,OC1C=Cc2cc3ccccc3c(c2C1O)[N+](=O)[O-],0
96,Cc1ccc(N=Nc2c(O)c(cc3ccccc23)C(=O)O)c(c1)S(=O)(=O)O,0
