./download/DM.txtEGFRINdb ID	IC50(l858r/t790M)	PMID	Journal	Vol & Page	Smiles
EGIN0000807	0.003±0.002 µM  	22227214	Bioorganic & Medicinal Chemistry Letters	22 (2012) 1365–1370	c1(c(cc2c(c1)c(c(cn2)C#N)Nc1cc(c(cc1)OCc1ccccn1)Cl)OCC)NC(=O)/C=C/CN(C)C
EGIN0002490	0.1 µM	20961149	J. Med. Chem.	2010, 53, 7316–7326	n1cnc(N[C@@H](c2ccccc2)CO)c2c1sc1c2CCN(C1)C(=O)C=C
EGIN0002498	0.305 µM 	20961149	J. Med. Chem.	2010, 53, 7316–7326	n1cnc(N[C@@H](c2ccccc2)CO)c2c1sc1c2CCN(C1)C(=O)/C=C/CN(C)C
EGIN0002503	0.596 µM 	20961149	J. Med. Chem.	2010, 53, 7316–7326	n1cnc(N[C@H](C)c2ccccc2)c2c1sc1c2CCN(C1)C(=O)/C=C/CN(C)C
EGIN0002495	0.739 µM 	20961149	J. Med. Chem.	2010, 53, 7316–7326	n1cnc(N[C@@H](c2ccccc2)C)c2c1sc1c2CCN(C1)C(=O)C=C
EGIN0004548	0.93 nM    	22339342	J. Med. Chem. 	2012, 55, 2711-2723	c1(ccc(c(c1)OC)Nc1ncc2c(n1)N(C(=O)N(C2)Cc1ccccc1)c1cccc(c1)NC(=O)C=C)N1CCN(CC1)C
EGIN0002499	0.93 µM	20961149	J. Med. Chem.	2010, 53, 7316–7326	n1cnc(N[C@@H](c2ccccc2)CO)c2c1sc1c2CCN(C1)C(=O)/C=C/CN(CC)CC
EGIN0004551	0.98 nM    	22339342	J. Med. Chem. 	2012, 55, 2711-2723	c1(ccc(c(c1)OC)Nc1ncc2c(n1)N(C(=O)N(C2)c1ccccc1)c1cccc(c1)NC(=O)C=C)N1CCN(CC1)C
EGIN0000208	<1 nM     	20222733	J. Med. Chem	2010, 53, 2892–2901	c12c(ccc(c1)NC(=O)C=C)ncnc2Nc1cc(ccc1)Br
EGIN0004559	1.19 nM    	22339342	J. Med. Chem. 	2012, 55, 2711-2723	c1(ccc(cc1)Nc1ncc2c(n1)N(C(=O)N(C2)C)c1cccc(c1)NC(=O)C=C)N1CCN(CC1)C
EGIN0002500	1.399 µM 	20961149	J. Med. Chem.	2010, 53, 7316–7326	n1cnc(N[C@@H](c2ccccc2)CO)c2c1sc1c2CCN(C1)C(=O)/C=C/CN1CCOCC1
EGIN0004584	1.5 µM	22227214	Bioorganic & Medicinal Chemistry Letters	22 (2012) 1365–1370	n1c(nc(nc1Nc1ccc(cc1)Cl)NCCN1CCOCC1)OC
EGIN0004360	1.88 nM    	22339342	J. Med. Chem. 	2012, 55, 2711-2723	c1c(cc(c(c1)Nc1nc(c(cn1)Cl)Oc1cccc(c1)NC(=O)C=C)OC)N1CCN(CC1)C
EGIN0002484	>10 µM	20961149	J. Med. Chem.	2010, 53, 7316–7326	c1(c2c(ncn1)sc1c2CCCC1)N[C@H](CO)c1ccccc1
