SMILES,target_0,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_13,target_14,target_15,target_16,target_17,target_18,target_19,target_20,target_21,target_22,target_23,target_24,target_25,target_26,target_27,target_28,target_29
"Brc1c(ccc(Nc2ncnc3cc(OCCC[C@H]4COCCN4)c(NC(=O)C=C)cc23)c1)F
",1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brc1cccc(Nc2ncnc3cc(OCCC[C@H]4COCCN4)c(NC(=O)C=C)cc23)c1
",3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brc1cccc(Nc2ncnc3cc4c(O[C@@H](CCC5CCNCC5)CO4)cc23)c1
",52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brc1cccc(Nc2ncnc3cc4c(O[C@@H](CCN5CCCC5)CO4)cc23)c1
",62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brc1cccc(Nc2ncnc3cc4c(O[C@@H](CCN5CCOCC5)CO4)cc23)c1
",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(#N)c1cnc2cc(/C=C/CCN3CCN(CC3)C)c(cc2c1Nc1cc(c(cc1Cl)Cl)OC)OC
",3300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(/C=C/C(=O)Nc1cc2c(c(cnc2cc1OCC)C#N)Nc1cc(c(cc1)F)Cl)NCC#C
",0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc(c(c(c1)O)O)Br)(/C(=O)NCCCNC(=O)/C(=C/c1cc(c(c(c1)O)O)Br)/C#N)\C#N
",3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc(c(c(c1)O)O)O)(/C(=O)NCCCCNC(=O)/C(=C/c1cc(c(c(c1)O)O)O)/C#N)\C#N
",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc(c(c(c1)OC)O)Br)(/C(=O)NCCCCNC(=O)/C(=C/c1cc(c(c(c1)OC)O)Br)/C#N)\C#N
",102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc(c(cc1)O)O)(/C(=O)N1CCN(C(=O)/C(=C/c2cc(c(cc2)O)O)/C#N)CC1)\C#N
",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc(c(cc1)O)O)(/C(=O)N1CCN(CC1)CCNC(=O)/C(=C/c1cc(c(cc1)O)O)/C#N)\C#N
",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc(c(cc1)O)O)(/C(=O)N1CCN(CNC(=O)/C(=C/c2cc(c(cc2)O)O)/C#N)CC1)\C#N
",83000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc(c(cc1)O)O)(/C(=O)NCCCCCCCCCCNC(=O)/C(=C/c1cc(c(cc1)O)O)/C#N)\C#N
",100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc(c(cc1)O)O)(/C(=O)NCCCCCCCCNC(=O)/C(=C/c1cc(c(cc1)O)O)/C#N)\C#N
",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc(c(cc1)O)O)(/C(=O)NCCCCCCNC(=O)/C(=C/c1cc(c(cc1)O)O)/C#N)\C#N
",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc(c(cc1)O)O)(/C(=O)NCCCCCNC(=O)/C(=C/c1cc(c(cc1)O)O)/C#N)\C#N
",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc(c(cc1)O)O)(/C(=O)NCCCCNC(=O)/C(=C/c1cc(c(cc1)O)O)/C#N)\C#N
",4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc(c(cc1)O)O)(/C(=O)NCCCN1CCN(CC1)CCCNC(=O)/C(=C/c1cc(c(cc1)O)O)/C#N)\C#N
",167000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc(c(cc1)O)O)(/C(=O)NCCNC(=O)/C(=C/c1cc(c(cc1)O)O)/C#N)\C#N
",113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc(c(cc1)O)O)(/C(=O)NC[C@H]1C[C@@H](CNC(=O)/C(=C/c2cc(c(cc2)O)O)/C#N)CCC1)\C#N
",100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc(c(cc1)O)O)(/C(=O)NCc1cc(CNC(=O)/C(=C/c2cc(c(cc2)O)O)/C#N)ccc1)\C#N
",10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc(c(cc1)O)O)(/C(=O)N[C@@H]1CC[C@@H](C[C@@H]2CC[C@@H](NC(=O)/C(=C/c3cc(c(cc3)O)O)/C#N)CC2)CC1)\C#N
",83000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc(c(cc1)O)O)(/C(=O)N[C@@H]1[C@H](NC(=O)/C(=C/c2cc(c(cc2)O)O)/C#N)CCCC1)\C#N
",13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc(c(cc1)OC)OC)(\C#N)/c1cnccc1
",1750,70000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc2c([nH]cc2)cc1)(/C(=C(C#N)C#N)N)\C#N
",100000,60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=C\c1cc2c([nH]cc2)cc1)(/C(=O)NCCCNC(=O)/C(=C/c1cc2c([nH]cc2)cc1)/C#N)\C#N
",100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=Cc1cc(c(cc1)O)O)(C#N)C#N
",35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=O)(/C(=C/c1cc(c(cc1)O)O)/C#N)N1CCCCC1
",49000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=O)(/C(=C/c1cc(c(cc1)O)O)/C#N)N1CCN(CC1)c1ccccc1
",49000,55000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=O)(/C(=C/c1cc(c(cc1)O)O)/C#N)N1c2ccccc2CC1
",12000,4900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=O)(/C(=C/c1cc(c(cc1)O)O)/C#N)NCc1ccccc1
",100,11000,13500,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=O)(/C(=C/c1cc(c(cc1)O)O)/C#N)N[C@H](Cc1ccccc1)C(=O)OCC
",333000,49000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=O)(/C=C/CN(C)CCF)Nc1cc2c(c(cnc2cc1OCC)C#N)Nc1cc(c(cc1)F)Cl
",0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=O)(/C=C/CN(C)Cc1ccc(cc1)F)Nc1cc2c(c(cnc2cc1OCC)C#N)Nc1cc(c(cc1)F)Cl
",0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=O)(/C=C/CNC)Nc1cc2c(c(cnc2cc1OCCF)C#N)Nc1cc(c(cc1)F)Cl
",0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=O)(/C=C/c1nnn(c1)CCF)Nc1cc2c(c(cnc2cc1OCC)C#N)Nc1cc(c(cc1)F)Cl
",4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C(=O)(COc1c(cc(cc1)c1[nH]c2c(c(=O)n1)c1c(s2)ccc(c1)C)OC)O
",2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
