SMILES,target,,,
"CN(C)C/C=C/C(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)O[C@H]1CCOC1
",8,TRUE,0,0
"CN(C)C/C=C/C(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)O[C@H]1CCOC1
",0.5,TRUE,0,
"CN(C)C/C=C/C(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)O[C@H]1CCOC1
",0.5,TRUE,0,
"CN(C)C/C=C/C(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)O[C@H]1CCOC1
",11,TRUE,0,
"CN(C)C/C=C/C(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)O[C@H]1CCOC1
",8,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",30,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",1000,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",1000,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",1,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",1.4,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",15,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",17,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",20,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",20,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",20.3,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",30,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",30,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",30,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",30,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",30,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",30,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",0.2,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",1,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",1200,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",1450,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",10,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",2,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",2,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",20.3,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",3.1,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",3.6,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",3.69,TRUE,0,
"c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
",48,TRUE,0,
"CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
",8,TRUE,0,
"CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
",52,TRUE,0,
"CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
",2.9,TRUE,0,
"CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
",9,TRUE,0,
"CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
",10,TRUE,0,
"CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
",10,TRUE,0,
"CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
",10,TRUE,0,
"CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
",12,TRUE,0,
"CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
",17,TRUE,0,
