./download/egfr.txtEGFRINdb ID	EGFR-IC50	PMID	Journal	Vol & Page	Smiles
EGIN0000001	0.008 ± 0.0013 µM	21306821	Cancer Letters	302 (2011) 155–165	CN(C)C/C=C/C(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)O[C@H]1CCOC1
EGIN0000001	0.5 nM	22888144	J Pharmacol Exp Ther	 2012 Aug 10. 	CN(C)C/C=C/C(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)O[C@H]1CCOC1
EGIN0000001	0.5 nM 	16475937	Curr Med Chem. 	2006;13(3):277-87.	CN(C)C/C=C/C(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)O[C@H]1CCOC1
EGIN0000001	11 nM	20550212	Journal of Medicinal Chemistry	2010, 53, 4980–4988	CN(C)C/C=C/C(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)O[C@H]1CCOC1
EGIN0000001	8.0nM	21732342	Int J Cancer.	130, 2445–2454 (2012) 	CN(C)C/C=C/C(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)O[C@H]1CCOC1
EGIN0000002	0.03 ± 0.001 µM	22277588	Bioorganic & Medicinal Chemistry	20 (2012) 1411–1416	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	>1000 nM	19888761	J. Med. Chem	2009, 52, 6880–6888	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	>1000nM	21732342	Int. J. Cancer	130, 2445–2454 (2012) 	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.001 µM	22101132	Bioorganic & Medicinal Chemistry Letters	22 (2012) 456–460	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.0014 µM	15711537	Nat Biotechnol.	2005 Mar;23(3):329-36	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.015 µM	19815412	Bioorganic & Medicinal Chemistry Letters	19 (2009) 6437–6440	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.017 +/- 0.010  µM  	11585755	Cancer Res. 	2001 Oct 1;61(19):7196-203.	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.02 µM	19914837	Bioorg Med Chem.	2010 Jan 1;18(1):305-13.	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.02 µM	20005116	Bioorg Med Chem.	2010 Jan 15;18(2):880-6	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.0203µM  	22901387	Bioorg. Med. Chem. Lett	22 (2012) 5870–5875	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.03 ± 0.002 µM	22361272	Bioorganic & Medicinal Chemistry	20 (2012) 2010–2018	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.03 µM	19914835	Bioorg Med Chem.	2010 Jan 1;18(1):314-9	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.03 µM	22112541	Bioorganic & Medicinal Chemistry	20 (2012) 317–323	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.03 µM	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.03 µM	20627597	Bioorg Med Chem.	2010 Jul 1;18(13):4606-14.	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.03µM	21763148	Bioorganic & Medicinal Chemistry	19 (2011) 5012–5022	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.2 ± 0.05 nM	20222733	J. Med. Chem	2010, 53, 2892–2901	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	1.0 nM	17869510	Bioorganic & Medicinal Chemistry Letters	17 (2007) 5863–5867	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	1.2 ± 0.2µM	20403700	Bioorg Med Chem.	2010 May 15; 18(10): 3575–3587	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	1.45µM	12270171	Bioorganic & Medicinal Chemistry Letters	12 (2002) 2893–2897	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	10 nM	20166671	J. Med. Chem	2010, 53, 1413–1437	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	2 nM	17689836	Eur J Med Chem.	2008 Apr;43(4):781-91.	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	2 nM	9354447	Cancer Res. 	1997 Nov 1;57(21):4838-48.	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	20.3 ± 1.02 nM 	19969465	Bioorganic & Medicinal Chemistry	18 (2010) 870–879	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	3.10 nM	22169601	Bioorganic & Medicinal Chemistry	20 (2012) 125–136	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	3.6 nM	18316192	Bioorganic & Medicinal Chemistry	16 (2008) 3482–3488	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	3.69 nM	16211656	Arch Pharm (Weinheim).	2005 Oct;338(10):502-5	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	48.0 nM	20143778	J. Med. Chem	2010, 53, 2000–2009	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000003	0.008 µM       	22227214	Bioorganic & Medicinal Chemistry Letters	22 (2012) 1365–1370	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	>52 nM	19888761	J. Med. Chem	2009, 52, 6880–6888	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	0.0029 µM	21080629	J. Med. Chem.	2010, 53, 8546–8555	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	0.009 ± 0.0005 µM 	22595177	Bioorg. Med. Chem. Lett.	22 (2012) 4004–4009	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
