./download/her2.txtEGFRINdb ID	ErbB2-IC50	PMID	Journal	Vol & Page	Smiles
EGIN0000001	0.0249 ± 0.0031 µM	21306821	Cancer Letters	302 (2011) 155–165	CN(C)C/C=C/C(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)O[C@H]1CCOC1
EGIN0000001	14 nM	22888144	J Pharmacol Exp Ther	 2012 Aug 10. 	CN(C)C/C=C/C(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)O[C@H]1CCOC1
EGIN0000001	14 nM  	16475937	Curr Med Chem. 	2006;13(3):277-87.	CN(C)C/C=C/C(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)O[C@H]1CCOC1
EGIN0000001	24.9nM	21732342	Int J Cancer.	130, 2445–2454 (2012) 	CN(C)C/C=C/C(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)O[C@H]1CCOC1
EGIN0000002	>1000 nM	19888761	J. Med. Chem	2009, 52, 6880–6888	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	>1000nM	21732342	Int. J. Cancer	130, 2445–2454 (2012) 	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.12 µM     	19914837	Bioorg Med Chem.	2010 Jan 1;18(1):305-13.	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.14 ± 0.0 µM    	22361272	Bioorganic & Medicinal Chemistry	20 (2012) 2010–2018	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.16 µM   	19914835	Bioorg Med Chem.	2010 Jan 1;18(1):314-9	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.16 µM    	20594859	Bioorg Med Chem	2010 Jul 15;18(14):4991-6	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.16 µM     	20005116	Bioorg Med Chem.	2010 Jan 15;18(2):880-6	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	0.76 µM 	22101132	Bioorganic & Medicinal Chemistry Letters	22 (2012) 456–460	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	1.05 +/- 0.21  µM   	11585755	Cancer Res. 	2001 Oct 1;61(19):7196-203.	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	1.52 µM	19815412	Bioorganic & Medicinal Chemistry Letters	19 (2009) 6437–6440	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	10 nM  	20166671	J. Med. Chem	2010, 53, 1413–1437	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	134.5nM	20143778	J. Med. Chem	2010, 53, 2000–2009	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	18.52 µM	12270171	Bioorganic & Medicinal Chemistry Letters	12 (2002) 2893–2897	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	300 nM	22169601	Bioorganic & Medicinal Chemistry	20 (2012) 125–136	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	5.1 µM    	15711537	Nat Biotechnol.	2005 Mar;23(3):329-36	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000003	>36 nM	19888761	J. Med. Chem	2009, 52, 6880–6888	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	0.003 µM	19815412	Bioorganic & Medicinal Chemistry Letters	19 (2009) 6437–6440	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	0.0045 µM	21080629	J. Med. Chem.	2010, 53, 8546–8555	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	0.009  µM 	21334203	Bioorganic & Medicinal Chemistry Letters	21 (2011) 1601–1606	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	0.009 µM	22101132	Bioorganic & Medicinal Chemistry Letters	22 (2012) 456–460	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	0.009 µM    	16483772	Bioorg Med Chem Lett.	2006 May 1;16(9):2419-22	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	0.010 µM	16777410	Bioorganic & Medicinal Chemistry Letters	16 (2006) 4686–4691	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	10.2 nM	20143778	J. Med. Chem	2010, 53, 2000–2009	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	15 nM  	16475937	Curr Med Chem. 	2006;13(3):277-87.	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	350 nM 	20166671	J. Med. Chem	2010, 53, 1413–1437	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	36.3nM	21732342	Int. J. Cancer	130, 2445–2454 (2012) 	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
