./download/t790m.txtEGFRINdb ID	IC50 (t790m)	PMID	Journal	Vol & Page	Smiles
EGIN0000001	10 nM  	16475937	Curr Med Chem. 	2006;13(3):277-87.	CN(C)C/C=C/C(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)O[C@H]1CCOC1
EGIN0000001	9.8 nM	21732342	Int J Cancer.	130, 2445–2454 (2012) 	CN(C)C/C=C/C(=O)Nc1c(cc2c(c1)c(ncn2)Nc1cc(c(cc1)F)Cl)O[C@H]1CCOC1
EGIN0000002	>1000 nM	21732342	Int. J. Cancer	130, 2445–2454 (2012) 	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000002	260 nM	18316192	Bioorganic & Medicinal Chemistry	16 (2008) 3482–3488	c12cc(c(cc1ncnc2Nc1cc(ccc1)C#C)OCCOC)OCCOC
EGIN0000003	>1000 nM	21732342	Int. J. Cancer	130, 2445–2454 (2012) 	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	>1000 nM	22372864	J. Med. Chem.	2012, 55, 2846-2857	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000003	>4000 nM 	16475937	Curr Med Chem. 	2006;13(3):277-87.	CS(=O)(=O)CCNCc1ccc(o1)c1cc2c(cc1)ncnc2Nc1cc(c(cc1)OCc1cc(ccc1)F)Cl
EGIN0000005	1013 nM 	16475937	Curr Med Chem. 	2006;13(3):277-87.	COc1c(cc2c(c1)ncnc2Nc1cc(c(cc1)F)Cl)OCCCN1CCOCC1
EGIN0000006	26 nM  	16475937	Curr Med Chem. 	2006;13(3):277-87.	c12c(cc(c(c1)NC(=O)C=C)OCCCN1CCOCC1)ncnc2Nc1cc(c(cc1)F)Cl
EGIN0000208	1.2 nM	18316192	Bioorganic & Medicinal Chemistry	16 (2008) 3482–3488	c12c(ccc(c1)NC(=O)C=C)ncnc2Nc1cc(ccc1)Br
EGIN0000646	360 nM	18316192	Bioorganic & Medicinal Chemistry	16 (2008) 3482–3488	c1(ccc2c(c1)c(ncn2)Nc1cc(ccc1)Br)NC(=O)CC
EGIN0001052	3.0 nM	18316192	Bioorganic & Medicinal Chemistry	16 (2008) 3482–3488	c12c(ccc(c1)NC(=O)/C=C/CN(C)C)ncnc2Nc1cccc(c1)Br
