,index,SMILES,target_0
0,0,O=C(NC1CCN(Cc2ccc3c(c2)OCCO3)CC1)c1cc(=O)c2ccc(F)cc2o1,1
1,1,COc1cccc(N2CCN(CCCCCCN3CCN(c4cccc(Cl)c4)CC3)CC2)c1,1
2,2,CNC(C)c1cc(C)ccc1Oc1ccc(Cl)c(Cl)c1,1
3,3,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C(C)C)C2O)C(C)(O)CC(C)C(O)C(C)C(O)C1(C)O,1
4,4,O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CN(C2CCC(c3ccc(O)cc3)CC2)C1,1
5,5,COC(=O)C1(CNC(=O)c2cc(Cl)cc(Cl)c2)CCN(Cc2ccccc2C(F)(F)F)CC1,1
6,6,CC(C)(C)C(=O)N1CC(c2cc(F)ccc2F)=CC1c1cccc(O)c1,1
7,7,Cc1cn2c(n1)c(C(=O)NCC1CCN(CC(C)C)CC1)cc(Cl)c2N,1
8,8,CC(C)S(=O)(=O)NC1CN(C)CC1c1ccc(-c2ccsc2)cc1,1
9,9,COc1cc(-c2cn(C3CC(c4ccccc4)CCN(CC(F)(F)F)C3=O)nn2)ccc1-n1cnc(C)c1,1
10,10,COc1ccc(C2(O)CCC(N3CC(NC(=O)CNC(=O)c4cccc(C(F)(F)F)c4)C3)CC2)cc1,1
11,11,N#Cc1ccc(Cn2cncc2CNC2CCN(c3cccc4ncccc43)C2=O)cc1,1
12,12,COc1cc(-c2cn(CC(=O)N(c3ccccc3)C3CCCCC3)nn2)ccc1-n1cnc(C)c1,1
13,13,O=C(CC1CCN(Cc2ccn(-c3ccc(C(F)(F)F)cc3)c2)CC1)NC(c1ccncc1)c1ccc(Cl)cc1,1
14,14,Fc1ccc(CN(C2CCNC2)C2CCOCC2)c(F)c1F,1
15,15,O=c1[nH]c2ccccc2n1C1CCN(CCCN2C(=O)COc3ccccc32)CC1,1
16,16,O=c1cc(OCc2ccc(C(F)(F)F)cc2)ccn1-c1ccc(OCCN2CCCC2)cc1,1
