,SMILES,target_0
0,C1=CC=C(C=C1)CNC(=O)OCCO,40
1,C1CCN(CC1)CCC(C2=CC=CC=C2)C3=CC=CC=C3,41
2,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C,45
3,CCN(CC)CCSC(=O)N(C1=CC=CC=C1)C2=CC=CC=C2,48
4,CCN(CC)CCOC(=O)C(C1=CC=CC=C1)(C2=CC=CC=C2)O,51
5,CCN(CC)C(C)CN1C2=CC=CC=C2SC3=CC=CC=C31,53
6,CC1=C(C(=CC=C1)OCC(CNC(C)(C)C)O)C,57
7,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C,60
8,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,61
9,C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O)O,61
10,COC1=CC=CC=C1N2CCN(CC2)CCCC(=O)C3=CC=C(C=C3)F,67.5
11,CC(C)(C)NC[C@@H](COC1=CC=CC=C1C2CCCC2)O,68
12,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C,69
13,CCC(=O)O[C@](CC1=CC=CC=C1)(C2=CC=CC=C2)[C@H](C)CN(C)C,75
14,CCC(CC)(CC=C)C(=O)N,75
15,CCC(=O)C(CC(C)N1CCOCC1)(C2=CC=CC=C2)C3=CC=CC=C3,75
16,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,75
17,CCC(C)C(C)(COC(=O)N)COC(=O)N,77
18,CCC1=NC(=C2C=C(C(=CC2=C1)OC)OC)CC3=CC=CC=C3,78
19,CCNC1=NSC2=CC=CC=C21,78
20,CC(=O)CCC1=CC2=C(C=C1)C=C(C=C2)OC,80
21,CC(C)(C)NCC(COC1=C(C=CC(=C1)Cl)Cl)O,82
22,CCCCCCN1C(=O)C2=C(N=CN2C)N(C1=O)C,82
23,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,83
24,COC(CN1CCN(CC1)CC(C(C2=CC=CC=C2)OC)O)C3=CC=CC=C3,83
25,CCOC(=O)C1(CCN(CC1)CCC2=CC=C(C=C2)N)C3=CC=CC=C3,83
26,CC(CC1=CC=CC=C1)NC(C#N)C2=CC=CC=C2,85
27,CCN1/C(=C/C(=O)OCC)/SC(C1=O)N2CCCCC2,86
28,C1=CC(=CC=C1COC(CN2C=CN=C2)C3=C(C=C(C=C3)Cl)Cl)Cl,86.8
29,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,87
30,CN1CCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42,87
31,CNC(=S)NCO,88
32,CC(C)(C)NCC(C1=CC=CC=C1Cl)O,89
33,CC(=O)SCC(CC1=CC=CC=C1)C(=O)NCC(=O)OCC2=CC=CC=C2,89
34,CN(C)CCOC1=CC2=CC=CC=C2SC3=C1C=C(C=C3)Cl,90
35,CCCC(C)C1(C(=O)NC(=O)NC1=O)C=C,90
36,CN1CCC2=C(C1)C(C3=CC=CC=C23)C4=CC=CC=C4,91
37,CCCC(C)(COC(=O)N)COC(=O)NC(C)C,92
38,C=CCOC1=C(C=C(C=C1)CC(=O)O)Cl,92
39,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,92
40,CC1=CC(=CC=C1)N(C)C(=S)OC2=CC3=C(CCC3)C=C2,94
41,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,94
42,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,94
43,CN1CCC(CC1)N(CC2=CC=CS2)C3=CC=CC=C3,95
44,COC1=CC(=CC(=C1O)C(=O)NCCO)CC=C,95
45,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3,96
46,CCN(CC1=CC=NC=C1)C(=O)C(CO)C2=CC=CC=C2,96
47,CCCC[C@H](C)C[C@@H](/C=C/[C@H]1[C@@H](CC(=O)[C@@H]1CCCC/C=C/C(=O)O)O)O,97
48,CC(C)NCC(C1=CC(=CC(=C1)O)O)O,100
49,CCC1=C(NC2=C1C=C(C=C2)N(C)C)C,100
50,CC(C)(C(=O)NC(=O)NCN1CCOCC1)OC2=CC=C(C=C2)Cl,100
51,CCC(C1=CC=CC=C1)C(=O)NC(=O)NC(=O)C,100
52,CCOC1=CC=C(C=C1)NC(=O)CN,100.5
53,CCN(CC)CCNC1=C2C(=C(C=C1)CO)SC3=CC=CC=C3C2=O,100.6
54,CCC1(C(=O)CCNC1=O)CC,102
55,CC(COC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O,102.5
56,CCCC(C)(COC(=O)N)COC(=O)N,104
57,C1CCN(C(C1)C(C2=CC=CC=C2)C3=CC=CC=C3)CCO,106
58,C1CN(CCN1C(=O)CCBr)C(=O)CCBr,106
59,CC1=CC(=NN1)CCN2CCN(CC2)C3=CC(=CC=C3)Cl,106
60,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],106
61,CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C,107
62,C1=CC=C(C=C1)CN(C/C(=N/O)/N)C2=CC=CC=C2,107
63,CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3,108
64,CCC(CC)(C(=O)NC(=O)NC(=O)C)Br,109
65,CCN(CC)C(=O)NC1=CC(=C(C=C1)OCC(CNC(C)(C)C)O)C(=O)C,110
66,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,110
67,C1=CC=C2C(=C1)C(=O)N(C2=O)CCCCCOC3=CC=C(C=C3)N,113
68,CCC(C)C(CC)C(=O)N,113.5
69,C1=CC=C(C=C1)/C(=C\CCCCC(=O)O)/C2=CN=CC=C2,114
70,CC(C(C1=CC=C(C=C1)O)O)N2CCC(CC2)CC3=CC=CC=C3,114
71,CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,114
72,CC1=C(C(=CC=C1)CC2=CN=CN2)C,114
73,CN1CCC(CC1)N(CC2=CC=CC=C2)C3=CC=CC=C3,115
