SMILES,target_0,target_1,target_2
C#CCN1C2=CC=CC=C2SC3=C1N=CC=C3,321.0,,
C#CCNC(=O)C1=CC(=C(C=C1)OC2CCN(CC2)CC3CCCCC3)Cl,396.0,,
C#CC[N+]1(CCCCC1)CC#CC2=CC=CC3=CC=CC=C32.[Br-],484.0,,
C([C@@H](C(=O)O)N)OP(=O)(O)O,1065.0,,
C/C(=C(\C(=O)C)/N=NC1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)/O,26.73,,
C/C(=C/C[N+]1(CCOCC1)CC#CC2=CC=CC3=CC=CC=C32)/Cl,449.0,,
C/C(=C\C1=CC=CC=C1)/C=NNC(=O)C2=CC=CO2,650.0,1097.0,
C/C(=C\C1=CC=CC=C1)/CN2C[C@@H](C[C@H]2C(=O)OC)NC(=O)C3=C(C=C(C=C3)OC)OC,821.0,,
C/C(=C\C1=[N+](C2=C(S1)C=CC3=C2C=CO3)CCO)/C=C4N(C5=C(S4)C=CC6=C5OC=C6)CCO,84.5,8630.0,
C/C=C(/C1=CC(=O)[C@]23C[C@H]2[C@]4(CO[C@]1([C@]3(O4)O)O)C)\Cl,1250.0,,
C/C=C/C1=[N+](C2=CC=CC=C2N1C)C.[Cl-],589.0,,
C/C=C/[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,130.0,,
C/C=C\1/C[C@H]2[C@H](NC3=CC(=C(C=C3C(=O)N2C1)OC)O)OC,875.0,,
C1(=C(C(=NC(=C1Cl)Cl)C(Cl)(Cl)Cl)Cl)N,286.0,,
C1(=NSN=C1C(=O)O)C(C(C(=O)O)O)O,1236.0,,
C1=C(C=NC(=C1Cl)NCCNC(=O)CCl)C(F)(F)F,612.0,,
C1=C(OC(=C1)[N+](=O)[O-])/C=C/C=C\2/C(=O)NC(=N)S2,592.0,,
C1=C(OC(=C1)[N+](=O)[O-])/C=C/C=C\2/C(=O)NC(=S)N2,2195.0,,
C1=C(OC(=C1)[N+](=O)[O-])C=CC=C2C(=O)N=C(S2)N,1465.0,,
C1=C2C(=CC(=O)OC2=CC(=C1Cl)O)C(F)(F)F,2125.0,,
C1=C2C(=NC(=C1Cl)Br)NC(=O)N2,1184.0,,
C1=C2C(=NSN2)C3=NC(=NC3=C1)SCC(=O)O,1437.0,,
C1=CC(=C(C(=C1)Cl)C(=O)O)F,2847.0,,
C1=CC(=C(C(=C1)Cl)CN2C(=O)C(=CN(C2=O)C3=CC=C(C=C3)Cl)C#N)Cl,1250.0,,
C1=CC(=C(C(=C1)Cl)Cl)C(=O)NCC2=CC=CO2,1341.0,,
C1=CC(=C(C(=C1)F)CSC2=NNC(=O)NC2=O)[N+](=O)[O-],695.0,,
C1=CC(=C(C=C1C(F)(F)F)NC2=C(C=C(C(=C2[N+](=O)[O-])Cl)C(F)(F)F)[N+](=O)[O-])Cl,301.2,,
C1=CC(=C(C=C1C2=C3C=CC(=CC3=NC=C2)Cl)CNCCCN4C=CN=C4)O,403.0,,
C1=CC(=C(C=C1CN=C(N)NC(=O)C2=C(N=C(C(=N2)Cl)N)N)Cl)Cl,283.2,,
C1=CC(=C(C=C1CNCCCN2C=CN=C2)Cl)Cl,269.1,,
C1=CC(=C(C=C1Cl)Cl)OCCCC(=O)NCCCN2C=CN=C2,1250.0,,
C1=CC(=C(C=C1Cl)Cl)OCCNC(=O)CCl,511.0,,
C1=CC(=C(C=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl)Cl,460.0,,
C1=CC(=C(C=C1NC(=O)NC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)Cl)Cl,927.0,,
C1=CC(=C(C=C1NC2=NC3=C(C=C(C=C3)[N+](=O)[O-])N=C2NC4=CC(=C(C=C4)Cl)Cl)Cl)Cl,7040.0,,
C1=CC(=C(C=C1NC2=NC3=NON=C3N=C2NC4=CC(=C(C=C4)Cl)Cl)Cl)Cl,9280.0,,
C1=CC(=C(C=C1NC2C(C(C(C(O2)CO)OC3C(C(C(C(O3)CO)O)O)O)O)O)[N+](=O)[O-])Cl,1250.0,,
C1=CC(=C(C=C1O)O)C=NNC(=O)C2=CC=NC=C2,1883.0,,
C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)OC2=CC(=CN=C2)Cl,1250.0,,
C1=CC(=C(C=C1[N+](=O)[O-])C=NNC(=S)N)O,52.0,,
C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Br)O,798.0,,
C1=CC(=C(C=C1[N+](=O)[O-])Cl)NCCN(CCO)C2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],529.0,,
C1=CC(=CC(=C1)Br)C(=O)NCCCCNC2=C3C=CC(=CC3=NC=C2)Cl,453.0,,
C1=CC(=CC(=C1)C#N)/C=C/C(=O)O,752.0,,
C1=CC(=CC(=C1)C#N)C=CC(=O)O,1218.0,,
C1=CC(=CC(=C1)C(F)(F)F)C(=O)NCCCCNC2=C3C=CC(=CC3=NC=C2)Cl,13.83,,
C1=CC(=CC(=C1)C(F)(F)F)C2=CC(=NC(=N2)C3=CC=NC=C3)NCCCN4C=CN=C4,185.6,,
C1=CC(=CC(=C1)C(F)(F)F)C2=CN(C(=O)C(=C2)C#N)CC3=C(C=CC=C3Cl)Cl,5080.0,,
C1=CC(=CC(=C1)C2=NC3=C(S2)C=C(C=C3)N)C4=NC5=C(S4)C=C(C=C5)N,995.0,,
C1=CC(=CC(=C1)Cl)NC(=O)NC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F,9990.0,,
C1=CC(=CC(=C1)Cl)NC2=NC=CC(=N2)C3=CC(=NC=C3)NCCCO,186.4,,
C1=CC(=CC(=C1)Cl)NC2=NNC(=N2)N,958.0,,
C1=CC(=CC(=C1)Cl)OC2=CC(=CC(=C2)OC3=CC=C(C=C3)C(=O)NC4=NC=C(C=C4)Br)[N+](=O)[O-],1183.0,,
C1=CC(=CC(=C1)Cl)OCC(=O)NC2=NC=CS2,9290.0,,
C1=CC(=CC(=C1)N)C(=O)NC2=CC=C(C=C2)OC3=CC(=CC=C3)OC4=CC=C(C=C4)NC(=O)C5=CC(=CC=C5)N,2550.0,,
C1=CC(=CC(=C1)N2C(=O)C3=C(C2=O)C=C(C=C3)OC4=CC=CC(=C4)N)C(=O)O,277.1,,
C1=CC(=CC(=C1)NC(=O)C2=CC=C(C=C2)C3=CC=CS3)C(F)(F)F,1935.0,,
C1=CC(=CC(=C1)NC(=O)C2=CC=C(C=C2)N3C(=O)C4=C(C3=O)C=C(C=C4)C(=O)NC5=CC=CC(=C5)C(=O)O)C(=O)O,1136.0,,
C1=CC(=CC(=C1)NC(=O)COC2=CC=C(C=C2)Cl)C3=NC4=C(O3)C=CC=N4,310.8,,
C1=CC(=CC(=C1)NC(=O)NC2=CC(=CC(=C2)Cl)Cl)C(F)(F)F,12500.0,,
C1=CC(=CC(=C1)NC(=O)NC2=CC=NC=C2)NC(=O)NC3=CC=NC=C3,2226.0,,
C1=CC(=CC(=C1)NC2=NC3=NON=C3N=C2NC4=CC=C(C=C4)Br)C(F)(F)F,5200.0,,
C1=CC(=CC(=C1)NC2=NC3=NON=C3N=C2NC4=CC=C(C=C4)Cl)C(F)(F)F,1614.0,,
C1=CC(=CC(=C1)O)C2=CN=CC(=N2)C3=CN=CC=C3,1287.0,,
C1=CC(=CC(=C1)O)CNC2=CN=CC(=C2)C3=CC=C(C=C3)O,1248.0,,
