comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8
717,%,Activity,,"Entry 0: BAO_0001103, Entry 1: BAO_0001103, ",Activity,"Entry 0: 1468253, Entry 1: 1468254, ","Entry 0: Agonist activity at pSG5-tagged human androgen receptor T877A mutant expressed in COS1 cells assessed as receptor-mediated transcriptional activity by AR-regulated rat probasin promoter fragment driven firefly luciferase reporter assay relative to control, Entry 1: Agonist activity at pSG5-tagged human androgen receptor W741L mutant expressed in COS1 cells assessed as receptor-mediated transcriptional activity by AR-regulated rat probasin promoter fragment driven firefly luciferase reporter assay relative to control, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL3411796, Entry 1: CHEMBL3411896, ","Entry 0: 10.1021/jm501995n, Entry 1: 10.1021/jm501995n, ","Entry 0: 25646649, Entry 1: 25646649, ","Entry 0: CHEMBL3407333, Entry 1: CHEMBL3407333, ","Entry 0: Synthesis and biological evaluation of second-generation tropanol-based androgen receptor modulators., Entry 1: Synthesis and biological evaluation of second-generation tropanol-based androgen receptor modulators., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: To circumvent antiandrogen resistance in prostate cancer, antiandrogens effective for both the androgen receptor (AR) and AR mutants are required. The AR antagonists in this study originate from previous findings, which showed that subtle differences in substitution pattern lead to a conformational change that alters the ligand activity, rendering an agonist to an antagonist. We have identified small yet potent tropanol-based ligands possessing significant antiandrogenic activity with both wild-type AR and the two most common AR ligand binding domain (LBD) mutants., Entry 1: To circumvent antiandrogen resistance in prostate cancer, antiandrogens effective for both the androgen receptor (AR) and AR mutants are required. The AR antagonists in this study originate from previous findings, which showed that subtle differences in substitution pattern lead to a conformational change that alters the ligand activity, rendering an agonist to an antagonist. We have identified small yet potent tropanol-based ligands possessing significant antiandrogenic activity with both wild-type AR and the two most common AR ligand binding domain (LBD) mutants., ",,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,C18H14F4N2O4S,CHEMBL409,3.4,100.0,,,,,,,
6787,%,Activity,,"Entry 0: BAO_0001103, Entry 1: BAO_0001103, Entry 2: BAO_0001103, Entry 3: BAO_0001103, ",Activity,"Entry 0: 435878, Entry 1: 435879, Entry 2: 513496, Entry 3: 854885, ","Entry 0: Binding affinity to human androgen receptor expressed in HEK293 cells at 0.1 uM relative to R1881, Entry 1: Binding affinity to human androgen receptor expressed in HEK293 cells at 1 uM relative to R1881, Entry 2: Displacement of [3H]DHT from GST-tagged human AR-LBD transfected in Escherichia coli HB-101 at 10 uM, Entry 3: Antagonist activity at wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 assessed as testosterone induced luciferase activity at 10 uM after 18 hrs relative untreated control, ","Entry 0: B, Entry 1: B, Entry 2: B, Entry 3: F, ",,"Entry 0: CHEMBL905279, Entry 1: CHEMBL905280, Entry 2: CHEMBL975402, Entry 3: CHEMBL2162622, ","Entry 0: 10.1016/j.bmc.2007.02.007, Entry 1: 10.1016/j.bmc.2007.02.007, Entry 2: 10.1016/j.bmc.2008.07.055, Entry 3: 10.1021/jm300233k, ","Entry 0: 17336533, Entry 1: 17336533, Entry 2: 18707892, Entry 3: 22746350, ","Entry 0: CHEMBL1143023, Entry 1: CHEMBL1143023, Entry 2: CHEMBL1140043, Entry 3: CHEMBL2157978, ","Entry 0: Chemical synthesis and biological activities of 16alpha-derivatives of 5alpha-androstane-3alpha,17beta-diol as antiandrogens., Entry 1: Chemical synthesis and biological activities of 16alpha-derivatives of 5alpha-androstane-3alpha,17beta-diol as antiandrogens., Entry 2: Design and synthesis of carborane-containing androgen receptor (AR) antagonist bearing a pyridine ring., Entry 3: Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, Entry 2: PUBLICATION, Entry 3: PUBLICATION, ","Entry 0: In our efforts to develop compounds with therapeutic potential as antiandrogens, we synthesized a series of 5alpha-androstane-3alpha,17beta-diol derivatives with a fixed side-chain length of 3-methylenes at C-16alpha, but bearing a diversity of functional groups at the end. Among these, the chloride induced the best antiproliferative activity on androgen-sensitive Shionogi cells. Substituting the OH at C-3 by a methoxy group showed the importance of the OH. Moreover, its transformation into a ketone increased the androgen receptor (AR) binding but decreased the antiproliferative activity and induced a proliferative effect on Shionogi cells. These results confirm the importance of keeping a 5alpha-androstane-3alpha,17beta-diol nucleus instead of a dihydrotestosterone nucleus. Variable side-chain lengths of 2-, 3-, 4-, and 6-methylenes at C-16alpha were investigated and the optimal length was found to be 3-methylenes. Although exhibiting a weak AR binding affinity, 16alpha-(3'-chloropropyl)-5alpha-androstane-3alpha,17beta-diol (15) provided an antiproliferative activity on Shionogi cells similar to that of pure non-steroidal antiandrogen hydroxy-flutamide (77% and 67%, respectively, at 0.1 microM). The new steroidal compound, 15, thus constitutes a good starting point for development of future antiandrogens with a therapeutic potential against prostate cancer., Entry 1: In our efforts to develop compounds with therapeutic potential as antiandrogens, we synthesized a series of 5alpha-androstane-3alpha,17beta-diol derivatives with a fixed side-chain length of 3-methylenes at C-16alpha, but bearing a diversity of functional groups at the end. Among these, the chloride induced the best antiproliferative activity on androgen-sensitive Shionogi cells. Substituting the OH at C-3 by a methoxy group showed the importance of the OH. Moreover, its transformation into a ketone increased the androgen receptor (AR) binding but decreased the antiproliferative activity and induced a proliferative effect on Shionogi cells. These results confirm the importance of keeping a 5alpha-androstane-3alpha,17beta-diol nucleus instead of a dihydrotestosterone nucleus. Variable side-chain lengths of 2-, 3-, 4-, and 6-methylenes at C-16alpha were investigated and the optimal length was found to be 3-methylenes. Although exhibiting a weak AR binding affinity, 16alpha-(3'-chloropropyl)-5alpha-androstane-3alpha,17beta-diol (15) provided an antiproliferative activity on Shionogi cells similar to that of pure non-steroidal antiandrogen hydroxy-flutamide (77% and 67%, respectively, at 0.1 microM). The new steroidal compound, 15, thus constitutes a good starting point for development of future antiandrogens with a therapeutic potential against prostate cancer., Entry 2: We previously developed carborane-containing potent AR antagonists, BA321 and BA341, on the basis of our hypothesis that the carborane cage would be an excellent hydrophobic pharmacophore in place of steroidal C and D rings. As an extension of that work, we designed and synthesized carborane-containing AR antagonist candidates with a pyridine ring. Compound 6b, which has a pyridine ring directly bound to the p-carborane cage at the 3-position, exhibited potent AR-antagonistic activity in transcriptional activation assay using NIH3T3 cells transfected with a hAR-expression plasmid. In addition, it showed more potent antiandrogenic activity than that of the well-known antiandrogen flutamide and comparable activity to that of (R)-bicalutamide in SC-3 cell proliferation assay., Entry 3: We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients., ",,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,C11H11F3N2O4,CHEMBL491,5.0,13.0,33.0,50.3,,,,,
8266,%,Activity,,BAO_0001103,Activity,83999,Inhibition of androgen receptor in reporter gene (chloramphenicol acetyltransferase) assay in HeLa cells,F,,CHEMBL690971,10.1016/S0960-894X(97)00249-7,,CHEMBL1130449,Potent novel nonsteroidal androgen antagonists with a phthalimide skeleton,PUBLICATION,,,C[C@H](c1ccccc1)N1C(=O)c2c(F)c(F)c(F)c(F)c2C1=O,C16H9F4NO2,CHEMBL276428,8.0,,,,,,,,
8295,%,Activity,,BAO_0001103,Activity,83999,Inhibition of androgen receptor in reporter gene (chloramphenicol acetyltransferase) assay in HeLa cells,F,,CHEMBL690971,10.1016/S0960-894X(97)00249-7,,CHEMBL1130449,Potent novel nonsteroidal androgen antagonists with a phthalimide skeleton,PUBLICATION,,,C[C@@H](c1ccccc1)N1C(=O)c2c(F)c(F)c(F)c(F)c2C1=O,C16H9F4NO2,CHEMBL10778,5.0,,,,,,,,
22718,%,Activity,,BAO_0001103,Activity,1456335,Binding affinity to androgen receptor (unknown origin) by radiometric competitive assay,B,,CHEMBL3368103,10.1021/jm500101h,24936953,CHEMBL3351716,Targeting the androgen receptor with steroid conjugates.,PUBLICATION,"The androgen receptor (AR) is a major therapeutic target in prostate cancer pharmacology. Progression of prostate cancer has been linked to elevated expression of AR in malignant tissue, suggesting that AR plays a central role in prostate cancer cell biology. Potent therapeutic agents can be precisely crafted to specifically target AR, potentially averting systemic toxicities associated with nonspecific chemotherapies. In this review, we describe various strategies to generate steroid conjugates that can selectively engage AR with high potency. Analogies to recent developments in nonsteroidal conjugates targeting AR are also evaluated. Particular focus is placed on potential applications in AR pharmacology. The review culminates with a description of future prospects for targeting AR.",,ClCCN(CCCl)c1ccccc1,C10H13Cl2N,CHEMBL19336,20.0,,,,,,,,
34933,mix,Activity,,"Entry 0: BAO_0001103, Entry 1: BAO_0001103, Entry 2: BAO_0001103, Entry 3: BAO_0001103, Entry 4: BAO_0001103, Entry 5: BAO_0001103, Entry 6: BAO_0000181, Entry 7: BAO_0000181, Entry 8: BAO_0001103, ",Activity,"Entry 0: 366776, Entry 1: 366777, Entry 2: 435878, Entry 3: 435879, Entry 4: 529468, Entry 5: 580849, Entry 6: 873009, Entry 7: 874154, Entry 8: 2214681, ","Entry 0: Antiandrogenic activity against human PC3 cell line transfected with wild-type AR by AR transactivation assay, Entry 1: Antiandrogenic activity against human LNCaP cell line by AR transactivation assay, Entry 2: Binding affinity to human androgen receptor expressed in HEK293 cells at 0.1 uM relative to R1881, Entry 3: Binding affinity to human androgen receptor expressed in HEK293 cells at 1 uM relative to R1881, Entry 4: Displacement of [3H]R1881 from human androgen receptor expressed in HEK293 cells relative to control, Entry 5: Agonist activity at human recombinant androgen receptor expressed in monkey CV1 cells assessed as induction of between Gal4DBD-rHARCTD fusion protein and VP16-rhARNTD at 300 nM by virilization assay, Entry 6: Partial agonist activity at human androgen receptor expressed in HeLa cells co-expressing ARE by luciferase reporter gene based transactivation assay, Entry 7: Transactivation of human androgen receptor transfected in human HeLa cells by luciferase reporter gene assay, Entry 8: Agonist activity at human Androgen receptor at 4.3 nM relative to control, ","Entry 0: F, Entry 1: F, Entry 2: B, Entry 3: B, Entry 4: B, Entry 5: F, Entry 6: F, Entry 7: B, Entry 8: B, ",,"Entry 0: CHEMBL867858, Entry 1: CHEMBL867859, Entry 2: CHEMBL905279, Entry 3: CHEMBL905280, Entry 4: CHEMBL977791, Entry 5: CHEMBL1064181, Entry 6: CHEMBL2188721, Entry 7: CHEMBL2187509, Entry 8: CHEMBL5127813, ","Entry 0: 10.1021/jm051043z, Entry 1: 10.1021/jm051043z, Entry 2: 10.1016/j.bmc.2007.02.007, Entry 3: 10.1016/j.bmc.2007.02.007, Entry 4: 10.1074/jbc.m705524200, Entry 5: 10.1021/jm900880r, Entry 6: 10.1021/jm300281x, Entry 7: 10.1021/jm300249m, Entry 8: 10.1016/j.ejmech.2022.114119, ","Entry 0: 16789753, Entry 1: 16789753, Entry 2: 17336533, Entry 3: 17336533, Entry 4: 17711855, Entry 5: 19606870, Entry 6: 22957947, Entry 7: 22897611, Entry 8: 35063736, ","Entry 0: CHEMBL1138035, Entry 1: CHEMBL1138035, Entry 2: CHEMBL1143023, Entry 3: CHEMBL1143023, Entry 4: CHEMBL1156504, Entry 5: CHEMBL1153470, Entry 6: CHEMBL2176936, Entry 7: CHEMBL2176865, Entry 8: CHEMBL5126525, ","Entry 0: Antitumor agents. 250. Design and synthesis of new curcumin analogues as potential anti-prostate cancer agents., Entry 1: Antitumor agents. 250. Design and synthesis of new curcumin analogues as potential anti-prostate cancer agents., Entry 2: Chemical synthesis and biological activities of 16alpha-derivatives of 5alpha-androstane-3alpha,17beta-diol as antiandrogens., Entry 3: Chemical synthesis and biological activities of 16alpha-derivatives of 5alpha-androstane-3alpha,17beta-diol as antiandrogens., Entry 4: Structural characterization of the human androgen receptor ligand-binding domain complexed with EM5744, a rationally designed steroidal ligand bearing a bulky chain directed toward helix 12., Entry 5: Design, synthesis, and biological evaluation of 16-substituted 4-azasteroids as tissue-selective androgen receptor modulators (SARMs)., Entry 6: Identification of a 4-(hydroxymethyl)diarylhydantoin as a selective androgen receptor modulator., Entry 7: Discovery of diarylhydantoins as new selective androgen receptor modulators., Entry 8: Overview of the development of selective androgen receptor modulators (SARMs) as pharmacological treatment for osteoporosis (1998-2021)., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, Entry 2: PUBLICATION, Entry 3: PUBLICATION, Entry 4: PUBLICATION, Entry 5: PUBLICATION, Entry 6: PUBLICATION, Entry 7: PUBLICATION, Entry 8: PUBLICATION, ","Entry 0: In a continuing study of curcumin analogues as potential drug candidates to treat prostate cancer at both androgen-dependent and androgen-refractory stages, we designed and synthesized over 40 new analogues classified into four series: monophenyl analogues (series A), heterocycle-containing analogues (series B), analogues bearing various substituents on the phenyl rings (series C), and analogues with various linkers (series D). These new compounds were tested for cytotoxicity against two human prostate cancer cell lines, androgen-dependent LNCaP and androgen-independent PC-3. Antiandrogenic activity was also evaluated in LNCaP cells and PC-3 cells transfected with wild-type androgen receptor. Ten compounds possessed potent cytotoxicity against both LNCaP and PC-3 cells, seven only against LNCaP, and one solely against PC-3. This study established an advanced structure-activity relationship (SAR), and these correlations will guide the further design of new curcumin analogues with better anti-prostate cancer activity., Entry 1: In a continuing study of curcumin analogues as potential drug candidates to treat prostate cancer at both androgen-dependent and androgen-refractory stages, we designed and synthesized over 40 new analogues classified into four series: monophenyl analogues (series A), heterocycle-containing analogues (series B), analogues bearing various substituents on the phenyl rings (series C), and analogues with various linkers (series D). These new compounds were tested for cytotoxicity against two human prostate cancer cell lines, androgen-dependent LNCaP and androgen-independent PC-3. Antiandrogenic activity was also evaluated in LNCaP cells and PC-3 cells transfected with wild-type androgen receptor. Ten compounds possessed potent cytotoxicity against both LNCaP and PC-3 cells, seven only against LNCaP, and one solely against PC-3. This study established an advanced structure-activity relationship (SAR), and these correlations will guide the further design of new curcumin analogues with better anti-prostate cancer activity., Entry 2: In our efforts to develop compounds with therapeutic potential as antiandrogens, we synthesized a series of 5alpha-androstane-3alpha,17beta-diol derivatives with a fixed side-chain length of 3-methylenes at C-16alpha, but bearing a diversity of functional groups at the end. Among these, the chloride induced the best antiproliferative activity on androgen-sensitive Shionogi cells. Substituting the OH at C-3 by a methoxy group showed the importance of the OH. Moreover, its transformation into a ketone increased the androgen receptor (AR) binding but decreased the antiproliferative activity and induced a proliferative effect on Shionogi cells. These results confirm the importance of keeping a 5alpha-androstane-3alpha,17beta-diol nucleus instead of a dihydrotestosterone nucleus. Variable side-chain lengths of 2-, 3-, 4-, and 6-methylenes at C-16alpha were investigated and the optimal length was found to be 3-methylenes. Although exhibiting a weak AR binding affinity, 16alpha-(3'-chloropropyl)-5alpha-androstane-3alpha,17beta-diol (15) provided an antiproliferative activity on Shionogi cells similar to that of pure non-steroidal antiandrogen hydroxy-flutamide (77% and 67%, respectively, at 0.1 microM). The new steroidal compound, 15, thus constitutes a good starting point for development of future antiandrogens with a therapeutic potential against prostate cancer., Entry 3: In our efforts to develop compounds with therapeutic potential as antiandrogens, we synthesized a series of 5alpha-androstane-3alpha,17beta-diol derivatives with a fixed side-chain length of 3-methylenes at C-16alpha, but bearing a diversity of functional groups at the end. Among these, the chloride induced the best antiproliferative activity on androgen-sensitive Shionogi cells. Substituting the OH at C-3 by a methoxy group showed the importance of the OH. Moreover, its transformation into a ketone increased the androgen receptor (AR) binding but decreased the antiproliferative activity and induced a proliferative effect on Shionogi cells. These results confirm the importance of keeping a 5alpha-androstane-3alpha,17beta-diol nucleus instead of a dihydrotestosterone nucleus. Variable side-chain lengths of 2-, 3-, 4-, and 6-methylenes at C-16alpha were investigated and the optimal length was found to be 3-methylenes. Although exhibiting a weak AR binding affinity, 16alpha-(3'-chloropropyl)-5alpha-androstane-3alpha,17beta-diol (15) provided an antiproliferative activity on Shionogi cells similar to that of pure non-steroidal antiandrogen hydroxy-flutamide (77% and 67%, respectively, at 0.1 microM). The new steroidal compound, 15, thus constitutes a good starting point for development of future antiandrogens with a therapeutic potential against prostate cancer., Entry 4: Antiandrogens are commonly used to treat androgen-dependent disorders. The currently used drugs unfortunately possess very weak affinity for the human AR (hAR), thus indicating the need to develop new high-affinity steroidal antiandrogens. Our compounds are specially designed to impede repositioning of the mobile carboxyl-terminal helix 12, which blocks the ligand-dependent transactivation function (AF-2) located in the AR ligand-binding domain (ARLBD). Using crystal structures of the hARLBD, we first found that H12 could be directly reached from the ligand-binding pocket (LBP) by a chain positioned on the C18 atom of an androgen steroid nucleus. A set of 5alpha-dihydrotestosterone-derived molecules bearing various C18 chains were thus synthesized and tested for their capacity to bind hAR and act as antagonists. Although most of those having very high affinity for hAR were agonists, several very potent antagonists were obtained, confirming the structural importance of the C18 chain. To understand the role of the C18 chain in their agonistic/antagonistic properties, the structure of the hARLBD complexed with one of these agonists, EM5744, was determined at a 1.65-A resolution. We have identified new interactions involving Gln(738), Met(742), and His(874) that explain both the high affinity of this compound and the inability of its bulky chain to prevent the repositioning of H12. This structural information will be helpful to refine the structure of the chains placed on the C18 atom to obtain efficient H12-directed steroidal antiandrogens., Entry 5: A novel series of 16-substituted-4-azasteroids has been identified as potential tissue-selective androgen receptor modulators. These ligands display potent hAR binding and agonist activity, low virilizing potential, and good pharmacokinetic profiles in dogs. On the basis of its in vitro profile, 21 was evaluated in the OVX and ORX rat models and exhibited an osteoanabolic, tissue-selective profile., Entry 6: Structural modification performed on a 4-methyl-4-(4-hydroxyphenyl)hydantoin series is described which resulted in the development of a new series of 4-(hydroxymethyl)diarylhydantoin analogues as potent, partial agonists of the human androgen receptor. This led to the identification of (S)-(-)-4-(4-(hydroxymethyl)-3-methyl-2,5-dioxo-4-phenylimidazolidin-1-yl)-2-(trifluoromethyl)benzonitrile ((S)-(-)-18a, GLPG0492) evaluated in vivo in a classical model of orchidectomized rat. In this model, (-)-18a exhibited anabolic activity on muscle, strongly dissociated from the androgenic activity on prostate after oral dosing. (-)-18a has very good pharmacokinetic properties, including bioavailability in rat (F > 50%), and is currently under evaluation in phase I clinical trials., Entry 7: A novel selective androgen receptor modulator scaffold has been discovered through structural modifications of hydantoin antiandrogens. Several 4-(4-hydroxyphenyl)-N-arylhydantoins displayed partial agonism with nanomolar in vitro potency in transactivation experiments using androgen receptor (AR) transfected cells. In a standard castrated male rat model, several compounds showed good anabolic activity on levator ani muscle, dissociated from the androgenic activity on ventral prostate, after oral dosing at 30 mg/kg. (+)-4-[3,4-Dimethyl-2,5-dioxo-4-(4-hydroxyphenyl)imidazolidin-1-yl]-2-(trifluoromethyl)benzonitrile ((+)-11b) displayed anabolic potency with a strong dissociation between levator ani muscle and ventral prostate (A(50) = 0.5 mg/kg vs 70 mg/kg). The binding modes of two compounds, including (+)-11b, within the AR ligand-binding domain have been studied by cocrystallization experiments using a coactivator-like peptide. Both compounds bound to the same site, and the overall structures of the AR were very similar., Entry 8: Osteoporosis is a common disease in which the risk of fracture increases due to decreased bone mass and qualitative skeletal changes. Selective androgen receptor modulators (SARMs) are agonists with tissue selectivity, which act as partial or weak androgen receptor (AR) agonists in androgenic tissues, but mainly as complete AR agonists in synthetic metabolic tissues. In the recent 20 years, many scaffolds of SARMs have been reported, among which several molecules are promising and are undergoing clinical trial evaluation. However, it is still a challenge to discover SARMs with high activity and reduced side effects. In this review, not only are structure of SARMs reported in the literatures systematically collected and classified but also the structure-activity relationships (SAR) are systematically summarized. Furthermore, the advances in SARMs as potential treatment for osteoporosis are also updated., ",,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,C19H30O2,CHEMBL27769,8.0,8.0,73.0,94.0,95.0,100.0,100.0,100.0,180.0
50918,%,Activity,,BAO_0001103,Activity,83999,Inhibition of androgen receptor in reporter gene (chloramphenicol acetyltransferase) assay in HeLa cells,F,,CHEMBL690971,10.1016/S0960-894X(97)00249-7,,CHEMBL1130449,Potent novel nonsteroidal androgen antagonists with a phthalimide skeleton,PUBLICATION,,,O=C1c2c(F)c(F)c(F)c(F)c2C(=O)N1Cc1c(Cl)cccc1Cl,C15H5Cl2F4NO2,CHEMBL38320,64.0,,,,,,,,
50921,%,Activity,,BAO_0001103,Activity,83999,Inhibition of androgen receptor in reporter gene (chloramphenicol acetyltransferase) assay in HeLa cells,F,,CHEMBL690971,10.1016/S0960-894X(97)00249-7,,CHEMBL1130449,Potent novel nonsteroidal androgen antagonists with a phthalimide skeleton,PUBLICATION,,,O=C1c2c(F)c(F)c(F)c(F)c2C(=O)N1CC1Cc2ccccc2C1,C18H11F4NO2,CHEMBL288264,62.0,,,,,,,,
51425,%,Activity,,BAO_0001103,Activity,83999,Inhibition of androgen receptor in reporter gene (chloramphenicol acetyltransferase) assay in HeLa cells,F,,CHEMBL690971,10.1016/S0960-894X(97)00249-7,,CHEMBL1130449,Potent novel nonsteroidal androgen antagonists with a phthalimide skeleton,PUBLICATION,,,C[C@H](C1CCCCC1)N1C(=O)c2c(F)c(F)c(F)c(F)c2C1=O,C16H15F4NO2,CHEMBL290804,15.0,,,,,,,,
51427,%,Activity,,BAO_0001103,Activity,83999,Inhibition of androgen receptor in reporter gene (chloramphenicol acetyltransferase) assay in HeLa cells,F,,CHEMBL690971,10.1016/S0960-894X(97)00249-7,,CHEMBL1130449,Potent novel nonsteroidal androgen antagonists with a phthalimide skeleton,PUBLICATION,,,C[C@H](c1cccc2ccccc12)N1C(=O)c2c(F)c(F)c(F)c(F)c2C1=O,C20H11F4NO2,CHEMBL37162,0.0,,,,,,,,
