comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0
1564,uM,EC150,,BAO_0000179,EC150,580459,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,F,,CHEMBL1052486,10.1016/j.bmcl.2009.06.073,19592245,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,PUBLICATION,"The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.",,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,C15H10O5,CHEMBL28,5.2
2658,uM,EC150,,BAO_0000179,EC150,580459,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,F,,CHEMBL1052486,10.1016/j.bmcl.2009.06.073,19592245,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,PUBLICATION,"The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.",,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,C15H10O5,CHEMBL44,4.4
3281,uM,EC150,,BAO_0000179,EC150,580459,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,F,,CHEMBL1052486,10.1016/j.bmcl.2009.06.073,19592245,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,PUBLICATION,"The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.",,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,C15H10O4,CHEMBL8145,10.1
3665,uM,EC150,,BAO_0000179,EC150,580459,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,F,,CHEMBL1052486,10.1016/j.bmcl.2009.06.073,19592245,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,PUBLICATION,"The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.",,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,C15H10O5,CHEMBL8260,18.9
6284,uM,EC150,,BAO_0000179,EC150,580459,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,F,,CHEMBL1052486,10.1016/j.bmcl.2009.06.073,19592245,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,PUBLICATION,"The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.",,O=C1CC(c2ccccc2)Oc2ccccc21,C15H12O2,CHEMBL274318,380.0
17853,uM,EC150,,BAO_0000179,EC150,580459,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,F,,CHEMBL1052486,10.1016/j.bmcl.2009.06.073,19592245,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,PUBLICATION,"The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.",,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,C15H10O4,CHEMBL117,1.5
17908,uM,EC150,,BAO_0000179,EC150,580459,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,F,,CHEMBL1052486,10.1016/j.bmcl.2009.06.073,19592245,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,PUBLICATION,"The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.",,COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,C16H12O3,CHEMBL16782,21.9
17928,uM,EC150,,BAO_0000179,EC150,580459,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,F,,CHEMBL1052486,10.1016/j.bmcl.2009.06.073,19592245,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,PUBLICATION,"The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.",,COc1cccc2oc(-c3ccccc3)cc(=O)c12,C16H12O3,CHEMBL16685,5.5
17982,uM,EC150,,BAO_0000179,EC150,580459,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,F,,CHEMBL1052486,10.1016/j.bmcl.2009.06.073,19592245,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,PUBLICATION,"The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.",,O=c1cc(-c2ccccc2)oc2cc(O)ccc12,C15H10O3,CHEMBL276915,3.1
18033,uM,EC150,,BAO_0000179,EC150,580459,Agonist activity at androgen receptor in human MDA-kb2 cells assessed as stimulation of luciferase activity by luciferase reporter gene assay,F,,CHEMBL1052486,10.1016/j.bmcl.2009.06.073,19592245,CHEMBL1153076,Effect of flavonoids on androgen and glucocorticoid receptors based on in vitro reporter gene assay.,PUBLICATION,"The effect of 32 flavonoids on androgen (AR) and glucocorticoid receptors (GR) was investigated using an MDA-kb2 human breast cancer cell line to predict potential AR and GR activities. Among them, 5-hydroxyflavone (7) had the highest AR antagonistic activity with an IC(50) value of 0.3 microM, whereas 6-methoxyflavone (11) had the highest induced luciferase activity with an EC(150) value of 0.7 microM. Genistein (2) and daizein (1) showed a sufficient increase of luciferase activities as their concentrations increased with EC(150) values of 4.4 and 10.1 microM, respectively. These findings provide evidence of a fundamental property of their structure-activity relationship with AR and/or GR.",,O=c1cc(-c2ccccc2)oc2cccc(O)c12,C15H10O3,CHEMBL16807,6.0
