comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2
717,nM,EC5,,"Entry 0: BAO_0000179, Entry 1: BAO_0000179, Entry 2: BAO_0000179, ",EC5,"Entry 0: 629230, Entry 1: 629231, Entry 2: 687027, ","Entry 0: Activity at human AR expressed in human HeLa cells after 48 hrs by transient-luciferase reporter gene assay, Entry 1: Activity at human AR expressed in human HeLa cells after 48 hrs by stable-luciferase reporter gene assay, Entry 2: Agonist activity at human AR expressed in human HeLa cells co-transfected with MMTV-Luc-Hyg after 48 hrs by transient-luciferase reporter gene assay, ","Entry 0: B, Entry 1: B, Entry 2: F, ",,"Entry 0: CHEMBL1121344, Entry 1: CHEMBL1121345, Entry 2: CHEMBL1291498, ","Entry 0: 10.1016/j.bmc.2010.03.036, Entry 1: 10.1016/j.bmc.2010.03.036, Entry 2: 10.1016/j.bmc.2010.10.023, ","Entry 0: 20381361, Entry 1: 20381361, Entry 2: 21050768, ","Entry 0: CHEMBL1158555, Entry 1: CHEMBL1158555, Entry 2: CHEMBL1287756, ","Entry 0: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., Entry 1: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., Entry 2: Design and synthesis of an androgen receptor pure antagonist (CH5137291) for the treatment of castration-resistant prostate cancer., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, Entry 2: PUBLICATION, ","Entry 0: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., Entry 1: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., Entry 2: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of castration-resistant prostate cancer. Since CH4933468, which we reported previously, had a problem with agonist metabolites, novel thiohydantoin derivatives were identified by applying two strategies. One was the replacement of the alkylsulfonamide moiety by a phenylsulfonamide to avoid the production of agonist metabolites. The other was the replacement of the phenyl ring with a pyridine ring to improve in vivo potency and reduce hERG affinity. Pharmacological assays indicated that CH5137291 (17b) was a potent AR pure antagonist which did not produce the agonist metabolite. Moreover, CH5137291 completely inhibited in vivo tumor growth of LNCaP-BC2, a castration-resistant prostate cancer model., ",,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,C18H14F4N2O4S,CHEMBL409,25.0,30.0,200.0
626622,nM,EC5,,"Entry 0: BAO_0000179, Entry 1: BAO_0000179, ",EC5,"Entry 0: 629231, Entry 1: 687027, ","Entry 0: Activity at human AR expressed in human HeLa cells after 48 hrs by stable-luciferase reporter gene assay, Entry 1: Agonist activity at human AR expressed in human HeLa cells co-transfected with MMTV-Luc-Hyg after 48 hrs by transient-luciferase reporter gene assay, ","Entry 0: B, Entry 1: F, ",,"Entry 0: CHEMBL1121345, Entry 1: CHEMBL1291498, ","Entry 0: 10.1016/j.bmc.2010.03.036, Entry 1: 10.1016/j.bmc.2010.10.023, ","Entry 0: 20381361, Entry 1: 21050768, ","Entry 0: CHEMBL1158555, Entry 1: CHEMBL1287756, ","Entry 0: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., Entry 1: Design and synthesis of an androgen receptor pure antagonist (CH5137291) for the treatment of castration-resistant prostate cancer., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., Entry 1: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of castration-resistant prostate cancer. Since CH4933468, which we reported previously, had a problem with agonist metabolites, novel thiohydantoin derivatives were identified by applying two strategies. One was the replacement of the alkylsulfonamide moiety by a phenylsulfonamide to avoid the production of agonist metabolites. The other was the replacement of the phenyl ring with a pyridine ring to improve in vivo potency and reduce hERG affinity. Pharmacological assays indicated that CH5137291 (17b) was a potent AR pure antagonist which did not produce the agonist metabolite. Moreover, CH5137291 completely inhibited in vivo tumor growth of LNCaP-BC2, a castration-resistant prostate cancer model., ",,CC1(C)C(=O)N(c2ccc(C#N)c(Cl)c2)C(=S)N1CCCS(N)(=O)=O,C15H17ClN4O3S2,CHEMBL1099086,10000.0,10000.0,
626623,nM,EC5,,BAO_0000179,EC5,629231,Activity at human AR expressed in human HeLa cells after 48 hrs by stable-luciferase reporter gene assay,B,,CHEMBL1121345,10.1016/j.bmc.2010.03.036,20381361,CHEMBL1158555,Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists.,PUBLICATION,"A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently.",,Cc1c(N2C(=O)C(C)(C)N(CCCS(N)(=O)=O)C2=S)ccc(C#N)c1C(F)(F)F,C17H19F3N4O3S2,CHEMBL1099087,2000.0,,
626624,nM,EC5,,BAO_0000179,EC5,629231,Activity at human AR expressed in human HeLa cells after 48 hrs by stable-luciferase reporter gene assay,B,,CHEMBL1121345,10.1016/j.bmc.2010.03.036,20381361,CHEMBL1158555,Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists.,PUBLICATION,"A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently.",,Cc1cc(C#N)c(C(F)(F)F)cc1N1C(=O)C(C)(C)N(CCCS(N)(=O)=O)C1=S,C17H19F3N4O3S2,CHEMBL1094117,10000.0,,
627578,nM,EC5,,"Entry 0: BAO_0000179, Entry 1: BAO_0000179, ",EC5,"Entry 0: 629230, Entry 1: 629231, ","Entry 0: Activity at human AR expressed in human HeLa cells after 48 hrs by transient-luciferase reporter gene assay, Entry 1: Activity at human AR expressed in human HeLa cells after 48 hrs by stable-luciferase reporter gene assay, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL1121344, Entry 1: CHEMBL1121345, ","Entry 0: 10.1016/j.bmc.2010.03.036, Entry 1: 10.1016/j.bmc.2010.03.036, ","Entry 0: 20381361, Entry 1: 20381361, ","Entry 0: CHEMBL1158555, Entry 1: CHEMBL1158555, ","Entry 0: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., Entry 1: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., Entry 1: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., ",,CN1C(=S)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)C1(C)C,C14H12F3N3OS,CHEMBL1099140,0.08,1.0,
627579,nM,EC5,,"Entry 0: BAO_0000179, Entry 1: BAO_0000179, ",EC5,"Entry 0: 629230, Entry 1: 629231, ","Entry 0: Activity at human AR expressed in human HeLa cells after 48 hrs by transient-luciferase reporter gene assay, Entry 1: Activity at human AR expressed in human HeLa cells after 48 hrs by stable-luciferase reporter gene assay, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL1121344, Entry 1: CHEMBL1121345, ","Entry 0: 10.1016/j.bmc.2010.03.036, Entry 1: 10.1016/j.bmc.2010.03.036, ","Entry 0: 20381361, Entry 1: 20381361, ","Entry 0: CHEMBL1158555, Entry 1: CHEMBL1158555, ","Entry 0: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., Entry 1: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., Entry 1: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., ",,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1CCCC(=O)O,C17H16F3N3O3S,CHEMBL1099141,10000.0,10000.0,
627580,nM,EC5,,"Entry 0: BAO_0000179, Entry 1: BAO_0000179, ",EC5,"Entry 0: 629230, Entry 1: 629231, ","Entry 0: Activity at human AR expressed in human HeLa cells after 48 hrs by transient-luciferase reporter gene assay, Entry 1: Activity at human AR expressed in human HeLa cells after 48 hrs by stable-luciferase reporter gene assay, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL1121344, Entry 1: CHEMBL1121345, ","Entry 0: 10.1016/j.bmc.2010.03.036, Entry 1: 10.1016/j.bmc.2010.03.036, ","Entry 0: 20381361, Entry 1: 20381361, ","Entry 0: CHEMBL1158555, Entry 1: CHEMBL1158555, ","Entry 0: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., Entry 1: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., Entry 1: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., ",,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1CCCC(N)=O,C17H17F3N4O2S,CHEMBL1099142,3600.0,10000.0,
627581,nM,EC5,,"Entry 0: BAO_0000179, Entry 1: BAO_0000179, ",EC5,"Entry 0: 629230, Entry 1: 629231, ","Entry 0: Activity at human AR expressed in human HeLa cells after 48 hrs by transient-luciferase reporter gene assay, Entry 1: Activity at human AR expressed in human HeLa cells after 48 hrs by stable-luciferase reporter gene assay, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL1121344, Entry 1: CHEMBL1121345, ","Entry 0: 10.1016/j.bmc.2010.03.036, Entry 1: 10.1016/j.bmc.2010.03.036, ","Entry 0: 20381361, Entry 1: 20381361, ","Entry 0: CHEMBL1158555, Entry 1: CHEMBL1158555, ","Entry 0: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., Entry 1: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., Entry 1: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., ",,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1CCCNC(N)=O,C17H18F3N5O2S,CHEMBL1095223,350.0,650.0,
627582,nM,EC5,,"Entry 0: BAO_0000179, Entry 1: BAO_0000179, ",EC5,"Entry 0: 629230, Entry 1: 629231, ","Entry 0: Activity at human AR expressed in human HeLa cells after 48 hrs by transient-luciferase reporter gene assay, Entry 1: Activity at human AR expressed in human HeLa cells after 48 hrs by stable-luciferase reporter gene assay, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL1121344, Entry 1: CHEMBL1121345, ","Entry 0: 10.1016/j.bmc.2010.03.036, Entry 1: 10.1016/j.bmc.2010.03.036, ","Entry 0: 20381361, Entry 1: 20381361, ","Entry 0: CHEMBL1158555, Entry 1: CHEMBL1158555, ","Entry 0: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., Entry 1: Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., Entry 1: A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently., ",,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1CCCNS(N)(=O)=O,C16H18F3N5O3S2,CHEMBL1095224,10000.0,10000.0,
627671,nM,EC5,,BAO_0000179,EC5,629230,Activity at human AR expressed in human HeLa cells after 48 hrs by transient-luciferase reporter gene assay,B,,CHEMBL1121344,10.1016/j.bmc.2010.03.036,20381361,CHEMBL1158555,Structure-activity relationships of bioisosteric replacement of the carboxylic acid in novel androgen receptor pure antagonists.,PUBLICATION,"A series of 5,5-dimethylthiohydantoin derivatives were synthesized and evaluated for androgen receptor pure antagonistic activities for the treatment of hormone refractory prostate cancer. CH4933468 (32d) with a sulfonamide side chain not only exhibited antagonistic activity with no agonistic activity in the reporter gene assay but also inhibited the growth of bicalutamide-resistant cell lines. This compound also inhibited tumor growth of the LNCaP xenograft in mice dose-dependently.",,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1CCCc1nnn[nH]1,C17H16F3N7OS,CHEMBL1099158,10000.0,,
