comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,act_16,act_17,act_18,act_19,act_20,act_21,act_22,act_23,act_24,act_25
173,nM,EC50,,BAO_0000188,EC50,941808,Agonist activity at androgen receptor (unknown origin) expressed in HeLa cells co-expressing PSA-(ARE)4-Luc13 assessed as induction of DHT-induced luciferase activity after 20 mins by luciferase reporter gene assay,B,,CHEMBL2329799,10.1021/jm3017656,23432095,CHEMBL2321830,Development of potent and selective indomethacin analogues for the inhibition of AKR1C3 (Type 5 17β-hydroxysteroid dehydrogenase/prostaglandin F synthase) in castrate-resistant prostate cancer.,PUBLICATION,"Castrate-resistant prostate cancer (CRPC) is a fatal, metastatic form of prostate cancer. CRPC is characterized by reactivation of the androgen axis due to changes in androgen receptor signaling and/or adaptive intratumoral androgen biosynthesis. AKR1C3 is upregulated in CRPC where it catalyzes the formation of potent androgens. This makes AKR1C3 a target for the treatment of CRPC. AKR1C3 inhibitors should not inhibit AKR1C1/AKR1C2, which inactivate 5α-dihydrotestosterone. Indomethacin, used to inhibit cyclooxygenase, also inhibits AKR1C3 and displays selectivity over AKR1C1/AKR1C2. Parallel synthetic strategies were used to generate libraries of indomethacin analogues, which exhibit reduced cyclooxygenase inhibitory activity but retain AKR1C3 inhibitory potency and selectivity. The lead compounds inhibited AKR1C3 with nanomolar potency, displayed >100-fold selectivity over AKR1C1/AKR1C2, and blocked testosterone formation in LNCaP-AKR1C3 cells. The AKR1C3·NADP(+)·2'-des-methyl-indomethacin crystal structure was determined, and it revealed a unique inhibitor binding mode. The compounds reported are promising agents for the development of therapeutics for CRPC.",,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,C19H16ClNO4,CHEMBL6,0.14,,,,,,,,,,,,,,,,,,,,,,,,,
716,nM,EC50,,BAO_0000188,EC50,35936,In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells.,F,,CHEMBL646844,10.1016/s0960-894x(99)00118-3,10230628,CHEMBL1132082,"Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one.",PUBLICATION,"A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone.",,CCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,C15H14F3NO2,CHEMBL6843,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
717,nM,EC50,,"Entry 0: BAO_0000188, Entry 1: BAO_0000188, Entry 2: BAO_0000188, Entry 3: BAO_0000188, Entry 4: BAO_0000188, Entry 5: BAO_0000188, Entry 6: BAO_0000188, Entry 7: BAO_0000188, Entry 8: BAO_0000188, Entry 9: BAO_0000188, Entry 10: BAO_0000188, Entry 11: BAO_0000188, Entry 12: BAO_0000188, ",EC50,"Entry 0: 35937, Entry 1: 467614, Entry 2: 805652, Entry 3: 805653, Entry 4: 796602, Entry 5: 796603, Entry 6: 796604, Entry 7: 944548, Entry 8: 944549, Entry 9: 964272, Entry 10: 964273, Entry 11: 1473767, Entry 12: 1473768, ","Entry 0: In vitro antagonistic activity against human androgen receptor (hAR) expressed in CV-1 cells, Entry 1: Agonist activity at human androgen receptor african green monkey CV1 cells by cotransfection assay, Entry 2: Agonist activity at androgen receptor expressed in Cos7 cells after 24 hrs by luciferase reporter gene assay, Entry 3: Agonist activity at androgen receptor T877A mutant expressed in Cos7 cells after 24 hrs by luciferase reporter gene assay, Entry 4: Agonist activity at human androgen receptor expressed in COS7 cells assessed as luciferase activity after 24 hrs by reporter gene assay, Entry 5: Agonist activity at human androgen receptor T877A mutant expressed in COS7 cells assessed as luciferase activity after 24 hrs by reporter gene assay, Entry 6: Agonist activity at human androgen receptor W741C mutant expressed in COS7 cells assessed as luciferase activity after 24 hrs by reporter gene assay, Entry 7: Agonist activity at Androgen receptor T877A mutant in human LNCaP-hr cells assessed as prostate specific antigen secretion measured after 3 days by enzyme-immunoassay, Entry 8: Agonist activity at wild type Androgen receptor in human LNCaP-hr cells assessed as prostate specific antigen secretion measured after 3 days by enzyme-immunoassay, Entry 9: Displacement of [3H]R1881 from AR in human LNCaP cells after 2 hrs by scintillation counting analysis, Entry 10: Displacement of [3H]R1881 from AR in human MDA-MB-453 cells, Entry 11: Displacement of [3H]R1881 from androgen receptor in human LNCAP cells, Entry 12: Displacement of [3H]R1881 from androgen receptor in human PC3 cells, ","Entry 0: F, Entry 1: F, Entry 2: F, Entry 3: F, Entry 4: F, Entry 5: F, Entry 6: F, Entry 7: B, Entry 8: B, Entry 9: B, Entry 10: B, Entry 11: B, Entry 12: B, ",,"Entry 0: CHEMBL646845, Entry 1: CHEMBL930489, Entry 2: CHEMBL1960486, Entry 3: CHEMBL1960487, Entry 4: CHEMBL1937917, Entry 5: CHEMBL1937918, Entry 6: CHEMBL1937919, Entry 7: CHEMBL2339064, Entry 8: CHEMBL2339065, Entry 9: CHEMBL2395386, Entry 10: CHEMBL2395387, Entry 11: CHEMBL3418492, Entry 12: CHEMBL3418493, ","Entry 0: 10.1016/s0960-894x(99)00118-3, Entry 1: 10.1016/j.bmcl.2008.03.085, Entry 2: 10.1016/j.bmc.2012.02.005, Entry 3: 10.1016/j.bmc.2012.02.005, Entry 4: 10.1016/j.bmc.2011.10.067, Entry 5: 10.1016/j.bmc.2011.10.067, Entry 6: 10.1016/j.bmc.2011.10.067, Entry 7: 10.1016/j.bmc.2012.11.001, Entry 8: 10.1016/j.bmc.2012.11.001, Entry 9: 10.1021/jm400048v, Entry 10: 10.1021/jm400048v, Entry 11: 10.1021/jm501239f, Entry 12: 10.1021/jm501239f, ","Entry 0: 10230628, Entry 1: 18442912, Entry 2: 22391033, Entry 3: 22391033, Entry 4: 22094279, Entry 5: 22094279, Entry 6: 22094279, Entry 7: 23199477, Entry 8: 23199477, Entry 9: 23713567, Entry 10: 23713567, Entry 11: 25591066, Entry 12: 25591066, ","Entry 0: CHEMBL1132082, Entry 1: CHEMBL1143080, Entry 2: CHEMBL1955860, Entry 3: CHEMBL1955860, Entry 4: CHEMBL1932924, Entry 5: CHEMBL1932924, Entry 6: CHEMBL1932924, Entry 7: CHEMBL2331321, Entry 8: CHEMBL2331321, Entry 9: CHEMBL2390857, Entry 10: CHEMBL2390857, Entry 11: CHEMBL3414506, Entry 12: CHEMBL3414506, ","Entry 0: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., Entry 1: Discovery of a novel series of nonsteroidal androgen receptor modulators: 5- or 6-oxachrysen-2-ones., Entry 2: Design, synthesis, and biological evaluation of 4-arylmethyl-1-phenylpyrazole and 4-aryloxy-1-phenylpyrazole derivatives as novel androgen receptor antagonists., Entry 3: Design, synthesis, and biological evaluation of 4-arylmethyl-1-phenylpyrazole and 4-aryloxy-1-phenylpyrazole derivatives as novel androgen receptor antagonists., Entry 4: Design, synthesis, and biological evaluation of 4-phenylpyrrole derivatives as novel androgen receptor antagonists., Entry 5: Design, synthesis, and biological evaluation of 4-phenylpyrrole derivatives as novel androgen receptor antagonists., Entry 6: Design, synthesis, and biological evaluation of 4-phenylpyrrole derivatives as novel androgen receptor antagonists., Entry 7: Design, synthesis, and biological evaluation of 3-aryl-3-hydroxy-1-phenylpyrrolidine derivatives as novel androgen receptor antagonists., Entry 8: Design, synthesis, and biological evaluation of 3-aryl-3-hydroxy-1-phenylpyrrolidine derivatives as novel androgen receptor antagonists., Entry 9: Systematic structure modifications of multitarget prostate cancer drug candidate galeterone to produce novel androgen receptor down-regulating agents as an approach to treatment of advanced prostate cancer., Entry 10: Systematic structure modifications of multitarget prostate cancer drug candidate galeterone to produce novel androgen receptor down-regulating agents as an approach to treatment of advanced prostate cancer., Entry 11: Discovery and development of Galeterone (TOK-001 or VN/124-1) for the treatment of all stages of prostate cancer., Entry 12: Discovery and development of Galeterone (TOK-001 or VN/124-1) for the treatment of all stages of prostate cancer., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, Entry 2: PUBLICATION, Entry 3: PUBLICATION, Entry 4: PUBLICATION, Entry 5: PUBLICATION, Entry 6: PUBLICATION, Entry 7: PUBLICATION, Entry 8: PUBLICATION, Entry 9: PUBLICATION, Entry 10: PUBLICATION, Entry 11: PUBLICATION, Entry 12: PUBLICATION, ","Entry 0: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., Entry 1: A novel oxachrysenone series (2) of nonsteroidal selective androgen receptor modulators (SARM) was developed based on the 6-aryl-2-quinolinones (1). Synthesis and preliminary SAR results based on in vitro assays are discussed. In the cotransfection assay, lead compound 5d showed AR agonist activity more potent than dihydrotestosterone (DHT), whereas compound 17b was a potent antagonist similar to bicalutamide., Entry 2: A series of 4-arylmethyl-1-phenylpyrazole and 4-aryloxy-1-phenylpyrazole compounds B were designed, synthesized, and evaluated for their potential as new-generation androgen receptor (AR) antagonists therapeutically effective against castration-resistant prostate cancer (CRPC). Introduction of a bulky amide substituent (R(2)) to the terminal aryl ring of the 4-arylmethyl group favored the reduction of agonistic activity and improved the pharmacokinetic (PK) properties. Similarly, introduction of a bulky substituent in the 4-aryloxy derivatives also resulted in improved PK properties. Compounds 28 h and 44b exhibited potent antitumor effects against a CRPC model of LNCaP-hr cell line in a mouse xenograft model. On the contrary, bicalutamide showed only partial suppression of tumor growth. These results suggest that the novel pyrazole derivatives are new-generation AR antagonists, different from the 'first-generation' antagonists such as bicalutamide in a CRPC treatment model., Entry 3: A series of 4-arylmethyl-1-phenylpyrazole and 4-aryloxy-1-phenylpyrazole compounds B were designed, synthesized, and evaluated for their potential as new-generation androgen receptor (AR) antagonists therapeutically effective against castration-resistant prostate cancer (CRPC). Introduction of a bulky amide substituent (R(2)) to the terminal aryl ring of the 4-arylmethyl group favored the reduction of agonistic activity and improved the pharmacokinetic (PK) properties. Similarly, introduction of a bulky substituent in the 4-aryloxy derivatives also resulted in improved PK properties. Compounds 28 h and 44b exhibited potent antitumor effects against a CRPC model of LNCaP-hr cell line in a mouse xenograft model. On the contrary, bicalutamide showed only partial suppression of tumor growth. These results suggest that the novel pyrazole derivatives are new-generation AR antagonists, different from the 'first-generation' antagonists such as bicalutamide in a CRPC treatment model., Entry 4: A series of 4-phenylpyrrole derivatives D were designed, synthesized, and evaluated for their potential as novel orally available androgen receptor antagonists therapeutically effective against castration-resistant prostate cancers. 4-Phenylpyrrole compound 1 exhibited androgen receptor (AR) antagonistic activity against T877A and W741C mutant-type ARs as well as wild-type AR. An arylmethyl group incorporated into compound 1 contributed to enhancement of antagonistic activity. Compound 4n, 1-{[6-chloro-5-(hydroxymethyl)pyridin-3-yl]methyl}-4-(4-cyanophenyl)-2,5-dimethyl-1H-pyrrole-3-carbonitrile exhibited inhibitory effects on tumor cell growth against the bicalutamide-resistant LNCaP-cxD2 cell line as well as the androgen receptor-dependent JDCaP cell line in a mouse xenograft model. These results demonstrate that this series of pyrrole compounds are novel androgen receptor antagonists with efficacy against prostate cancer cells, including castration-resistant prostate cancers such as bicalutamide-resistant prostate cancer., Entry 5: A series of 4-phenylpyrrole derivatives D were designed, synthesized, and evaluated for their potential as novel orally available androgen receptor antagonists therapeutically effective against castration-resistant prostate cancers. 4-Phenylpyrrole compound 1 exhibited androgen receptor (AR) antagonistic activity against T877A and W741C mutant-type ARs as well as wild-type AR. An arylmethyl group incorporated into compound 1 contributed to enhancement of antagonistic activity. Compound 4n, 1-{[6-chloro-5-(hydroxymethyl)pyridin-3-yl]methyl}-4-(4-cyanophenyl)-2,5-dimethyl-1H-pyrrole-3-carbonitrile exhibited inhibitory effects on tumor cell growth against the bicalutamide-resistant LNCaP-cxD2 cell line as well as the androgen receptor-dependent JDCaP cell line in a mouse xenograft model. These results demonstrate that this series of pyrrole compounds are novel androgen receptor antagonists with efficacy against prostate cancer cells, including castration-resistant prostate cancers such as bicalutamide-resistant prostate cancer., Entry 6: A series of 4-phenylpyrrole derivatives D were designed, synthesized, and evaluated for their potential as novel orally available androgen receptor antagonists therapeutically effective against castration-resistant prostate cancers. 4-Phenylpyrrole compound 1 exhibited androgen receptor (AR) antagonistic activity against T877A and W741C mutant-type ARs as well as wild-type AR. An arylmethyl group incorporated into compound 1 contributed to enhancement of antagonistic activity. Compound 4n, 1-{[6-chloro-5-(hydroxymethyl)pyridin-3-yl]methyl}-4-(4-cyanophenyl)-2,5-dimethyl-1H-pyrrole-3-carbonitrile exhibited inhibitory effects on tumor cell growth against the bicalutamide-resistant LNCaP-cxD2 cell line as well as the androgen receptor-dependent JDCaP cell line in a mouse xenograft model. These results demonstrate that this series of pyrrole compounds are novel androgen receptor antagonists with efficacy against prostate cancer cells, including castration-resistant prostate cancers such as bicalutamide-resistant prostate cancer., Entry 7: We designed and synthesized a series of 3-aryl-3-hydroxy-1-phenylpyrrolidine derivatives D and evaluated their potential as novel androgen receptor (AR) antagonists therapeutically effective against castration-resistant prostate cancer (CRPC). Introduction of a methyl group at the 2-position (R(2)) of the pyrrolidine ring increased the AR binding affinity. The (2S,3R) configuration of the pyrrolidine ring was favorable for the AR antagonistic activity. It was found that introduction of an amide substituent (R(1)) and a pyridin-3-yl group (Q) was effective for reducing the AR agonistic activity which appeared during the optimization of lead compound 6. Compound 54 showed potent antitumor effects against a CRPC model of LNCaP-hr cell line in a mouse xenograft, in which bicalutamide exhibited only partial suppression of tumor growth. Thus, the pyrrolidine derivatives such as 54 are novel AR antagonists, and their properties having efficacy against CRPC are distinct from those of a representative first-generation antagonist, bicalutamide., Entry 8: We designed and synthesized a series of 3-aryl-3-hydroxy-1-phenylpyrrolidine derivatives D and evaluated their potential as novel androgen receptor (AR) antagonists therapeutically effective against castration-resistant prostate cancer (CRPC). Introduction of a methyl group at the 2-position (R(2)) of the pyrrolidine ring increased the AR binding affinity. The (2S,3R) configuration of the pyrrolidine ring was favorable for the AR antagonistic activity. It was found that introduction of an amide substituent (R(1)) and a pyridin-3-yl group (Q) was effective for reducing the AR agonistic activity which appeared during the optimization of lead compound 6. Compound 54 showed potent antitumor effects against a CRPC model of LNCaP-hr cell line in a mouse xenograft, in which bicalutamide exhibited only partial suppression of tumor growth. Thus, the pyrrolidine derivatives such as 54 are novel AR antagonists, and their properties having efficacy against CRPC are distinct from those of a representative first-generation antagonist, bicalutamide., Entry 9: As part of our program to explore the influence of small structural modifications of our drug candidate 3β-(hydroxy)-17-(1H-benzimidazol-1-yl)androsta-5,16-diene (galeterone, 5) on the modulation of the androgen receptor (AR), we have prepared and evaluated a series of novel C-3, C-16, and C-17 analogues. Using structure activity analysis, we established that the benzimidazole moiety at C-17 is essential and optimal and also that hydrophilic and heteroaromatic groups at C-3 enhance both antiproliferative (AP) and AR degrading (ARD) activities. The most potent antiproliferative compounds were 3β-(1H-imidazole-1-carboxylate)-17-(1H-benzimidazol-1-yl)androsta-5,16-diene (47), 3-((EZ)-hydroximino)-17-(1H-benzimidazol-1-yl)androsta-4,16-diene (36), and 3β-(pyridine-4-carboxylate)-17-(1H-benzimidazol-1-yl)androsta-5,16-diene (43), with GI50 values of 0.87, 1.91, and 2.57 μM, respectively. Compared to 5, compound 47 was 4- and 8-fold more potent with respect to AP and ARD activities, respectively. Importantly, we also discovered that our compounds, including 5, 36, 43, and 47, could degrade both full-length and truncated ARs in CWR22rv1 human prostate cancer cells. With these activities, they have potential for development as new drugs for the treatment of all forms of prostate cancer., Entry 10: As part of our program to explore the influence of small structural modifications of our drug candidate 3β-(hydroxy)-17-(1H-benzimidazol-1-yl)androsta-5,16-diene (galeterone, 5) on the modulation of the androgen receptor (AR), we have prepared and evaluated a series of novel C-3, C-16, and C-17 analogues. Using structure activity analysis, we established that the benzimidazole moiety at C-17 is essential and optimal and also that hydrophilic and heteroaromatic groups at C-3 enhance both antiproliferative (AP) and AR degrading (ARD) activities. The most potent antiproliferative compounds were 3β-(1H-imidazole-1-carboxylate)-17-(1H-benzimidazol-1-yl)androsta-5,16-diene (47), 3-((EZ)-hydroximino)-17-(1H-benzimidazol-1-yl)androsta-4,16-diene (36), and 3β-(pyridine-4-carboxylate)-17-(1H-benzimidazol-1-yl)androsta-5,16-diene (43), with GI50 values of 0.87, 1.91, and 2.57 μM, respectively. Compared to 5, compound 47 was 4- and 8-fold more potent with respect to AP and ARD activities, respectively. Importantly, we also discovered that our compounds, including 5, 36, 43, and 47, could degrade both full-length and truncated ARs in CWR22rv1 human prostate cancer cells. With these activities, they have potential for development as new drugs for the treatment of all forms of prostate cancer., Entry 11: In our effort to discover potent and specific inhibitors of 17α-hydroxylase/17,20-lyase (CYP17), the key enzyme which catalyzes the biosynthesis of androgens from progestins, 3β-(hydroxy)-17-(1H-benzimidazole-1-yl)androsta-5,16-diene (Galeterone or TOK-001, formerly called VN/124-1) was identified as a selective development candidate which modulates multiple targets in the androgen receptor (AR) signaling pathway. This drug annotation summarizes the mechanisms of action, scientific rationale, medicinal chemistry, pharmacokinetic properties, and human efficacy data for galeterone, which has successfully completed phase II clinical development in men with castration resistant (advanced) prostate cancer (CRPC). Phase III clinical studies in CRPC patients are scheduled to begin in early 2015., Entry 12: In our effort to discover potent and specific inhibitors of 17α-hydroxylase/17,20-lyase (CYP17), the key enzyme which catalyzes the biosynthesis of androgens from progestins, 3β-(hydroxy)-17-(1H-benzimidazole-1-yl)androsta-5,16-diene (Galeterone or TOK-001, formerly called VN/124-1) was identified as a selective development candidate which modulates multiple targets in the androgen receptor (AR) signaling pathway. This drug annotation summarizes the mechanisms of action, scientific rationale, medicinal chemistry, pharmacokinetic properties, and human efficacy data for galeterone, which has successfully completed phase II clinical development in men with castration resistant (advanced) prostate cancer (CRPC). Phase III clinical studies in CRPC patients are scheduled to begin in early 2015., ",,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,C18H14F4N2O4S,CHEMBL409,31.0,157.0,180.0,971.0,1400.0,4300.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,,,,,,,,,,,,,
790,nM,EC50,,BAO_0000188,EC50,35936,In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells.,F,,CHEMBL646844,10.1016/s0960-894x(99)00118-3,10230628,CHEMBL1132082,"Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one.",PUBLICATION,"A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone.",,CCC1CCc2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,C15H14F3NO2,CHEMBL266473,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
791,nM,EC50,,BAO_0000188,EC50,35936,In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells.,F,,CHEMBL646844,10.1016/s0960-894x(99)00118-3,10230628,CHEMBL1132082,"Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one.",PUBLICATION,"A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone.",,CC1(C)CCc2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,C15H14F3NO2,CHEMBL7289,9.0,,,,,,,,,,,,,,,,,,,,,,,,,
799,nM,EC50,,BAO_0000188,EC50,35936,In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells.,F,,CHEMBL646844,10.1016/s0960-894x(99)00118-3,10230628,CHEMBL1132082,"Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one.",PUBLICATION,"A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone.",,O=c1cc(C(F)(F)F)c2cc3c(cc2o1)NCCC3,C13H10F3NO2,CHEMBL268098,19.0,,,,,,,,,,,,,,,,,,,,,,,,,
809,nM,EC50,,BAO_0000188,EC50,35936,In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells.,F,,CHEMBL646844,10.1016/s0960-894x(99)00118-3,10230628,CHEMBL1132082,"Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one.",PUBLICATION,"A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone.",,O=c1cc(C(F)(F)F)c2cc3c(cc2o1)NCCC3C(F)(F)F,C14H9F6NO2,CHEMBL267270,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
819,nM,EC50,,BAO_0000188,EC50,35936,In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells.,F,,CHEMBL646844,10.1016/s0960-894x(99)00118-3,10230628,CHEMBL1132082,"Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one.",PUBLICATION,"A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone.",,O=c1cc(C(F)(F)F)c2cc3c(cc2o1)NCCC3C(F)(F)C(F)(F)F,C15H9F8NO2,CHEMBL266928,13.0,,,,,,,,,,,,,,,,,,,,,,,,,
824,nM,EC50,,BAO_0000188,EC50,35936,In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells.,F,,CHEMBL646844,10.1016/s0960-894x(99)00118-3,10230628,CHEMBL1132082,"Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one.",PUBLICATION,"A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone.",,CCC1CCN(C)c2cc3oc(=O)cc(C(F)(F)F)c3cc21,C16H16F3NO2,CHEMBL6530,209.0,,,,,,,,,,,,,,,,,,,,,,,,,
828,nM,EC50,,BAO_0000188,EC50,35936,In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells.,F,,CHEMBL646844,10.1016/s0960-894x(99)00118-3,10230628,CHEMBL1132082,"Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one.",PUBLICATION,"A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone.",,CCCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,C16H16F3NO2,CHEMBL6855,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
