comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,act_16,act_17,act_18,act_19,act_20,act_21
716,%,Efficacy,,"Entry 0: BAO_0000656, Entry 1: BAO_0000656, ",Efficacy,"Entry 0: 35960, Entry 1: 35963, ","Entry 0: In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells., Entry 1: In vitro antagonistic activity against human androgen receptor using cotransfection assay in CV-1 cells; Not active., ","Entry 0: F, Entry 1: F, ",,"Entry 0: CHEMBL649345, Entry 1: CHEMBL646927, ","Entry 0: 10.1016/s0960-894x(99)00118-3, Entry 1: 10.1016/s0960-894x(99)00118-3, ","Entry 0: 10230628, Entry 1: 10230628, ","Entry 0: CHEMBL1132082, Entry 1: CHEMBL1132082, ","Entry 0: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., Entry 1: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., Entry 1: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., ",,CCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,C15H14F3NO2,CHEMBL6843,20.0,119.0,,,,,,,,,,,,,,,,,,,,
717,%,Efficacy,,"Entry 0: BAO_0000656, Entry 1: BAO_0000656, Entry 2: BAO_0000656, Entry 3: BAO_0000656, Entry 4: BAO_0000656, Entry 5: BAO_0000656, Entry 6: BAO_0000656, Entry 7: BAO_0000656, Entry 8: BAO_0000656, Entry 9: BAO_0000656, ",Efficacy,"Entry 0: 35954, Entry 1: 35959, Entry 2: 35961, Entry 3: 35962, Entry 4: 35964, Entry 5: 438256, Entry 6: 467615, Entry 7: 467616, Entry 8: 467618, Entry 9: 479689, ","Entry 0: Antagonistic activity against human androgen receptor (hAR) in co-transfected CV-1 cell, Entry 1: Efficacy as a function of maximal inhibition against human androgen receptor., Entry 2: In vitro agonistic activity against human androgen receptor (hAR) expressed in CV-1 cells; not active, Entry 3: In vitro antagonistic activity against human androgen receptor (hAR) expressed in CV-1 cells, Entry 4: Percent maximal inhibition against human androgen receptor (AR) dependent transcriptional activity in co-transfected mammalian CV-1 cells, Entry 5: Antagonist activity at human androgen receptor expressed in CV1 cells assessed as inhibition of DHT-induced response, Entry 6: Agonist activity at human androgen receptor african green monkey CV1 cells by cotransfection assay relative to DHT, Entry 7: Antagonist activity at human androgen receptor african green monkey CV1 cells by cotransfection assay, Entry 8: Activity at androgen receptor in human Saos2 cells assessed as IL6 repression, Entry 9: Antagonist activity at human androgen receptor in CV1 cells by transcriptional activation assay relative to dihydrotestosterone, ","Entry 0: F, Entry 1: B, Entry 2: F, Entry 3: F, Entry 4: F, Entry 5: F, Entry 6: F, Entry 7: F, Entry 8: B, Entry 9: F, ",,"Entry 0: CHEMBL649485, Entry 1: CHEMBL649490, Entry 2: CHEMBL649346, Entry 3: CHEMBL646926, Entry 4: CHEMBL646928, Entry 5: CHEMBL887362, Entry 6: CHEMBL930490, Entry 7: CHEMBL930491, Entry 8: CHEMBL930493, Entry 9: CHEMBL933553, ","Entry 0: 10.1016/s0960-894x(98)00107-3, Entry 1: 10.1021/jm970699s, Entry 2: 10.1016/s0960-894x(99)00118-3, Entry 3: 10.1016/s0960-894x(99)00118-3, Entry 4: 10.1016/s0960-894x(00)00010-x, Entry 5: 10.1016/j.bmcl.2007.01.007, Entry 6: 10.1016/j.bmcl.2008.03.085, Entry 7: 10.1016/j.bmcl.2008.03.085, Entry 8: 10.1016/j.bmcl.2008.03.085, Entry 9: 10.1016/j.bmcl.2008.03.062, ","Entry 0: 9871534, Entry 1: 9484511, Entry 2: 10230628, Entry 3: 10230628, Entry 4: 10743937, Entry 5: 17257838, Entry 6: 18442912, Entry 7: 18442912, Entry 8: 18442912, Entry 9: 18400499, ","Entry 0: CHEMBL1130772, Entry 1: CHEMBL1131477, Entry 2: CHEMBL1132082, Entry 3: CHEMBL1132082, Entry 4: CHEMBL1133046, Entry 5: CHEMBL1144605, Entry 6: CHEMBL1143080, Entry 7: CHEMBL1143080, Entry 8: CHEMBL1143080, Entry 9: CHEMBL1145608, ","Entry 0: New nonsteroidal androgen receptor modulators based on 4-(trifluoromethyl)-2(1H)-pyrrolidino[3,2-g] quinolinone., Entry 1: Synthesis and biological activity of a novel series of nonsteroidal, peripherally selective androgen receptor antagonists derived from 1,2-dihydropyridono[5,6-g]quinolines., Entry 2: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., Entry 3: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., Entry 4: Effects of isosteric pyridone replacements in androgen receptor antagonists based on 1,2-dihydro- and 1,2,3,4-tetrahydro-2,2-dimethyl-6-trifluoromethyl-8-pyridono[5,6-g]quin olines., Entry 5: Discovery of an androgen receptor modulator pharmacophore based on 2-quinolinones., Entry 6: Discovery of a novel series of nonsteroidal androgen receptor modulators: 5- or 6-oxachrysen-2-ones., Entry 7: Discovery of a novel series of nonsteroidal androgen receptor modulators: 5- or 6-oxachrysen-2-ones., Entry 8: Discovery of a novel series of nonsteroidal androgen receptor modulators: 5- or 6-oxachrysen-2-ones., Entry 9: Selective androgen receptor modulators based on a series of 7H-[1,4]oxazino[3,2-g]quinolin-7-ones with improved in vivo activity., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, Entry 2: PUBLICATION, Entry 3: PUBLICATION, Entry 4: PUBLICATION, Entry 5: PUBLICATION, Entry 6: PUBLICATION, Entry 7: PUBLICATION, Entry 8: PUBLICATION, Entry 9: PUBLICATION, ","Entry 0: A series of 2(1H)-pyrrolidino[3,2-g]quinolinones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2(1H)-pyrrolidino[3,2-g]quinolinone, displayed moderate interaction with hAR, but more substituted analogues, particularly 6,7-disubstituted compounds, were potent hAR agonists in vitro., Entry 1: A new nonsteroidal antiandrogenic pharmacophore has been discovered using cell-based cotransfection assays with human androgen receptor (hAR). This series of AR antagonists is structurally characterized by a linear tricyclic 1,2-dihydropyridono[5,6-g]quinoline core. Analogues inhibit AR-mediated reporter gene expression and bind to AR as potently as or better than any known AR antagonists. Several analogues also showed excellent in vivo activity in classic rodent models of AR antagonism, inhibiting growth of rat ventral prostate and seminal vesicles, without accompanying increases in serum gonadotropin and testosterone levels, as is seen with other AR antagonists. Investigations of structure-activity relationships surrounding this pharmacophore resulted in molecules with complete specificity for AR, antagonist activity on an AR mutant commonly observed in prostate cancer patients, and improved in vivo efficacy. Molecules based on this series of compounds have the potential to provide unique and effective clinical opportunities for treatment of prostate cancer and other androgen-dependent diseases., Entry 2: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., Entry 3: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., Entry 4: A series of nonsteroidal human androgen receptor (hAR) antagonists based on 8-substituted 1,2-dihydro- and 1,2,3,4-tetrahydro-2,2-dimethyl-6-trifluoromethylpyrido[3,2-g]quin olines was synthesized. Compounds in this series were tested for the ability to bind to hAR and inhibit hAR-dependent transcription in a mammalian cellular background., Entry 5: A series of alkylamino-2-quinolinone compounds (3) was discovered as androgen receptor modulators based on an early linear tricyclic quinoline pharmacophore (1). The series demonstrated selective high binding affinity to androgen receptor and potent receptor modulating activities in the cotransfection assays., Entry 6: A novel oxachrysenone series (2) of nonsteroidal selective androgen receptor modulators (SARM) was developed based on the 6-aryl-2-quinolinones (1). Synthesis and preliminary SAR results based on in vitro assays are discussed. In the cotransfection assay, lead compound 5d showed AR agonist activity more potent than dihydrotestosterone (DHT), whereas compound 17b was a potent antagonist similar to bicalutamide., Entry 7: A novel oxachrysenone series (2) of nonsteroidal selective androgen receptor modulators (SARM) was developed based on the 6-aryl-2-quinolinones (1). Synthesis and preliminary SAR results based on in vitro assays are discussed. In the cotransfection assay, lead compound 5d showed AR agonist activity more potent than dihydrotestosterone (DHT), whereas compound 17b was a potent antagonist similar to bicalutamide., Entry 8: A novel oxachrysenone series (2) of nonsteroidal selective androgen receptor modulators (SARM) was developed based on the 6-aryl-2-quinolinones (1). Synthesis and preliminary SAR results based on in vitro assays are discussed. In the cotransfection assay, lead compound 5d showed AR agonist activity more potent than dihydrotestosterone (DHT), whereas compound 17b was a potent antagonist similar to bicalutamide., Entry 9: Modification on a lead series of [1,4]oxazino[3,2-g]quinolin-7-ones at the 2-position led to selective androgen receptor modulators with improved in vivo activity. The most potent analog (-)-33a exhibited full maintenance of levator ani muscle at 3mg/kg and reduced activity on ventral prostate weight in a 2-week orally-dosed and orchidectomized rat maintenance assay., ",,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,C18H14F4N2O4S,CHEMBL409,20.0,20.0,28.0,78.0,78.0,78.0,85.0,85.0,89.0,98.0,,,,,,,,,,,,
790,%,Efficacy,,"Entry 0: BAO_0000656, Entry 1: BAO_0000656, ",Efficacy,"Entry 0: 35960, Entry 1: 35963, ","Entry 0: In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells., Entry 1: In vitro antagonistic activity against human androgen receptor using cotransfection assay in CV-1 cells; Not active., ","Entry 0: F, Entry 1: F, ",,"Entry 0: CHEMBL649345, Entry 1: CHEMBL646927, ","Entry 0: 10.1016/s0960-894x(99)00118-3, Entry 1: 10.1016/s0960-894x(99)00118-3, ","Entry 0: 10230628, Entry 1: 10230628, ","Entry 0: CHEMBL1132082, Entry 1: CHEMBL1132082, ","Entry 0: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., Entry 1: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., Entry 1: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., ",,CCC1CCc2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,C15H14F3NO2,CHEMBL266473,20.0,79.0,,,,,,,,,,,,,,,,,,,,
791,%,Efficacy,,"Entry 0: BAO_0000656, Entry 1: BAO_0000656, ",Efficacy,"Entry 0: 35960, Entry 1: 35963, ","Entry 0: In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells., Entry 1: In vitro antagonistic activity against human androgen receptor using cotransfection assay in CV-1 cells; Not active., ","Entry 0: F, Entry 1: F, ",,"Entry 0: CHEMBL649345, Entry 1: CHEMBL646927, ","Entry 0: 10.1016/s0960-894x(99)00118-3, Entry 1: 10.1016/s0960-894x(99)00118-3, ","Entry 0: 10230628, Entry 1: 10230628, ","Entry 0: CHEMBL1132082, Entry 1: CHEMBL1132082, ","Entry 0: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., Entry 1: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., Entry 1: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., ",,CC1(C)CCc2cc3c(C(F)(F)F)cc(=O)oc3cc2N1,C15H14F3NO2,CHEMBL7289,20.0,64.0,,,,,,,,,,,,,,,,,,,,
799,%,Efficacy,,"Entry 0: BAO_0000656, Entry 1: BAO_0000656, ",Efficacy,"Entry 0: 35960, Entry 1: 35963, ","Entry 0: In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells., Entry 1: In vitro antagonistic activity against human androgen receptor using cotransfection assay in CV-1 cells; Not active., ","Entry 0: F, Entry 1: F, ",,"Entry 0: CHEMBL649345, Entry 1: CHEMBL646927, ","Entry 0: 10.1016/s0960-894x(99)00118-3, Entry 1: 10.1016/s0960-894x(99)00118-3, ","Entry 0: 10230628, Entry 1: 10230628, ","Entry 0: CHEMBL1132082, Entry 1: CHEMBL1132082, ","Entry 0: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., Entry 1: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., Entry 1: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., ",,O=c1cc(C(F)(F)F)c2cc3c(cc2o1)NCCC3,C13H10F3NO2,CHEMBL268098,20.0,68.0,,,,,,,,,,,,,,,,,,,,
809,%,Efficacy,,"Entry 0: BAO_0000656, Entry 1: BAO_0000656, ",Efficacy,"Entry 0: 35960, Entry 1: 35963, ","Entry 0: In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells., Entry 1: In vitro antagonistic activity against human androgen receptor using cotransfection assay in CV-1 cells; Not active., ","Entry 0: F, Entry 1: F, ",,"Entry 0: CHEMBL649345, Entry 1: CHEMBL646927, ","Entry 0: 10.1016/s0960-894x(99)00118-3, Entry 1: 10.1016/s0960-894x(99)00118-3, ","Entry 0: 10230628, Entry 1: 10230628, ","Entry 0: CHEMBL1132082, Entry 1: CHEMBL1132082, ","Entry 0: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., Entry 1: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., Entry 1: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., ",,O=c1cc(C(F)(F)F)c2cc3c(cc2o1)NCCC3C(F)(F)F,C14H9F6NO2,CHEMBL267270,20.0,104.0,,,,,,,,,,,,,,,,,,,,
819,%,Efficacy,,"Entry 0: BAO_0000656, Entry 1: BAO_0000656, ",Efficacy,"Entry 0: 35960, Entry 1: 35963, ","Entry 0: In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells., Entry 1: In vitro antagonistic activity against human androgen receptor using cotransfection assay in CV-1 cells; Not active., ","Entry 0: F, Entry 1: F, ",,"Entry 0: CHEMBL649345, Entry 1: CHEMBL646927, ","Entry 0: 10.1016/s0960-894x(99)00118-3, Entry 1: 10.1016/s0960-894x(99)00118-3, ","Entry 0: 10230628, Entry 1: 10230628, ","Entry 0: CHEMBL1132082, Entry 1: CHEMBL1132082, ","Entry 0: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., Entry 1: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., Entry 1: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., ",,O=c1cc(C(F)(F)F)c2cc3c(cc2o1)NCCC3C(F)(F)C(F)(F)F,C15H9F8NO2,CHEMBL266928,20.0,103.0,,,,,,,,,,,,,,,,,,,,
824,%,Efficacy,,"Entry 0: BAO_0000656, Entry 1: BAO_0000656, ",Efficacy,"Entry 0: 35960, Entry 1: 35963, ","Entry 0: In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells., Entry 1: In vitro antagonistic activity against human androgen receptor using cotransfection assay in CV-1 cells; Not active., ","Entry 0: F, Entry 1: F, ",,"Entry 0: CHEMBL649345, Entry 1: CHEMBL646927, ","Entry 0: 10.1016/s0960-894x(99)00118-3, Entry 1: 10.1016/s0960-894x(99)00118-3, ","Entry 0: 10230628, Entry 1: 10230628, ","Entry 0: CHEMBL1132082, Entry 1: CHEMBL1132082, ","Entry 0: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., Entry 1: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., Entry 1: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., ",,CCC1CCN(C)c2cc3oc(=O)cc(C(F)(F)F)c3cc21,C16H16F3NO2,CHEMBL6530,20.0,70.0,,,,,,,,,,,,,,,,,,,,
828,%,Efficacy,,"Entry 0: BAO_0000656, Entry 1: BAO_0000656, ",Efficacy,"Entry 0: 35960, Entry 1: 35963, ","Entry 0: In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells., Entry 1: In vitro antagonistic activity against human androgen receptor using cotransfection assay in CV-1 cells; Not active., ","Entry 0: F, Entry 1: F, ",,"Entry 0: CHEMBL649345, Entry 1: CHEMBL646927, ","Entry 0: 10.1016/s0960-894x(99)00118-3, Entry 1: 10.1016/s0960-894x(99)00118-3, ","Entry 0: 10230628, Entry 1: 10230628, ","Entry 0: CHEMBL1132082, Entry 1: CHEMBL1132082, ","Entry 0: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., Entry 1: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., Entry 1: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., ",,CCCC1CCNc2cc3oc(=O)cc(C(F)(F)F)c3cc21,C16H16F3NO2,CHEMBL6855,20.0,65.0,,,,,,,,,,,,,,,,,,,,
864,%,Efficacy,,"Entry 0: BAO_0000656, Entry 1: BAO_0000656, ",Efficacy,"Entry 0: 35960, Entry 1: 35963, ","Entry 0: In vitro agonistic activity against human androgen receptor using cotransfection assay in CV-1 cells., Entry 1: In vitro antagonistic activity against human androgen receptor using cotransfection assay in CV-1 cells; Not active., ","Entry 0: F, Entry 1: F, ",,"Entry 0: CHEMBL649345, Entry 1: CHEMBL646927, ","Entry 0: 10.1016/s0960-894x(99)00118-3, Entry 1: 10.1016/s0960-894x(99)00118-3, ","Entry 0: 10230628, Entry 1: 10230628, ","Entry 0: CHEMBL1132082, Entry 1: CHEMBL1132082, ","Entry 0: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., Entry 1: Nonsteroidal androgen receptor agonists based on 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., Entry 1: A series of 2H-pyrano[3,2-g]quinolin-2-ones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2H-pyrano[3,2-g]quinolin-2-one, displayed moderate interaction with hAR, but substituted analogues were potent hAR modulators in vitro as measured by an hAR cotransfection assay in CV-1 cells and bound to hAR with high affinity in a whole cell assay. Several analogues were able to activate hAR-mediated gene transcription more potently and efficaciously than dihydrotestosterone., ",,CCC1Nc2cc3oc(=O)cc(C(F)(F)F)c3cc2CC1C,C16H16F3NO2,CHEMBL6654,20.0,138.0,,,,,,,,,,,,,,,,,,,,
