comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2
428318,%,Emax,,BAO_0000656,Emax,475673,Inhibition of wild type androgen receptor expressed in CV1 cells assessed as dihydrotestosterone-stimulated transactivation at 500 nM by CAT reporter gene assay,B,,CHEMBL937559,10.1073/pnas.0609752104,17606915,CHEMBL1145525,Discovery of antiandrogen activity of nonsteroidal scaffolds of marketed drugs.,PUBLICATION,"Finding good drug leads de novo from large chemical libraries, real or virtual, is not an easy task. High-throughput screening is often plagued by low hit rates and many leads that are toxic or exhibit poor bioavailability. Exploiting the secondary activity of marketed drugs, on the other hand, may help in generating drug leads that can be optimized for the observed side-effect target, while maintaining acceptable bioavailability and toxicity profiles. Here, we describe an efficient computational methodology to discover leads to a protein target from safe marketed drugs. We applied an in silico ""drug repurposing"" procedure for identification of nonsteroidal antagonists against the human androgen receptor (AR), using multiple predicted models of an antagonist-bound receptor. The library of marketed oral drugs was then docked into the best-performing models, and the 11 selected compounds with the highest docking score were tested in vitro for AR binding and antagonism of dihydrotestosterone-induced AR transactivation. The phenothiazine derivatives acetophenazine, fluphenazine, and periciazine, used clinically as antipsychotic drugs, were identified as weak AR antagonists. This in vitro biological activity correlated well with endocrine side effects observed in individuals taking these medications. Further computational optimization of phenothiazines, combined with in vitro screening, led to the identification of a nonsteroidal antiandrogen with improved AR antagonism and marked reduction in affinity for dopaminergic and serotonergic receptors that are the primary target of phenothiazine antipsychotics.",,O=C(CN1c2ccccc2Sc2ccc(C(F)(F)F)cc21)c1cccc2ccccc12,C25H16F3NOS,CHEMBL263660,76.0,,
555502,%,Emax,,BAO_0000656,Emax,580929,Agonist activity at androgen receptor in human MDA-MB-453 cells transfected with MMTV-LUC assessed as induction of MMTV-LTR/promoter linked LUC gene by luciferase transactivation assay relative to dihydrotestosterone,F,,CHEMBL1054894,10.1021/jm900880r,19606870,CHEMBL1153470,"Design, synthesis, and biological evaluation of 16-substituted 4-azasteroids as tissue-selective androgen receptor modulators (SARMs).",PUBLICATION,"A novel series of 16-substituted-4-azasteroids has been identified as potential tissue-selective androgen receptor modulators. These ligands display potent hAR binding and agonist activity, low virilizing potential, and good pharmacokinetic profiles in dogs. On the basis of its in vitro profile, 21 was evaluated in the OVX and ORX rat models and exhibited an osteoanabolic, tissue-selective profile.",,COC[C@@H]1C[C@H]2[C@@H]3CC[C@H]4N(C)C(=O)C=C[C@]4(C)[C@H]3CC[C@]2(C)[C@H]1O,C21H33NO3,CHEMBL538877,43.0,,
555513,%,Emax,,BAO_0000656,Emax,580929,Agonist activity at androgen receptor in human MDA-MB-453 cells transfected with MMTV-LUC assessed as induction of MMTV-LTR/promoter linked LUC gene by luciferase transactivation assay relative to dihydrotestosterone,F,,CHEMBL1054894,10.1021/jm900880r,19606870,CHEMBL1153470,"Design, synthesis, and biological evaluation of 16-substituted 4-azasteroids as tissue-selective androgen receptor modulators (SARMs).",PUBLICATION,"A novel series of 16-substituted-4-azasteroids has been identified as potential tissue-selective androgen receptor modulators. These ligands display potent hAR binding and agonist activity, low virilizing potential, and good pharmacokinetic profiles in dogs. On the basis of its in vitro profile, 21 was evaluated in the OVX and ORX rat models and exhibited an osteoanabolic, tissue-selective profile.",,CN1C(=O)C=C[C@]2(C)[C@H]3CC[C@]4(C)[C@@H](O)/C(=C/c5cccc(F)c5)C[C@H]4[C@@H]3CC[C@@H]12,C26H32FNO2,CHEMBL562471,65.0,,
555526,%,Emax,,BAO_0000656,Emax,580929,Agonist activity at androgen receptor in human MDA-MB-453 cells transfected with MMTV-LUC assessed as induction of MMTV-LTR/promoter linked LUC gene by luciferase transactivation assay relative to dihydrotestosterone,F,,CHEMBL1054894,10.1021/jm900880r,19606870,CHEMBL1153470,"Design, synthesis, and biological evaluation of 16-substituted 4-azasteroids as tissue-selective androgen receptor modulators (SARMs).",PUBLICATION,"A novel series of 16-substituted-4-azasteroids has been identified as potential tissue-selective androgen receptor modulators. These ligands display potent hAR binding and agonist activity, low virilizing potential, and good pharmacokinetic profiles in dogs. On the basis of its in vitro profile, 21 was evaluated in the OVX and ORX rat models and exhibited an osteoanabolic, tissue-selective profile.",,COc1ncc(/C=C2\C[C@H]3[C@@H]4CC[C@H]5N(C)C(=O)C=C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2O)cn1,C25H33N3O3,CHEMBL559878,158.0,,
557240,%,Emax,,BAO_0000656,Emax,580929,Agonist activity at androgen receptor in human MDA-MB-453 cells transfected with MMTV-LUC assessed as induction of MMTV-LTR/promoter linked LUC gene by luciferase transactivation assay relative to dihydrotestosterone,F,,CHEMBL1054894,10.1021/jm900880r,19606870,CHEMBL1153470,"Design, synthesis, and biological evaluation of 16-substituted 4-azasteroids as tissue-selective androgen receptor modulators (SARMs).",PUBLICATION,"A novel series of 16-substituted-4-azasteroids has been identified as potential tissue-selective androgen receptor modulators. These ligands display potent hAR binding and agonist activity, low virilizing potential, and good pharmacokinetic profiles in dogs. On the basis of its in vitro profile, 21 was evaluated in the OVX and ORX rat models and exhibited an osteoanabolic, tissue-selective profile.",,C[C@@H]1C[C@H]2[C@@H]3CC[C@H]4N(C)C(=O)C=C[C@]4(C)[C@H]3CC[C@]2(C)[C@H]1O,C20H31NO2,CHEMBL538137,54.0,,
557247,%,Emax,,BAO_0000656,Emax,580929,Agonist activity at androgen receptor in human MDA-MB-453 cells transfected with MMTV-LUC assessed as induction of MMTV-LTR/promoter linked LUC gene by luciferase transactivation assay relative to dihydrotestosterone,F,,CHEMBL1054894,10.1021/jm900880r,19606870,CHEMBL1153470,"Design, synthesis, and biological evaluation of 16-substituted 4-azasteroids as tissue-selective androgen receptor modulators (SARMs).",PUBLICATION,"A novel series of 16-substituted-4-azasteroids has been identified as potential tissue-selective androgen receptor modulators. These ligands display potent hAR binding and agonist activity, low virilizing potential, and good pharmacokinetic profiles in dogs. On the basis of its in vitro profile, 21 was evaluated in the OVX and ORX rat models and exhibited an osteoanabolic, tissue-selective profile.",,CN1C(=O)C=C[C@]2(C)[C@H]3CC[C@]4(C)[C@@H](O)/C(=C/c5ccccc5)C[C@H]4[C@@H]3CC[C@@H]12,C26H33NO2,CHEMBL560935,140.0,,
557255,%,Emax,,BAO_0000656,Emax,580929,Agonist activity at androgen receptor in human MDA-MB-453 cells transfected with MMTV-LUC assessed as induction of MMTV-LTR/promoter linked LUC gene by luciferase transactivation assay relative to dihydrotestosterone,F,,CHEMBL1054894,10.1021/jm900880r,19606870,CHEMBL1153470,"Design, synthesis, and biological evaluation of 16-substituted 4-azasteroids as tissue-selective androgen receptor modulators (SARMs).",PUBLICATION,"A novel series of 16-substituted-4-azasteroids has been identified as potential tissue-selective androgen receptor modulators. These ligands display potent hAR binding and agonist activity, low virilizing potential, and good pharmacokinetic profiles in dogs. On the basis of its in vitro profile, 21 was evaluated in the OVX and ORX rat models and exhibited an osteoanabolic, tissue-selective profile.",,CN1C(=O)C=C[C@]2(C)[C@H]3CC[C@]4(C)[C@@H](O)/C(=C/c5cccnc5)C[C@H]4[C@@H]3CC[C@@H]12,C25H32N2O2,CHEMBL562780,93.0,,
560757,%,Emax,,BAO_0000656,Emax,580929,Agonist activity at androgen receptor in human MDA-MB-453 cells transfected with MMTV-LUC assessed as induction of MMTV-LTR/promoter linked LUC gene by luciferase transactivation assay relative to dihydrotestosterone,F,,CHEMBL1054894,10.1021/jm900880r,19606870,CHEMBL1153470,"Design, synthesis, and biological evaluation of 16-substituted 4-azasteroids as tissue-selective androgen receptor modulators (SARMs).",PUBLICATION,"A novel series of 16-substituted-4-azasteroids has been identified as potential tissue-selective androgen receptor modulators. These ligands display potent hAR binding and agonist activity, low virilizing potential, and good pharmacokinetic profiles in dogs. On the basis of its in vitro profile, 21 was evaluated in the OVX and ORX rat models and exhibited an osteoanabolic, tissue-selective profile.",,Cc1ncc(/C=C2\C[C@H]3[C@@H]4CC[C@H]5N(C)C(=O)C=C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2O)cn1,C25H33N3O2,CHEMBL549375,137.0,,
562574,%,Emax,,BAO_0000656,Emax,580929,Agonist activity at androgen receptor in human MDA-MB-453 cells transfected with MMTV-LUC assessed as induction of MMTV-LTR/promoter linked LUC gene by luciferase transactivation assay relative to dihydrotestosterone,F,,CHEMBL1054894,10.1021/jm900880r,19606870,CHEMBL1153470,"Design, synthesis, and biological evaluation of 16-substituted 4-azasteroids as tissue-selective androgen receptor modulators (SARMs).",PUBLICATION,"A novel series of 16-substituted-4-azasteroids has been identified as potential tissue-selective androgen receptor modulators. These ligands display potent hAR binding and agonist activity, low virilizing potential, and good pharmacokinetic profiles in dogs. On the basis of its in vitro profile, 21 was evaluated in the OVX and ORX rat models and exhibited an osteoanabolic, tissue-selective profile.",,CN1C(=O)C=C[C@]2(C)[C@H]3CC[C@]4(C)[C@@H](O)/C(=C/c5cncnc5)C[C@H]4[C@@H]3CC[C@@H]12,C24H31N3O2,CHEMBL551269,141.0,,
562575,%,Emax,,BAO_0000656,Emax,580929,Agonist activity at androgen receptor in human MDA-MB-453 cells transfected with MMTV-LUC assessed as induction of MMTV-LTR/promoter linked LUC gene by luciferase transactivation assay relative to dihydrotestosterone,F,,CHEMBL1054894,10.1021/jm900880r,19606870,CHEMBL1153470,"Design, synthesis, and biological evaluation of 16-substituted 4-azasteroids as tissue-selective androgen receptor modulators (SARMs).",PUBLICATION,"A novel series of 16-substituted-4-azasteroids has been identified as potential tissue-selective androgen receptor modulators. These ligands display potent hAR binding and agonist activity, low virilizing potential, and good pharmacokinetic profiles in dogs. On the basis of its in vitro profile, 21 was evaluated in the OVX and ORX rat models and exhibited an osteoanabolic, tissue-selective profile.",,CN1C(=O)C=C[C@]2(C)[C@H]3CC[C@]4(C)[C@@H](O)/C(=C/c5cnc(C6CC6)nc5)C[C@H]4[C@@H]3CC[C@@H]12,C27H35N3O2,CHEMBL551270,140.0,,
