comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1
717,nM,FI5,,"Entry 0: BAO_0000179, Entry 1: BAO_0000179, ",FI5,"Entry 0: 432233, Entry 1: 449392, ","Entry 0: Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay, Entry 1: Agonist activity at human androgen receptor expressed in HeLa cells assessed as five times increase in transcriptional activity by reporter gene assay, ","Entry 0: F, Entry 1: F, ",,"Entry 0: CHEMBL914605, Entry 1: CHEMBL899660, ","Entry 0: 10.1016/j.bmc.2006.09.072, Entry 1: 10.1016/j.bmcl.2007.07.090, ","Entry 0: 17064916, Entry 1: 17804229, ","Entry 0: CHEMBL1144524, Entry 1: CHEMBL1137463, ","Entry 0: Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships., Entry 1: Discovery and structure-activity relationships of new steroidal compounds bearing a carboxy-terminal side chain as androgen receptor pure antagonists., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities., Entry 1: Lead optimization of CH4892280 (4), an androgen receptor (AR) pure antagonist, was investigated. Compounds 6 and 7, which have a carboxylic acid at the end of the side chain at the position 7alpha of dihydrotestosterone (DHT), showed partial agonistic activities in reporter gene assay (RGA). Conversion of the steroidal core structure to 17alpha-methyltestosterone gave compound 14, which showed weak pure antagonistic activity. Optimization of the side chain by the insertion of a phenyl ring led to compounds 22 and 28-30, which showed pure antagonistic activities at submicromolar concentrations. The structure-activity relationships were clarified., ",,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,C18H14F4N2O4S,CHEMBL409,200.0,770.0
6787,nM,FI5,,"Entry 0: BAO_0000179, Entry 1: BAO_0000179, ",FI5,"Entry 0: 432233, Entry 1: 449392, ","Entry 0: Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay, Entry 1: Agonist activity at human androgen receptor expressed in HeLa cells assessed as five times increase in transcriptional activity by reporter gene assay, ","Entry 0: F, Entry 1: F, ",,"Entry 0: CHEMBL914605, Entry 1: CHEMBL899660, ","Entry 0: 10.1016/j.bmc.2006.09.072, Entry 1: 10.1016/j.bmcl.2007.07.090, ","Entry 0: 17064916, Entry 1: 17804229, ","Entry 0: CHEMBL1144524, Entry 1: CHEMBL1137463, ","Entry 0: Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships., Entry 1: Discovery and structure-activity relationships of new steroidal compounds bearing a carboxy-terminal side chain as androgen receptor pure antagonists., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities., Entry 1: Lead optimization of CH4892280 (4), an androgen receptor (AR) pure antagonist, was investigated. Compounds 6 and 7, which have a carboxylic acid at the end of the side chain at the position 7alpha of dihydrotestosterone (DHT), showed partial agonistic activities in reporter gene assay (RGA). Conversion of the steroidal core structure to 17alpha-methyltestosterone gave compound 14, which showed weak pure antagonistic activity. Optimization of the side chain by the insertion of a phenyl ring led to compounds 22 and 28-30, which showed pure antagonistic activities at submicromolar concentrations. The structure-activity relationships were clarified., ",,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,C11H11F3N2O4,CHEMBL491,200.0,1000.0
375721,nM,FI5,,BAO_0000179,FI5,432233,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,F,,CHEMBL914605,10.1016/j.bmc.2006.09.072,17064916,CHEMBL1144524,Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships.,PUBLICATION,"A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities.",,CC(C)N(C)C(=O)CCCCCCCC1C[C@H]2CC(=O)CC[C@]2(C)[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@H]12,C31H53NO3,CHEMBL224414,10000.0,
375727,nM,FI5,,BAO_0000179,FI5,432233,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,F,,CHEMBL914605,10.1016/j.bmc.2006.09.072,17064916,CHEMBL1144524,Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships.,PUBLICATION,"A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities.",,CCN(C)C(=O)CCCCCCCC1C[C@H]2CC(=O)CC[C@]2(C)[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@H]12,C30H51NO3,CHEMBL390071,10000.0,
375734,nM,FI5,,BAO_0000179,FI5,432233,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,F,,CHEMBL914605,10.1016/j.bmc.2006.09.072,17064916,CHEMBL1144524,Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships.,PUBLICATION,"A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities.",,CN(C)C(=O)CCCCCCCC1C[C@H]2CC(=O)CC[C@]2(C)[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@H]12,C29H49NO3,CHEMBL389277,10000.0,
375738,nM,FI5,,BAO_0000179,FI5,432233,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,F,,CHEMBL914605,10.1016/j.bmc.2006.09.072,17064916,CHEMBL1144524,Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships.,PUBLICATION,"A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities.",,CCN(CC)C(=O)CCCCCCCC1C[C@H]2CC(=O)CC[C@]2(C)[C@H]2CC[C@]3(C)[C@@H](O)CC[C@H]3[C@H]12,C31H53NO3,CHEMBL224352,10000.0,
375746,nM,FI5,,BAO_0000179,FI5,432233,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,F,,CHEMBL914605,10.1016/j.bmc.2006.09.072,17064916,CHEMBL1144524,Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships.,PUBLICATION,"A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities.",,C[C@]12CCC(=O)C[C@@H]1CC(CCCCCCCC(=O)N1CCOCC1)[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,C31H51NO4,CHEMBL224654,10000.0,
375754,nM,FI5,,BAO_0000179,FI5,432233,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,F,,CHEMBL914605,10.1016/j.bmc.2006.09.072,17064916,CHEMBL1144524,Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships.,PUBLICATION,"A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities.",,C[C@]12CCC(=O)C[C@@H]1CC(CCCCCCCC(=O)N1CCCC1)[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,C31H51NO3,CHEMBL427243,10000.0,
375760,nM,FI5,,BAO_0000179,FI5,432233,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,F,,CHEMBL914605,10.1016/j.bmc.2006.09.072,17064916,CHEMBL1144524,Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships.,PUBLICATION,"A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities.",,C[C@]12CCC(=O)C[C@@H]1CC(CCCCCCCC(=O)N1CCCCC1)[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,C32H53NO3,CHEMBL224707,10000.0,
375771,nM,FI5,,BAO_0000179,FI5,432233,Agonist activity at androgen receptor expressed in HeLa cells assessed as effect on dihydrotestosterone-induced transcriptional activity by reporter gene assay,F,,CHEMBL914605,10.1016/j.bmc.2006.09.072,17064916,CHEMBL1144524,Discovery of 7alpha-substituted dihydrotestosterones as androgen receptor pure antagonists and their structure-activity relationships.,PUBLICATION,"A series of 7alpha-substituted dihydrotestosterone derivatives were synthesized and evaluated for androgen receptor (AR) pure antagonistic activity. From reporter gene assay (RGA), the compound with a side chain containing N-n-butyl-N-methyl amide (19a) showed pure antagonistic activity (IC(50)=340nM, FI(5)>10,000nM), whereas known AR antagonists showed partial agonistic activities. The optimization of 19a led to compound 23 (CH4892280), which showed more potent pure antagonistic activity (IC(50)=190nM, FI(5)>10,000nM). The SARs of tested compounds suggested that the length of the side chain and the substituents on the amide nitrogen are important for pure antagonistic activities.",,C[C@]12CCC(=O)C[C@@H]1CC(CCCCCCCC(N)=O)[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,C27H45NO3,CHEMBL224733,2400.0,
