comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7
717,%,Inhibition,,"Entry 0: BAO_0000201, Entry 1: BAO_0000201, Entry 2: BAO_0000201, Entry 3: BAO_0000201, Entry 4: BAO_0000201, ",INH,"Entry 0: 751975, Entry 1: 788249, Entry 2: 1347835, Entry 3: 1347836, Entry 4: 1468252, ","Entry 0: Antagonist activity at androgen receptor T877A mutant expressed in african green monkey CV1 cells assessed as inhibition of dihydrotestosterone-induced transcriptional activity at 1 to 1000 nM by luciferase reporter gene assay, Entry 1: Antagonist activity at human AR overexpressed in human LNCAP cells at 1 uM by luciferase reporter gene assay in the presence of agonist R1881, Entry 2: Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of androgen-stimulated cell growth at 20 uM measured every 3 days relative to dihydrotestosterone, Entry 3: Antagonist activity at androgen receptor in human LNCAP cells assessed as inhibition of androgen-stimulated cell growth at 40 uM measured every 3 days relative to dihydrotestosterone, Entry 4: Antagonist activity against pSG5-tagged human androgen receptor expressed in COS1 cells assessed as receptor-mediated testosterone-induced transcriptional activity at 10 uM by AR-regulated rat probasin promoter fragment driven firefly luciferase reporter assay (Rvb = 100 +/- 5.7%), ","Entry 0: F, Entry 1: F, Entry 2: B, Entry 3: B, Entry 4: B, ",,"Entry 0: CHEMBL1785917, Entry 1: CHEMBL1919512, Entry 2: CHEMBL3266737, Entry 3: CHEMBL3266738, Entry 4: CHEMBL3411795, ","Entry 0: 10.1021/jm2000097, Entry 1: 10.1021/jm201059s, Entry 2: 10.1016/j.bmc.2014.03.018, Entry 3: 10.1016/j.bmc.2014.03.018, Entry 4: 10.1021/jm501995n, ","Entry 0: 21506597, Entry 1: 21936524, Entry 2: 24726305, Entry 3: 24726305, Entry 4: 25646649, ","Entry 0: CHEMBL1782015, Entry 1: CHEMBL1914419, Entry 2: CHEMBL3259638, Entry 3: CHEMBL3259638, Entry 4: CHEMBL3407333, ","Entry 0: Unexpected binding orientation of bulky-B-ring anti-androgens and implications for future drug targets., Entry 1: Discovery of aryloxy tetramethylcyclobutanes as novel androgen receptor antagonists., Entry 2: Preliminary investigations into triazole derived androgen receptor antagonists., Entry 3: Preliminary investigations into triazole derived androgen receptor antagonists., Entry 4: Synthesis and biological evaluation of second-generation tropanol-based androgen receptor modulators., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, Entry 2: PUBLICATION, Entry 3: PUBLICATION, Entry 4: PUBLICATION, ","Entry 0: Several new androgen receptor antagonists were synthesized and found to have varying activities across typically anti-androgen resistant mutants (Thr877 → Ala and Trp741 → Leu) and markedly improved potency over previously reported pan-antagonists. X-ray crystallography of a new anti-androgen in an androgen receptor mutant (Thr877 → Ala) shows that the receptor can accommodate the added bulk presented by phenyl to naphthyl substitution, casting doubt on previous reports of predicted binding orientation and the causes of antagonism in bulky-B-ring antagonists., Entry 1: An aryloxy tetramethylcyclobutane was identified as a novel template for androgen receptor (AR) antagonists via cell-based high-throughput screening. Follow-up to the initial ""hit"" established 5 as a viable lead. Further optimization to achieve full AR antagonism led to the discovery of 26 and 30, both of which demonstrated excellent in vivo tumor growth inhibition upon oral administration in a castration-resistant prostate cancer (CRPC) animal model., Entry 2: A range of 1,4-substituted-1,2,3-N-phenyltriazoles were synthesized and evaluated as non-steroidal androgen receptor (AR) antagonists. The motivation for this study was to replace the N-phenyl amide portion of small molecule antiandrogens with a 1,2,3-triazole and determine effects, if any, on biological activity. The synthetic methodology presented herein is robust, high yielding and extremely rapid. Using this methodology a series of 17 N-aryl triazoles were synthesized from commercially available starting materials in less than 3h. After preliminary biological screening at 20 and 40 μM, the most promising three compounds were found to display IC50 values of 40-50 μM against androgen dependent (LNCaP) cells and serve as a starting point for further structure-activity investigations. All compounds in this work were the focus of an in silico study to dock the compounds into the human androgen receptor ligand binding domain (hARLBD) and compare their predicted binding affinity with known antiandrogens. A comparison of receptor-ligand interactions for the wild type and T877A mutant AR revealed two novel polar interactions. One with Q738 of the wild type site and the second with the mutated A877 residue., Entry 3: A range of 1,4-substituted-1,2,3-N-phenyltriazoles were synthesized and evaluated as non-steroidal androgen receptor (AR) antagonists. The motivation for this study was to replace the N-phenyl amide portion of small molecule antiandrogens with a 1,2,3-triazole and determine effects, if any, on biological activity. The synthetic methodology presented herein is robust, high yielding and extremely rapid. Using this methodology a series of 17 N-aryl triazoles were synthesized from commercially available starting materials in less than 3h. After preliminary biological screening at 20 and 40 μM, the most promising three compounds were found to display IC50 values of 40-50 μM against androgen dependent (LNCaP) cells and serve as a starting point for further structure-activity investigations. All compounds in this work were the focus of an in silico study to dock the compounds into the human androgen receptor ligand binding domain (hARLBD) and compare their predicted binding affinity with known antiandrogens. A comparison of receptor-ligand interactions for the wild type and T877A mutant AR revealed two novel polar interactions. One with Q738 of the wild type site and the second with the mutated A877 residue., Entry 4: To circumvent antiandrogen resistance in prostate cancer, antiandrogens effective for both the androgen receptor (AR) and AR mutants are required. The AR antagonists in this study originate from previous findings, which showed that subtle differences in substitution pattern lead to a conformational change that alters the ligand activity, rendering an agonist to an antagonist. We have identified small yet potent tropanol-based ligands possessing significant antiandrogenic activity with both wild-type AR and the two most common AR ligand binding domain (LBD) mutants., ",,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,C18H14F4N2O4S,CHEMBL409,15.5,28.0,33.0,72.0,84.0,,,
1325,%,Inhibition,,BAO_0000201,Inhibition,475673,Inhibition of wild type androgen receptor expressed in CV1 cells assessed as dihydrotestosterone-stimulated transactivation at 500 nM by CAT reporter gene assay,B,,CHEMBL937559,10.1073/pnas.0609752104,17606915,CHEMBL1145525,Discovery of antiandrogen activity of nonsteroidal scaffolds of marketed drugs.,PUBLICATION,"Finding good drug leads de novo from large chemical libraries, real or virtual, is not an easy task. High-throughput screening is often plagued by low hit rates and many leads that are toxic or exhibit poor bioavailability. Exploiting the secondary activity of marketed drugs, on the other hand, may help in generating drug leads that can be optimized for the observed side-effect target, while maintaining acceptable bioavailability and toxicity profiles. Here, we describe an efficient computational methodology to discover leads to a protein target from safe marketed drugs. We applied an in silico ""drug repurposing"" procedure for identification of nonsteroidal antagonists against the human androgen receptor (AR), using multiple predicted models of an antagonist-bound receptor. The library of marketed oral drugs was then docked into the best-performing models, and the 11 selected compounds with the highest docking score were tested in vitro for AR binding and antagonism of dihydrotestosterone-induced AR transactivation. The phenothiazine derivatives acetophenazine, fluphenazine, and periciazine, used clinically as antipsychotic drugs, were identified as weak AR antagonists. This in vitro biological activity correlated well with endocrine side effects observed in individuals taking these medications. Further computational optimization of phenothiazines, combined with in vitro screening, led to the identification of a nonsteroidal antiandrogen with improved AR antagonism and marked reduction in affinity for dopaminergic and serotonergic receptors that are the primary target of phenothiazine antipsychotics.",,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,C21H24F3N3S,CHEMBL422,2.8,,,,,,,
2355,%,Inhibition,,BAO_0000201,Inhibition,477551,Activity at androgen receptor ligand binding domain assessed as inhibition of SRC2-3 interaction at 50 uM after 2 hrs by fluorescence polarization assay,B,,CHEMBL924812,10.1073/pnas.0708036104,17911242,CHEMBL1147068,A surface on the androgen receptor that allosterically regulates coactivator binding.,PUBLICATION,"Current approaches to inhibit nuclear receptor (NR) activity target the hormone binding pocket but face limitations. We have proposed that inhibitors, which bind to nuclear receptor surfaces that mediate assembly of the receptor's binding partners, might overcome some of these limitations. The androgen receptor (AR) plays a central role in prostate cancer, but conventional inhibitors lose effectiveness as cancer treatments because anti-androgen resistance usually develops. We conducted functional and x-ray screens to identify compounds that bind the AR surface and block binding of coactivators for AR activation function 2 (AF-2). Four compounds that block coactivator binding in solution with IC(50) approximately 50 microM and inhibit AF-2 activity in cells were detected: three nonsteroidal antiinflammatory drugs and the thyroid hormone 3,3',5-triiodothyroacetic acid. Although visualization of compounds at the AR surface reveals weak binding at AF-2, the most potent inhibitors bind preferentially to a previously unknown regulatory surface cleft termed binding function (BF)-3, which is a known target for mutations in prostate cancer and androgen insensitivity syndrome. X-ray structural analysis reveals that 3,3',5-triiodothyroacetic acid binding to BF-3 remodels the adjacent interaction site AF-2 to weaken coactivator binding. Mutation of residues that form BF-3 inhibits AR function and AR AF-2 activity. We propose that BF-3 is a previously unrecognized allosteric regulatory site needed for AR activity in vivo and a possible pharmaceutical target.",,CCN(CC)CCCC(C)Nc1c2ccc(Cl)cc2nc2ccc(OC)cc12,C23H30ClN3O,CHEMBL7568,72.0,,,,,,,
5970,%,Inhibition,,BAO_0000201,Inhibition,475673,Inhibition of wild type androgen receptor expressed in CV1 cells assessed as dihydrotestosterone-stimulated transactivation at 500 nM by CAT reporter gene assay,B,,CHEMBL937559,10.1073/pnas.0609752104,17606915,CHEMBL1145525,Discovery of antiandrogen activity of nonsteroidal scaffolds of marketed drugs.,PUBLICATION,"Finding good drug leads de novo from large chemical libraries, real or virtual, is not an easy task. High-throughput screening is often plagued by low hit rates and many leads that are toxic or exhibit poor bioavailability. Exploiting the secondary activity of marketed drugs, on the other hand, may help in generating drug leads that can be optimized for the observed side-effect target, while maintaining acceptable bioavailability and toxicity profiles. Here, we describe an efficient computational methodology to discover leads to a protein target from safe marketed drugs. We applied an in silico ""drug repurposing"" procedure for identification of nonsteroidal antagonists against the human androgen receptor (AR), using multiple predicted models of an antagonist-bound receptor. The library of marketed oral drugs was then docked into the best-performing models, and the 11 selected compounds with the highest docking score were tested in vitro for AR binding and antagonism of dihydrotestosterone-induced AR transactivation. The phenothiazine derivatives acetophenazine, fluphenazine, and periciazine, used clinically as antipsychotic drugs, were identified as weak AR antagonists. This in vitro biological activity correlated well with endocrine side effects observed in individuals taking these medications. Further computational optimization of phenothiazines, combined with in vitro screening, led to the identification of a nonsteroidal antiandrogen with improved AR antagonism and marked reduction in affinity for dopaminergic and serotonergic receptors that are the primary target of phenothiazine antipsychotics.",,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,C21H26N2S2,CHEMBL479,2.4,,,,,,,
6787,%,Inhibition,,"Entry 0: BAO_0000201, Entry 1: BAO_0000201, ",INH,"Entry 0: 854886, Entry 1: 993097, ","Entry 0: Displacement of [3H]R1881 from wild type human androgen receptor expressed in COS-1 cells co-transfected with pSG5 after 15 mins by scintillation assay relative to untreated control, Entry 1: Antagonist activity at androgen receptor in human MDA-kb2 cells assessed as inhibition of DHT-induced luciferase activity at 10 uM after 24 hrs by chemiluminescence assay relative to control, ","Entry 0: B, Entry 1: B, ",,"Entry 0: CHEMBL2162623, Entry 1: CHEMBL2446672, ","Entry 0: 10.1021/jm300233k, Entry 1: 10.1021/ml4001744, ","Entry 0: 22746350, Entry 1: 24900588, ","Entry 0: CHEMBL2157978, Entry 1: CHEMBL2439974, ","Entry 0: Design, synthesis, and biological evaluation of nonsteroidal cycloalkane[d]isoxazole-containing androgen receptor modulators., Entry 1: Design and Synthesis of 4-(4-Benzoylaminophenoxy)phenol Derivatives As Androgen Receptor Antagonists., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: We report here the design, preparation, and systematic evaluation of a novel cycloalkane[d]isoxazole pharmacophoric fragment-containing androgen receptor (AR) modulators. Cycloalkane[d]isoxazoles form new core structures that interact with the hydrophobic region of the AR ligand-binding domain. To systematize and rationalize the structure-activity relationship of the new fragment, we used molecular modeling to design a molecular library containing over 40 cycloalkane[d]isoxazole derivatives. The most potent compound, 4-(3a,4,5,6,7,7a-hexahydrobenzo[d]isoxazol-3-yl)-2-(trifluoromethyl)benzonitrile (6a), exhibits antiandrogenic activity significantly greater than that of the most widely used antiandrogenic prostate cancer drugs bicalutamide (1) and hydroxyflutamide (2) in reporter gene assays measuring the transcriptional activity of AR (decreasing approximately 90% of the total AR activity) and in competitive AR ligand-binding assays (showing over four times higher potency to inhibit radioligand binding in comparison to bicalutamide). Notably, 6a maintains its antiandrogenic activity with AR mutants W741L and T877A commonly observed and activated by bicalutamide and hydroxyflutamide, respectively, in prostate cancer patients., Entry 1: We report the design and synthesis of novel 4-(4-benzoylaminophenoxy)phenol derivatives that bind to the androgen receptor (AR) ligand-binding domain and exhibit potent androgen-antagonistic activity. Compound 22 is one of the most potent of these derivatives, inhibiting the dihydrotestosterone-promoted growth of SC-3 cell line bearing wild-type AR (IC50 0.75 μM), LNCaP cell line bearing T877A-mutated AR (IC50 0.043 μM), and 22Rv1 cell line bearing H874Y-mutated AR (IC50 0.22 μM). Structure-activity relationship studies confirmed that the pharmacophore of these novel AR antagonists is distinct from the nitro- or cyano-substituted anilide substructure of other nonsteroidal AR antagonists. This novel pharmacophore is expected to provide a basis for designing new antiprostate cancer agents., ",,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,C11H11F3N2O4,CHEMBL491,60.0,94.8,,,,,,
10531,%,Inhibition,,BAO_0000201,Inhibition,477551,Activity at androgen receptor ligand binding domain assessed as inhibition of SRC2-3 interaction at 50 uM after 2 hrs by fluorescence polarization assay,B,,CHEMBL924812,10.1073/pnas.0708036104,17911242,CHEMBL1147068,A surface on the androgen receptor that allosterically regulates coactivator binding.,PUBLICATION,"Current approaches to inhibit nuclear receptor (NR) activity target the hormone binding pocket but face limitations. We have proposed that inhibitors, which bind to nuclear receptor surfaces that mediate assembly of the receptor's binding partners, might overcome some of these limitations. The androgen receptor (AR) plays a central role in prostate cancer, but conventional inhibitors lose effectiveness as cancer treatments because anti-androgen resistance usually develops. We conducted functional and x-ray screens to identify compounds that bind the AR surface and block binding of coactivators for AR activation function 2 (AF-2). Four compounds that block coactivator binding in solution with IC(50) approximately 50 microM and inhibit AF-2 activity in cells were detected: three nonsteroidal antiinflammatory drugs and the thyroid hormone 3,3',5-triiodothyroacetic acid. Although visualization of compounds at the AR surface reveals weak binding at AF-2, the most potent inhibitors bind preferentially to a previously unknown regulatory surface cleft termed binding function (BF)-3, which is a known target for mutations in prostate cancer and androgen insensitivity syndrome. X-ray structural analysis reveals that 3,3',5-triiodothyroacetic acid binding to BF-3 remodels the adjacent interaction site AF-2 to weaken coactivator binding. Mutation of residues that form BF-3 inhibits AR function and AR AF-2 activity. We propose that BF-3 is a previously unrecognized allosteric regulatory site needed for AR activity in vivo and a possible pharmaceutical target.",,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,C14H11Cl2NO2,CHEMBL509,43.0,,,,,,,
19344,%,Inhibition,,BAO_0000201,Inhibition,477551,Activity at androgen receptor ligand binding domain assessed as inhibition of SRC2-3 interaction at 50 uM after 2 hrs by fluorescence polarization assay,B,,CHEMBL924812,10.1073/pnas.0708036104,17911242,CHEMBL1147068,A surface on the androgen receptor that allosterically regulates coactivator binding.,PUBLICATION,"Current approaches to inhibit nuclear receptor (NR) activity target the hormone binding pocket but face limitations. We have proposed that inhibitors, which bind to nuclear receptor surfaces that mediate assembly of the receptor's binding partners, might overcome some of these limitations. The androgen receptor (AR) plays a central role in prostate cancer, but conventional inhibitors lose effectiveness as cancer treatments because anti-androgen resistance usually develops. We conducted functional and x-ray screens to identify compounds that bind the AR surface and block binding of coactivators for AR activation function 2 (AF-2). Four compounds that block coactivator binding in solution with IC(50) approximately 50 microM and inhibit AF-2 activity in cells were detected: three nonsteroidal antiinflammatory drugs and the thyroid hormone 3,3',5-triiodothyroacetic acid. Although visualization of compounds at the AR surface reveals weak binding at AF-2, the most potent inhibitors bind preferentially to a previously unknown regulatory surface cleft termed binding function (BF)-3, which is a known target for mutations in prostate cancer and androgen insensitivity syndrome. X-ray structural analysis reveals that 3,3',5-triiodothyroacetic acid binding to BF-3 remodels the adjacent interaction site AF-2 to weaken coactivator binding. Mutation of residues that form BF-3 inhibits AR function and AR AF-2 activity. We propose that BF-3 is a previously unrecognized allosteric regulatory site needed for AR activity in vivo and a possible pharmaceutical target.",,CC1=CC(=O)c2ccccc2C1=O,C11H8O2,CHEMBL590,43.0,,,,,,,
29860,%,Inhibition,,BAO_0000201,Inhibition,477551,Activity at androgen receptor ligand binding domain assessed as inhibition of SRC2-3 interaction at 50 uM after 2 hrs by fluorescence polarization assay,B,,CHEMBL924812,10.1073/pnas.0708036104,17911242,CHEMBL1147068,A surface on the androgen receptor that allosterically regulates coactivator binding.,PUBLICATION,"Current approaches to inhibit nuclear receptor (NR) activity target the hormone binding pocket but face limitations. We have proposed that inhibitors, which bind to nuclear receptor surfaces that mediate assembly of the receptor's binding partners, might overcome some of these limitations. The androgen receptor (AR) plays a central role in prostate cancer, but conventional inhibitors lose effectiveness as cancer treatments because anti-androgen resistance usually develops. We conducted functional and x-ray screens to identify compounds that bind the AR surface and block binding of coactivators for AR activation function 2 (AF-2). Four compounds that block coactivator binding in solution with IC(50) approximately 50 microM and inhibit AF-2 activity in cells were detected: three nonsteroidal antiinflammatory drugs and the thyroid hormone 3,3',5-triiodothyroacetic acid. Although visualization of compounds at the AR surface reveals weak binding at AF-2, the most potent inhibitors bind preferentially to a previously unknown regulatory surface cleft termed binding function (BF)-3, which is a known target for mutations in prostate cancer and androgen insensitivity syndrome. X-ray structural analysis reveals that 3,3',5-triiodothyroacetic acid binding to BF-3 remodels the adjacent interaction site AF-2 to weaken coactivator binding. Mutation of residues that form BF-3 inhibits AR function and AR AF-2 activity. We propose that BF-3 is a previously unrecognized allosteric regulatory site needed for AR activity in vivo and a possible pharmaceutical target.",,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,C14H10F3NO2,CHEMBL23588,42.0,,,,,,,
46102,%,Inhibition,,BAO_0000201,INH,812123,Antagonist activity at androgen receptor in human LNCAP cells assessed as decrease in prostate specific antigen mRNA level at 2.5 uM after 20 hrs by real time RT-PCR analysis,F,,CHEMBL2013627,10.1016/j.bmcl.2011.12.141,22310230,CHEMBL2010800,Methoxychalcone inhibitors of androgen receptor translocation and function.,PUBLICATION,"Androgen receptor activity drives incurable castrate-resistant prostate cancer. All approved antiandrogens inhibit androgen receptor-driven transcription, and in addition the second-generation antiandrogen MDV3100 inhibits ligand-activated androgen receptor nuclear translocation, via an unknown mechanism. Here, we report methoxychalcones that lock the heat shock protein 90-androgen receptor complex in the cytoplasm in an androgen-non-responsive state, thus demonstrating a novel chemical scaffold for antiandrogen development and a unique mechanism of antiandrogen activity.",,COc1ccccc1C(=O)/C=C/c1ccccc1,C16H14O2,CHEMBL287154,63.0,,,,,,,
52087,%,Inhibition,,"Entry 0: BAO_0000201, Entry 1: BAO_0000201, ",INH,"Entry 0: 641753, Entry 1: 641754, ","Entry 0: Antagonist activity at human androgen receptor expressed in mouse NIH3T3 cells assessed as inhibition of dihydrotestosterone -induced luciferase transactivation activity at 0.1 nM by ARE-luciferase reporter gene assay, Entry 1: Displacement of [3H]dihydrotestosterone from GST-tagged human androgen receptor expressed in Escherichia coli HB101 at 10 uM by liquid scintillation counting relative to dihydrotestosterone, ","Entry 0: F, Entry 1: B, ",,"Entry 0: CHEMBL1176920, Entry 1: CHEMBL1176966, ","Entry 0: 10.1021/jm100316f, Entry 1: 10.1021/jm100316f, ","Entry 0: 20521823, Entry 1: 20521823, ","Entry 0: CHEMBL1177715, Entry 1: CHEMBL1177715, ","Entry 0: Design and synthesis of androgen receptor full antagonists bearing a p-carborane cage: promising ligands for anti-androgen withdrawal syndrome., Entry 1: Design and synthesis of androgen receptor full antagonists bearing a p-carborane cage: promising ligands for anti-androgen withdrawal syndrome., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, ","Entry 0: Pure androgen receptor (AR) full antagonists are candidates to treat anti-androgen refractory prostate cancers. We previously developed a carborane-containing AR antagonist, 3-(12-hydroxymethyl-1,12-dicarba-closo-dodecaborane-1-yl)benzonitrile (BA341), which was more potent than hydroxyflutamide (4) but acted as an agonist toward LNCaP prostate cancer cells expressing T877A AR mutant. Here, we designed and synthesized novel AR full antagonists structurally based upon the clinically used AR full antagonist (R)-bicalutamide (5) to test our hypothesis that the carborane cage is suitable as a hydrophobic pharmacophore for AR ligands. Compounds 7b and 8b showed good biological profiles in AR binding and transactivation assays and dose-dependently inhibited the testosterone-induced proliferation of LNCaP cells, as well as SC-3 cells. The IC(50) values of compounds 7b and 8b were 3.8 x 10(-7) and 4.2 x 10(-7) M, respectively [5, 8.7 x 10(-7) M]. Since compounds 7b and 8b did not show any agonistic activity in functional assays, they seem to be pure AR full antagonists and are therefore candidates for treatment of anti-androgen withdrawal syndrome., Entry 1: Pure androgen receptor (AR) full antagonists are candidates to treat anti-androgen refractory prostate cancers. We previously developed a carborane-containing AR antagonist, 3-(12-hydroxymethyl-1,12-dicarba-closo-dodecaborane-1-yl)benzonitrile (BA341), which was more potent than hydroxyflutamide (4) but acted as an agonist toward LNCaP prostate cancer cells expressing T877A AR mutant. Here, we designed and synthesized novel AR full antagonists structurally based upon the clinically used AR full antagonist (R)-bicalutamide (5) to test our hypothesis that the carborane cage is suitable as a hydrophobic pharmacophore for AR ligands. Compounds 7b and 8b showed good biological profiles in AR binding and transactivation assays and dose-dependently inhibited the testosterone-induced proliferation of LNCaP cells, as well as SC-3 cells. The IC(50) values of compounds 7b and 8b were 3.8 x 10(-7) and 4.2 x 10(-7) M, respectively [5, 8.7 x 10(-7) M]. Since compounds 7b and 8b did not show any agonistic activity in functional assays, they seem to be pure AR full antagonists and are therefore candidates for treatment of anti-androgen withdrawal syndrome., ",,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,C11H11F3N2O3,CHEMBL806,12.0,20.0,,,,,,
