comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0
364998,%,Intrinsic activity,,BAO_0000181,Intrinsic activity,439309,Agonist activity at androgen receptor expressed in C2C12 mouse cells by luciferase reporter transactivation assay relative to DHT,F,,CHEMBL888421,10.1021/jm070312d,17552509,CHEMBL1145402,Discovery of potent and muscle selective androgen receptor modulators through scaffold modifications.,PUBLICATION,"A novel series of imidazolin-2-ones were designed and synthesized as highly potent, orally active and muscle selective androgen receptor modulators (SARMs), with most of the compounds exhibiting low nM in vitro potency in androgen receptor (AR) binding and functional assays. Once daily oral treatment with the lead compound 11a (AR Ki = 0.9 nM, EC50 = 1.8 nM) for 14 days induced muscle growth with an ED50 of 0.09 mg/kg, providing approximately 50-fold selectivity over prostate growth in an orchidectomized rat model. Pharmacokinetic studies in rats demonstrated that the lead compound 11a had oral bioavailability of 65% and a plasma half-life of 5.5 h. On the basis of their preclinical profiles, the SARMs in this series are expected to provide beneficial anabolic effects on muscle with minimal androgenic effects on prostate tissue.",,N#Cc1ccc(N2C(=O)[C@@H]3[C@H](O)CCN3C2=O)c2ccccc12,C17H13N3O3,CHEMBL425646,85.0
381838,%,Intrinsic activity,,BAO_0000181,Intrinsic activity,439309,Agonist activity at androgen receptor expressed in C2C12 mouse cells by luciferase reporter transactivation assay relative to DHT,F,,CHEMBL888421,10.1021/jm070312d,17552509,CHEMBL1145402,Discovery of potent and muscle selective androgen receptor modulators through scaffold modifications.,PUBLICATION,"A novel series of imidazolin-2-ones were designed and synthesized as highly potent, orally active and muscle selective androgen receptor modulators (SARMs), with most of the compounds exhibiting low nM in vitro potency in androgen receptor (AR) binding and functional assays. Once daily oral treatment with the lead compound 11a (AR Ki = 0.9 nM, EC50 = 1.8 nM) for 14 days induced muscle growth with an ED50 of 0.09 mg/kg, providing approximately 50-fold selectivity over prostate growth in an orchidectomized rat model. Pharmacokinetic studies in rats demonstrated that the lead compound 11a had oral bioavailability of 65% and a plasma half-life of 5.5 h. On the basis of their preclinical profiles, the SARMs in this series are expected to provide beneficial anabolic effects on muscle with minimal androgenic effects on prostate tissue.",,Cc1c(N2C(=O)[C@@H]3[C@H](O)CCN3C2=O)ccc(C#N)c1Cl,C14H12ClN3O3,CHEMBL229264,85.0
381840,%,Intrinsic activity,,BAO_0000181,Intrinsic activity,439309,Agonist activity at androgen receptor expressed in C2C12 mouse cells by luciferase reporter transactivation assay relative to DHT,F,,CHEMBL888421,10.1021/jm070312d,17552509,CHEMBL1145402,Discovery of potent and muscle selective androgen receptor modulators through scaffold modifications.,PUBLICATION,"A novel series of imidazolin-2-ones were designed and synthesized as highly potent, orally active and muscle selective androgen receptor modulators (SARMs), with most of the compounds exhibiting low nM in vitro potency in androgen receptor (AR) binding and functional assays. Once daily oral treatment with the lead compound 11a (AR Ki = 0.9 nM, EC50 = 1.8 nM) for 14 days induced muscle growth with an ED50 of 0.09 mg/kg, providing approximately 50-fold selectivity over prostate growth in an orchidectomized rat model. Pharmacokinetic studies in rats demonstrated that the lead compound 11a had oral bioavailability of 65% and a plasma half-life of 5.5 h. On the basis of their preclinical profiles, the SARMs in this series are expected to provide beneficial anabolic effects on muscle with minimal androgenic effects on prostate tissue.",,Cc1c(N2C[C@@H]3[C@H](O)CCN3C2=O)ccc(C#N)c1Cl,C14H14ClN3O2,CHEMBL229808,85.0
381841,%,Intrinsic activity,,BAO_0000181,Intrinsic activity,439309,Agonist activity at androgen receptor expressed in C2C12 mouse cells by luciferase reporter transactivation assay relative to DHT,F,,CHEMBL888421,10.1021/jm070312d,17552509,CHEMBL1145402,Discovery of potent and muscle selective androgen receptor modulators through scaffold modifications.,PUBLICATION,"A novel series of imidazolin-2-ones were designed and synthesized as highly potent, orally active and muscle selective androgen receptor modulators (SARMs), with most of the compounds exhibiting low nM in vitro potency in androgen receptor (AR) binding and functional assays. Once daily oral treatment with the lead compound 11a (AR Ki = 0.9 nM, EC50 = 1.8 nM) for 14 days induced muscle growth with an ED50 of 0.09 mg/kg, providing approximately 50-fold selectivity over prostate growth in an orchidectomized rat model. Pharmacokinetic studies in rats demonstrated that the lead compound 11a had oral bioavailability of 65% and a plasma half-life of 5.5 h. On the basis of their preclinical profiles, the SARMs in this series are expected to provide beneficial anabolic effects on muscle with minimal androgenic effects on prostate tissue.",,Cc1c(N2C[C@@H]3[C@H](O)CC[C@@H]3C2=O)ccc(C#N)c1Cl,C15H15ClN2O2,CHEMBL389077,85.0
381842,%,Intrinsic activity,,BAO_0000181,Intrinsic activity,439309,Agonist activity at androgen receptor expressed in C2C12 mouse cells by luciferase reporter transactivation assay relative to DHT,F,,CHEMBL888421,10.1021/jm070312d,17552509,CHEMBL1145402,Discovery of potent and muscle selective androgen receptor modulators through scaffold modifications.,PUBLICATION,"A novel series of imidazolin-2-ones were designed and synthesized as highly potent, orally active and muscle selective androgen receptor modulators (SARMs), with most of the compounds exhibiting low nM in vitro potency in androgen receptor (AR) binding and functional assays. Once daily oral treatment with the lead compound 11a (AR Ki = 0.9 nM, EC50 = 1.8 nM) for 14 days induced muscle growth with an ED50 of 0.09 mg/kg, providing approximately 50-fold selectivity over prostate growth in an orchidectomized rat model. Pharmacokinetic studies in rats demonstrated that the lead compound 11a had oral bioavailability of 65% and a plasma half-life of 5.5 h. On the basis of their preclinical profiles, the SARMs in this series are expected to provide beneficial anabolic effects on muscle with minimal androgenic effects on prostate tissue.",,Cc1c(N2C(=O)N3CC[C@H](O)[C@H]3[C@@H]2C)ccc(C#N)c1Cl,C15H16ClN3O2,CHEMBL229860,85.0
381843,%,Intrinsic activity,,BAO_0000181,Intrinsic activity,439309,Agonist activity at androgen receptor expressed in C2C12 mouse cells by luciferase reporter transactivation assay relative to DHT,F,,CHEMBL888421,10.1021/jm070312d,17552509,CHEMBL1145402,Discovery of potent and muscle selective androgen receptor modulators through scaffold modifications.,PUBLICATION,"A novel series of imidazolin-2-ones were designed and synthesized as highly potent, orally active and muscle selective androgen receptor modulators (SARMs), with most of the compounds exhibiting low nM in vitro potency in androgen receptor (AR) binding and functional assays. Once daily oral treatment with the lead compound 11a (AR Ki = 0.9 nM, EC50 = 1.8 nM) for 14 days induced muscle growth with an ED50 of 0.09 mg/kg, providing approximately 50-fold selectivity over prostate growth in an orchidectomized rat model. Pharmacokinetic studies in rats demonstrated that the lead compound 11a had oral bioavailability of 65% and a plasma half-life of 5.5 h. On the basis of their preclinical profiles, the SARMs in this series are expected to provide beneficial anabolic effects on muscle with minimal androgenic effects on prostate tissue.",,CC[C@H]1[C@@H]2[C@@H](O)CCN2C(=O)N1c1ccc(C#N)c(Cl)c1C,C16H18ClN3O2,CHEMBL229861,85.0
381844,%,Intrinsic activity,,BAO_0000181,Intrinsic activity,439309,Agonist activity at androgen receptor expressed in C2C12 mouse cells by luciferase reporter transactivation assay relative to DHT,F,,CHEMBL888421,10.1021/jm070312d,17552509,CHEMBL1145402,Discovery of potent and muscle selective androgen receptor modulators through scaffold modifications.,PUBLICATION,"A novel series of imidazolin-2-ones were designed and synthesized as highly potent, orally active and muscle selective androgen receptor modulators (SARMs), with most of the compounds exhibiting low nM in vitro potency in androgen receptor (AR) binding and functional assays. Once daily oral treatment with the lead compound 11a (AR Ki = 0.9 nM, EC50 = 1.8 nM) for 14 days induced muscle growth with an ED50 of 0.09 mg/kg, providing approximately 50-fold selectivity over prostate growth in an orchidectomized rat model. Pharmacokinetic studies in rats demonstrated that the lead compound 11a had oral bioavailability of 65% and a plasma half-life of 5.5 h. On the basis of their preclinical profiles, the SARMs in this series are expected to provide beneficial anabolic effects on muscle with minimal androgenic effects on prostate tissue.",,Cc1c(N2C(=O)N3CC[C@H](O)[C@H]3[C@@H]2C(F)(F)F)ccc(C#N)c1Cl,C15H13ClF3N3O2,CHEMBL375918,85.0
381845,%,Intrinsic activity,,BAO_0000181,Intrinsic activity,439309,Agonist activity at androgen receptor expressed in C2C12 mouse cells by luciferase reporter transactivation assay relative to DHT,F,,CHEMBL888421,10.1021/jm070312d,17552509,CHEMBL1145402,Discovery of potent and muscle selective androgen receptor modulators through scaffold modifications.,PUBLICATION,"A novel series of imidazolin-2-ones were designed and synthesized as highly potent, orally active and muscle selective androgen receptor modulators (SARMs), with most of the compounds exhibiting low nM in vitro potency in androgen receptor (AR) binding and functional assays. Once daily oral treatment with the lead compound 11a (AR Ki = 0.9 nM, EC50 = 1.8 nM) for 14 days induced muscle growth with an ED50 of 0.09 mg/kg, providing approximately 50-fold selectivity over prostate growth in an orchidectomized rat model. Pharmacokinetic studies in rats demonstrated that the lead compound 11a had oral bioavailability of 65% and a plasma half-life of 5.5 h. On the basis of their preclinical profiles, the SARMs in this series are expected to provide beneficial anabolic effects on muscle with minimal androgenic effects on prostate tissue.",,Cc1c(N2C(=O)N3CC[C@H](O)[C@H]3[C@H]2C)ccc(C#N)c1Cl,C15H16ClN3O2,CHEMBL229862,85.0
381846,%,Intrinsic activity,,BAO_0000181,Intrinsic activity,439309,Agonist activity at androgen receptor expressed in C2C12 mouse cells by luciferase reporter transactivation assay relative to DHT,F,,CHEMBL888421,10.1021/jm070312d,17552509,CHEMBL1145402,Discovery of potent and muscle selective androgen receptor modulators through scaffold modifications.,PUBLICATION,"A novel series of imidazolin-2-ones were designed and synthesized as highly potent, orally active and muscle selective androgen receptor modulators (SARMs), with most of the compounds exhibiting low nM in vitro potency in androgen receptor (AR) binding and functional assays. Once daily oral treatment with the lead compound 11a (AR Ki = 0.9 nM, EC50 = 1.8 nM) for 14 days induced muscle growth with an ED50 of 0.09 mg/kg, providing approximately 50-fold selectivity over prostate growth in an orchidectomized rat model. Pharmacokinetic studies in rats demonstrated that the lead compound 11a had oral bioavailability of 65% and a plasma half-life of 5.5 h. On the basis of their preclinical profiles, the SARMs in this series are expected to provide beneficial anabolic effects on muscle with minimal androgenic effects on prostate tissue.",,CC[C@@H]1[C@@H]2[C@@H](O)CCN2C(=O)N1c1ccc(C#N)c(Cl)c1C,C16H18ClN3O2,CHEMBL229916,85.0
381847,%,Intrinsic activity,,BAO_0000181,Intrinsic activity,439309,Agonist activity at androgen receptor expressed in C2C12 mouse cells by luciferase reporter transactivation assay relative to DHT,F,,CHEMBL888421,10.1021/jm070312d,17552509,CHEMBL1145402,Discovery of potent and muscle selective androgen receptor modulators through scaffold modifications.,PUBLICATION,"A novel series of imidazolin-2-ones were designed and synthesized as highly potent, orally active and muscle selective androgen receptor modulators (SARMs), with most of the compounds exhibiting low nM in vitro potency in androgen receptor (AR) binding and functional assays. Once daily oral treatment with the lead compound 11a (AR Ki = 0.9 nM, EC50 = 1.8 nM) for 14 days induced muscle growth with an ED50 of 0.09 mg/kg, providing approximately 50-fold selectivity over prostate growth in an orchidectomized rat model. Pharmacokinetic studies in rats demonstrated that the lead compound 11a had oral bioavailability of 65% and a plasma half-life of 5.5 h. On the basis of their preclinical profiles, the SARMs in this series are expected to provide beneficial anabolic effects on muscle with minimal androgenic effects on prostate tissue.",,Cc1c(N2C(=O)N3CC[C@H](O)[C@H]3[C@H]2C(F)(F)F)ccc(C#N)c1Cl,C15H13ClF3N3O2,CHEMBL389250,65.0
