comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15,act_16
717,nM,Ki,,"Entry 0: BAO_0000192, Entry 1: BAO_0000192, Entry 2: BAO_0000192, Entry 3: BAO_0000192, Entry 4: BAO_0000192, Entry 5: BAO_0000192, Entry 6: BAO_0000192, Entry 7: BAO_0000192, Entry 8: BAO_0000192, Entry 9: BAO_0000192, Entry 10: BAO_0000192, Entry 11: BAO_0000192, Entry 12: BAO_0000192, Entry 13: BAO_0000192, Entry 14: BAO_0000192, Entry 15: BAO_0000192, Entry 16: BAO_0000192, ",Ki,"Entry 0: 36133, Entry 1: 36140, Entry 2: 36279, Entry 3: 302725, Entry 4: 303028, Entry 5: 303055, Entry 6: 303250, Entry 7: 317562, Entry 8: 327106, Entry 9: 438257, Entry 10: 464720, Entry 11: 467617, Entry 12: 479690, Entry 13: 643540, Entry 14: 1503066, Entry 15: 1519754, Entry 16: 2214672, ","Entry 0: Binding affinity against Androgen receptor transfected into COS cells, Entry 1: Binding affinity for human androgen receptor transfected into mammalian COS-1 cells, Entry 2: Binding affinity for human androgen receptor in transiently-transfected COS-1 cells., Entry 3: Binding affinity for androgen receptor in human MDA-453 cells, Entry 4: Inhibition of [3H]DHT binding to androgen receptor of MDA-453 cells, Entry 5: Inhibition of [3H]-DHT binding to T877A androgen receptor of LNCaP cells, Entry 6: Displacement of [3H]DHT from androgen receptor of human MDA-453 cells, Entry 7: Binding affinity for mutant T877A Androgen receptor in human LNCaP cells, Entry 8: Inhibition of human AR, Entry 9: Binding affinity to human androgen receptor expressed in CV1 cells, Entry 10: Displacement of [3H]DHT from human androgen receptor in MDA453 cells, Entry 11: Binding affinity to human androgen receptor expressed in monkey COS7 cells by whole cell binding assay, Entry 12: Displacement of [3H]DHT from human Androgen receptor in human MDA-MB-453 cells, Entry 13: Displacement of [3H]DHT from AR in human MDA-MB-453 cells, Entry 14: Antagonist activity at androgen receptor (unknown origin), Entry 15: Displacement of [3H]-DHT from androgen receptor in human MDA-MB-453 cells after 90 mins by TopCount analysis, Entry 16: Binding affinity to Androgen receptor (unknown origin) assessed as inhibition constant, ","Entry 0: B, Entry 1: B, Entry 2: B, Entry 3: B, Entry 4: B, Entry 5: B, Entry 6: B, Entry 7: B, Entry 8: B, Entry 9: B, Entry 10: B, Entry 11: B, Entry 12: B, Entry 13: B, Entry 14: B, Entry 15: B, Entry 16: B, ",,"Entry 0: CHEMBL648322, Entry 1: CHEMBL872368, Entry 2: CHEMBL651953, Entry 3: CHEMBL839595, Entry 4: CHEMBL830415, Entry 5: CHEMBL828881, Entry 6: CHEMBL826376, Entry 7: CHEMBL825228, Entry 8: CHEMBL858790, Entry 9: CHEMBL887363, Entry 10: CHEMBL933063, Entry 11: CHEMBL930492, Entry 12: CHEMBL933554, Entry 13: CHEMBL1212404, Entry 14: CHEMBL3592212, Entry 15: CHEMBL3624233, Entry 16: CHEMBL5127804, ","Entry 0: 10.1016/s0960-894x(98)00107-3, Entry 1: 10.1016/s0960-894x(00)00010-x, Entry 2: 10.1021/jm970699s, Entry 3: 10.1016/j.bmcl.2004.10.085, Entry 4: 10.1016/j.bmcl.2004.10.051, Entry 5: 10.1016/j.bmcl.2004.10.051, Entry 6: 10.1016/j.bmcl.2004.09.049, Entry 7: 10.1016/j.bmcl.2004.10.085, Entry 8: 10.1021/jm050293c, Entry 9: 10.1016/j.bmcl.2007.01.007, Entry 10: 10.1016/j.bmcl.2008.02.006, Entry 11: 10.1016/j.bmcl.2008.03.085, Entry 12: 10.1016/j.bmcl.2008.03.062, Entry 13: 10.1016/j.bmcl.2010.06.034, Entry 14: 10.1016/j.ejmech.2015.05.039, Entry 15: 10.1021/acsmedchemlett.5b00173, Entry 16: 10.1016/j.ejmech.2022.114119, ","Entry 0: 9871534, Entry 1: 10743937, Entry 2: 9484511, Entry 3: 15603938, Entry 4: 15603960, Entry 5: 15603960, Entry 6: 15546739, Entry 7: 15603938, Entry 8: 16420057, Entry 9: 17257838, Entry 10: 18291644, Entry 11: 18442912, Entry 12: 18400499, Entry 13: 20584610, Entry 14: 26046313, Entry 15: 26288692, Entry 16: 35063736, ","Entry 0: CHEMBL1130772, Entry 1: CHEMBL1133046, Entry 2: CHEMBL1131477, Entry 3: CHEMBL1142826, Entry 4: CHEMBL1144249, Entry 5: CHEMBL1144249, Entry 6: CHEMBL1138730, Entry 7: CHEMBL1142826, Entry 8: CHEMBL1147729, Entry 9: CHEMBL1144605, Entry 10: CHEMBL1142249, Entry 11: CHEMBL1143080, Entry 12: CHEMBL1145608, Entry 13: CHEMBL1208719, Entry 14: CHEMBL3588823, Entry 15: CHEMBL3621143, Entry 16: CHEMBL5126525, ","Entry 0: New nonsteroidal androgen receptor modulators based on 4-(trifluoromethyl)-2(1H)-pyrrolidino[3,2-g] quinolinone., Entry 1: Effects of isosteric pyridone replacements in androgen receptor antagonists based on 1,2-dihydro- and 1,2,3,4-tetrahydro-2,2-dimethyl-6-trifluoromethyl-8-pyridono[5,6-g]quin olines., Entry 2: Synthesis and biological activity of a novel series of nonsteroidal, peripherally selective androgen receptor antagonists derived from 1,2-dihydropyridono[5,6-g]quinolines., Entry 3: Structure based approach to the design of bicyclic-1H-isoindole-1,3(2H)-dione based androgen receptor antagonists., Entry 4: Identification of a novel class of androgen receptor antagonists based on the bicyclic-1H-isoindole-1,3(2H)-dione nucleus., Entry 5: Identification of a novel class of androgen receptor antagonists based on the bicyclic-1H-isoindole-1,3(2H)-dione nucleus., Entry 6: The synthesis and evaluation of [2.2.1]-bicycloazahydantoins as androgen receptor antagonists., Entry 7: Structure based approach to the design of bicyclic-1H-isoindole-1,3(2H)-dione based androgen receptor antagonists., Entry 8: (+)-(2R,5S)-4-[4-cyano-3-(trifluoromethyl)phenyl]-2,5-dimethyl-N-[6-(trifluoromethyl)pyridin-3- yl]piperazine-1-carboxamide (YM580) as an orally potent and peripherally selective nonsteroidal androgen receptor antagonist., Entry 9: Discovery of an androgen receptor modulator pharmacophore based on 2-quinolinones., Entry 10: Identification and optimization of a novel series of [2.2.1]-oxabicyclo imide-based androgen receptor antagonists., Entry 11: Discovery of a novel series of nonsteroidal androgen receptor modulators: 5- or 6-oxachrysen-2-ones., Entry 12: Selective androgen receptor modulators based on a series of 7H-[1,4]oxazino[3,2-g]quinolin-7-ones with improved in vivo activity., Entry 13: Design and synthesis of 4-[3,5-dioxo-11-oxa-4,9-diazatricyclo[5.3.1.0(2,6)]undec-4-yl]-2-trifluoromethyl-benzonitriles as androgen receptor antagonists., Entry 14: Design, synthesis and biological evaluation of novel 5-oxo-2-thioxoimidazolidine derivatives as potent androgen receptor antagonists., Entry 15: Discovery of BMS-641988, a Novel Androgen Receptor Antagonist for the Treatment of Prostate Cancer., Entry 16: Overview of the development of selective androgen receptor modulators (SARMs) as pharmacological treatment for osteoporosis (1998-2021)., ","Entry 0: PUBLICATION, Entry 1: PUBLICATION, Entry 2: PUBLICATION, Entry 3: PUBLICATION, Entry 4: PUBLICATION, Entry 5: PUBLICATION, Entry 6: PUBLICATION, Entry 7: PUBLICATION, Entry 8: PUBLICATION, Entry 9: PUBLICATION, Entry 10: PUBLICATION, Entry 11: PUBLICATION, Entry 12: PUBLICATION, Entry 13: PUBLICATION, Entry 14: PUBLICATION, Entry 15: PUBLICATION, Entry 16: PUBLICATION, ","Entry 0: A series of 2(1H)-pyrrolidino[3,2-g]quinolinones was prepared and tested for the ability to modulate the transcriptional activity of the human androgen receptor (hAR). The parent compound, 4-(trifluoromethyl)-2(1H)-pyrrolidino[3,2-g]quinolinone, displayed moderate interaction with hAR, but more substituted analogues, particularly 6,7-disubstituted compounds, were potent hAR agonists in vitro., Entry 1: A series of nonsteroidal human androgen receptor (hAR) antagonists based on 8-substituted 1,2-dihydro- and 1,2,3,4-tetrahydro-2,2-dimethyl-6-trifluoromethylpyrido[3,2-g]quin olines was synthesized. Compounds in this series were tested for the ability to bind to hAR and inhibit hAR-dependent transcription in a mammalian cellular background., Entry 2: A new nonsteroidal antiandrogenic pharmacophore has been discovered using cell-based cotransfection assays with human androgen receptor (hAR). This series of AR antagonists is structurally characterized by a linear tricyclic 1,2-dihydropyridono[5,6-g]quinoline core. Analogues inhibit AR-mediated reporter gene expression and bind to AR as potently as or better than any known AR antagonists. Several analogues also showed excellent in vivo activity in classic rodent models of AR antagonism, inhibiting growth of rat ventral prostate and seminal vesicles, without accompanying increases in serum gonadotropin and testosterone levels, as is seen with other AR antagonists. Investigations of structure-activity relationships surrounding this pharmacophore resulted in molecules with complete specificity for AR, antagonist activity on an AR mutant commonly observed in prostate cancer patients, and improved in vivo efficacy. Molecules based on this series of compounds have the potential to provide unique and effective clinical opportunities for treatment of prostate cancer and other androgen-dependent diseases., Entry 3: A novel series of isoindoledione based compounds were identified as potent antagonists of the androgen receptor (AR). Co-crystallization of members of this family of inhibitors was successfully accomplished with the T877A AR LBD. A working model of how this class of compounds functions to antagonize the AR was created. Based on this model, it was proposed that expanding the bicyclic portion of the molecule should result in analogs which function as effective antagonists against a variety of AR isoforms. In contrast to what was predicted by the model, SAR around this new series was dictated by the aniline portion rather than the bicyclic portion of the molecule., Entry 4: A novel series of isoindoledione based compounds were identified as potent antagonists of the androgen receptor (AR). SAR around this series revealed dramatic differences in binding and function in mutant variants (MT) of the AR as compared to the wild type (WT) receptor. Optimization of the aniline portion revealed substitution patterns, which yielded potent antagonist activity against the WT AR as well as the MT AR found in the LNCaP and PCa2b human prostate tumor cell lines., Entry 5: A novel series of isoindoledione based compounds were identified as potent antagonists of the androgen receptor (AR). SAR around this series revealed dramatic differences in binding and function in mutant variants (MT) of the AR as compared to the wild type (WT) receptor. Optimization of the aniline portion revealed substitution patterns, which yielded potent antagonist activity against the WT AR as well as the MT AR found in the LNCaP and PCa2b human prostate tumor cell lines., Entry 6: A novel series of [2.2.1]-azahydantoins has been designed and synthesized in an enantiospecific manner. The ability of these compounds to act as antagonists to the androgen receptor was investigated and several were found to have potent activity in vitro., Entry 7: A novel series of isoindoledione based compounds were identified as potent antagonists of the androgen receptor (AR). Co-crystallization of members of this family of inhibitors was successfully accomplished with the T877A AR LBD. A working model of how this class of compounds functions to antagonize the AR was created. Based on this model, it was proposed that expanding the bicyclic portion of the molecule should result in analogs which function as effective antagonists against a variety of AR isoforms. In contrast to what was predicted by the model, SAR around this new series was dictated by the aniline portion rather than the bicyclic portion of the molecule., Entry 8: A novel series of trans-N-aryl-2,5-dimethylpiperazine-1-carboxamide derivatives was synthesized and their androgen receptor (AR) antagonist activities and in vivo antiandrogenic effects were evaluated. Pharmacological assays indicated that compound 33 was a potent AR antagonist, and subsequent optical resolution provided (+)-(2R,5S)-4-[4-cyano-3-(trifluoromethyl)phenyl]-2,5-dimethyl-N-[6-(trifluoromethyl)pyridin-3-yl]piperazine-1-carboxamide (33a, YM580) which exhibited the most potent antiandrogenic activity. Unlike bicalutamide, compound 33a decreased the weight of rat ventral prostate in a dose-dependent manner (ED(50) = 2.2 mg/kg/day), and induced the maximum antiandrogenic effect, comparable to that of surgical castration, without significantly affecting serum testosterone levels. Compound 33a is a promising clinical candidate for prostate cancer monotherapy., Entry 9: A series of alkylamino-2-quinolinone compounds (3) was discovered as androgen receptor modulators based on an early linear tricyclic quinoline pharmacophore (1). The series demonstrated selective high binding affinity to androgen receptor and potent receptor modulating activities in the cotransfection assays., Entry 10: A novel series of [2.2.1]-oxabicyclo imide-based compounds were identified as potent antagonists of the androgen receptor. Molecular modeling and iterative drug design were applied to optimize this series. The lead compound [3aS-(3aalpha,4beta,5beta,7beta,7aalpha)]-4-(octahydro-5-hydroxy-4,7-dimethyl-1,3-dioxo-4,7-epoxy-2H-isoindol-2-yl)-2-iodobenzonitrile was shown to have potent in vivo efficacy after oral dosing in the CWR22 human prostate tumor xenograph model., Entry 11: A novel oxachrysenone series (2) of nonsteroidal selective androgen receptor modulators (SARM) was developed based on the 6-aryl-2-quinolinones (1). Synthesis and preliminary SAR results based on in vitro assays are discussed. In the cotransfection assay, lead compound 5d showed AR agonist activity more potent than dihydrotestosterone (DHT), whereas compound 17b was a potent antagonist similar to bicalutamide., Entry 12: Modification on a lead series of [1,4]oxazino[3,2-g]quinolin-7-ones at the 2-position led to selective androgen receptor modulators with improved in vivo activity. The most potent analog (-)-33a exhibited full maintenance of levator ani muscle at 3mg/kg and reduced activity on ventral prostate weight in a 2-week orally-dosed and orchidectomized rat maintenance assay., Entry 13: A novel series of 4-[3,5-dioxo-11-oxa-4,9-diazatricyclo[5.3.1.0(2,6)]undec-4-yl]-2-trifluoromethyl-benzonitriles has been synthesized. The ability of these compounds to act as antagonists of the androgen receptor was investigated and several were found to have potent activity in vitro and in vivo., Entry 14: A series of novel highly active androgen receptor (AR) antagonists containing spiro-4-(5-oxo-3-phenyl-2-thioxoimidazolidin-1-yl)-2-(trifluoromethyl)benzonitrile core was designed based on the SAR studies available from the reported AR antagonists and in silico modeling. Within the series, compound (R)-6 (ONC1-13B) and its related analogues, including its active N-dealkylated metabolite, were found to be the most potent molecules with the target activity (IC50, androgen-sensitive human PCa LNCaP cells) in the range of 59-80 nM (inhibition of PSA production). The disclosed hits were at least two times more active than bicalutamide, nilutamide and enzalutamide within the performed assay. Several compounds were classified as partial agonists. Hit-compounds demonstrated benefit pharmacokinetic profiles in rats. Comparative SAR and 3D molecular docking studies were performed for the hit compounds elucidating the observed differences in the binding potency., Entry 15: BMS-641988 (23) is a novel, nonsteroidal androgen receptor antagonist designed for the treatment of prostate cancer. The compound has high binding affinity for the AR and acts as a functional antagonist in vitro. BMS-641988 is efficacious in multiple human prostate cancer xenograft models, including CWR22-BMSLD1 where it displays superior efficacy relative to bicalutamide. Based on its promising preclinical profile, BMS-641988 was selected for clinical development., Entry 16: Osteoporosis is a common disease in which the risk of fracture increases due to decreased bone mass and qualitative skeletal changes. Selective androgen receptor modulators (SARMs) are agonists with tissue selectivity, which act as partial or weak androgen receptor (AR) agonists in androgenic tissues, but mainly as complete AR agonists in synthetic metabolic tissues. In the recent 20 years, many scaffolds of SARMs have been reported, among which several molecules are promising and are undergoing clinical trial evaluation. However, it is still a challenge to discover SARMs with high activity and reduced side effects. In this review, not only are structure of SARMs reported in the literatures systematically collected and classified but also the structure-activity relationships (SAR) are systematically summarized. Furthermore, the advances in SARMs as potential treatment for osteoporosis are also updated., ",,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,C18H14F4N2O4S,CHEMBL409,11.0,19.0,35.0,35.0,64.0,64.0,64.0,64.0,64.0,65.0,82.0,117.0,117.0,151.0,151.0,151.0,160.2
1347,nM,Ki,,BAO_0000192,Ki,36273,"Binding affinity towards human androgen receptor (hAR), using dihydrotestosterone as radioligand for competitive binding assay",B,,CHEMBL648840,10.1016/s0960-894x(99)00119-5,10230629,CHEMBL1132083,"Switching androgen receptor antagonists to agonists by modifying C-ring substituents on piperidino[3,2-g]quinolinone.",PUBLICATION,"New nonsteroidal human androgen receptor (hAR) agonists were developed from an hAR antagonist pharmacophore, 2(1H)-piperidino[3,2-g]quinolinone. (+/-)-trans-7,8-Diethyl-4-trifluoromethyl-2(H)-piperidino-[3,2-g]quinoli none was synthesized and demonstrated potent hAR agonist activity (EC50=3 nM) in the cell-based cotransfection assay and high binding affinity (Ki=16 nM) in the competitive receptor binding assay.",,CC[C@H]1Nc2cc3nc(O)cc(C(F)(F)F)c3cc2CC1(CC)CC,C19H23F3N2O,CHEMBL267471,42.0,,,,,,,,,,,,,,,,
1348,nM,Ki,,BAO_0000192,Ki,36273,"Binding affinity towards human androgen receptor (hAR), using dihydrotestosterone as radioligand for competitive binding assay",B,,CHEMBL648840,10.1016/s0960-894x(99)00119-5,10230629,CHEMBL1132083,"Switching androgen receptor antagonists to agonists by modifying C-ring substituents on piperidino[3,2-g]quinolinone.",PUBLICATION,"New nonsteroidal human androgen receptor (hAR) agonists were developed from an hAR antagonist pharmacophore, 2(1H)-piperidino[3,2-g]quinolinone. (+/-)-trans-7,8-Diethyl-4-trifluoromethyl-2(H)-piperidino-[3,2-g]quinoli none was synthesized and demonstrated potent hAR agonist activity (EC50=3 nM) in the cell-based cotransfection assay and high binding affinity (Ki=16 nM) in the competitive receptor binding assay.",,CC[C@@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1CC,C17H19F3N2O,CHEMBL7421,29.0,,,,,,,,,,,,,,,,
1385,nM,Ki,,BAO_0000192,Ki,36273,"Binding affinity towards human androgen receptor (hAR), using dihydrotestosterone as radioligand for competitive binding assay",B,,CHEMBL648840,10.1016/s0960-894x(99)00119-5,10230629,CHEMBL1132083,"Switching androgen receptor antagonists to agonists by modifying C-ring substituents on piperidino[3,2-g]quinolinone.",PUBLICATION,"New nonsteroidal human androgen receptor (hAR) agonists were developed from an hAR antagonist pharmacophore, 2(1H)-piperidino[3,2-g]quinolinone. (+/-)-trans-7,8-Diethyl-4-trifluoromethyl-2(H)-piperidino-[3,2-g]quinoli none was synthesized and demonstrated potent hAR agonist activity (EC50=3 nM) in the cell-based cotransfection assay and high binding affinity (Ki=16 nM) in the competitive receptor binding assay.",,CC[C@H]1C[C@@H](C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21,C16H17F3N2O,CHEMBL427957,23.0,,,,,,,,,,,,,,,,
1446,nM,Ki,,BAO_0000192,Ki,36273,"Binding affinity towards human androgen receptor (hAR), using dihydrotestosterone as radioligand for competitive binding assay",B,,CHEMBL648840,10.1016/s0960-894x(99)00119-5,10230629,CHEMBL1132083,"Switching androgen receptor antagonists to agonists by modifying C-ring substituents on piperidino[3,2-g]quinolinone.",PUBLICATION,"New nonsteroidal human androgen receptor (hAR) agonists were developed from an hAR antagonist pharmacophore, 2(1H)-piperidino[3,2-g]quinolinone. (+/-)-trans-7,8-Diethyl-4-trifluoromethyl-2(H)-piperidino-[3,2-g]quinoli none was synthesized and demonstrated potent hAR agonist activity (EC50=3 nM) in the cell-based cotransfection assay and high binding affinity (Ki=16 nM) in the competitive receptor binding assay.",,CCC[C@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1CC,C18H21F3N2O,CHEMBL7231,32.0,,,,,,,,,,,,,,,,
1462,nM,Ki,,BAO_0000192,Ki,36273,"Binding affinity towards human androgen receptor (hAR), using dihydrotestosterone as radioligand for competitive binding assay",B,,CHEMBL648840,10.1016/s0960-894x(99)00119-5,10230629,CHEMBL1132083,"Switching androgen receptor antagonists to agonists by modifying C-ring substituents on piperidino[3,2-g]quinolinone.",PUBLICATION,"New nonsteroidal human androgen receptor (hAR) agonists were developed from an hAR antagonist pharmacophore, 2(1H)-piperidino[3,2-g]quinolinone. (+/-)-trans-7,8-Diethyl-4-trifluoromethyl-2(H)-piperidino-[3,2-g]quinoli none was synthesized and demonstrated potent hAR agonist activity (EC50=3 nM) in the cell-based cotransfection assay and high binding affinity (Ki=16 nM) in the competitive receptor binding assay.",,C[C@@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1C,C15H15F3N2O,CHEMBL7058,15.0,,,,,,,,,,,,,,,,
1479,nM,Ki,,BAO_0000192,Ki,36273,"Binding affinity towards human androgen receptor (hAR), using dihydrotestosterone as radioligand for competitive binding assay",B,,CHEMBL648840,10.1016/s0960-894x(99)00119-5,10230629,CHEMBL1132083,"Switching androgen receptor antagonists to agonists by modifying C-ring substituents on piperidino[3,2-g]quinolinone.",PUBLICATION,"New nonsteroidal human androgen receptor (hAR) agonists were developed from an hAR antagonist pharmacophore, 2(1H)-piperidino[3,2-g]quinolinone. (+/-)-trans-7,8-Diethyl-4-trifluoromethyl-2(H)-piperidino-[3,2-g]quinoli none was synthesized and demonstrated potent hAR agonist activity (EC50=3 nM) in the cell-based cotransfection assay and high binding affinity (Ki=16 nM) in the competitive receptor binding assay.",,CC[C@@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1C,C16H17F3N2O,CHEMBL266269,15.0,,,,,,,,,,,,,,,,
1480,nM,Ki,,BAO_0000192,Ki,36273,"Binding affinity towards human androgen receptor (hAR), using dihydrotestosterone as radioligand for competitive binding assay",B,,CHEMBL648840,10.1016/s0960-894x(99)00119-5,10230629,CHEMBL1132083,"Switching androgen receptor antagonists to agonists by modifying C-ring substituents on piperidino[3,2-g]quinolinone.",PUBLICATION,"New nonsteroidal human androgen receptor (hAR) agonists were developed from an hAR antagonist pharmacophore, 2(1H)-piperidino[3,2-g]quinolinone. (+/-)-trans-7,8-Diethyl-4-trifluoromethyl-2(H)-piperidino-[3,2-g]quinoli none was synthesized and demonstrated potent hAR agonist activity (EC50=3 nM) in the cell-based cotransfection assay and high binding affinity (Ki=16 nM) in the competitive receptor binding assay.",,CC[C@H]1Cc2cc3c(C(F)(F)F)cc(O)nc3cc2N[C@@H]1C,C16H17F3N2O,CHEMBL7053,11.0,,,,,,,,,,,,,,,,
1490,nM,Ki,,BAO_0000192,Ki,36273,"Binding affinity towards human androgen receptor (hAR), using dihydrotestosterone as radioligand for competitive binding assay",B,,CHEMBL648840,10.1016/s0960-894x(99)00119-5,10230629,CHEMBL1132083,"Switching androgen receptor antagonists to agonists by modifying C-ring substituents on piperidino[3,2-g]quinolinone.",PUBLICATION,"New nonsteroidal human androgen receptor (hAR) agonists were developed from an hAR antagonist pharmacophore, 2(1H)-piperidino[3,2-g]quinolinone. (+/-)-trans-7,8-Diethyl-4-trifluoromethyl-2(H)-piperidino-[3,2-g]quinoli none was synthesized and demonstrated potent hAR agonist activity (EC50=3 nM) in the cell-based cotransfection assay and high binding affinity (Ki=16 nM) in the competitive receptor binding assay.",,CC(C)[C@@H]1CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,C16H17F3N2O,CHEMBL267850,109.0,,,,,,,,,,,,,,,,
1497,nM,Ki,,BAO_0000192,Ki,36273,"Binding affinity towards human androgen receptor (hAR), using dihydrotestosterone as radioligand for competitive binding assay",B,,CHEMBL648840,10.1016/s0960-894x(99)00119-5,10230629,CHEMBL1132083,"Switching androgen receptor antagonists to agonists by modifying C-ring substituents on piperidino[3,2-g]quinolinone.",PUBLICATION,"New nonsteroidal human androgen receptor (hAR) agonists were developed from an hAR antagonist pharmacophore, 2(1H)-piperidino[3,2-g]quinolinone. (+/-)-trans-7,8-Diethyl-4-trifluoromethyl-2(H)-piperidino-[3,2-g]quinoli none was synthesized and demonstrated potent hAR agonist activity (EC50=3 nM) in the cell-based cotransfection assay and high binding affinity (Ki=16 nM) in the competitive receptor binding assay.",,C[C@@H]1C[C@H](C)c2cc3c(C(F)(F)F)cc(O)nc3cc2N1,C15H15F3N2O,CHEMBL268326,6.0,,,,,,,,,,,,,,,,
