comp_molregno,act_standard_units,act_standard_type,act_activity_comment,act_bao_endpoint,act_type,ass_assay_id,ass_description,ass_assay_type,ass_assay_category,ass_chembl_id,doc_doi,doc_pubmed_id,doc_chembl_id,doc_title,doc_doc_type,doc_abstract,doc_patent_id,coms_canonical_smiles,comp_full_molformula,mold_chembl_id,act_0
717,%,RBA,,BAO_0000179,RBA,751971,Displacement of [3H]MIB from GST-tagged wild type recombinant androgen receptor ligand binding domain after 18 hrs by scintillation counting relative to dihydrotestosterone,B,,CHEMBL1785913,10.1021/jm2000097,21506597,CHEMBL1782015,Unexpected binding orientation of bulky-B-ring anti-androgens and implications for future drug targets.,PUBLICATION,"Several new androgen receptor antagonists were synthesized and found to have varying activities across typically anti-androgen resistant mutants (Thr877 → Ala and Trp741 → Leu) and markedly improved potency over previously reported pan-antagonists. X-ray crystallography of a new anti-androgen in an androgen receptor mutant (Thr877 → Ala) shows that the receptor can accommodate the added bulk presented by phenyl to naphthyl substitution, casting doubt on previous reports of predicted binding orientation and the causes of antagonism in bulky-B-ring antagonists.",,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,C18H14F4N2O4S,CHEMBL409,0.69
34933,%,RBA,,BAO_0000179,RBA,751971,Displacement of [3H]MIB from GST-tagged wild type recombinant androgen receptor ligand binding domain after 18 hrs by scintillation counting relative to dihydrotestosterone,B,,CHEMBL1785913,10.1021/jm2000097,21506597,CHEMBL1782015,Unexpected binding orientation of bulky-B-ring anti-androgens and implications for future drug targets.,PUBLICATION,"Several new androgen receptor antagonists were synthesized and found to have varying activities across typically anti-androgen resistant mutants (Thr877 → Ala and Trp741 → Leu) and markedly improved potency over previously reported pan-antagonists. X-ray crystallography of a new anti-androgen in an androgen receptor mutant (Thr877 → Ala) shows that the receptor can accommodate the added bulk presented by phenyl to naphthyl substitution, casting doubt on previous reports of predicted binding orientation and the causes of antagonism in bulky-B-ring antagonists.",,C[C@]12CCC(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,C19H30O2,CHEMBL27769,100.0
102911,%,RBA,,BAO_0000179,RBA,466086,Displacement of [3H]DHT from androgen receptor,B,,CHEMBL935261,10.1021/jm701264d,18303829,CHEMBL1142360,Synthesis and structure-activity relationships of the first ferrocenyl-aryl-hydantoin derivatives of the nonsteroidal antiandrogen nilutamide.,PUBLICATION,"We present here the first synthesis of organometallic complexes derived from the nonsteroidal antiandrogen nilutamide, bearing a ferrocenyl substituent at position N(1) or at C(5) of the hydantoin ring; for comparison, we also describe the C(5) p-anisyl organic analogue. All of these complexes retain a modest affinity for the androgen receptor. The N-substituted complexes show a weak or moderate antiproliferative effect (IC 50 around 68 microM) on hormone-dependent and -independent prostate cancer cells, while the C(5)-substituted compounds exhibit toxicity levels 10 times higher (IC 50 around 5.4 microM). This strong antiproliferative effect is probably due to a structural effect linked to the aromatic character of the ferrocene rather than to its organometallic feature. In addition, it seems connected to a cytotoxic effect rather than an antihormonal one. These results open the way toward a new family of molecules that are active against both hormone-dependent and hormone-independent prostate cancer cells.",,C[C@](O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,C18H14F4N2O4S,CHEMBL63560,0.29
249414,%,RBA,,BAO_0000179,RBA,466086,Displacement of [3H]DHT from androgen receptor,B,,CHEMBL935261,10.1021/jm701264d,18303829,CHEMBL1142360,Synthesis and structure-activity relationships of the first ferrocenyl-aryl-hydantoin derivatives of the nonsteroidal antiandrogen nilutamide.,PUBLICATION,"We present here the first synthesis of organometallic complexes derived from the nonsteroidal antiandrogen nilutamide, bearing a ferrocenyl substituent at position N(1) or at C(5) of the hydantoin ring; for comparison, we also describe the C(5) p-anisyl organic analogue. All of these complexes retain a modest affinity for the androgen receptor. The N-substituted complexes show a weak or moderate antiproliferative effect (IC 50 around 68 microM) on hormone-dependent and -independent prostate cancer cells, while the C(5)-substituted compounds exhibit toxicity levels 10 times higher (IC 50 around 5.4 microM). This strong antiproliferative effect is probably due to a structural effect linked to the aromatic character of the ferrocene rather than to its organometallic feature. In addition, it seems connected to a cytotoxic effect rather than an antihormonal one. These results open the way toward a new family of molecules that are active against both hormone-dependent and hormone-independent prostate cancer cells.",,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,C12H10F3N3O4,CHEMBL1274,0.15
440841,%,RBA,,BAO_0000179,RBA,466086,Displacement of [3H]DHT from androgen receptor,B,,CHEMBL935261,10.1021/jm701264d,18303829,CHEMBL1142360,Synthesis and structure-activity relationships of the first ferrocenyl-aryl-hydantoin derivatives of the nonsteroidal antiandrogen nilutamide.,PUBLICATION,"We present here the first synthesis of organometallic complexes derived from the nonsteroidal antiandrogen nilutamide, bearing a ferrocenyl substituent at position N(1) or at C(5) of the hydantoin ring; for comparison, we also describe the C(5) p-anisyl organic analogue. All of these complexes retain a modest affinity for the androgen receptor. The N-substituted complexes show a weak or moderate antiproliferative effect (IC 50 around 68 microM) on hormone-dependent and -independent prostate cancer cells, while the C(5)-substituted compounds exhibit toxicity levels 10 times higher (IC 50 around 5.4 microM). This strong antiproliferative effect is probably due to a structural effect linked to the aromatic character of the ferrocene rather than to its organometallic feature. In addition, it seems connected to a cytotoxic effect rather than an antihormonal one. These results open the way toward a new family of molecules that are active against both hormone-dependent and hormone-independent prostate cancer cells.",,COc1ccc(C2(c3ccc(C#N)c(C(F)(F)F)c3)NC(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C2=O)cc1,C26H14F6N4O3,CHEMBL270542,0.041
630886,%,RBA,,BAO_0000179,RBA,2127699,Binding affinity to GST-tagged AR ligand binding domain (unknown origin) at 10 uM measured after 4 hrs by competitive fluorimetric binding assay relative to testosterone,B,,CHEMBL4837044,10.1016/j.bmc.2021.116331,34364224,CHEMBL4834485,"Designed, synthesized and biological evaluation of proteolysis targeting chimeras (PROTACs) as AR degraders for prostate cancer treatment.",PUBLICATION,"As a continuation of our research on developing potent and potentially safe androgen receptor (AR) degrader, a series of novel proteolysis targeting chimeras (PROTACs) containing the phthalimide degrons with different linker were designed, synthesized and evaluated for their AR degradation activity against LNCaP (AR+) cell line. Most of the synthesized compounds displayed moderate to satisfactory AR binding affinity and might lead to antagonist activity against AR. Among them, compound A16 exhibited the best AR binding affinity (85%) and degradation activity against AR. Due to the strong fluorescence properties of pomalidomide derivatives, B10 was found to be effectively internalized and visualized in LNCaP (AR + ) cells than PC-3 (AR-) cells. Moreover, the molecular docking of A16 with AR and the active site of DDB1-CRBN E3 ubiquitin ligase complex provides guidance to design new PROTAC degrons targeting AR for prostate cancer therapy. These results represent a step toward the development of novel and improved AR PROTACs.",,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,C21H16F4N4O2S,CHEMBL1082407,89.15
1117936,%,RBA,,BAO_0000179,RBA,751971,Displacement of [3H]MIB from GST-tagged wild type recombinant androgen receptor ligand binding domain after 18 hrs by scintillation counting relative to dihydrotestosterone,B,,CHEMBL1785913,10.1021/jm2000097,21506597,CHEMBL1782015,Unexpected binding orientation of bulky-B-ring anti-androgens and implications for future drug targets.,PUBLICATION,"Several new androgen receptor antagonists were synthesized and found to have varying activities across typically anti-androgen resistant mutants (Thr877 → Ala and Trp741 → Leu) and markedly improved potency over previously reported pan-antagonists. X-ray crystallography of a new anti-androgen in an androgen receptor mutant (Thr877 → Ala) shows that the receptor can accommodate the added bulk presented by phenyl to naphthyl substitution, casting doubt on previous reports of predicted binding orientation and the causes of antagonism in bulky-B-ring antagonists.",,C[C@](O)(COc1ccc(C#N)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,C19H14F3N3O3,CHEMBL1738889,5.5
1117937,%,RBA,,BAO_0000179,RBA,751971,Displacement of [3H]MIB from GST-tagged wild type recombinant androgen receptor ligand binding domain after 18 hrs by scintillation counting relative to dihydrotestosterone,B,,CHEMBL1785913,10.1021/jm2000097,21506597,CHEMBL1782015,Unexpected binding orientation of bulky-B-ring anti-androgens and implications for future drug targets.,PUBLICATION,"Several new androgen receptor antagonists were synthesized and found to have varying activities across typically anti-androgen resistant mutants (Thr877 → Ala and Trp741 → Leu) and markedly improved potency over previously reported pan-antagonists. X-ray crystallography of a new anti-androgen in an androgen receptor mutant (Thr877 → Ala) shows that the receptor can accommodate the added bulk presented by phenyl to naphthyl substitution, casting doubt on previous reports of predicted binding orientation and the causes of antagonism in bulky-B-ring antagonists.",,C[C@](O)(COc1ccc(C#N)c2ccccc12)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,C23H16F3N3O3,CHEMBL1738890,1.84
1149154,%,RBA,,BAO_0000179,RBA,751971,Displacement of [3H]MIB from GST-tagged wild type recombinant androgen receptor ligand binding domain after 18 hrs by scintillation counting relative to dihydrotestosterone,B,,CHEMBL1785913,10.1021/jm2000097,21506597,CHEMBL1782015,Unexpected binding orientation of bulky-B-ring anti-androgens and implications for future drug targets.,PUBLICATION,"Several new androgen receptor antagonists were synthesized and found to have varying activities across typically anti-androgen resistant mutants (Thr877 → Ala and Trp741 → Leu) and markedly improved potency over previously reported pan-antagonists. X-ray crystallography of a new anti-androgen in an androgen receptor mutant (Thr877 → Ala) shows that the receptor can accommodate the added bulk presented by phenyl to naphthyl substitution, casting doubt on previous reports of predicted binding orientation and the causes of antagonism in bulky-B-ring antagonists.",,C[C@](O)(COc1cccc2ccccc12)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,C22H17F3N2O3,CHEMBL1782497,0.97
1149155,%,RBA,,BAO_0000179,RBA,751971,Displacement of [3H]MIB from GST-tagged wild type recombinant androgen receptor ligand binding domain after 18 hrs by scintillation counting relative to dihydrotestosterone,B,,CHEMBL1785913,10.1021/jm2000097,21506597,CHEMBL1782015,Unexpected binding orientation of bulky-B-ring anti-androgens and implications for future drug targets.,PUBLICATION,"Several new androgen receptor antagonists were synthesized and found to have varying activities across typically anti-androgen resistant mutants (Thr877 → Ala and Trp741 → Leu) and markedly improved potency over previously reported pan-antagonists. X-ray crystallography of a new anti-androgen in an androgen receptor mutant (Thr877 → Ala) shows that the receptor can accommodate the added bulk presented by phenyl to naphthyl substitution, casting doubt on previous reports of predicted binding orientation and the causes of antagonism in bulky-B-ring antagonists.",,C[C@](O)(CS(=O)(=O)c1ccc(C#N)c2ccccc12)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,C23H16F3N3O4S,CHEMBL1782498,0.37
